subop_in_bytes,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
0,0,2579,0,3805,1226,1226,1226
1,0,2579,0,3805,1226,1226,1226
2,0,2579,0,3805,1226,1226,1226
3,0,2579,0,3805,1226,1226,1226
4,0,2579,0,3805,1226,1226,1226
5,0,2579,0,3805,1226,1226,1226
6,0,2579,0,3805,1226,1226,1226
7,0,2579,0,3805,1226,1226,1226
8,0,2579,0,3805,1226,1226,1226
9,0,2579,0,3805,1226,1226,1226
10,0,2579,0,3805,1226,1226,1226
11,0,2579,0,3805,1226,1226,1226
12,0,2579,0,3805,1226,1226,1226
13,0,2579,0,3805,1226,1226,1226
14,0,2579,0,3805,1226,1226,1226
15,0,2579,0,3805,1226,1226,1226
16,0,2579,0,3805,1226,1226,1226
17,0,2579,0,3805,1226,1226,1226
18,0,2579,0,3805,1226,1226,1226
19,0,2579,0,3805,1226,1226,1226
20,0,2579,0,3805,1226,1226,1226
21,0,2579,0,3805,1226,1226,1226
22,0,2579,0,3805,1226,1226,1226
23,0,2579,0,3805,1226,1226,1226
24,0,2579,0,3805,1226,1226,1226
25,0,2579,0,3805,1226,1226,1226
26,0,2579,8579731,3805,1226,1226,1226
27,4289427,4290633,8579731,3805,1226,1226,1226
28,8576607,4290633,10724819,3805,1226,2545522,4299030
29,8576607,4458218,12864664,4897287,4290653,17155314,10934647
30,8576607,8576315,12864664,17153274,11592327,17155314,13715809
31,8576607,12864244,12864664,21809265,21438124,25698404,21454491
32,8576607,17154420,13869425,34300620,25726802,30020599,26943909
33,13134178,25195615,17154091,55738770,32961231,32266238,34313155
34,17155588,28849031,21441271,57915877,38590589,37930611,42891260
35,21443517,35446715,21441271,72891235,47368298,38600951,42891260
36,30022371,44558845,25727579,77176168,60030355,47178432,42891260
37,30022371,53603254,30017755,94329382,60030355,51468608,42891260
38,30022371,55748406,30017755,98605327,60298491,55758784,47177691
39,30022371,60036335,51455153,98605327,68601719,60048211,51464122
40,42889154,60036335,57552302,98605327,74768847,71874469,55886119
41,47178581,64326511,60031884,102891881,77182071,72913496,64329531
42,47178581,69251263,68595758,107182057,79993754,77202923,68616711
43,51468885,77190298,70236640,107182057,81468502,77202923,79609538
44,60583262,77190298,72883812,115757166,81468502,81491601,82355685
45,64334919,77190298,77172616,120046593,85757929,85781777,95585163
46,72907907,77190298,81462043,126816278,90045733,90070455,98634461
47,77195836,77190298,81462043,128624698,98322185,90070455,102922390
48,81486012,77190298,85752219,141493855,98623838,94359882,107044232
49,85771694,81480474,85752219,150071211,98623838,97006227,113144326
50,88016650,85770778,85752219,154357765,109478852,106049825,120076353
51,101348966,85770778,94325830,157540382,114201004,119585450,120076353
52,107211594,85770778,99051105,158646443,120064232,124376134,124400046
53,107211594,89918760,109131537,164342086,120064232,130742993,141518994
54,107211594,90052832,117743229,167223799,124351412,132955115,145472502
55,107211594,95147544,120054404,180761943,124351412,137243044,145807672
56,127382215,102918994,120054404,184381137,124351412,149904860,150095601
57,128655112,107141262,120054404,184381137,129309681,151311820,159378312
58,132234038,107208294,120054404,185219062,141497885,162767258,162963882
59,141506283,111530489,120054404,188669066,141497885,171544973,162963882
60,141506283,120068336,120054404,197246422,150078237,175830777,162963882
61,150085886,120068336,120054404,205821657,154366789,178578503,168458423
62,150085886,137220926,124344580,221337781,158656216,184407635,171538242
63,154376062,137220926,135932682,227268043,164319091,186282340,171538242
64,162953418,137220926,141494294,235207827,167230576,192984370,176089813
65,170692849,141511102,141494294,244424253,167230576,201457553,184400531
66,171528527,141511102,145817239,244424253,174296671,205842288,184400531
67,180099891,141511102,154361951,248713680,184378671,205842288,184400531
68,188677247,145798282,154361951,257282797,184378671,206076907,192978511
69,188677247,150087086,154361951,261565483,191041847,210131715,201555118
70,195475079,150087086,154361951,270141341,210099497,210131715,201555118
71,197246986,154377262,156440005,274427772,218676851,210131715,205845294
72,197246986,154377262,158649131,278710458,218676851,210131715,216131943
73,202573973,158666689,162937809,287287065,231539889,216298094,218712829
74,205824469,162953243,162937809,295965721,235823324,218703828,227293181
75,205824469,163857453,164814761,305247683,235823324,226277921,227293181
76,205824469,167242670,171517285,317310934,243095676,234486550,231581859
77,210114023,167242670,171517285,321598863,249262016,235858538,240156219
78,210114023,171531348,171517285,331869108,257267336,235858538,251745732
79,216884531,171531348,171517285,347312206,257267336,244436643,253018629
80,218693003,175820152,175805339,362157241,261557640,244436643,253018629
81,218693003,175820152,180095515,373042776,267522119,250667060,253018629
82,218693003,175820152,180095515,381616514,274424919,261588359,257306683
83,222979557,176456975,184384942,387943737,283000903,270896348,270207235
84,222979557,187882527,188675118,400807705,283000903,274443907,279518969
85,222979557,192975613,192963047,413136806,291445689,274443907,283033011
86,229611365,192975613,197017106,441375188,291579757,274443907,288928258
87,231554545,192975613,201541152,454508057,297512394,274443907,304469784
88,240632534,205831910,201541152,454508057,308736095,283016020,307249448
89,250278065,205831910,214408810,463083043,313022526,287335219,308757713
90,257278746,205831910,218696739,465697369,317306710,291891284,313046391
91,257278746,207273184,227273472,470456034,327215009,300169234,317336567
92,261568922,210121464,228346016,480771905,334451685,302380607,321622998
93,265858349,210289049,231562899,485327970,334451685,306286422,321622998
94,265858349,214410891,231562899,493077699,338741861,308733236,334491279
95,265858349,214410891,231562899,498707057,343032165,317307721,338640761
96,265858349,220274119,231562899,501655055,347317098,324275512,355922177
97,270148525,227278423,235852326,509826462,347317098,332585609,360211604
98,270148525,231568727,235852326,520715866,355894582,334460314,373076889
99,274437329,235859031,240141004,531671431,366349767,334460314,373076889
100,281005912,240148458,240141004,546340643,368762991,343037670,379810134
101,287297371,244430395,244427312,557390018,376871109,347327846,385938556
102,287297371,257298676,247812529,557390018,381629025,351617273,390225736
103,287297371,261584480,248717488,566234012,393324960,355905951,394515163
104,287297371,265102267,268847723,574529001,398784486,358348198,394515163
105,300162656,265873158,275081155,584409775,403074790,368024241,394515163
106,304450585,270155095,278731617,595970144,403074790,373048046,394515163
107,304450585,270155095,287307475,600258822,407362719,373048046,398536454
108,304517621,281274500,287307475,600258822,411652146,377338222,403092519
109,309545297,283016635,291594779,600560484,420225757,390206503,406807663
110,321611417,283016635,293639377,608835557,420225757,390206503,415956433
111,325795917,283016635,296655974,608835557,424513686,394495181,420244362
112,334464090,283016635,300174510,613124235,424513686,394495181,433101408
113,338753517,283016635,301815345,617412164,427160780,398783859,436882088
114,338753517,284926355,304462439,621699344,428803113,402067027,447332651
115,343042944,291595616,304462439,629441022,433090917,407361215,450248630
116,348869780,291595616,312840191,630278947,441669771,407361215,454536559
117,360899409,291595616,313510545,643139114,441669771,411646897,458188414
118,364483585,291595616,322424683,651707482,444918673,415666690,464321276
119,364483585,295885920,330657996,655997036,454532809,422702264,471692020
120,364483585,295885920,338366906,659013566,458820738,436973016,471692020
121,369275767,308740091,338769110,660287212,463110165,441663898,478425192
122,385057157,308740091,338769110,664608658,463110165,446217838,493129418
123,385928599,311019179,338769110,668864568,467399592,450236882,493129418
124,390215903,313030139,338769110,676404491,467399592,454522564,497417347
125,398794008,321608244,338769110,686018907,467399592,466315959,497417347
126,398794008,324456440,338769110,686018907,471689019,467388471,505123261
127,403083435,325897671,338769110,686018907,483413977,478642815,514572059
128,407373611,336687214,343057039,690307585,484553555,487048841,514572059
129,407373611,343054007,351628530,696771872,488839986,493113297,514572059
130,420238147,343054007,355917334,706119457,497417965,493113297,518860737
131,424527574,345801652,360206761,720322465,497417965,499246341,523150164
132,428815503,347341936,360206761,724610394,503346729,501692405,523150164
133,437390612,347341936,371064149,728899072,510281752,505978836,523150164
134,440775080,347341936,373073671,738648774,510281752,513910602,534508682
135,445433194,351629116,373073671,743639811,510281752,514547444,536016947
136,445969466,355919420,373073671,746053035,519728303,523122553,536016947
137,454547446,355919420,373073671,750576332,527434342,523122553,536854123
138,454547446,360209596,377360102,758846043,527434342,527410482,544994163
139,455954411,364499023,379572224,763166740,536007953,527410482,548881355
140,463126428,364499023,381650278,767489684,546888301,527410482,553170782
141,463126428,368787827,381650278,771778362,561728037,527410482,553170782
142,463126428,373077254,387816602,779989278,561728037,527410482,561746516
143,463126428,373077254,390229006,787824766,567821390,527410482,570322501
144,467415982,374551253,390229006,791673978,578877506,535987838,574041390
145,467415982,377366681,390229006,810359237,578877506,540263783,578894614
146,475988970,377366681,390229006,814582379,587450241,553131318,583184041
147,475988970,381656235,394519310,823226147,589126091,553131318,591759150
148,475988970,381656235,398808737,829851278,600313279,553131318,596047204
149,475988970,381656235,402961100,848511259,600313279,561705678,604625309
150,480274024,385241805,403094419,864056406,604602833,561705678,604625309
151,480274024,394523767,407383097,874679048,612140319,565989113,604625309
152,484027928,398812445,411671026,881144146,617464875,574558979,608913363
153,488845272,398812445,415958955,887008935,625709425,581462732,621774404
154,490722224,410198488,420247633,900408368,626044605,591709946,626063831
155,501707686,411668742,424536311,911161461,630334781,591709946,634640438
156,510890740,411668742,432847897,931830219,634619714,591709946,638925371
157,514574720,411668742,438847491,952770357,634619714,591709946,646261100
158,518864147,415956046,445983700,956153327,651773799,594152942,656080960
159,523152825,415956046,445983700,962384369,656058732,601182524,660368140
160,523152825,415956046,450273127,964729810,660348159,608856419,664657567
161,523152825,420244724,450273127,969387924,668912033,614785932,668946994
162,523152825,420244724,450273127,984366404,677489389,617433026,673234174
163,523152825,424534900,450273127,986444458,677489389,621723202,673234174
164,523152825,427383845,450273127,994754427,681577714,626012756,684357324
165,527441503,433110009,454562554,1001323010,686066870,630302183,686100208
166,531731807,437396563,454562554,1003333281,686066870,634590987,696381810
167,532201045,445971793,458851232,1007622708,690354799,643727646,707531107
168,541980519,453848288,458851232,1014188295,694644353,651730095,716103220
169,544594845,458834082,463137540,1024776796,706705354,651730095,723573766
170,544594845,464996772,467427716,1033088263,707509762,656288407,724679827
171,544594845,467407068,479189936,1040696531,711799938,660308949,729032665
172,547403532,471693499,493162780,1059088464,716391018,664599125,737535497
173,561738322,471693499,493162780,1059088464,724668219,668886305,738775626
174,561738322,475546456,497453084,1070446233,733246324,673174983,746113602
175,564620870,480269357,506024448,1076240180,744803035,673174983,746113602
176,573165498,485060790,506024448,1087629219,746110237,681742725,746113602
177,574605980,488846713,514602056,1097677578,746110237,687573185,746113602
178,578895407,488846713,518890734,1101967005,752610288,690321579,750398535
179,590351608,488846713,518890734,1101967005,758975522,698898186,754680472
180,591757075,488846713,522307221,1106256559,763196417,704219899,763260075
181,600332184,493136889,523178663,1106256559,763263451,707470299,771236499
182,600332184,493136889,523178663,1110537747,763263451,711759726,773347321
183,609748365,497424943,523279214,1114827923,767552878,716049902,780418659
184,621772089,497424943,531758266,1120992804,767552878,716049902,793281697
185,621772089,501712997,545728239,1123405279,776126369,720541180,797566630
186,621772089,501712997,554637889,1131744359,780415047,724627258,801856806
187,621772089,506001801,557484587,1140588390,782958594,724627258,803901343
188,637880409,510291228,557484587,1149062948,785168469,728076513,810436409
189,643207365,518868458,557484587,1153419409,788988658,728913689,819012267
190,643207365,522013813,557484587,1161997642,797564516,745194712,823299447
191,647496169,523152642,557484587,1161997642,806140374,752969158,823299447
192,656075023,529085151,557484587,1167726053,806140374,762719721,838104224
193,664652379,531732994,557484587,1171105290,806140374,767511918,845843655
194,664652379,536021672,557484587,1187151304,810429801,767511918,849027770
195,668938810,545270886,566062067,1187719595,810429801,771863885,853313452
196,673228237,548890830,574907567,1187719595,815220485,784661259,859612401
197,679625490,553179508,578928227,1192009771,827582266,792236101,866180235
198,683409915,553179508,583217654,1193451002,827582266,806105523,866180235
199,686090526,553179508,583217654,1203369166,836160371,806105523,866180235
200,698953564,553548206,588272100,1213451042,840315607,817433107,868694010
201,701968596,557469062,591791385,1230602009,849024031,818971185,874753846
202,707531542,561756991,591791385,1230602009,849024031,818971185,874753846
203,707531542,566047167,591791385,1234891436,853312709,820880905,883332700
204,711818722,566047167,592361174,1247687440,853647879,831601224,887250444
205,716108898,570336594,596081561,1247754474,859543933,840402088,887619131
206,716108898,570336594,596081561,1247754474,865630614,840402088,887619131
207,720399202,570336594,600370988,1256331830,870454815,840402088,891904691
208,720399202,578905087,600370988,1264909935,874745119,840402088,900478302
209,720399202,578905087,601442034,1270539293,895988658,844690766,904763984
210,724688756,578905087,608947468,1277772973,900476188,844690766,905702460
211,724688756,578905087,608947468,1277772973,908149459,844690766,916451771
212,726364606,583188522,608947468,1280688203,913344594,848980942,921905225
213,733266987,586171624,608947468,1299211120,917632523,848980942,925624114
214,733266987,587477326,611762896,1301657861,925538041,858527295,928336744
215,733266987,587477326,617520448,1320121360,926207632,861843231,934770510
216,733266987,587477326,621809126,1320657632,937222622,862679635,934770510
217,733266987,587477326,621809126,1329967119,939064559,870416847,942603123
218,737557291,591764506,626098553,1346383708,943354735,870416847,956203535
219,739099073,604626046,626098553,1354861262,947644289,870416847,956203535
220,746135269,604626046,634675160,1366322578,951934465,878993454,956203535
221,746135269,604626046,634675160,1370577739,956224513,883280634,956203535
222,751565023,610253906,638960842,1380694757,964800994,891855743,956203535
223,759000677,617485339,646532688,1389263874,964800994,899696474,964270873
224,767575164,617485339,650685051,1391272704,969089048,904724024,969665003
225,771860968,617485339,658628033,1405376812,974719155,909011204,980449238
226,776151144,621774893,664694663,1430268835,977668651,909011204,981923237
227,780439073,621774893,664694663,1444575224,983065016,909011204,991874041
228,780439073,621774893,668979596,1454122575,990537809,909011204,999077200
229,780439073,623685362,668979596,1457872734,990537809,913301380,1011932125
230,780439073,626065069,668979596,1461257850,999111420,923920277,1011932125
231,780439073,630355245,668979596,1467320655,1003399349,926165916,1020504238
232,780439073,631829244,668979596,1484342925,1016259391,934739527,1020504238
233,787208832,638799282,673266776,1487894229,1020545822,934739527,1023385951
234,789018804,643222154,673266776,1487894229,1020545822,939025958,1026401732
235,789018804,648047869,677553207,1493320238,1020545822,939428174,1033371021
236,793306733,659405745,677553207,1500758765,1029118055,947601938,1037661197
237,801884838,664666416,679596187,1505046694,1029118055,951891492,1041412105
238,801884838,668955094,682107651,1509334623,1029151572,951891492,1054616431
239,801884838,673242398,696217559,1520489792,1037694038,964751534,1061813716
240,803224769,673242398,705970257,1522366749,1049822077,969037338,1067670952
241,813168083,677529578,711869249,1539350252,1050559451,975370553,1076246810
242,819032809,677529578,714516421,1549791755,1055651788,981904870,1082212214
243,819534829,686099444,716727842,1560777161,1065133354,981904870,1089112971
244,825462202,686099444,724736158,1565065839,1075147447,986528718,1092866875
245,831897466,690386624,724736158,1577295050,1076286276,990483724,1097691825
246,831897466,694675302,733581902,1582220551,1088146922,992862002,1097691825
247,838757965,694675302,737603193,1593948505,1089152432,995476385,1097691825
248,841538408,694675302,737603193,1601555366,1089152432,999158761,1097691825
249,849034320,696920941,741893369,1603666937,1093542410,1003917426,1101981252
250,853323747,698963980,741893369,1605744303,1102014721,1016216667,1101981252
251,857810531,698963980,741893369,1607954241,1102014721,1016216667,1114843541
252,869403138,700035806,741893369,1607954241,1106300403,1021510106,1114843541
253,874766018,703253534,749899438,1611703651,1106300403,1029076709,1123421773
254,879053074,707542338,759212675,1616530099,1110487032,1029076709,1131595427
255,879053074,710257296,771899252,1617736711,1110587583,1033366885,1132968875
256,886559510,711832642,776188056,1625107455,1112062287,1037657061,1144865163
257,891920732,712368898,776188056,1625107455,1120070520,1041943492,1145166816
258,896210159,721482415,776188056,1636429586,1123455737,1041943492,1149154590
259,900493594,728987976,776188056,1646550971,1123455737,1041943492,1153444766
260,900493594,732239125,776188056,1646550971,1132032344,1041943492,1162024369
261,909069578,733277403,776188056,1650839649,1132032344,1047335984,1173584738
262,921928122,741853261,776188056,1659412511,1132032344,1054806530,1174891901
263,926218298,741853261,780477610,1663700565,1144898378,1066232082,1174891901
264,930507725,743025607,789052719,1667989243,1149185558,1067673313,1181930471
265,934796403,758992372,792232340,1673316313,1149185558,1080542469,1184544048
266,934796403,758992372,801915135,1685139836,1152604292,1084831147,1200626216
267,939082085,758992372,801915135,1689425518,1153475734,1084831147,1203876616
268,947648955,759092926,801915135,1693379026,1157765910,1089120574,1212690089
269,950261034,763281926,806205439,1693714196,1162055337,1102122170,1213492999
270,960508875,763281926,810494117,1697999878,1174919124,1111439023,1217780928
271,964789314,771422812,810494117,1702322949,1174919124,1118774864,1217780928
272,964789314,771858533,810494117,1706575114,1181618779,1129797659,1217780928
273,973362925,776147960,810494117,1723719340,1189954711,1136297901,1217780928
274,973362925,776147960,814778301,1726029017,1192066219,1136297901,1222070355
275,973362925,776147960,816050449,1740859821,1192066219,1136297901,1233594960
276,977647229,780435889,819066979,1742803058,1200644324,1140586579,1234935640
277,981937533,784723943,819770836,1749432683,1204933878,1153453486,1234935640
278,981937533,784723943,827644958,1753722110,1204933878,1157736290,1239222820
279,983311730,784723943,827644958,1759819208,1223122373,1157736290,1243511372
280,990518013,793294684,827644958,1770873826,1230662821,1157736290,1247799301
281,990518013,793294684,831932887,1775164002,1234809192,1157736290,1252084234
282,990518013,793294684,831932887,1779450433,1243520616,1162024219,1264949519
283,990518013,793294684,840511117,1779450433,1252097223,1163800620,1269239073
284,990518013,793294684,840511117,1788029287,1256381527,1166313646,1269239073
285,990518013,797581115,844799046,1796605894,1260936094,1166313646,1277379099
286,992692165,801869044,844799046,1809469808,1269246812,1174892500,1279155487
287,999080510,807096198,847044685,1819889101,1277826415,1179179680,1286391414
288,1003370558,810447898,849691779,1830007490,1282112723,1179179680,1290680968
289,1007290549,814738074,853377900,1842698449,1282112723,1187085182,1299257575
290,1011947165,814738074,860582557,1859818146,1290683457,1187754792,1307835680
291,1017810440,821834690,866246181,1865480272,1299257692,1187754792,1307835680
292,1024802952,823307940,870536357,1873791118,1301000576,1200621575,1307835680
293,1029091756,826760294,883404141,1886657901,1307835672,1204909504,1307969752
294,1033647072,827598244,883404141,1893755348,1307835672,1219378362,1312124484
295,1037667614,827598244,883404141,1895230140,1318490456,1222059722,1318659677
296,1037667614,827598244,885415161,1915524461,1320701080,1226349898,1329277945
297,1037667614,827598244,887694317,1929722936,1322343462,1226349898,1333564376
298,1037667614,836175600,887694317,1941045602,1333100251,1226349898,1346128757
299,1037667614,836175600,887694317,1950959227,1333569489,1230637827,1350719088
300,1037667614,836175600,887694317,1959536711,1333569489,1230637827,1357119337
301,1044301860,840465776,891783391,1959536711,1337856669,1239209940,1366434942
302,1046245097,853332684,891984493,1969149975,1343586578,1245101442,1372163353
303,1046245097,857958040,895803933,1985266534,1350720456,1247779806,1372163353
304,1050535273,869616079,896273171,1989552965,1359296314,1247779806,1372163353
305,1059109633,870486023,898116551,1989552965,1363581996,1252069233,1377459039
306,1059109633,874773203,905152052,1989552965,1363749586,1258502999,1385029387
307,1059109633,879060507,917709692,2002413756,1372158729,1260647338,1385029387
308,1063394566,879060507,927258292,2002413756,1372158729,1264936142,1392163265
309,1071638250,883350683,930576475,2010990363,1372158729,1269224946,1393604496
310,1076261349,887640110,934865279,2019568468,1381978655,1273514373,1409951180
311,1080549403,891922047,937543643,2023855648,1389312945,1282089482,1415043642
312,1089123763,895570157,943432898,2033968911,1393592635,1294146741,1419328575
313,1089123763,900491164,952009006,2045294661,1401196500,1299238329,1432188742
314,1093949462,900491164,956298433,2055214197,1406454175,1300310124,1436477420
315,1097702617,900491164,956298433,2067643761,1419314966,1305602814,1445048784
316,1106279349,900491164,960578872,2075314660,1419314966,1307814936,1445048784
317,1110569525,904779093,960578872,2089112429,1426183083,1307814936,1449335215
318,1114858952,904779093,960578872,2096752058,1432178881,1312105240,1449335215
319,1119149128,904779093,960578872,2101041485,1432178881,1316089269,1449335215
320,1131010750,909069397,961382531,2105328665,1440323512,1320343681,1453624642
321,1135735068,913358201,973844114,2109618219,1445047911,1330793495,1453624642
322,1136304840,913358201,986308819,2109618219,1445047911,1333541889,1465952906
323,1136304840,917640255,990598246,2109618219,1449337338,1333541889,1466489178
324,1149173248,917640255,994885550,2111494422,1449337338,1346402680,1471145805
325,1149173248,921694943,994885550,2118196324,1453626016,1346402680,1483645516
326,1152659016,926219731,994885550,2124995032,1453626016,1350691358,1487666807
327,1157750604,934797836,994885550,2126766939,1459352805,1354744668,1495640857
328,1157750604,937940944,994885550,2130620009,1466488181,1359266467,1496510801
329,1167900389,939080522,994885550,2146302982,1466488181,1359266467,1503443577
330,1179188877,947656380,994885550,2148212702,1475052055,1359266467,1509375337
331,1182037073,947656380,999174354,2152499882,1475052055,1359266467,1517954940
332,1187766982,949128881,1007749463,2161073493,1475052055,1368981154,1526531547
333,1192056409,964802219,1012038141,2165363797,1486242239,1378458226,1526531547
334,1192056409,964802219,1020614124,2168877839,1491067938,1384982057,1526531547
335,1196345087,964802219,1020614124,2169648730,1492206018,1393523774,1535108903
336,1204922443,964802219,1020614124,2183383486,1492206018,1400822990,1541372088
337,1207602305,969090273,1024902178,2186802322,1496493198,1402130153,1552255376
338,1217783855,969090273,1029191605,2191090251,1497130021,1402130153,1556543305
339,1222070286,976961525,1029191605,2195375933,1500783374,1407725994,1565122159
340,1222070286,977665382,1029191605,2196146824,1505071303,1416468688,1565122159
341,1230649140,981954809,1029191605,2199699627,1517941082,1427848625,1565122159
342,1230649140,981954809,1033479534,2203954913,1517941082,1432138801,1569409339
343,1230649140,984904305,1033479534,2210254611,1522231258,1444269191,1569409339
344,1234937194,986244985,1037766714,2222852509,1530806367,1449296891,1569409339
345,1239222998,990533789,1037766714,2225562143,1535096415,1453586445,1569878577
346,1239222998,990533789,1042056141,2242547772,1535096415,1453586445,1579325128
347,1240092942,990533789,1046345441,2242547772,1543674520,1457872127,1586564800
348,1247798982,994823343,1046345441,2250888262,1547963324,1466447985,1586564800
349,1247798982,999109025,1050628127,2255404818,1547963324,1473778677,1590851980
350,1247798982,999109025,1050628127,2260627478,1560830233,1475018093,1595142028
351,1247798982,999109025,1058536749,2270406952,1569402223,1475018093,1599430706
352,1247798982,999109025,1063494289,2276839969,1575099237,1475018093,1603719384
353,1247798982,1004939485,1063494289,2281128647,1586556808,1479300779,1611725453
354,1257916706,1007686381,1065270690,2281128647,1595136411,1479300779,1620403474
355,1260665018,1016259992,1067783716,2289691772,1599425215,1483590206,1620872726
356,1264947704,1020548670,1072073143,2294651539,1603077070,1483590206,1625428035
357,1269237880,1020548670,1076362570,2311124798,1608001073,1487878135,1629449207
358,1277818360,1025877124,1084938428,2319699158,1618186496,1494947226,1633737885
359,1282108664,1029128273,1089226357,2332161490,1620867107,1496453993,1638025814
360,1287735064,1033411827,1100809211,2341138803,1627399113,1496453993,1648983751
361,1294169666,1033411827,1102082145,2359587196,1636301198,1505029853,1652166368
362,1294974074,1033411827,1102082145,2362804079,1642299117,1505029853,1659463337
363,1294974074,1033411827,1102082145,2375432625,1643338144,1510221992,1659463337
364,1294974074,1033411827,1105399579,2388297161,1646588544,1522186063,1659463337
365,1294974074,1037689270,1106370823,2396432916,1650877844,1531557341,1663748391
366,1294974074,1041978697,1106370823,2396868650,1657813616,1539329540,1663748391
367,1294974074,1041978697,1106370823,2423403134,1663744755,1539329540,1672929945
368,1299262878,1041978697,1106370823,2426885157,1667732647,1543615971,1680904852
369,1303550058,1053096604,1110660999,2444940958,1676613163,1543615971,1693771635
370,1303550058,1065585085,1110660999,2454423453,1676613163,1544185760,1698058066
371,1303550058,1076273391,1114949677,2461188715,1676613163,1552191080,1707874053
372,1307837987,1076273391,1114949677,2467387094,1689470209,1556611579,1720606894
373,1316414594,1076273391,1125269790,2486913293,1693756640,1565052620,1723791009
374,1316414594,1080562818,1136395187,2491201971,1702100126,1565052620,1723791009
375,1320704021,1084851622,1140683116,2491201971,1706623423,1569341298,1728043923
376,1324988205,1084851622,1145774704,2491201971,1709438185,1569341298,1736656294
