subop_w,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt,node154_ceph-osd.3.asok.txt,node154_ceph-osd.4.asok.txt,node154_ceph-osd.5.asok.txt
0,41,32,25,56,72,40
1,41,32,25,56,72,40
2,41,32,25,56,72,40
3,41,32,25,56,72,40
4,41,32,25,56,72,40
5,41,32,25,56,72,40
6,41,32,27,56,72,40
7,215,154,93,190,280,89
8,217,157,100,262,365,186
9,450,278,144,291,394,192
10,559,407,210,668,900,426
11,614,479,251,862,1089,568
12,614,479,264,866,1178,609
13,703,489,265,866,1178,614
14,896,696,365,1253,1596,786
15,977,766,394,1387,1723,921
16,993,794,405,1448,1843,1009
17,993,800,405,1448,1843,1009
18,1237,1011,502,1788,2218,1151
19,1326,1070,544,1918,2425,1280
20,1332,1070,552,1950,2544,1387
21,1339,1085,554,1950,2547,1391
22,1609,1274,654,2249,2987,1548
23,1672,1347,682,2402,3099,1706
24,1701,1371,702,2477,3220,1757
25,1736,1412,706,2490,3243,1757
26,1935,1558,795,2811,3651,1972
27,2046,1612,824,2910,3795,2049
28,2098,1679,855,3001,3936,2139
29,2102,1680,857,3024,3968,2143
30,2403,1913,935,3347,4295,2273
31,2462,1961,967,3446,4521,2452
32,2477,1989,979,3509,4600,2502
33,2491,1991,988,3526,4600,2512
34,2733,2190,1072,3692,4993,2685
35,2832,2267,1113,3992,5150,2841
36,2854,2279,1124,4066,5256,2937
37,2907,2280,1126,4066,5265,2937
38,3114,2458,1211,4418,5675,3133
39,3192,2540,1230,4479,5759,3225
40,3218,2565,1253,4599,5939,3314
41,3230,2569,1261,4599,5939,3327
42,3510,2743,1352,4797,6258,3436
43,3612,2820,1399,4996,6432,3602
44,3672,2867,1438,5126,6635,3719
45,3672,2867,1445,5126,6635,3719
46,3912,3005,1475,5199,6677,3728
47,4006,3129,1558,5523,7089,3959
48,4091,3194,1586,5670,7304,4072
49,4091,3194,1590,5701,7359,4109
50,4164,3241,1596,5720,7380,4115
51,4424,3422,1697,6023,7747,4335
52,4515,3525,1753,6152,7966,4406
53,4535,3533,1761,6246,8123,4498
54,4535,3533,1761,6246,8138,4498
55,4856,3729,1869,6441,8345,4578
56,4919,3805,1918,6657,8670,4789
57,4969,3858,1934,6797,8806,4861
58,4977,3858,1936,6811,8843,4905
59,5260,3981,2002,6832,8865,4915
60,5304,4093,2060,7168,9299,5166
61,5383,4167,2102,7269,9437,5237
62,5398,4167,2110,7352,9574,5309
63,5461,4198,2116,7352,9574,5322
64,5684,4364,2206,7629,9872,5454
65,5770,4443,2230,7800,10125,5593
66,5796,4479,2250,7932,10340,5703
67,5796,4479,2255,7932,10357,5710
68,6043,4629,2351,7975,10357,5723
69,6126,4732,2384,8330,10810,5961
70,6185,4810,2413,8480,10994,6068
71,6185,4810,2422,8542,11074,6148
72,6327,4892,2427,8556,11074,6148
73,6478,5055,2537,8826,11494,6270
74,6563,5125,2575,9022,11685,6437
75,6575,5138,2575,9112,11827,6554
76,6645,5155,2581,9112,11827,6569
77,6851,5352,2682,9298,11975,6644
78,6930,5401,2714,9511,12329,6845
79,6930,5405,2714,9597,12491,6925
80,7091,5497,2748,9597,12491,6927
81,7213,5622,2841,9851,12748,7034
82,7317,5711,2862,10000,13001,7193
83,7330,5731,2879,10139,13192,7290
84,7337,5731,2879,10165,13231,7319
85,7603,5938,2953,10165,13252,7331
86,7696,6009,2989,10509,13701,7532
87,7752,6060,3032,10624,13860,7658
88,7755,6060,3032,10702,13971,7744
89,7992,6193,3060,10727,13971,7744
90,8083,6297,3129,10904,14088,7792
91,8161,6373,3170,11160,14459,8040
92,8167,6373,3170,11307,14661,8154
93,8272,6401,3182,11320,14674,8189
94,8444,6600,3277,11320,14693,8189
95,8541,6656,3318,11689,15122,8434
96,8546,6673,3323,11785,15282,8522
97,8649,6684,3323,11867,15384,8594
98,8894,6880,3443,11867,15384,8594
99,8994,7003,3507,12163,15803,8823
100,9005,7003,3510,12283,15895,8882
101,9007,7013,3513,12420,16102,8971
102,9315,7225,3603,12420,16102,8989
103,9384,7296,3643,12574,16315,9033
104,9390,7301,3651,12833,16584,9248
105,9446,7313,3655,12946,16752,9325
106,9723,7524,3751,12953,16752,9333
107,9804,7596,3794,13153,16966,9412
108,9824,7596,3800,13295,17235,9592
109,9836,7604,3805,13394,17413,9679
110,10143,7815,3926,13443,17495,9717
111,10236,7934,3968,13475,17495,9719
112,10248,7934,3974,13730,17796,9861
113,10259,7941,3979,13883,18008,9994
114,10561,8164,4096,14001,18206,10115
115,10603,8197,4124,14001,18206,10148
116,10632,8209,4131,14024,18224,10150
117,10649,8220,4132,14337,18680,10348
118,10912,8399,4228,14453,18812,10435
119,10973,8461,4251,14496,18859,10499
120,11006,8504,4274,14496,18875,10499
121,11019,8504,4274,14867,19280,10653
122,11127,8559,4304,14981,19449,10796
123,11315,8729,4399,15064,19609,10865
124,11401,8832,4426,15064,19609,10865
125,11408,8848,4440,15202,19732,10941
126,11408,8848,4440,15537,20090,11150
127,11626,9052,4496,15669,20321,11261
128,11734,9118,4562,15675,20321,11310
129,11780,9157,4597,15679,20321,11318
130,11785,9157,4597,16058,20810,11518
131,11919,9227,4612,16160,20969,11624
132,12091,9394,4716,16208,21079,11719
133,12164,9459,4754,16230,21079,11719
134,12177,9459,4754,16458,21253,11852
135,12199,9465,4758,16631,21587,12014
136,12498,9681,4864,16747,21751,12074
137,12563,9783,4903,16747,21780,12110
138,12571,9788,4903,16787,21793,12114
139,12587,9797,4908,17114,22148,12292
140,12869,10004,5000,17227,22408,12423
141,12961,10080,5033,17301,22519,12497
