subop_w_latency,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0.008852,0,0,0,0
26,0.00967,0.004728,0,0,0,0,0
27,0.022407,0,0.02058,0,0,0.005598,0.004343
28,0,0.008815,0.014664,0.010571,0.009395,0.007314,0.01213
29,0,0.017303,0,0.005138,0.005643,0,0.007188
30,0,0.004858,0,0.004146,0.004633,0.016191,0.003633
31,0,0.01176,0.01711,0.008052,0.004159,0.005154,0.003951
32,0.0082,0.014148,0.0214,0.00836,0.01252,0.004427,0.012911
33,0.004371,0.00661,0.006051,0.011644,0.004085,0.017239,0.005527
34,0.004286,0.005995,0,0.006204,0.004499,0.004376,0
35,0.01173,0.013321,0.011696,0.004683,0.006167,0.004216,0
36,0,0.007462,0.004821,0.010375,0,0.022483,0
37,0,0.003774,0,0.006572,0.01579,0.003979,0.00444
38,0,0.017316,0.007584,0,0.005355,0.013894,0.025662
39,0.010485,0,0.015972,0,0.010854,0.012219,0.017795
40,0.019109,0.015995,0.010945,0.012759,0.016049,0.017138,0.006412
41,0,0.020259,0.013655,0.012612,0.004335,0.011898,0.013601
42,0.016384,0.015299,0.012474,0,0.00403,0,0.00924
43,0.015234,0,0.004346,0.003431,0,0.008617,0.015824
44,0.01158,0,0.022888,0.0059,0.004071,0.006156,0.00481
45,0.014374,0,0.019364,0.016834,0.019128,0.009537,0.021855
46,0.006749,0,0,0.003964,0.004184,0,0.004164
47,0.016593,0,0.018185,0.003972,0.002758,0.014824,0.01636
48,0.005358,0.017959,0,0.00475,0,0.00928,0.006939
49,0.020026,0.006693,0,0.004632,0.011411,0.010052,0.011436
50,0.011913,0,0.017468,0.009449,0.006938,0.008443,0
51,0.017827,0,0.017807,0.006207,0.00464,0.015571,0.004151
52,0,0.020547,0.007551,0.004953,0,0.003626,0.006614
53,0,0.020205,0.01247,0.004573,0.010046,0.003786,0.006086
54,0,0.019309,0.004734,0.009335,0,0.004228,0.005488
55,0.00972,0.014466,0,0.016419,0,0.010454,0.015968
