tier_dirty,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt,node154_ceph-osd.3.asok.txt,node154_ceph-osd.4.asok.txt,node154_ceph-osd.5.asok.txt
0,6,6,9,8,4,1
1,6,6,9,8,4,1
2,6,6,9,8,4,1
3,6,6,9,8,4,1
4,6,6,9,8,4,1
5,6,6,9,8,4,1
6,6,6,9,8,4,1
7,6,6,9,8,4,1
8,6,6,9,8,4,1
9,6,6,9,8,4,1
10,6,6,9,8,4,1
11,6,6,9,8,4,1
12,6,6,9,8,4,1
13,6,6,9,8,4,1
14,6,6,9,8,4,1
15,6,6,9,8,4,1
16,6,6,9,8,4,1
17,6,6,9,8,4,1
18,6,6,9,8,4,1
19,6,6,9,8,4,1
20,6,6,9,8,4,1
21,6,6,9,8,4,1
22,6,6,9,8,4,1
23,6,6,9,8,4,1
24,6,6,9,8,4,1
25,6,6,9,8,4,1
26,6,6,9,8,4,1
27,6,6,9,8,4,1
28,6,6,9,8,4,1
29,6,6,9,8,4,1
30,6,6,9,8,4,1
31,6,6,9,8,4,1
32,6,6,9,8,4,1
33,6,6,9,8,4,1
34,6,6,9,8,4,1
35,6,6,9,8,4,1
36,6,6,9,8,4,1
37,6,6,9,8,4,1
38,6,6,9,8,4,1
39,6,6,9,8,4,1
40,6,6,9,8,4,1
41,6,6,9,8,4,1
42,6,6,9,8,4,1
43,6,6,9,8,4,1
44,6,6,9,8,4,1
45,6,6,9,8,4,1
46,6,6,9,8,4,1
47,6,6,9,8,4,1
48,6,6,9,8,4,1
49,6,6,9,8,4,1
50,6,6,9,8,4,1
51,6,6,9,8,4,1
52,6,6,9,8,4,1
53,6,6,9,8,4,1
54,6,6,9,8,4,1
55,6,6,9,8,4,1
56,6,6,9,8,4,1
57,6,6,9,8,4,1
58,6,6,9,8,4,1
59,6,6,9,8,4,1
60,6,6,9,8,4,1
61,6,6,9,8,4,1
62,6,6,9,8,4,1
63,6,6,9,8,4,1
64,6,6,9,8,4,1
65,6,6,9,8,4,1
66,6,6,9,8,4,1
67,6,6,9,8,4,1
68,6,6,9,8,4,1
69,6,6,9,8,4,1
70,6,6,9,8,4,1
71,6,6,9,8,4,1
72,6,6,9,8,4,1
73,6,6,9,8,4,1
74,6,6,9,8,4,1
75,6,6,9,8,4,1
76,6,6,9,8,4,1
77,6,6,9,8,4,1
78,6,6,9,8,4,1
79,6,6,9,8,4,1
80,6,6,9,8,4,1
81,6,6,9,8,4,1
82,6,6,9,8,4,1
83,6,6,9,8,4,1
84,6,6,9,8,4,1
85,6,6,9,8,4,1
86,6,6,9,8,4,1
87,6,6,9,8,4,1
88,6,6,9,8,4,1
89,6,6,9,8,4,1
90,6,6,9,8,4,1
91,6,6,9,8,4,1
92,6,6,9,8,4,1
93,6,6,9,8,4,1
94,6,6,9,8,4,1
95,6,6,9,8,4,1
96,6,6,9,8,4,1
97,6,6,9,8,4,1
98,6,6,9,8,4,1
99,6,6,9,8,4,1
100,6,6,9,8,4,1
101,6,6,9,8,4,1
102,6,6,9,8,4,1
103,6,6,9,8,4,1
104,6,6,9,8,4,1
105,6,6,9,8,4,1
106,6,6,9,8,4,1
107,6,6,9,8,4,1
108,6,6,9,8,4,1
109,6,6,9,8,4,1
110,6,6,9,8,4,1
111,6,6,9,8,4,1
112,6,6,9,8,4,1
113,6,6,9,8,4,1
114,6,6,9,8,4,1
115,6,6,9,8,4,1
116,6,6,9,8,4,1
117,6,6,9,8,4,1
118,6,6,9,8,4,1
119,6,6,9,8,4,1
120,6,6,9,8,4,1
121,6,6,9,8,4,1
122,6,6,9,8,4,1
123,6,6,9,8,4,1
124,6,6,9,8,4,1
125,6,6,9,8,4,1
126,6,6,9,8,4,1
127,6,6,9,8,4,1
128,6,6,9,8,4,1
129,6,6,9,8,4,1
130,6,6,9,8,4,1
131,6,6,9,8,4,1
132,6,6,9,8,4,1
133,6,6,9,8,4,1
134,6,6,9,8,4,1
135,6,6,9,8,4,1
136,6,6,9,8,4,1
137,6,6,9,8,4,1
138,6,6,9,8,4,1
139,6,6,9,8,4,1
140,6,6,9,8,4,1
141,6,6,9,8,4,1
142,6,6,9,8,4,1
143,6,6,9,8,4,1
144,6,6,9,8,4,1
145,6,6,9,8,4,1
146,6,6,9,8,4,1
147,6,6,9,8,4,1
148,6,6,9,8,4,1
149,6,6,9,8,4,1
150,6,6,9,8,4,1
151,6,6,9,8,4,1
152,6,6,9,8,4,1
153,6,6,9,8,4,1
154,6,6,9,8,4,1
155,6,6,9,8,4,1
156,6,6,9,8,4,1
157,6,6,9,8,4,1
158,6,6,9,8,4,1
159,6,6,9,8,4,1
160,6,6,9,8,4,1
161,6,6,9,8,4,1
162,6,6,9,8,4,1
163,6,6,9,8,4,1
164,6,6,9,8,4,1
165,6,6,9,8,4,1
166,6,6,9,8,4,1
167,6,6,9,8,4,1
168,6,6,9,8,4,1
169,6,6,9,8,4,1
170,6,6,9,8,4,1
171,6,6,9,8,4,1
172,6,6,9,8,4,1
173,6,6,9,8,4,1
174,6,6,9,8,4,1
175,6,6,9,8,4,1
176,6,6,9,8,4,1
177,6,6,9,8,4,1
178,6,6,9,8,4,1
179,6,6,9,8,4,1
180,6,6,9,8,4,1
181,6,6,9,8,4,1
182,6,6,9,8,4,1
183,6,6,9,8,4,1
184,6,6,9,8,4,1
185,6,6,9,8,4,1
186,6,6,9,8,4,1
187,6,6,9,8,4,1
188,6,6,9,8,4,1
189,6,6,9,8,4,1
190,6,6,9,8,4,1
191,6,6,9,8,4,1
192,6,6,9,8,4,1
193,6,6,9,8,4,1
194,6,6,9,8,4,1
195,6,6,9,8,4,1
196,6,6,9,8,4,1
197,6,6,9,8,4,1
198,6,6,9,8,4,1
199,6,6,9,8,4,1
200,6,6,9,8,4,1
201,6,6,9,8,4,1
202,6,6,9,8,4,1
203,6,6,9,8,4,1
204,6,6,9,8,4,1
205,6,6,9,8,4,1
206,6,6,9,8,4,1
207,6,6,9,8,4,1
208,6,6,9,8,4,1
209,6,6,9,8,4,1
210,6,6,9,8,4,1
211,6,6,9,8,4,1
212,6,6,9,8,4,1
213,6,6,9,8,4,1
214,6,6,9,8,4,1
215,6,6,9,8,4,1
216,6,6,9,8,4,1
217,6,6,9,8,4,1
218,6,6,9,8,4,1
219,6,6,9,8,4,1
220,6,6,9,8,4,1
221,6,6,9,8,4,1
222,6,6,9,8,4,1
223,6,6,9,8,4,1
224,6,6,9,8,4,1
225,6,6,9,8,4,1
226,6,6,9,8,4,1
227,6,6,9,8,4,1
228,6,6,9,8,4,1
229,6,6,9,8,4,1
230,6,6,9,8,4,1
231,6,6,9,8,4,1
232,6,6,9,8,4,1
233,6,6,9,8,4,1
234,6,6,9,8,4,1
235,6,6,9,8,4,1
236,6,6,9,8,4,1
237,6,6,9,8,4,1
238,6,6,9,8,4,1
239,6,6,9,8,4,1
240,6,6,9,8,4,1
241,6,6,9,8,4,1
242,6,6,9,8,4,1
243,6,6,9,8,4,1
244,6,6,9,8,4,1
245,6,6,9,8,4,1
246,6,6,9,8,4,1
247,6,6,9,8,4,1
248,6,6,9,8,4,1
249,6,6,9,8,4,1
250,6,6,9,8,4,1
251,6,6,9,8,4,1
252,6,6,9,8,4,1
253,6,6,9,8,4,1
254,6,6,9,8,4,1
255,6,6,9,8,4,1
256,6,6,9,8,4,1
257,6,6,9,8,4,1
258,6,6,9,8,4,1
259,6,6,9,8,4,1
260,6,6,9,8,4,1
261,6,6,9,8,4,1
262,6,6,9,8,4,1
263,6,6,9,8,4,1
264,6,6,9,8,4,1
265,6,6,9,8,4,1
266,6,6,9,8,4,1
267,6,6,9,8,4,1
268,6,6,9,8,4,1
269,6,6,9,8,4,1
270,6,6,9,8,4,1
271,6,6,9,8,4,1
272,6,6,9,8,4,1
273,6,6,9,8,4,1
274,6,6,9,8,4,1
275,6,6,9,8,4,1
276,6,6,9,8,4,1
277,6,6,9,8,4,1
278,6,6,9,8,4,1
279,6,6,9,8,4,1
280,6,6,9,8,4,1
281,6,6,9,8,4,1
282,6,6,9,8,4,1
283,6,6,9,8,4,1
284,6,6,9,8,4,1
285,6,6,9,8,4,1
286,6,6,9,8,4,1
287,6,6,9,8,4,1
288,6,6,9,8,4,1
289,6,6,9,8,4,1
290,6,6,9,8,4,1
291,6,6,9,8,4,1
292,6,6,9,8,4,1
293,6,6,9,8,4,1
294,6,6,9,8,4,1
295,6,6,9,8,4,1
296,6,6,9,8,4,1
297,6,6,9,8,4,1
298,6,6,9,8,4,1
299,6,6,9,8,4,1
300,6,6,9,8,4,1
301,6,6,9,8,4,1
302,6,6,9,8,4,1
303,6,6,9,8,4,1
304,6,6,9,8,4,1
305,6,6,9,8,4,1
306,6,6,9,8,4,1
307,6,6,9,8,4,1
308,6,6,9,8,4,1
309,6,6,9,8,4,1
310,6,6,9,8,4,1
311,Null,6,Null,Null,Null,1
