%idle,node152
0,90.91
1,80.4
2,85.79
3,94.97
4,79.29
5,81.41
6,96.0
7,83.84
8,82.14
9,90.0
10,87.88
11,81.22
12,87.37
13,91.46
14,81.73
15,82.41
16,95.5
17,81.22
18,81.73
19,93.53
20,84.34
21,81.22
22,90.4
23,84.77
24,81.31
25,89.9
26,91.0
27,82.23
28,83.33
29,95.45
30,82.23
31,81.73
32,93.5
33,86.0
34,81.73
35,90.45
36,85.86
37,81.31
38,88.38
39,90.45
40,80.3
41,85.79
42,92.42
43,82.23
44,79.8
45,97.99
46,82.5
47,82.23
48,91.0
49,86.93
50,81.73
51,89.9
52,90.95
53,81.73
54,83.42
55,93.97
56,79.08
57,80.4
58,98.48
59,81.41
60,81.82
61,93.97
62,83.25
63,81.31
64,90.4
65,90.5
66,81.63
67,86.43
68,91.46
69,80.2
70,81.5
71,98.5
72,81.82
73,80.1
74,93.47
75,84.1
76,80.81
77,93.0
78,87.82
79,80.4
80,92.54
81,85.79
82,80.71
83,89.39
84,90.45
85,81.41
86,83.84
87,94.42
88,81.22
89,80.81
90,96.48
91,84.42
92,80.81
93,91.92
94,85.86
95,79.7
96,90.4
97,90.45
98,81.82
99,85.93
100,90.45
101,82.23
102,81.41
103,98.99
104,79.9
105,80.81
106,95.48
107,82.23
108,81.41
109,89.9
110,90.45
111,81.91
112,85.43
113,92.89
114,81.41
115,80.81
116,97.49
117,82.41
118,81.31
119,91.96
120,85.86
121,80.9
122,88.44
123,90.91
124,81.82
125,84.34
126,93.94
127,79.9
128,80.81
129,96.98
130,84.26
131,82.14
132,89.45
133,87.31
134,80.3
135,89.5
136,90.45
137,80.9
138,86.43
139,92.35
140,81.31
141,81.31
142,98.49
143,80.81
144,81.31
145,90.5
146,85.0
147,81.73
148,90.86
149,90.0
150,82.14
151,86.87
152,90.4
153,80.71
154,81.82
155,97.99
156,79.8
157,80.71
158,93.5
159,83.84
160,81.31
161,91.41
162,86.0
163,81.63
164,89.95
165,85.43
166,81.82
167,88.44
168,92.93
169,79.29
170,84.26
171,93.0
172,81.63
173,81.31
174,96.48
175,84.34
176,81.5
177,89.95
178,87.88
179,81.41
180,87.44
181,93.43
182,81.91
183,81.31
184,95.5
185,80.1
186,80.9
187,94.47
188,84.85
189,76.77
190,93.0
191,84.77
192,81.73
193,88.5
194,90.4
195,80.81
196,87.44
197,88.38
198,80.9
199,82.83
200,98.0
201,81.31
202,79.4
203,92.96
204,84.62
205,80.5
206,91.88
207,89.9
208,78.5
209,90.4
210,87.88
211,80.3
212,90.36
213,90.0
214,81.82
215,84.85
216,92.96
217,80.2
218,81.82
219,97.49
220,83.33
221,80.6
222,91.41
223,86.87
224,81.31
225,88.44
226,92.46
227,80.4
228,83.84
229,94.47
230,81.41
231,81.82
232,93.97
233,85.0
234,80.81
235,90.45
236,87.37
237,81.22
238,86.93
239,91.0
240,81.41
241,83.76
242,94.5
243,80.9
244,81.73
245,94.0
246,86.22
247,80.71
248,87.5
249,89.85
250,81.73
251,89.9
252,91.0
253,81.91
254,83.33
255,94.95
256,78.68
257,81.73
258,96.5
259,82.56
260,80.4
261,90.45
262,87.88
263,81.41
264,89.95
265,90.5
266,81.63
267,81.59
268,96.45
269,80.71
270,81.63
271,94.0
272,85.93
273,81.82
274,87.88
275,90.45
276,78.17
277,88.94
278,91.92
279,80.61
280,84.34
281,93.47
282,80.9
283,81.41
284,95.96
285,84.85
286,81.82
287,87.88
288,89.95
289,81.82
290,88.32
291,91.0
292,81.12
293,81.31
294,96.0
295,80.4
296,81.82
297,94.97
298,84.85
299,80.4
300,88.83
301,89.39
302,80.81
303,89.39
304,91.46
305,80.81
306,82.32
307,95.98
308,79.4
309,81.31
310,96.5
311,81.73
312,78.28
313,93.94
314,83.25
315,76.65
316,90.5
317,89.45
318,82.32
319,85.35
320,92.46
321,80.71
322,81.5
323,95.98
324,79.59
325,80.4
326,95.0
327,81.73
328,80.4
329,95.48
330,83.84
331,80.2
332,89.85
333,87.94
334,81.73
335,89.39
336,88.89
337,81.82
338,86.36
339,89.5
340,78.79
341,93.43
342,86.93
343,81.5
344,89.39
345,88.32
346,80.51
347,85.5
348,95.45
349,79.4
350,81.41
351,93.97
352,81.12
353,80.4
354,96.48
355,84.34
356,82.23
357,89.95
358,87.37
359,81.82
360,88.89
361,90.91
362,81.82
363,83.42
364,93.94
365,80.81
366,80.81
367,96.98
368,83.33
369,81.82
370,90.95
371,86.93
372,80.6
373,88.38
374,93.4
375,81.41
376,82.23
377,94.47
378,81.22
379,81.22
380,96.48
381,83.92
382,77.78
383,93.47
384,83.76
385,80.5
386,89.85
387,89.5
388,82.05
389,88.0
390,87.5
391,81.91
392,83.33
393,96.5
394,81.12
395,81.41
396,95.45
397,83.33
398,81.31
399,89.45
