%steal,node153
0,2.17
1,1.08
2,0.0
3,0.0
4,1.49
5,0.0
6,0.53
7,1.09
8,0.0
9,7.01
10,2.56
11,11.43
12,2.22
13,0.52
14,0.5
15,0.0
16,6.6
17,0.0
18,0.0
19,0.0
20,3.06
21,3.8
22,2.38
23,8.5
24,2.04
25,0.5
26,10.31
27,1.95
28,0.0
29,2.26
30,1.13
31,0.0
32,0.0
33,0.0
34,10.56
35,2.65
36,0.0
37,0.5
38,3.83
39,1.49
40,0.0
41,0.0
42,0.0
43,8.5
44,4.98
45,4.07
46,8.85
47,11.95
48,0.0
49,0.0
50,1.51
51,7.21
52,6.4
53,0.53
54,4.62
55,0.51
56,0.0
57,0.0
58,1.6
59,2.5
60,0.0
61,0.5
62,0.51
63,0.0
64,0.0
65,1.03
66,0.0
67,0.0
68,1.61
69,4.79
70,0.0
71,0.0
72,0.0
73,1.85
74,3.17
75,2.14
76,1.64
77,0.0
78,0.0
79,1.49
80,1.07
81,6.25
82,0.0
83,0.0
84,0.52
85,0.51
86,0.52
87,1.49
88,13.37
89,2.7
90,4.85
91,1.61
92,0.5
93,0.0
94,0.5
95,10.0
96,0.0
97,1.05
98,0.0
99,0.51
100,1.1
101,2.65
102,0.5
103,3.96
104,2.56
105,3.88
106,0.0
107,1.02
108,1.57
109,0.0
110,0.99
111,4.35
112,2.17
113,2.2
114,0.0
115,0.0
116,0.51
117,0.0
118,0.0
119,4.46
120,0.5
121,3.92
122,4.81
123,0.52
124,0.0
125,0.0
126,0.0
127,1.0
128,0.0
129,0.51
130,2.22
131,0.54
132,0.0
133,0.0
134,1.6
135,5.31
136,2.46
137,0.0
138,0.0
139,0.52
140,0.0
141,0.0
142,23.44
143,8.76
144,0.0
145,0.51
146,0.51
147,1.96
148,0.0
149,0.0
150,0.51
151,0.53
152,0.5
153,1.69
154,4.81
155,0.0
156,0.0
157,21.96
158,1.66
159,1.21
160,1.8
161,1.75
162,1.65
163,0.0
164,0.0
165,0.0
166,0.52
167,1.06
168,0.0
169,0.0
170,0.5
171,0.0
172,0.0
173,2.7
174,0.0
175,0.0
176,1.66
177,0.51
178,0.5
179,0.0
180,4.83
181,0.51
182,1.97
183,0.0
184,0.55
185,1.75
186,0.0
187,0.0
188,16.74
189,0.51
190,0.5
191,2.0
192,0.0
193,0.0
194,0.0
195,2.23
196,4.23
197,0.0
198,0.0
199,1.06
200,2.38
201,1.14
202,2.42
203,2.13
204,1.86
205,1.98
206,3.54
207,1.51
208,0.0
209,0.0
210,1.06
211,1.01
212,0.51
213,0.0
214,0.51
215,0.0
216,0.0
217,1.56
218,1.68
219,1.57
220,0.51
221,0.0
222,4.83
223,0.0
224,0.5
225,5.03
226,0.51
227,1.68
228,2.52
229,4.05
230,0.5
231,0.0
232,11.61
233,0.0
234,4.35
235,2.05
236,0.51
237,11.06
238,0.0
239,0.0
240,10.58
241,1.5
242,1.05
243,10.6
244,1.73
245,1.17
246,0.0
247,11.16
248,8.89
249,2.56
250,2.15
251,9.8
252,0.0
253,0.0
254,10.31
255,0.0
256,1.03
257,0.51
258,1.52
259,0.51
260,12.33
261,0.0
262,4.76
263,1.01
264,11.81
265,0.0
266,1.01
267,0.56
268,1.15
269,2.76
270,4.9
271,0.51
272,1.05
273,4.28
274,0.51
275,0.0
276,0.0
277,0.0
278,0.51
279,0.54
280,1.05
281,2.93
282,0.0
283,0.0
284,0.51
285,0.51
286,3.45
287,0.0
288,0.0
289,1.64
290,0.56
291,1.0
292,15.97
293,1.55
294,2.86
295,3.85
296,0.51
297,2.01
298,0.0
299,0.0
300,0.0
301,1.08
302,0.0
303,0.0
304,0.51
305,0.52
306,2.84
307,0.5
308,1.99
309,0.0
310,0.5
311,0.0
312,0.5
313,0.0
314,0.0
315,2.19
316,4.92
317,3.45
318,1.05
319,1.49
320,6.16
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.52
327,4.06
328,2.12
329,0.5
330,15.35
331,1.02
332,3.45
333,1.49
334,0.0
335,0.0
336,0.0
337,0.0
338,4.37
339,3.03
340,0.52
341,2.3
342,1.18
343,3.19
344,0.0
345,0.0
346,0.0
347,0.0
348,1.99
349,5.52
350,9.55
351,0.51
352,0.0
353,0.0
354,10.0
355,3.41
356,0.0
357,0.5
358,8.68
359,0.0
360,3.5
361,0.51
362,16.15
363,2.09
364,1.04
365,0.0
366,0.0
367,9.91
368,0.0
369,14.96
370,2.07
371,0.54
372,3.98
373,12.0
374,2.12
375,0.0
376,2.94
377,0.0
378,0.0
379,1.0
380,0.0
381,0.0
382,0.0
383,0.0
384,4.62
385,4.88
386,3.9
387,8.61
388,2.0
389,1.48
390,11.16
391,12.23
392,2.6
393,0.0
394,1.6
395,5.68
396,23.08
397,2.41
398,1.75
399,0.0
