%sys,node153
0,46.2
1,56.99
2,56.0
3,74.37
4,43.78
5,44.0
6,47.37
7,44.57
8,59.69
9,58.41
10,62.56
11,54.29
12,39.44
13,34.38
14,47.5
15,43.72
16,47.64
17,82.0
18,66.33
19,55.5
20,35.71
21,36.71
22,45.24
23,48.5
24,47.45
25,61.5
26,74.44
27,50.24
28,41.94
29,36.16
30,52.54
31,56.63
32,65.0
33,53.23
34,44.72
35,38.62
36,44.39
37,51.0
38,43.54
39,61.69
40,72.5
41,63.68
42,46.7
43,35.95
44,40.8
45,44.77
46,46.88
47,46.9
48,81.0
49,71.0
50,45.23
51,32.69
52,42.36
53,49.47
54,49.71
55,58.59
56,63.18
57,72.14
58,35.83
59,36.5
60,43.43
61,54.5
62,55.33
63,60.7
64,68.84
65,50.77
66,37.37
67,45.96
68,46.77
69,41.32
70,58.97
71,77.0
72,64.36
73,36.42
74,35.98
75,48.13
76,48.09
77,59.5
78,57.44
79,75.62
80,45.45
81,38.54
82,42.78
83,49.25
84,52.58
85,65.99
86,63.73
87,59.2
88,51.49
89,33.51
90,45.63
91,54.3
92,40.0
93,67.68
94,73.37
95,54.55
96,41.24
97,35.26
98,44.16
99,47.98
100,55.8
101,67.2
102,62.5
103,52.48
104,33.85
105,34.95
106,47.24
107,52.79
108,60.73
109,57.0
110,71.78
111,38.65
112,35.33
113,40.66
114,45.73
115,43.94
116,55.61
117,59.9
118,60.0
119,44.55
120,38.19
121,42.65
122,42.79
123,48.44
124,62.05
125,60.1
126,63.13
127,33.83
128,38.46
129,47.98
130,47.78
131,58.92
132,56.5
133,62.0
134,43.32
135,33.82
136,41.38
137,46.5
138,45.73
139,59.28
140,51.74
141,62.5
142,33.59
143,35.94
144,44.95
145,45.18
146,48.99
147,58.82
148,67.16
149,72.5
150,41.92
151,38.42
152,43.72
153,48.02
154,58.65
155,67.84
156,67.01
157,34.9
158,44.75
159,41.82
160,45.51
161,48.54
162,58.79
163,76.62
164,57.92
165,40.1
166,34.02
167,47.09
168,55.0
169,63.18
170,56.22
171,68.34
172,62.63
173,38.92
174,41.21
175,46.46
176,50.83
177,60.0
178,66.5
179,62.5
180,44.93
181,39.39
182,44.83
183,53.06
184,50.27
185,70.76
186,67.34
187,54.5
188,36.74
189,45.41
190,51.0
191,53.0
192,53.0
193,69.19
194,66.83
195,51.96
196,38.1
197,40.2
198,50.78
199,46.03
200,59.52
201,65.71
202,58.18
203,37.23
204,35.4
205,43.56
206,54.04
207,51.26
208,64.68
209,71.0
210,46.56
211,36.36
212,45.96
213,51.02
214,47.47
215,62.12
216,74.24
217,52.08
218,40.22
219,34.55
220,50.26
221,49.75
222,53.62
223,62.31
224,56.5
225,42.71
226,35.71
227,44.69
228,41.51
229,47.4
230,68.84
231,65.67
232,47.32
233,37.69
234,43.0
235,49.74
236,48.98
237,60.18
238,63.32
239,74.87
240,36.06
241,41.0
242,42.11
243,44.7
244,47.98
245,66.67
246,76.41
247,45.12
248,38.33
249,42.56
250,47.31
251,48.37
252,62.12
253,67.5
254,59.19
255,38.19
256,35.9
257,51.78
258,46.19
259,57.07
260,62.11
261,67.68
262,49.74
263,34.17
264,34.03
265,43.22
266,49.49
267,60.56
268,70.69
269,60.77
270,34.31
271,34.85
272,52.11
273,48.66
274,40.61
275,69.95
276,60.3
277,52.24
278,44.16
279,44.86
280,50.0
281,45.85
282,58.29
283,62.63
284,60.91
285,38.46
286,35.63
287,45.0
288,45.27
289,46.45
290,61.67
291,69.15
292,54.62
293,39.18
294,33.71
295,45.05
296,48.98
297,43.72
298,61.11
299,75.5
300,56.0
301,40.32
302,41.85
303,45.96
304,43.37
305,52.58
306,62.5
307,63.82
308,45.27
309,36.5
310,42.21
311,53.27
312,46.73
313,70.65
314,62.0
315,56.83
316,39.34
317,38.51
318,46.32
319,43.28
320,56.4
321,73.37
322,68.81
323,45.96
324,31.0
325,47.0
326,52.85
327,45.18
328,64.55
329,67.0
330,50.21
331,34.01
332,37.93
333,48.51
334,56.5
335,48.47
336,62.19
337,75.0
338,60.66
339,35.15
340,33.85
341,41.95
342,47.93
343,54.26
344,62.31
345,68.16
346,64.82
347,35.86
348,33.33
349,38.65
350,45.22
351,53.06
352,69.5
353,59.3
354,47.27
355,29.76
356,45.0
357,51.49
358,45.66
359,58.5
360,60.5
361,70.71
362,30.0
363,36.65
364,36.98
365,52.26
366,58.21
367,59.91
368,64.0
369,42.74
370,39.9
371,42.7
372,47.76
373,37.33
374,59.79
375,73.85
376,55.39
377,44.95
378,36.32
379,48.0
380,53.0
381,58.16
382,65.0
383,65.15
384,58.38
385,35.98
386,35.12
387,40.19
388,52.5
389,62.07
390,61.16
391,57.21
392,42.19
393,33.33
394,44.68
395,40.91
396,37.06
397,62.05
398,64.91
399,59.09
