%usr,node153
0,50.54
1,41.94
2,43.5
3,25.63
4,53.23
5,54.0
6,51.05
7,53.26
8,39.29
9,34.58
10,34.36
11,34.29
12,56.67
13,63.54
14,50.5
15,54.77
16,44.81
17,18.0
18,33.67
19,44.0
20,59.69
21,58.23
22,51.19
23,42.5
24,49.49
25,38.0
26,15.25
27,46.83
28,56.45
29,60.45
30,44.63
31,42.86
32,35.0
33,46.27
34,44.1
35,57.67
36,54.59
37,47.5
38,51.67
39,36.82
40,27.0
41,36.32
42,51.78
43,53.59
44,53.23
45,50.0
46,43.75
47,40.71
48,19.0
49,29.0
50,51.26
51,58.17
52,50.25
53,48.94
54,45.09
55,40.4
56,36.32
57,27.86
58,60.96
59,59.0
60,55.56
61,44.5
62,43.15
63,39.3
64,31.16
65,46.67
66,61.11
67,52.53
68,50.54
69,53.29
70,40.51
71,23.0
72,35.64
73,59.88
74,58.2
75,48.66
76,49.73
77,40.5
78,42.05
79,22.39
80,52.41
81,53.12
82,55.61
83,50.25
84,46.39
85,32.99
86,35.75
87,38.81
88,34.16
89,61.62
90,48.06
91,43.01
92,58.0
93,32.32
94,26.13
95,35.0
96,57.22
97,61.58
98,54.31
99,50.51
100,42.54
101,30.16
102,37.0
103,42.57
104,62.05
105,59.22
106,51.26
107,45.69
108,37.17
109,43.0
110,26.73
111,56.04
112,60.33
113,56.59
114,52.76
115,54.55
116,43.37
117,40.1
118,40.0
119,49.5
120,59.8
121,52.45
122,51.44
123,50.0
124,37.95
125,39.39
126,36.36
127,63.68
128,60.0
129,50.51
130,48.89
131,40.0
132,43.5
133,37.5
134,54.01
135,58.94
136,54.68
137,52.5
138,53.77
139,39.69
140,47.76
141,37.5
142,42.19
143,53.92
144,53.54
145,53.3
146,49.49
147,39.22
148,32.34
149,27.0
150,56.06
151,58.42
152,54.27
153,49.72
154,36.06
155,31.66
156,32.99
157,42.35
158,51.93
159,55.15
160,51.5
161,48.54
162,39.56
163,23.38
164,41.58
165,58.38
166,63.4
167,50.79
168,44.0
169,36.32
170,43.28
171,31.16
172,36.36
173,56.76
174,56.78
175,52.53
176,46.41
177,38.97
178,33.0
179,37.0
180,48.79
181,58.59
182,51.72
183,46.43
184,48.63
185,26.9
186,32.66
187,45.5
188,45.12
189,52.04
190,47.5
191,44.0
192,46.5
193,30.3
194,33.17
195,45.25
196,56.08
197,58.29
198,47.67
199,52.38
200,38.1
201,32.57
202,39.39
203,58.51
204,61.49
205,53.47
206,41.41
207,45.73
208,35.32
209,29.0
210,51.32
211,60.61
212,51.52
213,47.96
214,51.01
215,37.88
216,25.76
217,45.83
218,55.87
219,61.78
220,47.69
221,49.75
222,41.06
223,37.19
224,43.0
225,50.25
226,62.24
227,51.96
228,54.72
229,47.98
230,30.15
231,34.33
232,40.62
233,60.3
234,52.17
235,47.18
236,49.49
237,28.32
238,36.68
239,24.62
240,51.44
241,56.0
242,55.26
243,44.24
244,49.71
245,32.16
246,23.08
247,43.26
248,51.67
249,53.85
250,49.46
251,41.18
252,37.37
253,32.5
254,30.04
255,60.3
256,61.54
257,46.7
258,51.27
259,41.41
260,25.55
261,31.82
262,44.97
263,63.32
264,52.78
265,55.28
266,48.99
267,38.33
268,27.59
269,36.46
270,58.82
271,63.13
272,46.32
273,45.99
274,57.36
275,29.56
276,39.7
277,46.77
278,53.81
279,53.51
280,48.42
281,50.24
282,41.21
283,37.37
284,38.58
285,59.49
286,58.62
287,54.0
288,53.73
289,50.82
290,37.22
291,29.85
292,29.41
293,57.22
294,61.71
295,50.0
296,49.49
297,52.76
298,38.89
299,24.5
300,43.5
301,56.45
302,56.52
303,53.03
304,55.1
305,46.39
306,34.66
307,35.68
308,51.24
309,61.5
310,56.78
311,45.73
312,51.76
313,28.86
314,38.0
315,39.89
316,54.64
317,56.9
318,51.58
319,53.73
320,36.97
321,26.63
322,30.69
323,53.03
324,67.0
325,51.5
326,46.11
327,49.75
328,32.8
329,32.5
330,33.61
331,63.45
332,56.65
333,49.01
334,42.5
335,50.51
336,37.31
337,25.0
338,34.43
339,59.39
340,63.54
341,54.02
342,50.3
343,41.49
344,37.69
345,31.84
346,34.67
347,62.12
348,63.18
349,54.6
350,44.59
351,45.41
352,30.5
353,40.2
354,41.82
355,64.88
356,54.0
357,47.03
358,44.75
359,41.0
360,36.0
361,28.28
362,53.08
363,59.16
364,59.9
365,46.73
366,40.8
367,30.18
368,35.5
369,41.03
370,55.96
371,55.14
372,46.77
373,50.0
374,37.57
375,26.15
376,41.18
377,53.54
378,61.69
379,49.5
380,46.5
381,41.33
382,34.5
383,34.85
384,36.42
385,57.32
386,58.54
387,50.72
388,44.5
389,35.96
390,27.68
391,30.13
392,53.65
393,64.14
394,52.66
395,52.84
396,39.16
397,35.54
398,32.75
399,40.4
