avgqu-sz,node153
0,0.46
1,0.866667
2,0.763333
3,0.31
4,0.15
5,0.246667
6,0.563333
7,0.633333
8,0.573333
9,0.71
10,0.84
11,0.403333
12,0.2
13,0.203333
14,0.59
15,0.526667
16,0.653333
17,0.98
18,0.793333
19,0.383333
20,0.15
21,0.316667
22,0.476667
23,0.523333
24,0.776667
25,0.26
26,0.366667
27,0.336667
28,0.183333
29,0.403333
30,0.506667
31,0.166667
32,0.19
33,0.333333
34,0.17
35,0.186667
36,0.556667
37,0.543333
38,0.586667
39,0.506667
40,0.493333
41,0.786667
42,0.29
43,0.173333
44,0.436667
45,0.52
46,0.526667
47,0.74
48,0.99
49,0.61
50,0.193333
51,0.196667
52,0.436667
53,0.393333
54,0.676667
55,0.906667
56,0.64
57,0.363333
58,0.133333
59,0.19
60,0.553333
61,0.56
62,0.653333
63,0.656667
64,0.313333
65,0.26
66,0.196667
67,0.59
68,0.636667
69,0.376667
70,0.853333
71,0.99
72,0.25
73,0.226667
74,0.173333
75,0.58
76,0.486667
77,0.73
78,0.66
79,0.23
80,0.35
81,0.193333
82,0.32
83,0.48
84,0.363333
85,0.983333
86,0.706667
87,0.316667
88,0.256667
89,0.143333
90,0.483333
91,0.483333
92,0.523333
93,0.99
94,0.79
95,0.386667
96,0.17
97,0.16
98,0.506667
99,0.51
100,0.853333
101,0.996667
102,0.343333
103,0.293333
104,0.19
105,0.463333
106,0.556667
107,0.56
108,0.72
109,0.593333
110,0.63
111,0.18
112,0.173333
113,0.383333
114,0.503333
115,0.603333
116,0.97
117,0.653333
118,0.51
119,0.226667
120,0.18
121,0.556667
122,0.506667
123,0.583333
124,0.663333
125,0.833333
126,0.506667
127,0.18
128,0.45
129,0.543333
130,0.493333
131,0.476667
132,0.383333
133,0.666667
134,0.283333
135,0.126667
136,0.42
137,0.636667
138,0.57
139,0.676667
140,0.87
141,0.753333
142,0.263333
143,0.17
144,0.503333
145,0.48
146,0.48
147,0.666667
148,0.62
149,0.386667
150,0.176667
151,0.203333
152,0.63
153,0.503333
154,0.776667
155,0.716667
156,0.566667
157,0.34
158,0.156667
159,0.366667
160,0.586667
161,0.593333
162,0.453333
163,0.623333
164,0.32
165,0.17
166,0.293333
167,0.623333
168,0.503333
169,0.606667
170,0.686667
171,0.583333
172,0.38
173,0.21
174,0.406667
175,0.693333
176,0.543333
177,0.903333
178,0.963333
179,0.653333
180,0.273333
181,0.196667
182,0.536667
183,0.456667
184,0.7
185,0.796667
186,0.643333
187,0.476667
188,0.123333
189,0.213333
190,0.59
191,0.526667
192,0.696667
193,0.713333
194,0.386667
195,0.463333
196,0.146667
197,0.323333
198,0.633333
199,0.553333
200,0.756667
201,0.426667
202,0.556667
203,0.18
204,0.263333
205,0.623333
206,0.543333
207,0.68
208,0.68
209,0.383333
210,0.333333
211,0.18
212,0.48
213,0.576667
214,0.653333
215,0.866667
216,0.633333
217,0.63
218,0.183333
219,0.203333
220,0.54
221,0.41
222,0.966667
223,0.543333
224,0.603333
225,0.16
226,0.173333
227,0.523333
228,0.59
229,0.716667
230,0.99
231,1.0
232,0.24
233,0.183333
234,0.456667
235,0.42
236,0.556667
237,0.51
238,0.44
239,0.203333
240,0.233333
241,0.126667
242,0.393333
243,0.596667
244,0.666667
245,0.676667
246,0.25
247,0.19
248,0.153333
249,0.36
250,0.44
251,0.5
252,0.616667
253,0.366667
254,0.15
255,0.16
256,0.27
257,0.386667
258,0.513333
259,0.8
260,0.653333
261,0.433333
262,0.193333
263,0.123333
264,0.413333
265,0.556667
266,0.693333
267,0.91
268,0.77
269,0.753333
270,0.113333
271,0.326667
272,0.656667
273,0.513333
274,0.613333
275,1.0
276,0.676667
277,0.596667
278,0.24
279,0.42
280,0.486667
281,0.436667
282,0.893333
283,0.61
284,0.443333
285,0.19
286,0.163333
287,0.58
288,0.486667
289,0.553333
290,0.653333
291,0.416667
292,0.473333
293,0.123333
294,0.18
295,0.476667
296,0.643333
297,0.563333
298,0.83
299,0.723333
300,0.68
301,0.146667
302,0.343333
303,0.606667
304,0.716667
305,0.56
306,0.333333
307,0.64
308,0.186667
309,0.173333
310,0.68
311,0.63
312,0.516667
313,0.56
314,0.656667
315,0.236667
316,0.36
317,0.293333
318,0.506667
319,0.563333
320,0.92
321,0.26
322,0.22
323,0.15
324,0.23
325,0.633333
326,0.606667
327,0.54
328,0.84
329,0.846667
330,0.48
331,0.126667
332,0.306667
333,0.506667
334,0.516667
335,0.573333
336,1.00333
337,0.483333
338,0.426667
339,0.15
340,0.24
341,0.573333
342,0.45
343,0.503333
344,0.38
345,0.4
346,0.526667
347,0.13
348,0.383333
349,0.403333
350,0.47
351,0.65
352,0.723333
353,0.25
354,0.21
355,0.166667
356,0.433333
357,0.576667
358,0.483333
359,0.596667
360,0.513333
361,0.2
362,0.186667
363,0.143333
364,0.553333
365,0.566667
366,0.52
367,0.8
368,0.433333
369,0.3
370,0.183333
371,0.68
372,0.513333
373,0.43
374,0.88
375,0.586667
376,0.353333
377,0.5
378,0.14
379,0.51
380,0.553333
381,0.653333
382,0.576667
383,0.55
384,0.18
385,0.123333
386,0.27
387,0.443333
388,0.616667
389,0.963333
390,0.706667
391,0.513333
392,0.133333
393,0.27
394,0.583333
395,0.59
396,0.756667
397,0.743333
398,0.266667
399,0.246667
