avgrq-sz,node153
0,69.06
1,114.667
2,69.3333
3,52.7567
4,46.8033
5,55.81
6,113.193
7,112.807
8,113.0
9,0.0
10,56.0
11,53.18
12,54.2733
13,50.82
14,91.5933
15,118.187
16,70.57
17,61.3333
18,119.11
19,60.1833
20,48.8967
21,45.2733
22,87.24
23,88.7667
24,172.8
25,160.0
26,32.0
27,58.9833
28,49.2967
29,57.9233
30,101.987
31,50.0667
32,0.0
33,0.0
34,56.38
35,50.8233
36,82.2667
37,99.3433
38,68.3133
39,116.357
40,133.333
41,64.0
42,48.4533
43,48.9733
44,64.8367
45,142.097
46,96.4033
47,87.11
48,0.0
49,104.89
50,48.6633
51,48.25
52,78.7933
53,73.62
54,106.453
55,128.357
56,69.3333
57,48.7433
58,47.72
59,46.94
60,87.3233
61,84.7833
62,109.237
63,101.333
64,21.3333
65,52.1367
66,48.92
67,60.55
68,111.38
69,64.23
70,105.333
71,0.0
72,50.67
73,49.5633
74,47.8133
75,87.4333
76,80.3333
77,112.813
78,32.0
79,112.0
80,55.6933
81,48.24
82,61.97
83,89.18
84,80.2033
85,26.6667
86,154.667
87,78.8867
88,48.1767
89,51.05
90,75.82
91,127.667
92,66.03
93,10.6667
94,104.0
95,54.34
96,48.67
97,52.6767
98,54.8233
99,99.7533
100,21.3333
101,104.0
102,80.8
103,53.7933
104,50.8333
105,66.29
106,106.71
107,108.313
108,90.6667
109,77.3333
110,114.443
111,57.95
112,53.42
113,63.2267
114,97.7767
115,94.59
116,72.0
117,96.0
118,48.09
119,48.9133
120,47.1733
121,126.72
122,125.333
123,76.2067
124,10.6667
125,109.333
126,73.3333
127,46.22
128,57.7833
129,116.4
130,78.2067
131,87.2367
132,0.0
133,176.0
134,54.5433
135,55.3967
136,55.0067
137,114.187
138,78.6467
139,168.0
140,10.6667
141,91.0667
142,52.47
143,46.6867
144,78.58
145,74.1733
146,72.2833
147,74.6667
148,99.5567
149,51.8667
150,48.85
151,45.22
152,119.643
153,70.27
154,95.29
155,114.667
156,69.3333
157,58.5967
158,44.5733
159,87.8367
160,87.9667
161,119.213
162,117.333
163,102.223
164,82.4533
165,49.27
166,54.4233
167,118.073
168,74.7033
169,68.1633
170,221.333
171,45.3333
172,49.99
173,51.26
174,51.4133
175,145.16
176,88.3867
177,117.333
178,138.667
179,105.8
180,65.4267
181,53.1233
182,73.3067
183,88.7767
184,72.8367
185,88.0
186,74.6667
187,56.9233
188,59.1067
189,62.1633
190,84.6167
191,103.5
192,149.333
193,224.0
194,53.3333
195,59.3467
196,43.3433
197,79.55
198,106.767
199,99.8833
200,136.89
201,72.0
202,67.0767
203,47.4967
204,57.4033
205,87.0133
206,92.6467
207,141.157
208,64.0
209,59.7333
210,52.41
211,55.42
212,82.9233
213,85.1333
214,79.69
215,68.4467
216,136.89
217,72.43
218,54.0233
219,55.7967
220,111.047
221,76.43
222,156.0
223,136.0
224,93.0667
225,48.9933
226,64.65
227,76.86
228,67.2267
229,91.45
230,32.0
231,0.0
232,54.52
233,51.55
234,68.5433
235,86.3867
236,81.9767
237,159.777
238,101.333
239,71.5567
240,50.5267
241,47.56
242,58.6633
243,120.36
244,101.897
245,73.7767
246,22.89
247,57.1633
248,54.7233
249,50.8533
250,92.1267
251,72.8667
252,64.0
253,158.223
254,74.6433
255,46.2033
256,48.1967
257,75.7267
258,71.7867
259,100.653
260,34.6667
261,115.557
262,56.1
263,48.6867
264,66.9267
265,117.457
266,125.377
267,73.2967
268,98.2233
269,48.9933
270,62.65
271,62.1367
272,103.59
273,111.213
274,79.72
275,0.0
276,146.667
277,57.96
278,50.8433
279,65.0533
280,73.2667
281,90.47
282,86.4
283,120.0
284,128.0
285,63.8767
286,53.6333
287,69.6933
288,96.74
289,95.9933
290,133.333
291,26.6667
292,87.05
293,54.2667
294,55.4967
295,89.45
296,115.92
297,91.25
298,90.6667
299,102.667
300,71.94
301,50.17
302,51.7333
303,90.8667
304,84.19
305,107.733
306,10.6667
307,86.2233
308,59.1433
309,52.8633
310,149.187
311,94.9833
312,77.8033
313,5.33333
314,53.3333
315,55.8067
316,67.88
317,60.95
318,75.1967
319,69.97
320,144.0
321,165.333
322,98.6667
323,48.0067
324,50.78
325,80.7233
326,90.0
327,77.22
328,138.667
329,115.557
330,51.58
331,51.8167
332,56.99
333,111.86
334,57.13
335,59.11
336,37.3333
337,85.3333
338,55.13
339,50.6467
340,50.3133
341,152.48
342,69.6067
343,84.8533
344,101.333
345,96.0
346,53.76
347,44.4
348,61.7433
349,92.3367
350,86.3467
351,115.333
352,122.667
353,74.6667
354,54.0033
355,49.35
356,62.5467
357,125.523
358,126.52
359,172.133
360,180.667
361,48.0
362,50.44
363,53.2167
364,101.603
365,97.24
366,107.29
367,157.333
368,32.0
369,49.6933
370,47.5333
371,66.2867
372,92.3333
373,68.7667
374,51.6733
375,76.6667
376,57.61
377,70.1167
378,53.5967
379,74.2033
380,77.2433
381,162.133
382,85.3333
383,81.7767
384,62.3933
385,58.6967
386,68.8433
387,120.973
388,89.05
389,93.3333
390,99.5567
391,51.43
392,50.9733
393,45.1467
394,94.63
395,80.6567
396,75.56
397,157.333
398,57.78
399,57.91
