svctm,node153
0,16.6567
1,313.36
2,392.667
3,21.7767
4,1.82333
5,3.74667
6,31.6533
7,38.85
8,38.5167
9,0.0
10,681.0
11,14.9067
12,3.31
13,2.84667
14,28.7333
15,24.5733
16,39.1367
17,486.833
18,307.443
19,15.2367
20,1.85667
21,4.79
22,19.5933
23,22.9767
24,157.2
25,262.667
26,234.223
27,7.78
28,2.37
29,8.30667
30,33.19
31,15.8967
32,0.0
33,0.0
34,2.88
35,2.34667
36,19.2833
37,27.27
38,22.36
39,86.3033
40,381.0
41,317.72
42,4.35667
43,2.50333
44,10.94
45,38.3167
46,22.21
47,317.167
48,0.0
49,241.667
50,2.99
51,2.35667
52,14.98
53,13.2167
54,44.3467
55,210.467
56,643.0
57,38.9267
58,1.86
59,2.28
60,23.61
61,23.98
62,64.0767
63,261.11
64,313.0
65,4.47667
66,2.45333
67,15.9867
68,39.87
69,8.53667
70,540.333
71,0.0
72,28.0
73,2.80667
74,2.23333
75,28.71
76,22.3633
77,87.2733
78,329.0
79,78.11
80,7.05333
81,2.63333
82,7.08333
83,19.54
84,17.7567
85,649.667
86,487.5
87,94.11
88,3.3
89,1.98333
90,16.8133
91,30.08
92,17.55
93,334.333
94,316.917
95,34.14
96,2.13
97,2.35667
98,16.6833
99,22.5467
100,428.75
101,227.667
102,57.5167
103,5.32667
104,2.59667
105,12.64
106,29.15
107,38.0867
108,52.0
109,299.5
110,200.75
111,2.93
112,2.52333
113,9.81333
114,21.0133
115,28.72
116,819.333
117,654.333
118,129.593
119,2.78667
120,2.18333
121,39.3233
122,25.58
123,40.97
124,669.667
125,543.223
126,24.37
127,2.08667
128,8.82
129,27.5333
130,21.4667
131,131.673
132,0.0
133,283.89
134,5.33667
135,2.11333
136,8.25333
137,34.1133
138,24.0533
139,595.333
140,21.0
141,130.8
142,4.02333
143,2.18667
144,16.9367
145,16.7667
146,19.0567
147,332.667
148,237.0
149,50.0333
150,2.09333
151,2.67333
152,37.7933
153,18.2267
154,179.557
155,361.833
156,282.833
157,6.56333
158,1.75667
159,12.67
160,24.6333
161,68.61
162,154.887
163,447.39
164,38.9633
165,1.99
166,4.64333
167,35.3367
168,21.1867
169,36.89
170,665.667
171,211.333
172,10.23
173,3.06667
174,7.61333
175,58.1633
176,21.0667
177,698.667
178,972.667
179,76.5633
180,5.34
181,2.60667
182,20.89
183,19.9967
184,41.33
185,569.333
186,487.5
187,26.57
188,1.98333
189,3.64
190,28.04
191,23.8933
192,106.19
193,582.167
194,312.833
195,9.81333
196,1.55333
197,9.75333
198,31.2533
199,32.6867
200,387.61
201,289.833
202,27.1633
203,2.11667
204,4.76
205,33.8567
206,27.9167
207,126.467
208,382.333
209,123.59
210,5.79333
211,2.41667
212,17.47
213,25.6967
214,28.2967
215,335.443
216,341.167
217,47.1867
218,2.81667
219,3.01667
220,42.49
221,13.92
222,483.333
223,273.5
224,55.9833
225,2.31667
226,2.99667
227,17.81
228,21.5667
229,52.9533
230,989.667
231,0.0
232,4.46333
233,2.28
234,12.7933
235,16.4367
236,25.5
237,133.527
238,295.333
239,44.5833
240,3.63333
241,1.77
242,9.52333
243,32.63
244,44.7967
245,267.807
246,77.0567
247,5.67
248,2.37667
249,6.79667
250,18.9033
251,19.5367
252,310.667
253,279.057
254,9.88
255,1.73333
256,3.83333
257,17.1633
258,14.4267
259,132.27
260,162.167
261,129.11
262,3.64667
263,1.43
264,9.28667
265,26.0567
266,86.4533
267,108.14
268,298.167
269,22.3333
270,1.84333
271,6.47333
272,50.59
273,22.1233
274,26.3267
275,0.0
276,341.667
277,16.7967
278,2.86667
279,8.37333
280,14.8633
281,16.01
282,194.1
283,538.5
284,204.443
285,2.91
286,2.08333
287,20.5733
288,23.4067
289,24.3267
290,338.5
291,398.667
292,49.35
293,1.59667
294,2.77333
295,19.43
296,30.93
297,33.16
298,334.333
299,321.89
300,42.8533
301,1.60667
302,5.35
303,23.0167
304,29.92
305,45.8567
306,334.0
307,271.777
308,2.77333
309,2.27333
310,70.3867
311,31.1867
312,16.3633
313,89.6667
314,500.333
315,3.40667
316,8.65
317,5.75
318,17.5467
319,16.27
320,464.167
321,163.333
322,132.167
323,1.69
324,2.63667
325,31.47
326,26.4767
327,20.54
328,586.333
329,438.443
330,19.71
331,1.42667
332,5.8
333,22.4467
334,14.5933
335,21.48
336,494.667
337,356.0
338,14.6667
339,1.78333
340,3.34333
341,41.26
342,12.6067
343,30.0267
344,271.333
345,232.5
346,17.4367
347,1.30333
348,7.24
349,17.7767
350,18.41
351,73.9233
352,449.167
353,251.333
354,3.55333
355,1.99
356,10.6967
357,33.5067
358,22.7933
359,213.583
360,254.833
361,98.8333
362,2.52333
363,1.87
364,22.5767
365,32.5167
366,34.6433
367,362.057
368,162.417
369,4.72667
370,2.12
371,25.0933
372,20.39
373,11.0233
374,94.7333
375,243.557
376,11.64
377,12.94
378,1.75
379,16.4467
380,17.76
381,128.423
382,353.333
383,428.443
384,4.8
385,1.87667
386,6.18333
387,31.7733
388,26.6267
389,646.167
390,325.89
391,21.7567
392,1.79333
393,3.2
394,24.8967
395,19.0967
396,68.2333
397,375.0
398,88.6667
399,5.12
