%util,node153
0,46.0
1,86.7667
2,52.28
3,31.2
4,15.1
5,24.8667
6,56.6333
7,63.6333
8,57.4267
9,70.9
10,83.7267
11,40.03
12,20.3667
13,20.1
14,58.7667
15,52.7667
16,65.3
17,97.8333
18,79.34
19,38.45
20,15.0
21,31.7667
22,47.5
23,52.4667
24,77.8233
25,26.0067
26,36.7
27,33.5667
28,18.0833
29,40.3
30,50.6
31,16.5667
32,19.01
33,33.3333
34,16.8667
35,18.8133
36,55.71
37,54.3333
38,58.4333
39,50.8
40,49.4733
41,78.9
42,28.8333
43,17.4
44,43.8
45,52.1667
46,52.7
47,73.8333
48,99.21
49,60.7333
50,19.3333
51,19.7
52,43.4633
53,39.2667
54,67.6
55,90.6333
56,64.3
57,36.1667
58,13.5
59,19.1
60,55.18
61,55.7733
62,65.6
63,65.7667
64,31.3
65,25.9667
66,20.07
67,56.4667
68,62.3667
69,37.9667
70,85.3667
71,99.31
72,24.95
73,22.6
74,17.1667
75,57.82
76,48.7333
77,72.8
78,66.2333
79,23.2033
80,35.0333
81,19.4667
82,32.3333
83,48.1333
84,36.17
85,98.3667
86,61.8
87,31.7167
88,25.6
89,14.0333
90,48.2
91,48.1333
92,52.6333
93,99.31
94,79.0667
95,39.0133
96,17.1667
97,15.8333
98,50.5333
99,50.8
100,85.0467
101,78.15
102,24.8
103,29.5667
104,19.1333
105,46.2667
106,55.5333
107,56.04
108,71.8667
109,59.3067
110,62.8667
111,18.2333
112,17.3333
113,38.4
114,50.4333
115,60.0333
116,96.7633
117,65.4333
118,50.6667
119,22.7667
120,17.6867
121,55.4767
122,50.7667
123,58.2
124,66.3033
125,83.5333
126,50.8
127,17.9533
128,44.9667
129,54.5233
130,49.1733
131,47.6567
132,37.9667
133,66.6333
134,28.3667
135,12.7667
136,42.1
137,61.22
138,57.0967
139,67.6667
140,68.7667
141,55.2333
142,26.2367
143,17.3
144,50.1667
145,48.2333
146,47.9
147,66.6667
148,58.3667
149,38.5667
150,17.7
151,20.1333
152,63.07
153,50.3967
154,77.8
155,71.65
156,56.5667
157,34.2667
158,15.4667
159,36.6333
160,58.9667
161,59.24
162,45.3333
163,62.4333
164,32.1
165,16.9667
166,29.5333
167,62.4667
168,50.1667
169,60.7333
170,68.5333
171,58.5
172,37.7667
173,21.0233
174,40.6333
175,68.58
176,54.1
177,86.5667
178,96.3033
179,65.3
180,27.2333
181,19.6
182,53.7967
183,45.7667
184,69.8667
185,79.9367
186,64.3333
187,47.7333
188,12.3333
189,21.4867
190,59.2433
191,52.64
192,69.8
193,71.3
194,38.7333
195,46.3333
196,14.6333
197,32.4333
198,63.4333
199,55.0333
200,75.5333
201,42.84
202,55.61
203,17.8867
204,26.5667
205,61.1
206,54.4333
207,68.1333
208,68.3533
209,36.9333
210,33.4667
211,17.8533
212,48.1333
213,57.5
214,65.1667
215,86.7333
216,63.4967
217,63.0667
218,18.3333
219,20.5
220,54.0333
221,41.1
222,96.6667
223,54.1567
224,60.2667
225,16.2667
226,17.4
227,52.4333
228,58.7767
229,71.9833
230,98.9667
231,100.0
232,24.2
233,18.25
234,44.9
235,41.8467
236,55.3
237,51.09
238,43.9667
239,20.4633
240,23.6333
241,12.3667
242,39.3
243,59.7
244,67.0
245,67.8667
246,25.3667
247,19.0433
248,15.3
249,35.9667
250,43.86
251,49.8667
252,61.5167
253,36.8667
254,14.6667
255,15.74
256,26.8667
257,38.53
258,51.3667
259,79.6667
260,65.3133
261,43.0333
262,19.3667
263,12.2667
264,34.6333
265,55.61
266,64.7533
267,89.11
268,77.1633
269,56.2667
270,11.5667
271,32.8667
272,65.7667
273,51.1867
274,61.6533
275,100.3
276,67.6567
277,59.8333
278,24.2333
279,41.4867
280,48.4667
281,43.5
282,89.3667
283,61.2333
284,44.2567
285,18.9
286,16.3667
287,58.0
288,48.9467
289,55.3333
290,65.6
291,41.5
292,47.0667
293,12.3
294,17.8667
295,47.4567
296,64.5233
297,56.07
298,83.2667
299,72.3
300,67.6867
301,14.5667
302,34.2667
303,60.56
304,65.3667
305,55.7
306,33.4
307,64.2933
308,18.9667
309,17.3267
310,68.3
311,63.0
312,52.0667
313,55.94
314,65.9433
315,23.3333
316,35.8333
317,29.34
318,50.9333
319,56.3
320,91.9133
321,26.0
322,22.0
323,14.6833
324,22.8
325,63.1667
326,60.7667
327,53.7667
328,84.1933
329,84.4667
330,48.1667
331,12.8
332,30.5933
333,50.4333
334,51.6667
335,57.4
336,82.8333
337,45.8733
338,42.5667
339,15.2333
340,23.4667
341,57.2333
342,44.8667
343,50.1667
344,38.02
345,39.9333
346,52.7067
347,12.7667
348,38.5333
349,40.1333
350,46.93
351,64.9667
352,72.4767
353,25.1333
354,21.29
355,16.8667
356,43.6
357,57.4667
358,48.4167
359,59.6
360,51.1
361,19.7667
362,18.3333
363,14.1333
364,55.48
365,56.6333
366,52.1
367,79.97
368,43.2333
369,29.7667
370,18.0067
371,67.92
372,50.1667
373,43.27
374,88.2
375,58.6133
376,35.6333
377,50.1333
378,14.0
379,51.2567
380,55.0667
381,65.48
382,49.5667
383,55.2167
384,18.3867
385,12.4167
386,26.9667
387,44.49
388,61.4833
389,96.2367
390,70.5667
391,50.4333
392,13.1667
393,26.9967
394,57.9333
395,56.2667
396,75.81
397,74.2567
398,26.6
399,24.7667
