wMB/s,node153
0,0.936667
1,0.156667
2,0.0433333
3,0.343333
4,1.88
5,1.81
6,0.98
7,0.89
8,0.82
9,0.0
10,0.0366667
11,0.7
12,1.62333
13,1.75667
14,0.9
15,1.24
16,0.573333
17,0.0566667
18,0.16
19,0.75
20,1.93
21,1.47
22,1.05
23,0.99
24,0.42
25,0.0766667
26,0.0333333
27,1.27
28,1.83
29,1.37667
30,0.78
31,0.466667
32,0.0
33,0.0
34,1.63
35,1.99333
36,1.16333
37,0.973333
38,0.873333
39,0.243333
40,0.0633333
41,0.08
42,1.57
43,1.66333
44,1.24667
45,0.946667
46,1.11
47,0.11
48,0.0
49,0.143333
50,1.51667
51,1.96667
52,1.11667
53,1.08333
54,0.79
55,0.26
56,0.0333333
57,0.216667
58,1.68333
59,1.91667
60,0.99
61,0.963333
62,0.553333
63,0.123333
64,0.0133333
65,1.47667
66,1.93667
67,1.04333
68,0.843333
69,1.38667
70,0.103333
71,0.0
72,0.22
73,1.94667
74,1.80667
75,0.856667
76,0.863333
77,0.456667
78,0.0166667
79,0.163333
80,1.35333
81,1.73333
82,1.35333
83,1.08
84,0.77
85,0.0133333
86,0.0966667
87,0.123333
88,1.82667
89,1.75667
90,1.05333
91,1.0
92,0.96
93,0.00666667
94,0.133333
95,0.32
96,1.91667
97,1.70333
98,0.81
99,1.09333
100,0.0333333
101,0.1
102,0.15
103,1.45333
104,1.83
105,1.17
106,1.0
107,0.786667
108,0.0433333
109,0.0766667
110,0.163333
111,1.69
112,1.76333
113,1.18333
114,1.14333
115,0.966667
116,0.06
117,0.0466667
118,0.0933333
119,1.95
120,1.85667
121,0.863333
122,1.21333
123,0.543333
124,0.00666667
125,0.1
126,0.753333
127,1.91333
128,1.43333
129,1.12333
130,0.886667
131,0.22
132,0.0
133,0.206667
134,1.41667
135,1.64
136,1.37
137,0.993333
138,0.913333
139,0.11
140,0.00666667
141,0.186667
142,1.67667
143,1.80333
144,1.14
145,1.03333
146,0.88
147,0.0366667
148,0.14
149,0.176667
150,2.01333
151,1.68667
152,0.98
153,0.983333
154,0.193333
155,0.113333
156,0.0666667
157,1.50333
158,1.90667
159,1.24
160,1.02333
161,0.513333
162,0.143333
163,0.0933333
164,0.356667
165,2.05667
166,1.68333
167,1.01667
168,0.863333
169,0.526667
170,0.123333
171,0.0433333
172,0.903333
173,1.72
174,1.34
175,0.833333
176,1.10667
177,0.1
178,0.0666667
179,0.433333
180,1.62
181,1.95333
182,0.926667
183,1.02
184,0.606667
185,0.0833333
186,0.0566667
187,0.506667
188,1.78667
189,1.78667
190,0.873333
191,1.11
192,0.486667
193,0.133333
194,0.0433333
195,1.36667
196,1.99667
197,1.29667
198,1.05667
199,0.823333
200,0.116667
201,0.0433333
202,0.673333
203,1.96
204,1.57
205,0.78
206,0.873333
207,0.363333
208,0.0333333
209,0.0933333
210,1.46667
211,1.96
212,1.12667
213,0.93
214,0.906667
215,0.0933333
216,0.113333
217,0.473333
218,1.70333
219,1.85333
220,0.68
221,1.08
222,0.153333
223,0.133333
224,0.483333
225,1.68
226,1.82667
227,1.12
228,0.893333
229,0.613333
230,0.0166667
231,0.0
232,1.44333
233,2.00333
234,1.17667
235,1.07333
236,0.866667
237,0.286667
238,0.05
239,0.163333
240,1.54
241,1.62333
242,1.19667
243,1.07667
244,0.75
245,0.123333
246,0.0333333
247,0.98
248,1.72667
249,1.31333
250,1.01667
251,0.916667
252,0.0633333
253,0.0966667
254,0.543333
255,2.05
256,1.64667
257,0.85
258,1.24333
259,0.303333
260,0.0333333
261,0.136667
262,1.38667
263,2.02
264,1.2
265,1.21
266,0.463333
267,0.293333
268,0.123333
269,0.62
270,1.91667
271,1.56667
272,0.66
273,1.25
274,0.893333
275,0.0
276,0.14
277,1.01
278,2.10667
279,1.58
280,1.15
281,1.16333
282,0.203333
283,0.0833333
284,0.106667
285,1.98667
286,1.96667
287,0.973333
288,0.993333
289,1.07333
290,0.126667
291,0.0133333
292,0.396667
293,2.03333
294,1.72
295,1.04667
296,1.17
297,0.753333
298,0.0433333
299,0.116667
300,0.556667
301,2.22333
302,1.62
303,1.17333
304,0.903333
305,0.643333
306,0.00666667
307,0.0966667
308,1.91667
309,1.99333
310,0.7
311,0.926667
312,1.18667
313,0.00333333
314,0.05
315,1.87333
316,1.35333
317,1.51
318,1.06
319,1.18
320,0.136667
321,0.126667
322,0.07
323,2.04333
324,2.14
325,0.783333
326,1.01
327,0.986667
328,0.0666667
329,0.0933333
330,0.593333
331,2.26667
332,1.46333
333,1.22667
334,0.986667
335,0.776667
336,0.02
337,0.04
338,0.79
339,2.02333
340,1.73
341,1.03
342,1.21
343,0.71
344,0.05
345,0.0933333
346,0.803333
347,2.12667
348,1.60667
349,1.02
350,1.06333
351,0.48
352,0.116667
353,0.0366667
354,1.52333
355,2.04333
356,1.24
357,1.06333
358,1.30333
359,0.273333
360,0.146667
361,0.05
362,1.79333
363,1.94333
364,1.22667
365,0.833333
366,0.783333
367,0.17
368,0.0433333
369,1.53
370,1.94
371,0.876667
372,1.10333
373,1.33333
374,0.233333
375,0.11
376,0.873333
377,1.32
378,2.09333
379,1.12
380,1.17
381,0.423333
382,0.0833333
383,0.0733333
384,1.07333
385,1.88
386,1.47
387,0.823333
388,1.00333
389,0.07
390,0.106667
391,0.57
392,1.83
393,1.85
394,1.05333
395,1.16
396,0.413333
397,0.15
398,0.0833333
399,1.39
