w_await,node153
0,17.0867
1,237.86
2,628.667
3,21.7767
4,1.82333
5,3.74667
6,31.36
7,34.5433
8,41.23
9,0.0
10,1120.0
11,19.24
12,3.31
13,2.84667
14,27.37
15,25.8067
16,18.6167
17,391.5
18,552.557
19,16.6367
20,1.85667
21,3.84
22,21.9933
23,23.03
24,141.467
25,343.667
26,174.89
27,9.62
28,2.38333
29,7.85
30,34.67
31,15.8967
32,0.0
33,0.0
34,12.7767
35,2.35667
36,19.2833
37,27.27
38,22.36
39,55.51
40,457.667
41,378.113
42,6.37
43,2.50333
44,10.89
45,38.5067
46,22.21
47,63.5
48,0.0
49,839.5
50,2.99
51,2.36
52,14.1833
53,13.9967
54,41.7833
55,154.69
56,810.0
57,44.7467
58,1.86333
59,2.16333
60,24.0267
61,23.5933
62,36.81
63,360.223
64,386.0
65,4.47
66,2.45667
67,12.49
68,40.9233
69,10.62
70,112.667
71,0.0
72,215.26
73,2.83
74,2.23
75,28.44
76,17.41
77,83.45
78,425.667
79,155.22
80,10.05
81,2.63
82,7.09667
83,19.5567
84,13.5967
85,653.0
86,920.833
87,84.4467
88,3.97
89,1.98333
90,16.8133
91,27.0833
92,17.3933
93,239.333
94,631.0
95,34.7567
96,2.13
97,2.35
98,16.55
99,22.79
100,165.083
101,409.833
102,209.967
103,5.66667
104,2.57
105,12.3667
106,29.6267
107,35.94
108,69.6667
109,616.333
110,190.417
111,3.45
112,2.79333
113,9.13667
114,21.9733
115,24.6667
116,831.0
117,658.0
118,142.16
119,2.78667
120,1.96333
121,32.42
122,31.3567
123,23.8767
124,346.333
125,732.777
126,33.1333
127,2.09333
128,6.43333
129,33.4
130,21.4367
131,123.01
132,0.0
133,413.833
134,5.87667
135,2.12333
136,7.40667
137,36.2667
138,22.7067
139,296.333
140,70.3333
141,471.633
142,4.02333
143,2.18667
144,16.8467
145,16.86
146,17.7467
147,99.6667
148,411.557
149,58.9833
150,2.11
151,2.68333
152,34.76
153,17.9467
154,146.133
155,231.0
156,501.0
157,6.56333
158,1.75
159,10.7367
160,27.0167
161,59.9033
162,97.4467
163,537.277
164,47.5233
165,1.97
166,4.55333
167,34.8767
168,21.07
169,33.04
170,644.833
171,226.167
172,20.74
173,3.07667
174,7.08
175,51.97
176,24.6133
177,186.0
178,1457.67
179,79.8333
180,8.20667
181,2.57667
182,20.16
183,19.1133
184,32.04
185,552.333
186,472.833
187,31.3533
188,2.0
189,2.77667
190,30.4467
191,23.8933
192,88.7
193,450.667
194,401.0
195,11.37
196,1.55667
197,9.29
198,29.9633
199,35.1267
200,351.943
201,283.333
202,29.4967
203,2.11333
204,4.77
205,33.3233
206,27.4333
207,111.9
208,486.667
209,211.033
210,6.42667
211,2.41667
212,14.6633
213,28.97
214,28.22
215,334.89
216,342.833
217,47.1867
218,2.80667
219,3.04
220,32.4167
221,18.0033
222,283.0
223,399.833
224,69.8333
225,2.31667
226,3.00333
227,17.4267
228,20.23
229,44.5767
230,823.0
231,0.0
232,28.76
233,2.28
234,12.69
235,14.75
236,21.59
237,171.61
238,224.0
239,92.0
240,3.66
241,1.77
242,8.38333
243,33.44
244,30.1167
245,306.0
246,98.8333
247,5.67
248,2.37667
249,5.95
250,19.0467
251,17.98
252,229.667
253,342.777
254,13.24
255,1.73333
256,3.78667
257,14.4433
258,13.61
259,121.67
260,195.833
261,263.443
262,5.46667
263,1.43
264,11.0033
265,24.2833
266,66.3833
267,73.33
268,473.5
269,33.1067
270,1.84333
271,6.47333
272,49.8467
273,22.54
274,16.2
275,0.0
276,871.0
277,17.82
278,4.57
279,7.16
280,16.91
281,15.82
282,106.083
283,646.333
284,287.277
285,2.97
286,2.09667
287,18.7533
288,22.63
289,26.03
290,160.5
291,712.667
292,59.9833
293,1.60333
294,2.79333
295,17.6833
296,32.77
297,24.4667
298,274.333
299,608.39
300,42.9067
301,1.60333
302,5.01
303,23.8433
304,27.4733
305,54.0167
306,249.667
307,266.89
308,4.09667
309,1.78333
310,68.1667
311,33.89
312,16.5133
313,89.6667
314,858.167
315,3.43667
316,8.65
317,5.75667
318,17.5467
319,14.4767
320,103.833
321,653.667
322,118.667
323,2.24
324,2.54667
325,28.7833
326,25.8833
327,21.2867
328,559.667
329,582.11
330,27.8367
331,1.42667
332,5.51333
333,23.0333
334,14.5933
335,10.9367
336,461.333
337,687.333
338,35.38
339,1.79
340,3.36333
341,38.2333
342,13.58
343,25.75
344,96.0
345,409.833
346,17.57
347,1.30667
348,7.22333
349,17.8667
350,17.4033
351,53.2333
352,557.333
353,235.667
354,3.78
355,2.0
356,9.02333
357,34.3167
358,25.1
359,196.083
360,230.583
361,86.5
362,3.30667
363,1.85333
364,17.0733
365,40.22
366,28.4133
367,264.777
368,258.667
369,4.72667
370,2.12
371,24.6233
372,21.0967
373,11.2
374,20.3467
375,444.027
376,15.11
377,12.94
378,1.75333
379,14.5567
380,19.6333
381,60.09
382,511.667
383,375.11
384,7.20333
385,1.88
386,5.58333
387,27.66
388,25.24
389,410.833
390,495.943
391,22.91
392,1.8
393,3.2
394,24.92
395,20.2467
396,28.4067
397,488.5
398,149.11
399,5.86
