w/s,node153
0,28.0
1,3.0
2,1.32
3,13.3333
4,82.6667
5,66.3333
6,18.0
7,16.83
8,14.85
9,0.0
10,1.32
11,27.72
12,61.3333
13,70.6667
14,20.3333
15,21.6667
16,16.6667
17,1.0
18,2.64
19,25.41
20,81.0
21,66.6667
22,24.6667
23,23.0
24,4.95
25,0.99
26,2.0
27,45.0
28,76.24
29,48.6667
30,15.6667
31,21.6667
32,0.0
33,0.0
34,60.3333
35,80.2
36,29.04
37,20.0
38,26.3333
39,5.33333
40,0.66
41,2.66667
42,66.3333
43,69.6667
44,40.6667
45,13.6667
46,24.0
47,2.33333
48,0.0
49,2.66667
50,64.0
51,83.6667
52,29.04
53,30.0
54,15.3333
55,4.66667
56,1.0
57,9.33333
58,72.61
59,83.6667
60,23.43
61,23.43
62,10.3333
63,1.66667
64,0.666667
65,57.6667
66,81.85
67,35.3333
68,16.0
69,44.3333
70,1.66667
71,0.0
72,8.91
73,80.6667
74,77.6667
75,20.13
76,22.0
77,8.33333
78,0.666667
79,2.97
80,49.6667
81,74.0
82,45.0
83,25.0
84,20.13
85,0.666667
86,1.33333
87,3.3
88,77.6667
89,70.6667
90,29.0
91,16.0
92,30.0
93,0.33
94,2.66667
95,11.88
96,81.0
97,67.0
98,30.6667
99,22.6667
100,2.97
101,1.32
102,3.66667
103,55.3333
104,73.6667
105,36.6667
106,19.3333
107,14.85
108,0.333333
109,1.32
110,4.0
111,60.3333
112,69.6667
113,41.3333
114,24.0
115,21.0
116,1.32
117,0.666667
118,4.0
119,81.6667
120,80.53
121,14.19
122,20.0
123,14.6667
124,0.66
125,1.98
126,21.0
127,85.81
128,51.6667
129,19.8
130,23.1
131,5.28
132,0.0
133,2.31
134,55.0
135,60.6667
136,51.0
137,18.15
138,23.76
139,1.33333
140,0.333333
141,4.33333
142,65.68
143,79.0
144,29.6667
145,28.6667
146,25.3333
147,0.333333
148,2.33333
149,7.0
150,84.3333
151,76.0
152,16.83
153,29.04
154,4.66667
155,1.98
156,2.0
157,52.3333
158,87.6667
159,29.04
160,24.3333
161,8.91
162,2.66667
163,2.0
164,9.0
165,85.3333
166,63.6667
167,17.6667
168,23.6667
169,16.3333
170,1.33333
171,1.0
172,37.0
173,68.98
174,54.0
175,11.88
176,25.6667
177,1.33333
178,0.99
179,8.66667
180,51.3333
181,75.6667
182,25.74
183,24.0
184,17.0
185,1.65
186,1.33333
187,18.6667
188,62.0
189,59.08
190,21.12
191,22.11
192,6.66667
193,1.33333
194,1.66667
195,47.3333
196,94.3333
197,33.3333
198,20.3333
199,17.0
200,2.0
201,1.32
202,20.79
203,84.82
204,56.6667
205,18.3333
206,19.3333
207,5.33333
208,0.66
209,3.33333
210,58.0
211,74.59
212,28.0
213,22.3333
214,23.6667
215,2.66667
216,1.96
217,13.6667
218,65.3333
219,68.0
220,12.6667
221,29.3333
222,2.0
223,1.98
224,11.0
225,70.3333
226,58.3333
227,30.0
228,27.39
229,13.86
230,1.0
231,0.0
232,54.3333
233,80.2
234,35.3333
235,25.41
236,21.6667
237,3.63
238,0.333333
239,4.62
240,63.3333
241,70.0
242,41.6667
243,18.3333
244,15.18
245,3.0
246,2.66667
247,35.64
248,64.6667
249,53.0
250,23.1
251,25.6667
252,1.32
253,2.0
254,15.0
255,90.76
256,70.0
257,23.53
258,35.6667
259,6.6
260,0.66
261,1.65
262,51.3333
263,85.6667
264,37.3333
265,21.45
266,7.59
267,8.25
268,2.64
269,26.3333
270,62.6667
271,52.0
272,13.0
273,23.1
274,23.76
275,0.0
276,1.98
277,35.6667
278,84.6667
279,49.8333
280,32.3333
281,27.0
282,4.66667
283,1.33333
284,1.98
285,64.3333
286,79.6667
287,28.6667
288,21.12
289,23.3333
290,1.66667
291,0.666667
292,9.33333
293,77.0
294,65.6667
295,24.42
296,21.12
297,17.16
298,0.333333
299,2.33333
300,16.83
301,91.0
302,64.0
303,26.4
304,22.0
305,12.6667
306,0.333333
307,2.31
308,67.6667
309,77.23
310,9.66667
311,20.3333
312,31.6667
313,0.33
314,0.99
315,69.0
316,42.0
317,51.1567
318,29.0
319,34.6667
320,1.98
321,1.66667
322,1.66667
323,88.45
324,86.6667
325,20.0
326,23.0
327,26.6667
328,0.66
329,1.33333
330,24.0
331,90.0
332,52.81
333,22.6667
334,35.3333
335,26.6667
336,0.666667
337,0.66
338,29.3333
339,85.3333
340,70.3333
341,14.0
342,35.6667
343,17.3333
344,0.66
345,1.66667
346,30.69
347,98.0
348,53.3333
349,22.6667
350,25.41
351,8.66667
352,1.65
353,1.0
354,57.76
355,84.82
356,40.6667
357,17.3333
358,21.12
359,3.66667
360,2.33333
361,2.0
362,73.0
363,75.6667
364,24.75
365,17.82
366,15.0
367,2.31
368,2.31
369,64.0
370,85.2933
371,27.06
372,24.6667
373,39.93
374,9.33333
375,2.97
376,31.3333
377,40.0
378,80.0
379,31.02
380,32.0
381,5.28
382,1.66667
383,1.98
384,36.3
385,66.6667
386,43.6667
387,14.19
388,23.1
389,1.65
390,2.33333
391,23.0
392,73.6667
393,84.49
394,23.3333
395,30.0
396,11.22
397,1.98
398,3.0
399,49.6667
