%commit,node153
0,78.36
1,82.25
2,80.31
3,78.25
4,77.98
5,79.08
6,81.96
7,80.53
8,78.43
9,78.8
10,82.38
11,80.08
12,78.15
13,78.51
14,80.14
15,82.44
16,79.32
17,78.06
18,79.7
19,82.81
20,78.11
21,78.16
22,78.48
23,80.81
24,82.61
25,78.13
26,78.3
27,80.86
28,82.45
29,82.7
30,78.05
31,78.08
32,80.74
33,82.49
34,78.22
35,79.01
36,78.59
37,81.25
38,82.79
39,78.49
40,78.91
41,82.42
42,79.43
43,78.53
44,78.46
45,80.34
46,82.51
47,77.97
48,78.4
49,81.11
50,82.97
51,80.6
52,78.33
53,78.23
54,80.47
55,82.48
56,77.98
57,79.39
58,80.59
59,81.27
60,80.63
61,78.42
62,78.83
63,81.33
64,78.37
65,78.18
66,78.36
67,80.43
68,82.58
69,83.08
70,78.44
71,78.43
72,82.47
73,83.13
74,80.54
75,78.45
76,78.44
77,81.21
78,80.14
79,78.39
80,78.57
81,79.39
82,82.73
83,80.44
84,78.37
85,79.53
86,83.17
87,78.24
88,78.18
89,78.69
90,80.11
91,82.72
92,80.77
93,78.4
94,79.5
95,82.59
96,80.51
97,78.46
98,79.47
99,80.86
100,82.96
101,80.42
102,79.41
103,82.57
104,83.52
105,81.67
106,80.85
107,78.53
108,80.51
109,79.0
110,82.67
111,83.15
112,80.73
113,79.74
114,81.07
115,80.48
116,83.32
117,79.33
118,80.52
119,79.24
120,79.82
121,81.18
122,80.68
123,83.22
124,79.32
125,80.59
126,80.89
127,80.75
128,80.98
129,80.79
130,80.91
131,82.2
132,80.81
133,82.95
134,80.69
135,80.79
136,79.51
137,80.78
138,81.51
139,81.71
140,80.79
141,80.74
142,80.84
143,79.69
144,80.69
145,81.15
146,79.58
147,80.7
148,80.99
149,78.58
150,78.87
151,79.49
152,82.02
153,82.59
154,78.36
155,78.89
156,81.68
157,80.74
158,78.59
159,79.02
160,80.22
161,84.15
162,78.76
163,78.57
164,80.55
165,82.91
166,83.07
167,80.91
168,79.01
169,80.76
170,81.05
171,81.2
172,79.29
173,79.68
174,81.11
175,81.21
176,80.71
177,79.55
178,81.17
179,80.7
180,80.2
181,78.87
182,79.83
183,82.93
184,81.12
185,78.81
186,81.33
187,83.37
188,80.74
189,78.58
190,80.71
191,81.73
192,80.86
193,79.05
194,80.98
195,79.94
196,80.92
197,81.21
198,80.58
199,81.48
200,79.85
201,80.9
202,80.93
203,80.92
204,81.3
205,80.11
206,81.26
207,79.3
208,80.87
209,80.31
210,81.02
211,79.16
212,79.71
213,81.35
214,80.71
215,78.79
216,79.78
217,81.22
218,81.92
219,81.31
220,81.01
221,79.16
222,81.32
223,80.53
224,80.96
225,79.08
226,80.15
227,81.15
228,82.29
229,81.24
230,78.72
231,81.24
232,80.65
233,81.32
234,80.21
235,80.99
236,81.4
237,80.89
238,78.79
239,81.18
240,79.1
241,79.84
242,81.46
243,82.04
244,80.9
245,78.88
246,81.18
247,79.6
248,81.04
249,81.2
250,80.24
251,81.0
252,79.65
253,81.3
254,80.62
255,81.22
256,81.47
257,81.32
258,81.16
259,80.73
260,79.04
261,80.92
262,79.33
263,80.26
264,81.27
265,82.62
266,81.32
267,79.03
268,81.58
269,80.24
270,81.56
271,81.59
272,80.3
273,81.29
274,81.71
275,81.43
276,80.05
277,81.66
278,81.36
279,80.21
280,81.32
281,80.34
282,81.29
283,80.08
284,81.51
285,79.4
286,79.87
287,81.87
288,83.2
289,81.63
290,79.51
291,81.52
292,81.37
293,81.38
294,81.77
295,80.3
296,81.64
297,81.44
298,81.31
299,80.45
300,81.46
301,80.17
302,81.79
303,82.63
304,81.46
305,81.85
306,80.22
307,81.48
308,80.26
309,81.46
310,82.05
311,81.43
312,81.86
313,81.35
314,80.04
315,81.46
316,81.71
317,80.17
318,81.79
319,81.62
320,81.31
321,81.97
322,81.37
323,79.46
324,80.0
325,80.66
326,83.33
327,83.83
328,79.42
329,79.33
330,82.7
331,83.45
332,81.49
333,79.48
334,80.26
335,81.87
336,81.52
337,79.65
338,81.35
339,81.56
340,81.71
341,81.19
342,81.82
343,80.19
344,81.48
345,81.76
346,80.17
347,81.7
348,81.63
349,83.58
350,82.34
351,81.73
352,81.46
353,80.17
354,81.57
355,81.87
356,80.26
357,81.48
358,80.52
359,81.46
360,79.92
361,81.78
362,82.7
363,83.5
364,84.82
365,79.44
366,79.38
367,82.97
368,81.67
369,79.27
370,79.56
371,80.99
372,83.48
373,84.26
374,79.61
375,79.5
376,82.94
377,83.77
378,81.88
379,79.43
380,81.59
381,82.82
382,81.56
383,79.7
384,81.56
385,81.93
386,82.68
387,82.18
388,79.6
389,80.26
390,83.91
391,79.41
392,79.62
393,80.0
394,81.2
395,82.86
396,84.07
397,79.4
398,79.78
399,83.22
