kbactive,node153
0,405464.0
1,405652.0
2,410528.0
3,400900.0
4,395772.0
5,416296.0
6,412476.0
7,423872.0
8,398024.0
9,404456.0
10,438816.0
11,406944.0
12,412716.0
13,425248.0
14,431212.0
15,431592.0
16,412368.0
17,410280.0
18,415860.0
19,443320.0
20,411648.0
21,415996.0
22,439772.0
23,430992.0
24,449516.0
25,415912.0
26,424256.0
27,435488.0
28,442452.0
29,458780.0
30,423212.0
31,420800.0
32,443620.0
33,442508.0
34,428312.0
35,423716.0
36,442516.0
37,441052.0
38,462272.0
39,438048.0
40,435180.0
41,443392.0
42,438712.0
43,440516.0
44,436412.0
45,451516.0
46,452268.0
47,423552.0
48,445012.0
49,442088.0
50,469796.0
51,452280.0
52,444536.0
53,433868.0
54,463484.0
55,454048.0
56,430656.0
57,455792.0
58,457096.0
59,459256.0
60,461064.0
61,452400.0
62,449280.0
63,464228.0
64,449744.0
65,450764.0
66,454768.0
67,477156.0
68,467028.0
69,487928.0
70,459120.0
71,453300.0
72,461912.0
73,465576.0
74,461016.0
75,457300.0
76,462280.0
77,463764.0
78,468072.0
79,454676.0
80,465684.0
81,467864.0
82,494232.0
83,469612.0
84,465888.0
85,484624.0
86,480000.0
87,459204.0
88,457196.0
89,476000.0
90,477060.0
91,488164.0
92,481544.0
93,473868.0
94,485004.0
95,483712.0
96,480300.0
97,479504.0
98,492692.0
99,489568.0
100,502884.0
101,475964.0
102,489868.0
103,489664.0
104,514180.0
105,490024.0
106,494380.0
107,473032.0
108,470756.0
109,489868.0
110,490152.0
111,499804.0
112,488212.0
113,494132.0
114,500080.0
115,499732.0
116,515636.0
117,481564.0
118,481988.0
119,484820.0
120,493852.0
121,509088.0
122,510780.0
123,520856.0
124,486492.0
125,493580.0
126,506464.0
127,499800.0
128,504260.0
129,501340.0
130,507708.0
131,491052.0
132,503516.0
133,523052.0
134,494536.0
135,499800.0
136,496820.0
137,494380.0
138,518008.0
139,499072.0
140,493936.0
141,500180.0
142,493992.0
143,499224.0
144,496020.0
145,511060.0
146,491920.0
147,493096.0
148,501804.0
149,485304.0
150,490684.0
151,494332.0
152,526728.0
153,513636.0
154,482548.0
155,511076.0
156,511648.0
157,500040.0
158,487600.0
159,510752.0
160,504244.0
161,533220.0
162,504344.0
163,494164.0
164,512988.0
165,512804.0
166,519132.0
167,508424.0
168,510292.0
169,499568.0
170,504812.0
171,517964.0
172,492344.0
173,507212.0
174,515516.0
175,513896.0
176,496664.0
177,507068.0
178,514248.0
179,497596.0
180,514448.0
181,502308.0
182,516444.0
183,512936.0
184,522176.0
185,503348.0
186,502976.0
187,532348.0
188,503676.0
189,495712.0
190,512316.0
191,517192.0
192,517620.0
193,517868.0
194,515532.0
195,527568.0
196,520248.0
197,531668.0
198,514660.0
199,536596.0
200,526180.0
201,520980.0
202,533976.0
203,513772.0
204,521636.0
205,527148.0
206,519668.0
207,501540.0
208,506608.0
209,520616.0
210,511736.0
211,509160.0
212,507016.0
213,525616.0
214,510088.0
215,497732.0
216,508268.0
217,514196.0
218,517816.0
219,521776.0
220,513072.0
221,517092.0
222,531256.0
223,508136.0
224,515852.0
225,511688.0
226,531324.0
227,526180.0
228,545772.0
229,527360.0
230,505884.0
231,527200.0
232,517144.0
233,541480.0
234,525324.0
235,522648.0
236,537604.0
237,517804.0
238,511228.0
239,530044.0
240,516788.0
241,510552.0
242,533320.0
243,524884.0
244,506752.0
245,505632.0
246,520680.0
247,502312.0
248,523180.0
249,525500.0
250,525728.0
251,515512.0
252,507848.0
253,531756.0
254,511028.0
255,529876.0
256,531376.0
257,538236.0
258,526164.0
259,523868.0
260,523748.0
261,519768.0
262,526052.0
263,530896.0
264,528828.0
265,538996.0
266,515340.0
267,494168.0
268,522180.0
269,500704.0
270,523976.0
271,523432.0
272,517408.0
273,505808.0
274,529424.0
275,513440.0
276,501180.0
277,520368.0
278,506028.0
279,510412.0
280,506208.0
281,510908.0
282,503012.0
283,504252.0
284,513300.0
285,509452.0
286,506276.0
287,530048.0
288,516824.0
289,524580.0
290,518876.0
291,513804.0
292,514604.0
293,513500.0
294,530824.0
295,522364.0
296,525824.0
297,525144.0
298,512372.0
299,523852.0
300,519708.0
301,516040.0
302,541116.0
303,533416.0
304,517040.0
305,536732.0
306,517276.0
307,518504.0
308,515844.0
309,523904.0
310,531280.0
311,507380.0
312,528292.0
313,508968.0
314,503800.0
315,514704.0
316,527396.0
317,506956.0
318,527644.0
319,520036.0
320,518416.0
321,531540.0
322,513324.0
323,515752.0
324,531948.0
325,538408.0
326,531676.0
327,542008.0
328,516988.0
329,514488.0
330,546676.0
331,535972.0
332,515764.0
333,517676.0
334,515616.0
335,530880.0
336,519252.0
337,519740.0
338,510776.0
339,520616.0
340,530656.0
341,515124.0
342,536104.0
343,510380.0
344,515172.0
345,525680.0
346,510316.0
347,533408.0
348,529788.0
349,541288.0
350,521304.0
351,534836.0
352,522360.0
353,518456.0
354,529796.0
355,547196.0
356,524036.0
357,526344.0
358,535196.0
359,526400.0
360,518372.0
361,546592.0
362,552952.0
363,541652.0
364,556660.0
365,530704.0
366,530488.0
367,563924.0
368,545124.0
369,525576.0
370,537732.0
371,565908.0
372,547936.0
373,570784.0
374,543544.0
375,537212.0
376,571140.0
377,550616.0
378,554480.0
379,537792.0
380,556820.0
381,565460.0
382,547856.0
383,555424.0
384,545364.0
385,566160.0
386,560852.0
387,568356.0
388,539388.0
389,544976.0
390,576192.0
391,534720.0
392,545572.0
393,562712.0
394,556144.0
395,567432.0
396,566656.0
397,533172.0
398,547448.0
399,557864.0
