kbcached,node152
0,1630620.0
1,1630652.0
2,1630684.0
3,1630716.0
4,1630752.0
5,1630788.0
6,1630820.0
7,1630852.0
8,1630884.0
9,1630920.0
10,1630956.0
11,1630988.0
12,1631020.0
13,1631052.0
14,1631084.0
15,1631116.0
16,1631148.0
17,1631180.0
18,1631212.0
19,1631244.0
20,1631284.0
21,1631320.0
22,1631352.0
23,1631384.0
24,1631416.0
25,1631448.0
26,1631480.0
27,1631516.0
28,1631548.0
29,1631580.0
30,1631616.0
31,1631648.0
32,1631684.0
33,1631716.0
34,1631748.0
35,1631780.0
36,1631812.0
37,1631844.0
38,1631880.0
39,1631916.0
40,1631948.0
41,1631984.0
42,1632016.0
43,1632052.0
44,1632084.0
45,1632116.0
46,1632144.0
47,1632176.0
48,1632208.0
49,1632244.0
50,1632276.0
51,1632312.0
52,1632344.0
53,1632376.0
54,1632412.0
55,1632444.0
56,1632476.0
57,1632512.0
58,1632544.0
59,1632576.0
60,1632612.0
61,1632644.0
62,1632680.0
63,1632716.0
64,1632748.0
65,1632780.0
66,1632816.0
67,1632848.0
68,1632880.0
69,1632912.0
70,1632944.0
71,1632968.0
72,1633004.0
73,1633036.0
74,1633068.0
75,1633104.0
76,1633132.0
77,1633172.0
78,1633204.0
79,1633236.0
80,1633268.0
81,1633300.0
82,1633336.0
83,1633372.0
84,1633404.0
85,1633436.0
86,1633468.0
87,1633500.0
88,1633536.0
89,1633568.0
90,1633600.0
91,1633632.0
92,1633664.0
93,1633700.0
94,1633736.0
95,1633768.0
96,1633804.0
97,1633836.0
98,1633868.0
99,1633904.0
100,1633936.0
101,1633968.0
102,1634000.0
103,1634032.0
104,1634068.0
105,1634104.0
106,1634132.0
107,1634164.0
108,1634196.0
109,1634228.0
110,1634264.0
111,1634296.0
112,1634328.0
113,1634360.0
114,1634396.0
115,1634432.0
116,1634468.0
117,1634500.0
118,1634532.0
119,1634564.0
120,1634596.0
121,1634628.0
122,1634664.0
123,1634696.0
124,1634728.0
125,1634764.0
126,1634796.0
127,1634832.0
128,1634864.0
129,1634896.0
130,1634928.0
131,1634960.0
132,1634996.0
133,1635032.0
134,1635064.0
135,1635096.0
136,1635132.0
137,1635160.0
138,1635196.0
139,1635228.0
140,1635260.0
141,1635292.0
142,1635324.0
143,1635356.0
144,1635392.0
145,1635424.0
146,1635460.0
147,1635492.0
148,1635524.0
149,1635560.0
150,1635596.0
151,1635632.0
152,1635664.0
153,1635696.0
154,1635728.0
155,1635764.0
156,1635796.0
157,1635832.0
158,1635864.0
159,1635896.0
160,1635928.0
161,1635964.0
162,1635996.0
163,1636028.0
164,1636060.0
165,1636092.0
166,1636116.0
167,1636156.0
168,1636188.0
169,1636220.0
170,1636252.0
171,1636288.0
172,1636324.0
173,1636356.0
174,1636388.0
175,1636420.0
176,1636452.0
177,1636488.0
178,1636524.0
179,1636556.0
180,1636588.0
181,1636620.0
182,1636652.0
183,1636688.0
184,1636720.0
185,1636752.0
186,1636784.0
187,1636816.0
188,1636852.0
189,1636892.0
190,1636924.0
191,1636956.0
192,1636988.0
193,1637020.0
194,1637056.0
195,1637088.0
196,1637120.0
197,1637148.0
198,1637180.0
199,1637216.0
200,1637252.0
201,1637284.0
202,1637316.0
203,1637348.0
204,1637380.0
205,1637416.0
206,1637452.0
207,1637484.0
208,1637516.0
209,1637552.0
210,1637584.0
211,1637620.0
212,1637652.0
213,1637684.0
214,1637716.0
215,1637748.0
216,1637780.0
217,1637816.0
218,1637848.0
219,1637880.0
220,1637916.0
221,1637948.0
222,1637984.0
223,1638016.0
224,1638048.0
225,1638084.0
226,1638116.0
227,1638148.0
228,1638180.0
229,1638212.0
230,1638248.0
231,1638280.0
232,1638312.0
233,1638348.0
234,1638380.0
235,1638416.0
236,1638448.0
237,1638480.0
238,1638512.0
239,1638548.0
240,1638580.0
241,1638616.0
242,1638648.0
243,1638680.0
244,1638720.0
245,1638752.0
246,1638784.0
247,1638816.0
248,1638848.0
249,1638880.0
250,1638916.0
251,1638952.0
252,1638984.0
253,1639016.0
254,1639048.0
255,1639080.0
256,1639116.0
257,1639148.0
258,1639176.0
259,1639208.0
260,1639240.0
