kbmemused,node153
0,1302124.0
1,1298968.0
2,1304620.0
3,1295484.0
4,1288192.0
5,1311828.0
6,1309928.0
7,1321200.0
8,1292400.0
9,1300016.0
10,1336392.0
11,1301600.0
12,1310132.0
13,1319016.0
14,1322080.0
15,1323216.0
16,1304548.0
17,1300684.0
18,1307268.0
19,1335472.0
20,1302472.0
21,1308720.0
22,1333480.0
23,1325028.0
24,1343432.0
25,1309376.0
26,1317700.0
27,1328740.0
28,1337780.0
29,1355400.0
30,1317384.0
31,1309824.0
32,1335108.0
33,1332892.0
34,1318468.0
35,1308816.0
36,1328944.0
37,1328296.0
38,1352936.0
39,1327468.0
40,1323628.0
41,1332620.0
42,1326084.0
43,1329756.0
44,1327288.0
45,1342020.0
46,1344144.0
47,1314036.0
48,1336792.0
49,1332784.0
50,1363088.0
51,1339384.0
52,1331604.0
53,1319360.0
54,1352032.0
55,1342804.0
56,1318080.0
57,1342572.0
58,1345188.0
59,1348284.0
60,1351532.0
61,1342656.0
62,1340216.0
63,1356184.0
64,1340568.0
65,1340004.0
66,1339956.0
67,1364544.0
68,1348660.0
69,1372340.0
70,1341280.0
71,1334844.0
72,1343344.0
73,1350068.0
74,1346480.0
75,1341484.0
76,1346668.0
77,1350112.0
78,1354288.0
79,1340132.0
80,1350088.0
81,1354048.0
82,1382484.0
83,1357016.0
84,1353476.0
85,1373444.0
86,1368520.0
87,1346492.0
88,1343176.0
89,1358668.0
90,1360960.0
91,1373728.0
92,1366596.0
93,1357896.0
94,1369428.0
95,1366680.0
96,1365196.0
97,1365992.0
98,1381872.0
99,1372904.0
100,1385984.0
101,1358332.0
102,1373684.0
103,1372300.0
104,1396864.0
105,1370788.0
106,1376544.0
107,1354236.0
108,1352520.0
109,1373864.0
110,1373716.0
111,1383912.0
112,1372260.0
113,1381192.0
114,1388156.0
115,1388524.0
116,1406876.0
117,1369084.0
118,1368916.0
119,1372084.0
120,1384768.0
121,1401624.0
122,1405956.0
123,1414496.0
124,1378712.0
125,1385888.0
126,1399164.0
127,1394904.0
128,1395248.0
129,1392732.0
130,1401080.0
131,1383784.0
132,1396928.0
133,1417772.0
134,1386060.0
135,1395104.0
136,1388584.0
137,1375872.0
138,1397652.0
139,1379020.0
140,1374744.0
141,1378960.0
142,1372636.0
143,1380824.0
144,1379128.0
145,1394632.0
146,1376048.0
147,1377256.0
148,1386884.0
149,1368776.0
150,1375920.0
151,1380604.0
152,1417056.0
153,1404112.0
154,1371736.0
155,1402200.0
156,1402328.0
157,1388464.0
158,1378472.0
159,1404740.0
160,1397732.0
161,1428576.0
162,1396960.0
163,1386776.0
164,1407272.0
165,1408748.0
166,1411056.0
167,1396624.0
168,1393736.0
169,1383948.0
170,1390772.0
171,1403648.0
172,1374600.0
173,1394144.0
174,1396504.0
175,1397584.0
176,1381012.0
177,1392816.0
178,1400140.0
179,1380556.0
180,1399040.0
181,1389968.0
182,1405576.0
183,1401380.0
184,1411600.0
185,1391608.0
186,1391372.0
187,1421524.0
188,1394336.0
189,1386724.0
190,1404496.0
191,1409312.0
192,1413896.0
193,1413972.0
194,1411508.0
195,1422004.0
196,1415744.0
197,1430284.0
198,1414472.0
199,1436264.0
200,1424424.0
201,1419256.0
202,1433248.0
203,1408744.0
204,1412484.0
205,1419900.0
206,1405184.0
207,1388240.0
208,1392980.0
209,1408876.0
210,1398924.0
211,1399960.0
212,1397616.0
213,1417660.0
214,1401688.0
215,1390768.0
216,1402456.0
217,1407676.0
218,1411632.0
219,1417320.0
220,1410008.0
221,1413632.0
222,1429000.0
223,1404864.0
224,1411552.0
225,1409452.0
226,1432968.0
227,1427924.0
228,1449028.0
229,1431620.0
230,1408020.0
231,1430516.0
232,1420180.0
233,1446752.0
234,1427384.0
235,1424820.0
236,1440828.0
237,1419856.0
238,1412896.0
239,1433684.0
240,1407812.0
241,1404100.0
242,1428856.0
243,1422680.0
244,1403764.0
245,1402776.0
246,1418800.0
247,1397680.0
248,1421684.0
249,1425732.0
250,1426784.0
251,1415980.0
252,1408788.0
253,1432360.0
254,1410656.0
255,1432304.0
256,1436792.0
257,1445192.0
258,1433000.0
259,1429060.0
260,1429140.0
261,1425084.0
262,1435348.0
263,1455564.0
264,1446372.0
265,1464316.0
266,1421812.0
267,1395428.0
268,1424888.0
269,1403324.0
270,1427024.0
271,1424992.0
272,1418468.0
273,1400804.0
274,1430060.0
275,1412868.0
276,1400452.0
277,1413032.0
278,1399460.0
279,1406872.0
280,1402312.0
281,1407416.0
282,1399680.0
283,1401728.0
284,1410676.0
285,1409148.0
286,1407236.0
287,1432392.0
288,1420928.0
289,1429176.0
290,1424132.0
291,1418784.0
292,1417900.0
293,1416440.0
294,1440584.0
295,1431296.0
296,1428900.0
297,1429844.0
298,1416996.0
299,1428680.0
300,1422800.0
301,1421640.0
302,1449992.0
303,1435344.0
304,1421328.0
305,1441968.0
306,1421564.0
307,1422836.0
308,1419808.0
309,1432716.0
310,1436752.0
311,1405920.0
312,1427992.0
313,1407372.0
314,1402652.0
315,1415692.0
316,1429056.0
317,1408844.0
318,1432484.0
319,1425320.0
320,1425256.0
321,1438164.0
322,1418216.0
323,1420828.0
324,1442556.0
325,1448348.0
326,1441508.0
327,1449172.0
328,1423808.0
329,1421252.0
330,1453032.0
331,1443340.0
332,1418056.0
333,1422324.0
334,1420084.0
335,1439932.0
336,1427616.0
337,1427140.0
338,1415288.0
339,1427492.0
340,1441156.0
341,1427580.0
342,1441300.0
343,1414768.0
344,1418696.0
345,1430980.0
346,1415760.0
347,1442116.0
348,1438552.0
349,1453124.0
350,1432600.0
351,1446432.0
352,1433060.0
353,1429400.0
354,1440700.0
355,1462012.0
356,1432856.0
357,1436912.0
358,1447240.0
359,1438668.0
360,1428840.0
361,1457808.0
362,1467516.0
363,1452284.0
364,1470080.0
365,1441152.0
366,1439272.0
367,1475912.0
368,1454548.0
369,1434936.0
370,1450732.0
371,1481360.0
372,1461956.0
373,1487004.0
374,1459028.0
375,1452708.0
376,1487864.0
377,1461388.0
378,1467208.0
379,1451956.0
380,1472384.0
381,1481520.0
382,1462208.0
383,1469888.0
384,1458092.0
385,1485028.0
386,1481732.0
387,1484424.0
388,1449636.0
389,1454860.0
390,1487880.0
391,1442856.0
392,1456560.0
393,1470476.0
394,1467028.0
395,1474620.0
396,1475396.0
397,1440820.0
398,1456048.0
399,1465916.0
