%memused,node153
0,33.54
1,33.46
2,33.6
3,33.37
4,33.18
5,33.79
6,33.74
7,34.03
8,33.29
9,33.48
10,34.42
11,33.53
12,33.75
13,33.97
14,34.05
15,34.08
16,33.6
17,33.5
18,33.67
19,34.4
20,33.55
21,33.71
22,34.35
23,34.13
24,34.6
25,33.73
26,33.94
27,34.22
28,34.46
29,34.91
30,33.93
31,33.74
32,34.39
33,34.33
34,33.96
35,33.71
36,34.23
37,34.21
38,34.85
39,34.19
40,34.09
41,34.32
42,34.16
43,34.25
44,34.19
45,34.57
46,34.62
47,33.85
48,34.43
49,34.33
50,35.11
51,34.5
52,34.3
53,33.98
54,34.82
55,34.59
56,33.95
57,34.58
58,34.65
59,34.73
60,34.81
61,34.58
62,34.52
63,34.93
64,34.53
65,34.51
66,34.51
67,35.15
68,34.74
69,35.35
70,34.55
71,34.38
72,34.6
73,34.77
74,34.68
75,34.55
76,34.69
77,34.77
78,34.88
79,34.52
80,34.77
81,34.88
82,35.61
83,34.95
84,34.86
85,35.38
86,35.25
87,34.68
88,34.6
89,35.0
90,35.05
91,35.38
92,35.2
93,34.98
94,35.27
95,35.2
96,35.16
97,35.18
98,35.59
99,35.36
100,35.7
101,34.99
102,35.38
103,35.35
104,35.98
105,35.31
106,35.46
107,34.88
108,34.84
109,35.39
110,35.38
111,35.65
112,35.35
113,35.58
114,35.75
115,35.76
116,36.24
117,35.26
118,35.26
119,35.34
120,35.67
121,36.1
122,36.21
123,36.43
124,35.51
125,35.7
126,36.04
127,35.93
128,35.94
129,35.87
130,36.09
131,35.64
132,35.98
133,36.52
134,35.7
135,35.93
136,35.77
137,35.44
138,36.0
139,35.52
140,35.41
141,35.52
142,35.35
143,35.57
144,35.52
145,35.92
146,35.44
147,35.47
148,35.72
149,35.26
150,35.44
151,35.56
152,36.5
153,36.17
154,35.33
155,36.12
156,36.12
157,35.76
158,35.51
159,36.18
160,36.0
161,36.8
162,35.98
163,35.72
164,36.25
165,36.29
166,36.34
167,35.97
168,35.9
169,35.65
170,35.82
171,36.15
172,35.41
173,35.91
174,35.97
175,36.0
176,35.57
177,35.87
178,36.06
179,35.56
180,36.04
181,35.8
182,36.2
183,36.1
184,36.36
185,35.84
186,35.84
187,36.61
188,35.91
189,35.72
190,36.18
191,36.3
192,36.42
193,36.42
194,36.36
195,36.63
196,36.47
197,36.84
198,36.43
199,36.99
200,36.69
201,36.56
202,36.92
203,36.28
204,36.38
205,36.57
206,36.19
207,35.76
208,35.88
209,36.29
210,36.03
211,36.06
212,36.0
213,36.51
214,36.1
215,35.82
216,36.12
217,36.26
218,36.36
219,36.51
220,36.32
221,36.41
222,36.81
223,36.19
224,36.36
225,36.3
226,36.91
227,36.78
228,37.32
229,36.87
230,36.27
231,36.85
232,36.58
233,37.26
234,36.77
235,36.7
236,37.11
237,36.57
238,36.39
239,36.93
240,36.26
241,36.17
242,36.8
243,36.64
244,36.16
245,36.13
246,36.54
247,36.0
248,36.62
249,36.72
250,36.75
251,36.47
252,36.29
253,36.89
254,36.33
255,36.89
256,37.01
257,37.22
258,36.91
259,36.81
260,36.81
261,36.71
262,36.97
263,37.49
264,37.25
265,37.72
266,36.62
267,35.94
268,36.7
269,36.15
270,36.76
271,36.7
272,36.54
273,36.08
274,36.83
275,36.39
276,36.07
277,36.4
278,36.05
279,36.24
280,36.12
281,36.25
282,36.05
283,36.1
284,36.33
285,36.3
286,36.25
287,36.89
288,36.6
289,36.81
290,36.68
291,36.54
292,36.52
293,36.48
294,37.11
295,36.87
296,36.8
297,36.83
298,36.5
299,36.8
300,36.65
301,36.62
302,37.35
303,36.97
304,36.61
305,37.14
306,36.62
307,36.65
308,36.57
309,36.9
310,37.01
311,36.21
312,36.78
313,36.25
314,36.13
315,36.46
316,36.81
317,36.29
318,36.9
319,36.71
320,36.71
321,37.04
322,36.53
323,36.6
324,37.16
325,37.31
326,37.13
327,37.33
328,36.67
329,36.61
330,37.43
331,37.18
332,36.52
333,36.63
334,36.58
335,37.09
336,36.77
337,36.76
338,36.45
339,36.77
340,37.12
341,36.77
342,37.12
343,36.44
344,36.54
345,36.86
346,36.47
347,37.14
348,37.05
349,37.43
350,36.9
351,37.26
352,36.91
353,36.82
354,37.11
355,37.66
356,36.91
357,37.01
358,37.28
359,37.06
360,36.8
361,37.55
362,37.8
363,37.41
364,37.86
365,37.12
366,37.07
367,38.02
368,37.46
369,36.96
370,37.37
371,38.16
372,37.66
373,38.3
374,37.58
375,37.42
376,38.32
377,37.64
378,37.79
379,37.4
380,37.92
381,38.16
382,37.66
383,37.86
384,37.56
385,38.25
386,38.16
387,38.23
388,37.34
389,37.47
390,38.32
391,37.16
392,37.52
393,37.88
394,37.79
395,37.98
396,38.0
397,37.11
398,37.5
399,37.76
