rxkB/s,node152
0,59.58
1,60.87
2,59.76
3,2.08
4,65.81
5,62.63
6,0.94
7,61.06
8,60.25
9,1.48
10,65.67
11,63.09
12,60.19
13,1.9
14,60.9
15,60.58
16,4.79
17,63.06
18,62.11
19,1.35
20,60.7
21,60.44
22,2.38
23,64.92
24,62.6
25,59.81
26,1.87
27,60.74
28,60.59
29,6.18
30,60.64
31,62.18
32,1.35
33,60.4
34,60.03
35,22.48
36,43.93
37,62.69
38,59.86
39,2.08
40,60.42
41,60.64
42,6.34
43,60.89
44,62.38
45,1.29
46,60.24
47,60.85
48,0.94
49,65.58
50,62.13
51,60.66
52,1.31
53,61.03
54,60.08
55,7.05
56,61.18
57,62.66
58,0.98
59,61.64
60,60.36
61,1.92
62,65.45
63,62.36
64,1.64
65,59.96
66,60.38
67,60.6
68,6.58
69,62.79
70,60.61
71,1.31
72,59.76
73,60.96
74,2.88
75,63.87
76,62.17
77,0.82
78,61.01
79,61.29
80,1.0
81,66.11
82,62.78
83,60.52
84,1.19
85,61.29
86,60.06
87,7.05
88,60.38
89,62.71
90,0.76
91,60.26
92,60.18
93,1.52
94,65.72
95,63.06
96,22.38
97,39.53
98,60.29
99,60.77
100,6.22
101,61.16
102,62.26
103,1.52
104,60.39
105,61.16
106,0.89
107,66.35
108,61.99
109,23.01
110,38.68
111,60.96
112,59.89
113,7.16
114,60.94
115,62.43
116,0.73
117,60.35
118,61.27
119,0.88
120,65.97
121,61.96
122,23.15
123,38.6
124,60.88
125,60.26
126,6.99
127,62.07
128,61.54
129,0.82
130,60.2
131,60.82
132,1.14
133,65.86
134,62.08
135,2.05
136,59.25
137,60.91
138,59.75
139,7.1
140,61.82
141,61.21
142,0.76
143,61.08
144,60.43
145,6.16
146,60.52
147,62.79
148,2.39
149,60.0
150,60.46
151,60.78
152,6.92
153,62.95
154,59.8
155,1.9
156,60.45
157,61.27
158,5.97
159,60.32
160,62.19
161,1.41
162,60.46
163,61.03
164,22.46
165,44.7
166,62.39
167,60.66
168,1.19
169,60.95
170,60.06
171,6.99
172,61.65
173,61.0
174,0.76
175,60.85
176,60.53
177,2.11
178,64.58
179,62.91
180,59.89
181,1.66
182,60.06
183,60.96
184,5.97
185,62.83
186,60.56
187,0.93
188,60.41
189,61.06
190,3.53
191,63.52
192,52.96
193,1.35
194,60.95
195,61.09
196,60.06
197,7.86
198,61.99
199,60.65
200,1.7
201,60.94
202,60.14
203,6.66
204,60.53
205,62.99
206,0.79
207,60.93
208,60.57
209,23.05
210,44.04
211,63.04
212,22.74
213,38.48
214,60.84
215,59.75
216,6.99
217,60.98
218,62.7
219,0.7
220,60.95
221,60.76
222,1.49
223,65.9
224,63.48
225,60.0
226,1.16
227,60.2
228,59.84
229,7.14
230,60.99
231,62.34
232,0.7
233,60.89
234,60.26
235,1.48
236,65.27
237,62.85
238,60.14
239,1.96
240,60.2
241,59.88
242,6.34
243,62.58
244,60.2
245,1.41
246,60.24
247,61.34
248,4.21
249,63.07
250,62.24
251,60.78
252,1.08
253,61.14
254,59.99
255,6.55
256,62.27
257,60.96
258,0.64
259,60.91
260,60.57
261,6.73
262,60.76
263,62.64
264,22.56
265,40.18
266,60.19
267,61.39
268,6.88
269,62.13
270,60.58
271,1.64
272,60.51
273,61.09
274,6.79
275,60.11
276,62.25
277,61.15
278,1.26
279,61.4
280,59.48
281,7.38
282,61.88
283,60.25
284,0.88
285,61.42
286,60.77
287,6.67
288,62.02
289,61.67
290,59.87
291,2.13
292,61.28
293,64.64
294,3.15
295,62.97
296,60.23
297,1.55
298,60.5
299,61.36
300,6.06
301,62.85
302,60.34
303,60.49
304,1.38
305,61.04
306,63.39
307,3.17
308,62.02
309,60.51
310,1.41
311,60.32
312,60.83
313,5.97
314,62.59
315,60.47
316,1.64
317,60.33
318,60.79
319,64.77
320,1.78
321,62.25
322,59.7
323,1.26
324,60.47
325,60.77
326,6.49
327,62.69
328,60.38
329,1.74
330,60.57
331,61.73
332,6.03
333,60.71
334,62.13
335,23.84
336,39.17
337,60.92
338,59.89
339,7.05
340,62.72
341,1.54
342,60.18
343,60.89
344,59.77
345,7.38
346,62.01
347,60.85
348,1.14
349,60.91
350,59.76
351,5.9
352,61.34
353,63.17
354,0.7
355,60.97
356,61.46
357,1.52
358,65.96
359,63.44
360,60.26
361,1.99
362,60.97
363,60.67
364,3.63
365,63.29
366,62.29
367,1.64
368,60.13
369,61.05
370,0.64
371,66.06
372,62.2
373,60.73
374,1.2
375,61.0
376,60.22
377,7.16
378,60.39
379,62.0
380,0.84
381,60.96
382,60.25
383,1.29
384,65.54
385,62.87
386,0.73
387,61.18
388,60.15
389,60.65
390,6.4
391,61.03
392,61.55
393,1.9
394,60.4
395,61.09
396,0.82
397,66.16
398,62.06
399,1.42
