rxpck/s,node152
0,66.0
1,82.0
2,67.0
3,31.0
4,103.0
5,99.0
6,15.0
7,85.0
8,72.0
9,25.0
10,99.0
11,98.0
12,74.0
13,29.0
14,74.0
15,81.0
16,29.0
17,98.0
18,90.0
19,23.0
20,79.0
21,74.0
22,34.0
23,94.0
24,98.0
25,75.25
26,28.0
27,77.0
28,78.0
29,42.0
30,79.0
31,91.0
32,23.0
33,74.0
34,68.0
35,43.0
36,71.0
37,100.0
38,69.0
39,29.0
40,75.0
41,82.0
42,42.0
43,83.0
44,94.0
45,22.0
46,72.0
47,82.0
48,16.0
49,100.0
50,90.0
51,82.0
52,19.0
53,85.0
54,72.0
55,54.0
56,78.0
57,99.0
58,16.0
59,86.0
60,73.0
61,24.0
62,98.0
63,94.0
64,22.0
65,73.0
66,74.0
67,81.0
68,46.0
69,101.0
70,78.0
71,22.0
72,73.27
73,84.0
74,25.0
75,95.0
76,91.0
77,14.0
78,84.0
79,81.0
80,17.0
81,109.0
82,92.0
83,80.0
84,17.0
85,81.0
86,72.0
87,54.0
88,74.0
89,100.0
90,13.0
91,72.0
92,71.0
93,26.0
94,102.0
95,105.0
96,41.0
97,58.0
98,72.0
99,83.0
100,40.0
101,87.0
102,92.0
103,26.0
104,74.0
105,87.0
106,14.85
107,113.0
108,88.0
109,52.0
110,44.0
111,84.0
112,69.0
113,56.0
114,80.0
115,97.0
116,12.0
117,73.0
118,89.0
119,15.0
120,107.0
121,87.0
122,54.0
123,43.0
124,83.0
125,67.0
126,53.0
127,89.0
128,85.0
129,14.0
130,71.0
131,73.0
132,18.0
133,106.0
134,89.0
135,29.0
136,61.0
137,83.0
138,67.0
139,55.0
140,85.0
141,88.0
142,13.0
143,86.0
144,75.0
145,42.0
146,76.0
147,101.0
148,23.0
149,76.0
150,75.0
151,84.0
152,43.0
153,104.0
154,68.32
155,29.0
156,75.0
157,89.0
158,39.0
159,73.0
160,91.0
161,24.0
162,75.0
163,85.0
164,43.0
165,84.0
166,94.0
167,82.0
168,17.0
169,84.0
170,72.0
171,53.0
172,86.0
173,80.0
174,13.0
175,82.0
176,76.0
177,30.0
178,89.0
179,103.0
180,69.0
181,25.0
182,69.0
183,84.0
184,39.0
185,102.0
186,76.0
187,15.0
188,74.0
189,85.0
190,24.75
191,100.0
192,81.0
193,23.0
194,75.0
195,86.0
196,69.0
197,56.0
198,88.0
199,82.0
200,16.83
201,84.0
202,70.0
203,51.0
204,76.0
205,104.0
206,13.0
207,83.0
208,76.0
209,53.0
210,73.0
211,105.0
212,47.0
213,41.0
214,82.0
215,67.0
216,53.0
217,75.0
218,100.0
219,12.0
220,84.0
221,72.0
222,25.0
223,105.0
224,104.0
225,71.0
226,16.0
227,71.0
228,68.0
229,55.0
230,79.0
231,98.0
232,12.0
233,83.0
234,72.0
235,25.0
236,95.0
237,102.0
238,73.0
239,30.0
240,71.0
241,69.0
242,42.0
243,98.0
244,71.0
245,24.0
246,72.0
247,90.0
248,25.74
249,102.0
250,91.0
251,84.0
252,15.0
253,86.0
254,70.0
255,45.0
256,92.0
257,84.0
258,11.0
259,83.0
260,76.0
261,51.0
262,72.0
263,99.0
264,44.0
265,56.0
266,70.0
267,87.0
268,41.0
269,90.0
270,77.0
271,28.0
272,76.0
273,86.0
274,47.0
275,75.0
276,91.0
277,81.0
278,17.0
279,89.0
280,71.29
281,55.0
282,86.0
283,72.0
284,15.0
285,87.0
286,72.0
287,51.0
288,88.0
289,87.0
290,69.0
291,33.0
292,79.0
293,94.0
294,33.0
295,104.0
296,71.0
297,26.0
298,75.0
299,90.0
300,40.0
301,102.0
302,73.0
303,79.0
304,19.0
305,85.0
306,81.0
307,36.0
308,88.0
309,72.0
310,24.0
311,73.0
312,82.0
313,39.0
314,98.0
315,75.0
316,27.0
317,73.0
318,81.0
319,99.01
320,27.0
321,92.0
322,66.0
323,18.0
324,71.0
325,83.0
326,44.0
327,100.0
328,74.0
329,25.0
330,77.0
331,88.0
332,40.0
333,80.0
334,90.0
335,57.0
336,48.0
337,74.0
338,69.0
339,54.0
340,95.0
341,26.0
342,71.0
343,83.0
344,67.0
345,55.0
346,88.0
347,85.0
348,16.0
349,83.0
350,67.0
351,42.0
352,78.0
353,103.0
354,12.0
355,84.0
356,80.0
357,26.0
358,106.0
359,102.0
360,74.0
361,30.0
362,75.0
363,82.0
364,23.0
365,95.0
366,92.0
367,27.0
368,70.0
369,81.0
370,10.89
371,108.0
372,91.0
373,83.0
374,17.0
375,85.0
376,74.0
377,56.0
378,74.0
379,88.0
380,14.0
381,84.0
382,72.0
383,22.0
384,99.0
385,102.0
386,12.0
387,87.0
388,70.0
389,81.0
390,43.0
391,85.0
392,84.0
393,29.0
394,74.0
395,86.0
396,14.0
397,110.0
398,89.0
399,24.0
