txkB/s,node153
0,2322.2
1,437.36
2,97.57
3,169.23
4,3561.12
5,3998.93
6,2115.01
7,2094.92
8,2126.92
9,170.17
10,123.87
11,585.29
12,3216.6
13,3486.79
14,2617.46
15,2470.83
16,1990.56
17,11.32
18,119.7
19,748.43
20,4050.86
21,3560.24
22,2255.24
23,2040.02
24,1380.26
25,10.71
26,65.03
27,1788.08
28,3859.51
29,3079.39
30,2112.07
31,1266.11
32,123.32
33,4.93
34,2199.06
35,4260.57
36,2814.24
37,2041.84
38,2071.66
39,862.49
40,178.03
41,101.06
42,2490.06
43,3334.02
44,2943.64
45,2080.15
46,2106.44
47,927.07
48,4.57
49,295.79
50,2226.43
51,4201.67
52,2748.58
53,2205.75
54,2016.75
55,674.52
56,30.87
57,127.54
58,3199.22
59,3963.16
60,2464.76
61,2078.9
62,1656.24
63,56.09
64,61.84
65,2297.08
66,3922.81
67,2874.03
68,1935.87
69,2323.69
70,850.58
71,6.11
72,256.26
73,3526.34
74,3638.18
75,2066.18
76,2186.1
77,991.78
78,128.08
79,302.03
80,2187.62
81,3678.92
82,2957.03
83,1944.23
84,2314.45
85,244.68
86,189.1
87,110.35
88,3017.44
89,3752.64
90,2625.15
91,1898.91
92,2089.47
93,590.03
94,45.87
95,220.2
96,3597.01
97,3788.31
98,2209.02
99,2071.46
100,694.88
101,146.57
102,115.15
103,2176.5
104,3808.29
105,3290.25
106,1821.86
107,1869.9
108,456.36
109,2.13
110,341.1
111,2844.96
112,3632.99
113,3027.15
114,2046.42
115,2481.88
116,253.38
117,26.39
118,154.16
119,3301.62
120,4106.17
121,2455.63
122,2295.23
123,1475.84
124,57.86
125,235.07
126,747.67
127,3921.36
128,3685.21
129,2048.78
130,1787.08
131,1003.48
132,4.95
133,402.81
134,2061.25
135,3505.32
136,3212.06
137,2272.4
138,1800.5
139,668.4
140,150.34
141,185.39
142,2579.56
143,3766.36
144,2978.48
145,2252.0
146,2205.63
147,119.35
148,109.5
149,229.94
150,3496.05
151,3730.3
152,2613.04
153,1864.43
154,875.72
155,138.79
156,75.19
157,2184.99
158,4055.37
159,3113.24
160,1938.51
161,1597.88
162,403.17
163,168.16
164,241.82
165,3914.7
166,3856.85
167,2186.46
168,2055.37
169,1340.85
170,154.46
171,53.4
172,1381.59
173,3591.99
174,2845.27
175,2241.13
176,2168.29
177,497.99
178,79.84
179,806.95
180,2864.56
181,4026.18
182,2726.01
183,1823.48
184,1366.01
185,166.9
186,163.24
187,607.61
188,3546.91
189,3898.16
190,2077.54
191,2212.82
192,1559.03
193,86.17
194,23.06
195,2272.75
196,4182.58
197,2839.02
198,2251.08
199,1770.35
200,586.23
201,87.59
202,708.56
203,4031.88
204,3548.29
205,2046.1
206,1449.43
207,1319.13
208,5.67
209,173.17
210,2390.42
211,4038.24
212,2908.85
213,1690.96
214,2167.85
215,371.36
216,68.9
217,624.5
218,3383.37
219,4036.47
220,1838.55
221,2138.97
222,706.21
223,197.1
224,711.08
225,3157.96
226,3693.69
227,2645.79
228,1914.59
229,1470.33
230,132.0
231,52.1
232,2471.72
233,4119.75
234,2900.33
235,2187.38
236,1858.54
237,710.44
238,143.08
239,152.96
240,2762.15
241,3398.46
242,2987.18
243,1822.36
244,2156.84
245,148.44
246,20.44
247,1461.67
248,3611.44
249,2956.46
250,2139.21
251,2279.28
252,354.79
253,5.46
254,676.53
255,4055.3
256,3869.99
257,2001.82
258,2273.71
259,1130.41
260,254.6
261,144.63
262,2068.62
263,4020.6
264,2923.27
265,2514.96
266,1361.07
267,726.0
268,137.63
269,575.69
270,4013.83
271,3829.45
272,1048.0
273,2432.02
274,2713.55
275,11.32
276,34.28
277,2058.99
278,3542.8
279,3784.06
280,2217.2
281,2542.51
282,932.64
283,155.26
284,129.33
285,3360.18
286,4009.8
287,2359.55
288,2517.11
289,2202.54
290,427.94
291,74.46
292,364.14
293,3990.03
294,3462.95
295,2471.38
296,2182.76
297,2311.47
298,173.83
299,55.59
300,715.88
301,4330.61
302,3595.53
303,2447.79
304,2566.14
305,1136.9
306,57.8
307,195.49
308,3241.27
309,4284.14
310,2088.44
311,1560.7
312,2729.08
313,469.19
314,4.23
315,2881.62
316,3080.71
317,3258.39
318,2361.12
319,2536.65
320,677.64
321,53.1
322,153.07
323,3434.42
324,4734.16
325,2114.84
326,1893.53
327,2241.02
328,354.87
329,61.99
330,702.25
331,4604.61
332,3524.52
333,2285.87
334,2315.82
335,1846.62
336,53.65
337,88.9
338,1004.88
339,4070.55
340,4159.02
341,2146.67
342,2194.37
343,2012.21
344,53.4
345,99.86
346,1111.03
347,4369.21
348,3577.22
349,2306.36
350,2145.02
351,1444.04
352,84.98
353,141.57
354,2538.01
355,4383.17
356,2998.43
357,2133.15
358,2549.23
359,844.04
360,246.26
361,100.77
362,3420.45
363,4151.07
364,2962.26
365,1735.86
366,1445.73
367,388.64
368,88.31
369,2724.67
370,4148.49
371,2165.38
372,2021.47
373,2787.56
374,818.55
375,229.25
376,1277.45
377,2784.66
378,4286.29
379,2740.39
380,2236.08
381,1266.5
382,165.43
383,157.18
384,1952.27
385,3612.6
386,3516.64
387,1777.94
388,2139.28
389,356.59
390,147.32
391,447.24
392,3930.4
393,3964.38
394,2203.77
395,2376.54
396,1630.19
397,151.85
398,138.86
399,2092.9
