txpck/s,node153
0,1009.9
1,278.22
2,169.31
3,131.0
4,1456.0
5,1601.98
6,872.0
7,831.0
8,832.0
9,154.46
10,130.0
11,375.25
12,1448.0
13,1520.0
14,1059.41
15,976.0
16,872.28
17,60.0
18,98.0
19,398.02
20,1585.0
21,1496.0
22,963.0
23,842.0
24,625.0
25,63.37
26,107.0
27,862.38
28,1548.51
29,1275.0
30,903.96
31,642.0
32,107.92
33,44.0
34,953.0
35,1693.0
36,1205.0
37,810.0
38,884.31
39,373.0
40,121.78
41,78.22
42,1134.0
43,1495.0
44,1243.0
45,814.85
46,949.5
47,420.0
48,45.0
49,228.0
50,947.0
51,1528.71
52,1079.21
53,1022.0
54,898.0
55,338.0
56,86.0
57,161.39
58,1401.0
59,1749.5
60,1173.0
61,830.69
62,660.0
63,102.0
64,95.05
65,1051.0
66,1662.0
67,1193.07
68,880.0
69,1053.47
70,444.0
71,52.0
72,212.87
73,1565.0
74,1543.0
75,934.65
76,982.0
77,446.0
78,150.5
79,174.26
80,992.0
81,1533.0
82,1213.86
83,798.0
84,1014.0
85,127.72
86,119.0
87,157.0
88,1315.0
89,1637.0
90,1081.0
91,863.0
92,842.0
93,254.0
94,103.96
95,249.0
96,1514.0
97,1542.0
98,1028.0
99,997.0
100,354.0
101,156.44
102,154.46
103,1018.0
104,1534.0
105,1372.0
106,858.0
107,850.0
108,272.0
109,21.78
110,217.0
111,1308.0
112,1489.11
113,1317.0
114,928.0
115,1032.67
116,240.0
117,132.0
118,121.0
119,1544.0
120,1548.0
121,1065.0
122,1001.96
123,674.0
124,64.0
125,179.0
126,475.0
127,1543.56
128,1341.58
129,772.0
130,740.59
131,514.0
132,48.0
133,219.8
134,961.0
135,1438.61
136,1244.55
137,931.0
138,754.0
139,300.0
140,129.0
141,145.0
142,1094.06
143,1499.0
144,1144.0
145,942.57
146,964.0
147,91.0
148,76.24
149,230.0
150,1406.93
151,1570.0
152,1092.08
153,763.37
154,462.0
155,149.0
156,131.0
157,862.0
158,1603.0
159,1336.63
160,824.75
161,702.0
162,249.5
163,123.76
164,183.0
165,1624.0
166,1659.0
167,951.49
168,891.0
169,664.36
170,153.47
171,107.0
172,712.0
173,1629.0
174,1224.0
175,887.0
176,870.3
177,249.5
178,155.0
179,402.97
180,1074.0
181,1620.0
182,1117.0
183,833.0
184,688.0
185,132.67
186,156.0
187,374.26
188,1458.0
189,1563.0
190,922.0
191,913.86
192,734.0
193,126.73
194,61.0
195,972.0
196,1607.0
197,1208.91
198,960.0
199,834.0
200,323.0
201,136.0
202,413.0
203,1611.0
204,1329.7
205,786.0
206,721.78
207,636.63
208,52.48
209,151.0
210,1091.09
211,1551.49
212,1181.0
213,824.75
214,1053.0
215,216.0
216,92.08
217,388.0
218,1466.0
219,1609.0
220,828.0
221,999.01
222,386.14
223,164.0
224,386.14
225,1461.0
226,1555.0
227,972.0
228,800.99
229,627.0
230,210.89
231,54.0
232,1035.0
233,1687.0
234,1130.0
235,904.0
236,949.5
237,390.1
238,94.0
239,96.0
240,1262.0
241,1566.0
242,1364.0
243,764.36
244,844.0
245,112.0
246,72.0
247,708.0
248,1352.0
249,1197.0
250,890.0
251,891.0
252,225.74
253,55.0
254,400.0
255,1607.0
256,1639.0
257,829.0
258,960.4
259,580.2
260,133.0
261,164.36
262,955.45
263,1711.88
264,1291.0
265,1081.0
266,648.0
267,353.0
268,165.35
269,330.0
270,1694.0
271,1599.01
272,480.0
273,1040.0
274,1208.91
275,81.37
276,59.0
277,955.45
278,1491.0
279,1529.0
280,942.0
281,1043.56
282,436.0
283,135.64
284,137.0
285,1289.11
286,1657.0
287,1132.0
288,1049.0
289,976.0
290,301.98
291,53.0
292,235.64
293,1614.85
294,1555.0
295,1056.0
296,865.0
297,927.0
298,159.0
299,99.0
300,376.0
301,1578.22
302,1311.88
303,1071.0
304,1035.0
305,587.0
306,94.0
307,145.54
308,1252.0
309,1662.0
310,884.0
311,773.0
312,1010.0
313,263.37
314,42.0
315,1179.0
316,1222.77
317,1443.0
318,990.1
319,1036.0
320,342.0
321,51.0
322,157.43
323,1399.0
324,1759.0
325,846.53
326,862.38
327,985.15
328,238.0
329,90.1
330,404.85
331,1866.0
332,1496.0
333,1007.0
334,961.39
335,837.0
336,74.0
337,92.08
338,573.0
339,1738.0
340,1768.63
341,954.0
342,901.0
343,817.0
344,68.0
345,75.0
346,551.49
347,1731.0
348,1407.0
349,1059.0
350,931.68
351,581.19
352,133.66
353,126.0
354,1064.36
355,1738.0
356,1463.0
357,930.39
358,1024.0
359,392.08
360,225.0
361,114.85
362,1709.0
363,1755.0
364,1230.0
365,838.0
366,679.21
367,218.81
368,116.0
369,1147.0
370,1871.57
371,1070.0
372,910.89
373,1303.0
374,484.16
375,191.0
376,681.0
377,1195.0
378,1710.89
379,1250.0
380,1010.89
381,538.0
382,210.0
383,162.0
384,870.0
385,1549.0
386,1465.35
387,749.0
388,913.0
389,247.0
390,175.0
391,298.02
392,1551.0
393,1706.93
394,997.0
395,1000.0
396,871.29
397,134.65
398,120.0
399,965.0
