avgqu-sz,node153
0,0.616667
1,75.05
2,33.7033
3,0.77
4,0.00333333
5,0.05
6,0.306667
7,3.02333
8,16.66
9,46.8
10,44.92
11,20.0933
12,0.00333333
13,0.0233333
14,0.4
15,0.55
16,39.2833
17,65.0667
18,2.91667
19,0.893333
20,0.0
21,0.326667
22,0.51
23,0.43
24,46.8967
25,33.9367
26,0.68
27,0.0
28,0.0
29,0.73
30,0.613333
31,9.26333
32,1.0
33,1.0
34,0.143333
35,0.0266667
36,1.01
37,0.306667
38,0.503333
39,106.323
40,79.4067
41,2.86667
42,0.03
43,0.0
44,0.326667
45,0.37
46,0.403333
47,105.897
48,116.36
49,50.2333
50,0.07
51,0.00333333
52,0.256667
53,1.95333
54,0.43
55,92.1667
56,42.51
57,0.583333
58,0.0
59,0.07
60,0.266667
61,0.28
62,31.5867
63,78.94
64,44.6333
65,0.593333
66,0.00333333
67,1.43333
68,2.07667
69,0.313333
70,43.4533
71,16.6733
72,1.40333
73,0.0
74,0.0966667
75,0.776667
76,4.46333
77,41.6233
78,1.0
79,1.00667
80,0.176667
81,0.0
82,0.24
83,0.386667
84,18.92
85,77.27
86,56.6033
87,14.5733
88,0.0
89,0.01
90,0.303333
91,0.483333
92,9.59667
93,77.8833
94,30.3867
95,0.556667
96,0.0
97,0.0266667
98,2.72667
99,0.95
100,72.45
101,52.3667
102,28.29
103,0.0133333
104,0.00333333
105,0.316667
106,0.52
107,4.22
108,82.5967
109,84.1
110,16.38
111,0.0
112,0.0
113,0.9
114,0.4
115,10.27
116,121.177
117,80.6633
118,24.85
119,0.0366667
120,0.0233333
121,0.413333
122,0.38
123,11.7267
124,110.307
125,43.9233
126,10.8
127,0.00333333
128,0.12
129,0.65
130,0.31
131,55.0067
132,76.3733
133,38.7367
134,0.0666667
135,0.0233333
136,0.376667
137,0.513333
138,10.2167
139,64.1867
140,30.0
141,18.2867
142,0.0
143,0.0
144,1.24333
145,0.473333
146,17.2333
147,88.9333
148,59.7333
149,10.5433
150,0.0
151,0.06
152,0.626667
153,0.6
154,27.5533
155,77.09
156,26.26
157,0.193333
158,0.0
159,1.00667
160,1.73333
161,0.426667
162,88.73
163,67.2167
164,11.9067
165,0.0
166,0.126667
167,0.44
168,2.11333
169,19.25
170,103.767
171,22.6033
172,0.416667
173,0.02
174,0.09
175,1.06
176,0.51
177,74.8667
178,69.4567
179,5.09667
180,0.0566667
181,0.02
182,0.493333
183,0.573333
184,39.7833
185,95.9167
186,37.6667
187,6.75
188,0.0
189,0.0733333
190,0.323333
191,0.57
192,44.1433
193,57.99
194,0.92
195,0.0
196,0.0
197,0.7
198,1.11
199,9.49667
200,65.5267
201,18.6267
202,0.193333
203,0.0
204,0.326667
205,0.506667
206,0.36
207,60.5767
208,30.48
209,1.24333
210,0.0866667
211,0.0
212,2.67
213,0.846667
214,17.2067
215,72.38
216,3.30333
217,0.09
218,0.0
219,0.0633333
220,0.383333
221,1.86333
222,85.9
223,1.37333
224,0.54
225,0.0
226,0.12
227,0.386667
228,0.253333
229,56.7467
230,52.64
231,12.0
232,1.28
233,0.0
234,0.41
235,0.47
236,0.513333
237,58.11
238,31.1367
239,1.10667
240,0.01
241,0.0
242,0.346667
243,0.353333
244,15.13
245,60.0967
246,1.77333
247,0.0233333
248,0.0
249,0.08
250,1.00667
251,8.17333
252,58.5867
253,38.21
254,0.473333
255,0.0
256,0.0766667
257,0.393333
258,7.46667
259,41.4467
260,84.3333
261,29.9567
262,0.143333
263,0.0
264,1.96333
265,0.9
266,15.7867
267,57.12
268,28.1733
269,0.616667
270,0.0
271,0.243333
272,11.2467
273,0.303333
274,22.77
275,84.6767
276,39.11
277,12.1133
278,0.786667
279,0.276667
280,0.376667
281,0.493333
282,59.2133
283,63.8767
284,17.2367
285,0.0166667
286,0.0466667
287,0.343333
288,0.5
289,0.446667
290,68.9333
291,51.76
292,13.9367
293,0.0
294,0.0933333
295,0.373333
296,1.55
297,27.8867
298,102.06
299,62.89
300,2.80333
301,0.0
302,0.353333
303,0.336667
304,1.03333
305,33.82
306,53.7767
307,21.9367
308,0.0133333
309,0.116667
310,16.79
311,10.1967
312,5.04667
313,1.33333
314,0.666667
315,0.04
316,10.06
317,0.17
318,0.283333
319,3.10667
320,44.71
321,43.2
322,4.75
323,0.0366667
324,0.106667
325,0.99
326,0.37
327,5.79667
328,110.387
329,58.7967
330,13.14
331,0.0
332,0.236667
333,0.633333
334,1.17333
335,45.07
336,125.867
337,124.937
338,27.1
339,0.0
340,0.343333
341,0.503333
342,3.23667
343,30.7933
344,49.96
345,38.1467
346,0.406667
347,0.0
348,0.303333
349,0.416667
350,0.343333
351,61.8933
352,75.92
353,1.0
354,0.236667
355,0.0
356,0.55
357,0.466667
358,1.09
359,63.5567
360,44.6767
361,0.596667
362,0.0
363,0.07
364,0.396667
365,5.54667
366,22.18
367,77.54
368,27.5267
369,0.253333
370,0.0566667
371,22.2033
372,0.943333
373,0.363333
374,60.3967
375,47.7333
376,4.04667
377,0.863333
378,0.0533333
379,0.276667
380,0.413333
381,47.11
382,54.9433
383,43.7367
384,0.81
385,0.0
386,0.843333
387,0.62
388,12.2733
389,45.13
390,16.6067
391,0.643333
392,0.0
393,0.266667
394,0.79
395,6.17667
396,52.5467
397,52.96
398,1.93333
399,0.05
