avgrq-sz,node153
0,15.8833
1,235.52
2,2.85333
3,8.33
4,6.05667
5,5.61667
6,8.59667
7,8.57667
8,12.4967
9,17.7133
10,12.1
11,9.29667
12,143.943
13,104.867
14,8.68333
15,8.62333
16,19.4267
17,5.89667
18,21.58
19,9.08333
20,0.0
21,8.43
22,8.73
23,8.66667
24,13.5
25,13.1067
26,9.92333
27,0.0
28,0.0
29,8.79333
30,8.6
31,15.41
32,0.0
33,1.33333
34,11.9167
35,22.7733
36,8.64333
37,8.84333
38,8.82
39,32.6267
40,14.5767
41,12.03
42,8.05667
43,0.0
44,8.36333
45,8.79
46,8.72333
47,21.27
48,2.66667
49,8.95667
50,14.77
51,140.2
52,8.51
53,8.57333
54,8.52
55,13.5533
56,9.94667
57,10.1967
58,0.0
59,5.98
60,8.69667
61,8.57667
62,15.75
63,15.5833
64,0.0
65,12.9
66,164.0
67,13.49
68,13.7667
69,8.6
70,12.2867
71,2.97667
72,19.09
73,0.0
74,3.13667
75,8.67667
76,8.49333
77,13.82
78,0.0
79,10.7567
80,2.66667
81,0.0
82,8.77
83,8.64
84,14.02
85,12.5233
86,6.10667
87,8.89333
88,160.0
89,145.763
90,8.73
91,8.71
92,17.1367
93,2.78333
94,10.5567
95,9.36333
96,0.0
97,2.85333
98,14.9767
99,14.99
100,28.9467
101,5.69667
102,8.54
103,2.4
104,169.333
105,8.49
106,8.66
107,13.44
108,2.86
109,8.69333
110,13.1067
111,0.0
112,0.0
113,8.54667
114,8.82667
115,13.1567
116,21.25
117,12.1633
118,9.28
119,9.55
120,2.72
121,8.55
122,8.63667
123,8.52667
124,17.8533
125,12.8633
126,9.15667
127,119.19
128,5.9
129,8.70667
130,8.68667
131,19.2133
132,17.4133
133,8.67667
134,3.22333
135,181.333
136,22.3567
137,14.7433
138,15.3533
139,10.2367
140,0.0
141,13.1333
142,0.0
143,0.0
144,8.67
145,8.70333
146,12.9733
147,3.0
148,13.7533
149,9.50333
150,0.0
151,5.74
152,8.58333
153,8.65
154,17.9733
155,18.0033
156,8.79333
157,9.73
158,0.0
159,8.63
160,8.6
161,8.57667
162,16.5167
163,18.6867
164,8.45333
165,240.0
166,153.183
167,23.4967
168,8.74333
169,16.44
170,10.12
171,2.83333
172,14.9267
173,148.443
174,5.67
175,8.67667
176,8.57
177,16.5633
178,158.307
179,10.5333
180,5.33333
181,2.97333
182,8.71667
183,8.76333
184,25.3833
185,8.66333
186,11.3833
187,9.48667
188,0.0
189,5.67333
190,8.92
191,8.91333
192,17.5233
193,9.72333
194,10.45
195,0.0
196,0.0
197,8.47
198,8.53
199,24.7867
200,8.49333
201,8.64667
202,68.5533
203,213.333
204,144.783
205,20.07
206,8.72667
207,9.11
208,18.61
209,11.1667
210,10.4667
211,0.0
212,8.63667
213,8.83
214,10.8233
215,13.2333
216,11.92
217,2.66667
218,0.0
219,5.77
220,8.61667
221,12.3
222,12.98
223,11.7567
224,8.38667
225,0.0
226,5.8
227,8.52333
228,8.48333
229,18.3867
230,5.7
231,0.0
232,10.0833
233,0.0
234,21.9833
235,8.88
236,8.77
237,12.2767
238,6.73
239,112.24
240,133.723
241,0.0
242,8.47667
243,8.79667
244,10.5133
245,13.6967
246,15.4467
247,2.22333
248,0.0
249,5.62667
250,8.6
251,14.8567
252,8.41333
253,12.5033
254,5.91
255,0.0
256,5.61333
257,8.53333
258,12.28
259,16.1167
260,0.0
261,8.70667
262,7.08667
263,0.0
264,8.67333
265,19.39
266,14.21
267,14.3133
268,8.44667
269,7.94
270,0.0
271,27.7633
272,21.4633
273,5.73
274,260.857
275,0.0
276,12.1367
277,23.71
278,8.31
279,5.91667
280,8.52667
281,8.80333
282,26.7533
283,10.7033
284,10.02
285,8.20667
286,5.6
287,8.84333
288,8.59333
289,8.87
290,88.98
291,5.68333
292,8.41667
293,0.0
294,5.65667
295,8.59333
296,20.52
297,13.4733
298,17.3767
299,12.0233
300,9.56667
301,144.89
302,13.43
303,8.98667
304,8.98
305,17.6033
306,0.0
307,7.06
308,2.49
309,131.787
310,20.9267
311,9.18333
312,5.74333
313,11.45
314,7.0
315,4.63
316,4.10667
317,5.84
318,5.74667
319,8.75
320,10.59
321,9.00333
322,13.1033
323,6.45667
324,5.76333
325,8.61333
326,15.6433
327,15.9567
328,5.74333
329,18.6167
330,10.3067
331,120.89
332,21.32
333,8.37667
334,8.80333
335,20.7833
336,5.76333
337,9.16667
338,14.54
339,0.0
340,8.44667
341,26.9533
342,8.62
343,13.7267
344,25.7167
345,7.69
346,8.98333
347,0.0
348,8.45333
349,8.62667
350,8.56667
351,15.93
352,11.1567
353,10.1667
354,7.88333
355,0.0
356,16.25
357,8.56333
358,8.80333
359,9.97
360,14.1033
361,6.89
362,218.667
363,18.5367
364,8.58667
365,13.73
366,13.37
367,5.68333
368,8.68333
369,5.6
370,2.83333
371,10.81
372,8.64
373,5.84
374,19.5
375,5.68
376,14.39
377,175.313
378,5.76333
379,8.6
380,8.64667
381,15.5333
382,11.1333
383,10.74
384,5.79
385,0.0
386,22.2033
387,8.78
388,15.6033
389,18.42
390,9.98333
391,7.57333
392,0.0
393,23.41
394,15.4967
395,8.64667
396,15.02
397,8.76667
398,41.5767
399,5.42667
