svctm,node153
0,1.98333
1,76.7733
2,0.76
3,78.26
4,0.276667
5,0.516667
6,1.54
7,2.13333
8,1.17
9,4.76333
10,195.497
11,207.377
12,0.39
13,0.493333
14,2.06
15,1.42
16,2.06667
17,2.25667
18,254.807
19,31.4133
20,0.0
21,0.986667
22,2.49333
23,1.07667
24,4.22
25,168.74
26,132.023
27,0.0
28,0.0
29,1.50667
30,2.31667
31,0.52
32,0.0
33,166.667
34,27.6167
35,0.213333
36,1.78333
37,3.13667
38,1.94
39,8.0
40,4.57
41,187.59
42,4.94333
43,0.0
44,3.04667
45,2.08667
46,1.79
47,3.77667
48,33.4
49,5.90333
50,6.61
51,0.266667
52,1.38333
53,1.67333
54,1.48
55,2.71333
56,9.10667
57,118.69
58,0.0
59,0.523333
60,1.51667
61,0.99
62,2.17667
63,169.757
64,333.333
65,13.1933
66,0.5
67,2.26667
68,2.17
69,0.966667
70,2.0
71,4.84667
72,22.6933
73,0.0
74,0.116667
75,2.94
76,2.34333
77,1.16
78,0.0
79,172.16
80,11.0
81,0.0
82,2.66
83,1.32
84,1.93333
85,3.61
86,6.32
87,44.65
88,0.666667
89,0.763333
90,1.71333
91,1.41667
92,1.07
93,2.11667
94,46.6033
95,31.9533
96,0.0
97,0.06
98,1.33
99,2.73333
100,5.99333
101,4.80333
102,31.8767
103,1.2
104,0.5
105,1.52
106,1.56
107,1.11667
108,1.08667
109,123.45
110,22.1167
111,0.0
112,0.0
113,1.68333
114,1.42333
115,1.08
116,5.96
117,345.123
118,111.043
119,1.28333
120,0.16
121,2.62667
122,1.55667
123,1.93333
124,4.29667
125,179.36
126,24.8333
127,0.333333
128,1.44
129,3.12333
130,0.793333
131,2.1
132,504.927
133,308.013
134,7.29667
135,2.93333
136,1.72333
137,2.66
138,0.81
139,4.22
140,0.0
141,67.0767
142,0.0
143,0.0
144,1.71333
145,1.36667
146,0.686667
147,6.93667
148,113.877
149,20.44
150,0.0
151,0.523333
152,3.03667
153,1.39333
154,159.047
155,69.46
156,116.913
157,8.56
158,0.0
159,1.44667
160,1.80667
161,2.17667
162,4.40333
163,36.5233
164,87.5133
165,0.0
166,2.29667
167,2.41333
168,1.77667
169,3.91
170,4.31667
171,1.3
172,18.6433
173,1.39
174,1.22333
175,2.75333
176,1.34667
177,3.62
178,69.27
179,32.4633
180,56.3333
181,0.11
182,2.5
183,2.41667
184,3.37
185,6.07
186,176.97
187,43.43
188,0.0
189,0.386667
190,2.31333
191,1.92
192,2.08667
193,23.9333
194,167.107
195,0.0
196,0.0
197,2.80667
198,2.18333
199,1.70333
200,3.18
201,338.29
202,27.7767
203,0.333333
204,1.38333
205,2.71
206,1.82
207,2.09667
208,4.90333
209,298.113
210,1.06667
211,0.0
212,1.93
213,2.32333
214,1.08667
215,5.16333
216,206.217
217,0.4
218,0.0
219,0.463333
220,2.71
221,1.72667
222,2.63667
223,280.25
224,44.5733
225,0.0
226,0.643333
227,0.95
228,0.54
229,1.62333
230,4.67667
231,0.0
232,28.3467
233,0.0
234,2.54
235,2.34333
236,2.71
237,4.56333
238,163.87
239,69.0033
240,1.66667
241,0.0
242,1.25667
243,1.23333
244,1.35667
245,7.79
246,232.52
247,3.66667
248,0.0
249,0.223333
250,1.90333
251,1.86
252,18.4333
253,98.6667
254,33.0467
255,0.0
256,0.846667
257,1.56
258,1.31
259,1.73333
260,0.0
261,11.6933
262,14.68
263,0.0
264,2.41667
265,1.63667
266,61.2067
267,2.90667
268,7.64
269,52.7633
270,0.0
271,2.06667
272,2.36667
273,1.05333
274,20.4067
275,0.0
276,137.867
277,5.99667
278,0.853333
279,1.34667
280,1.22667
281,2.42667
282,3.86
283,3.16
284,119.853
285,1.58667
286,0.11
287,1.65667
288,2.96
289,0.766667
290,25.2367
291,10.0233
292,111.16
293,0.0
294,0.45
295,1.76333
296,1.43333
297,2.02667
298,5.64333
299,50.09
300,40.3167
301,0.11
302,1.74
303,1.43333
304,2.29333
305,1.23667
306,0.0
307,10.37
308,1.0
309,0.676667
310,1.83667
311,3.43
312,0.263333
313,2.28667
314,335.0
315,8.77667
316,0.213333
317,1.19333
318,1.37
319,2.43667
320,10.8033
321,164.5
322,188.357
323,7.04
324,0.816667
325,3.04
326,1.48333
327,1.77
328,3.93
329,46.4633
330,75.8767
331,0.11
332,1.44
333,1.07
334,3.16
335,3.3
336,5.59667
337,25.03
338,4.52667
339,0.0
340,1.43
341,2.39
342,1.25333
343,2.68667
344,20.01
345,165.41
346,58.1533
347,0.0
348,1.24
349,1.92667
350,1.38
351,5.06
352,6.13
353,500.167
354,35.97
355,0.0
356,1.02
357,1.38333
358,1.24
359,7.75667
360,17.0267
361,199.0
362,0.333333
363,0.413333
364,1.09
365,1.18
366,2.85667
367,3.09667
368,7.41333
369,21.13
370,0.0566667
371,4.96333
372,2.43333
373,0.8
374,3.24
375,2.59
376,12.92
377,36.78
378,0.203333
379,1.59667
380,0.586667
381,3.18
382,3.22333
383,14.8667
384,5.59
385,0.0
386,1.92667
387,3.62667
388,1.90667
389,337.513
390,128.93
391,63.9133
392,0.0
393,0.27
394,2.08333
395,2.16333
396,2.48
397,5.83
398,194.693
399,0.853333
