%util,node153
0,27.8333
1,92.0
2,98.4833
3,75.8667
4,0.166667
5,1.96667
6,16.0333
7,32.6067
8,34.42
9,100.0
10,99.3733
11,59.64
12,0.233333
13,0.533333
14,24.2667
15,25.2333
16,44.3333
17,99.4
18,99.47
19,40.8267
20,0.0
21,3.96667
22,27.7
23,14.1
24,68.3167
25,98.0833
26,67.9333
27,0.0
28,0.0
29,13.4
30,29.0333
31,23.4
32,99.8
33,100.0
34,14.1
35,1.05667
36,22.84
37,21.0667
38,27.1667
39,87.8667
40,99.2733
41,84.6667
42,2.96667
43,0.0
44,21.8333
45,22.1667
46,22.7667
47,88.7
48,99.21
49,99.3
50,7.03333
51,0.133333
52,10.99
53,22.7
54,19.5333
55,92.1
56,99.0333
57,58.3
58,0.0
59,2.3
60,14.3533
61,12.87
62,42.3667
63,100.167
64,100.0
65,13.0333
66,0.296667
67,18.9667
68,25.4
69,12.7333
70,85.0
71,99.31
72,44.2567
73,0.0
74,0.433333
75,28.48
76,23.5667
77,59.9
78,100.0
79,84.3867
80,4.4
81,0.0
82,15.5
83,18.6667
84,44.7533
85,99.1667
86,99.8333
87,89.2733
88,0.0666667
89,0.466667
90,18.0667
91,22.3
92,35.4
93,99.41
94,99.7333
95,27.82
96,0.0
97,0.3
98,19.4667
99,22.2
100,83.3
101,98.7467
102,88.2667
103,1.2
104,0.3
105,18.1667
106,16.9667
107,16.8967
108,97.9667
109,99.6367
110,86.1333
111,0.0
112,0.0
113,20.1333
114,17.5333
115,27.6333
116,99.1733
117,100.033
118,92.3333
119,1.16667
120,0.793333
121,26.24
122,18.7
123,24.6667
124,99.2067
125,98.78
126,42.2333
127,0.23
128,6.7
129,31.52
130,10.2633
131,54.8167
132,100.667
133,93.1033
134,6.56667
135,1.46667
136,17.1667
137,29.9333
138,20.3967
139,92.1
140,100.0
141,82.0
142,0.0
143,0.0
144,20.2667
145,17.5333
146,26.7
147,100.1
148,98.7333
149,69.3333
150,0.0
151,2.7
152,33.63
153,22.2767
154,46.5333
155,99.0733
156,99.8
157,7.76667
158,0.0
159,12.4133
160,23.3
161,18.9767
162,93.5333
163,98.8
164,82.7333
165,0.0
166,3.56667
167,24.4667
168,23.4333
169,29.3333
170,98.9333
171,99.9333
172,18.9333
173,0.826667
174,5.56667
175,33.3967
176,20.8
177,93.3333
178,96.7333
179,69.8
180,5.63333
181,0.433333
182,30.5933
183,27.7
184,49.9
185,99.08
186,99.9
187,56.7667
188,0.0
189,3.00333
190,21.1867
191,24.3233
192,68.5
193,99.2667
194,91.5333
195,0.0
196,0.0
197,22.0
198,30.5
199,29.4333
200,98.9
201,99.2767
202,19.2767
203,0.0333333
204,9.03333
205,26.8
206,20.1
207,72.7333
208,98.5467
209,82.4
210,1.06667
211,0.0
212,21.6667
213,19.7667
214,28.9
215,95.2333
216,97.1533
217,0.6
218,0.0
219,2.06667
220,26.0
221,32.1667
222,96.2
223,98.1833
224,50.8
225,0.0
226,2.43333
227,13.3667
228,5.77667
229,49.6033
230,99.8667
231,100.0
232,20.2333
233,0.0
234,27.4333
235,30.2633
236,26.4
237,84.4867
238,98.7
239,81.58
240,1.0
241,0.0
242,16.1333
243,14.5333
244,42.87
245,99.0667
246,89.9
247,2.17667
248,0.0
249,1.7
250,23.5
251,31.3
252,99.1433
253,95.7333
254,46.8667
255,0.0
256,4.16667
257,18.9867
258,25.4
259,53.9267
260,99.6
261,80.3967
262,13.9333
263,0.0
264,21.4333
265,24.9167
266,47.06
267,62.6733
268,66.2067
269,48.8667
270,0.0
271,13.1
272,34.3333
273,15.7733
274,31.3867
275,100.3
276,92.4733
277,27.4
278,3.83333
279,15.58
280,18.3667
281,26.9667
282,47.9667
283,92.4667
284,98.3167
285,1.73333
286,0.5
287,17.5
288,36.3733
289,11.9333
290,91.9333
291,99.7333
292,76.9333
293,0.0
294,2.03333
295,22.4433
296,21.1533
297,39.37
298,100.033
299,99.5333
300,48.5133
301,0.0333333
302,18.5333
303,17.56
304,27.2
305,38.6333
306,66.8
307,61.5833
308,1.5
309,2.14667
310,34.5667
311,41.3
312,7.6
313,63.5333
314,66.4
315,3.83333
316,11.9333
317,9.96667
318,17.1333
319,21.3
320,90.3633
321,97.7333
322,93.8667
323,3.79667
324,4.23333
325,32.6
326,18.7667
327,32.4667
328,96.8
329,100.067
330,62.5333
331,0.0333333
332,11.0233
333,13.4333
334,31.0667
335,45.6
336,100.033
337,98.91
338,62.7667
339,0.0
340,13.7667
341,33.9667
342,13.7667
343,49.8
344,98.81
345,99.6333
346,40.76
347,0.0
348,9.83333
349,25.1667
350,17.16
351,68.1667
352,98.7767
353,100.067
354,23.63
355,0.0
356,15.2667
357,23.0
358,14.59
359,85.6
360,93.1333
361,59.7
362,0.0333333
363,2.06667
364,15.58
365,17.2233
366,31.3
367,66.4333
368,65.94
369,19.5333
370,0.72
371,44.19
372,20.8
373,12.74
374,48.2667
375,65.81
376,29.2333
377,30.1667
378,0.933333
379,14.2567
380,8.83333
381,47.9833
382,76.9667
383,87.36
384,15.81
385,0.0
386,16.3333
387,43.2
388,35.51
389,84.7167
390,98.5333
391,52.3
392,0.0
393,1.94667
394,27.2667
395,29.3
396,46.0733
397,98.5133
398,84.3667
399,1.53333
