wMB/s,node153
0,1.03333
1,2.03667
2,0.6
3,0.04
4,0.0166667
5,0.103333
6,0.48
7,0.63
8,2.59667
9,0.606667
10,0.21
11,0.243333
12,0.423333
13,0.266667
14,0.56
15,0.713333
16,2.09333
17,0.846667
18,0.493333
19,0.0566667
20,0.0
21,0.23
22,0.466667
23,0.6
24,2.16
25,1.33333
26,0.0266667
27,0.0
28,0.0
29,0.366667
30,0.56
31,3.51333
32,0.00666667
33,0.0
34,0.0366667
35,0.55
36,0.553333
37,0.296667
38,0.596667
39,1.75333
40,1.48333
41,0.04
42,0.0466667
43,0.0
44,0.343333
45,0.463333
46,0.556667
47,2.53
48,0.0133333
49,0.923333
50,0.1
51,0.343333
52,0.38
53,0.633333
54,0.536667
55,2.5
56,0.726667
57,0.0266667
58,0.0
59,0.14
60,0.423333
61,0.556667
62,1.96333
63,1.32333
64,0.0
65,0.263333
66,0.476667
67,0.78
68,0.803333
69,0.55
70,2.57333
71,0.1
72,0.296667
73,0.0
74,0.0566667
75,0.4
76,0.436667
77,3.48
78,0.0
79,0.05
80,0.00666667
81,0.0
82,0.323333
83,0.546667
84,2.14
85,1.03
86,0.333333
87,0.293333
88,0.0766667
89,0.36
90,0.46
91,0.666667
92,2.93
93,0.213333
94,0.43
95,0.04
96,0.0
97,0.07
98,0.906667
99,0.76
100,2.19667
101,0.44
102,0.313333
103,0.0133333
104,0.496667
105,0.443333
106,0.493333
107,2.14
108,0.403333
109,0.283333
110,0.676667
111,0.0
112,0.0
113,0.543333
114,0.533333
115,1.57667
116,1.72
117,0.253333
118,0.363333
119,0.0433333
120,0.0666667
121,0.443333
122,0.546667
123,0.54
124,1.61
125,1.09333
126,0.51
127,0.403333
128,0.193333
129,0.433333
130,0.506667
131,2.68333
132,0.306667
133,0.31
134,0.0133333
135,0.443333
136,1.17333
137,0.81
138,1.86
139,1.63667
140,0.0
141,0.323333
142,0.0
143,0.0
144,0.486667
145,0.536667
146,2.4
147,0.07
148,1.05667
149,0.303333
150,0.0
151,0.136667
152,0.466667
153,0.66
154,0.98
155,1.76667
156,0.353333
157,0.0666667
158,0.0
159,0.37
160,0.513333
161,0.426667
162,1.95333
163,1.14333
164,0.28
165,0.116667
166,0.913333
167,1.20333
168,0.566667
169,0.853333
170,1.6
171,0.353333
172,0.28
173,0.43
174,0.116667
175,0.5
176,0.646667
177,2.03
178,0.876667
179,0.15
180,0.00333333
181,0.0566667
182,0.546667
183,0.496667
184,2.50667
185,0.706667
186,0.31
187,0.153333
188,0.0
189,0.186667
190,0.4
191,0.566667
192,2.95667
193,0.643333
194,0.0433333
195,0.0
196,0.0
197,0.436667
198,0.593333
199,2.28
200,1.33333
201,0.123333
202,0.386667
203,0.103333
204,0.576667
205,1.14
206,0.42
207,1.72667
208,1.23333
209,0.0166667
210,0.0433333
211,0.0
212,0.446667
213,0.443333
214,1.49667
215,2.27333
216,0.0366667
217,0.02
218,0.0
219,0.12
220,0.413333
221,1.31667
222,2.37
223,0.113333
224,0.05
225,0.0
226,0.116667
227,0.603333
228,0.463333
229,2.95
230,0.566667
231,0.0
232,0.0933333
233,0.0
234,1.07333
235,0.58
236,0.453333
237,2.12667
238,0.996667
239,0.42
240,0.393333
241,0.0
242,0.483333
243,0.44
244,1.65667
245,1.98333
246,0.0433333
247,0.00666667
248,0.0
249,0.216667
250,0.536667
251,1.9
252,0.566667
253,1.11667
254,0.0433333
255,0.0
256,0.176667
257,0.513333
258,1.22333
259,2.26333
260,0.0
261,0.6
262,0.0466667
263,0.0
264,0.426667
265,1.38333
266,1.26667
267,1.97
268,0.41
269,0.07
270,0.0
271,0.813333
272,1.74
273,0.42
274,2.01667
275,0.0
276,0.466667
277,0.996667
278,0.183333
279,0.366667
280,0.573333
281,0.556667
282,1.56
283,1.75667
284,0.213333
285,0.04
286,0.116667
287,0.48
288,0.52
289,0.666667
290,2.76667
291,0.413333
292,0.193333
293,0.0
294,0.173333
295,0.56
296,1.39
297,1.50667
298,1.03
299,0.786667
300,0.1
301,0.213333
302,0.72
303,0.546667
304,0.533333
305,2.89667
306,0.0
307,0.5
308,0.0166667
309,0.636667
310,1.80667
311,0.543333
312,0.706667
313,1.71333
314,0.00666667
315,0.0166667
316,1.11667
317,0.266667
318,0.41
319,0.43
320,1.29
321,1.01333
322,1.11333
323,0.02
324,0.206667
325,0.443333
326,1.00333
327,1.79
328,0.53
329,1.08667
330,0.473333
331,0.176667
332,0.686667
333,0.57
334,0.546667
335,1.72667
336,0.336667
337,0.49
338,1.19667
339,0.0
340,0.35
341,1.24333
342,0.576667
343,1.66
344,1.55333
345,0.303333
346,0.0333333
347,0.0
348,0.37
349,0.56
350,0.503333
351,2.01667
352,1.72
353,0.01
354,0.0433333
355,0.0
356,1.21333
357,0.7
358,0.5
359,1.11667
360,2.25
361,0.01
362,0.106667
363,0.463333
364,0.583333
365,1.09
366,1.32667
367,0.606667
368,0.903333
369,0.0233333
370,0.173333
371,1.26
372,0.466667
373,0.443333
374,1.42333
375,0.706667
376,0.196667
377,1.44333
378,0.13
379,0.44
380,0.656667
381,1.16
382,1.05
383,1.17
384,0.12
385,0.0
386,1.01667
387,0.54
388,1.87333
389,1.65333
390,0.276667
391,0.0533333
392,0.0
393,0.716667
394,1.05667
395,0.573333
396,2.10667
397,0.983333
398,0.386667
399,0.0366667
