w_await,node153
0,4.55
1,166.807
2,162.897
3,148.693
4,0.5
5,1.32333
6,2.71
7,21.42
8,28.7467
9,327.77
10,1317.13
11,562.177
12,0.5
13,0.896667
14,3.0
15,3.49
16,9.19667
17,229.463
18,858.677
19,76.71
20,0.0
21,5.95667
22,4.81
23,3.24
24,99.59
25,473.67
26,230.777
27,0.0
28,0.0
29,7.37
30,3.73
31,21.9433
32,0.0
33,315.667
34,349.53
35,0.353333
36,7.99333
37,4.58
38,3.58667
39,100.597
40,715.523
41,509.177
42,16.39
43,0.0
44,4.13333
45,3.63667
46,3.12667
47,171.917
48,435.0
49,1375.53
50,12.39
51,0.533333
52,2.88
53,12.9233
54,3.01667
55,259.19
56,499.093
57,238.143
58,0.0
59,1.42333
60,2.79667
61,2.12667
62,23.51
63,516.123
64,304.333
65,610.25
66,0.723333
67,9.69
68,20.8333
69,2.91667
70,41.68
71,307.547
72,606.67
73,0.0
74,2.60333
75,4.08333
76,5.91667
77,88.24
78,0.0
79,396.04
80,96.6667
81,0.0
82,3.70667
83,2.81667
84,8.52667
85,383.1
86,717.777
87,289.36
88,0.666667
89,1.61
90,2.87667
91,2.71333
92,21.56
93,0.993333
94,993.217
95,73.4467
96,0.0
97,0.52
98,15.8633
99,10.03
100,102.993
101,582.757
102,296.04
103,3.5
104,0.61
105,2.44333
106,4.76333
107,9.79
108,16.9133
109,1621.15
110,553.92
111,0.0
112,0.0
113,6.83667
114,3.33333
115,6.41667
116,743.703
117,949.687
118,363.867
119,14.64
120,0.333333
121,4.06667
122,2.80667
123,12.6167
124,125.047
125,806.177
126,269.16
127,0.523333
128,0.933333
129,6.98667
130,2.61333
131,71.4433
132,727.413
133,1092.12
134,10.63
135,4.4
136,2.71667
137,5.34667
138,15.1567
139,177.553
140,0.0
141,931.943
142,0.0
143,0.0
144,9.28333
145,3.54667
146,32.6133
147,99.7367
148,947.073
149,111.557
150,0.0
151,0.746667
152,4.95667
153,3.95333
154,233.033
155,155.82
156,853.967
157,86.01
158,0.0
159,2.81667
160,19.7767
161,3.77
162,135.663
163,765.2
164,203.033
165,0.0
166,3.51667
167,4.28667
168,16.21
169,30.7233
170,450.26
171,55.0633
172,632.453
173,3.5
174,1.56333
175,9.17
176,3.52
177,66.1767
178,1222.37
179,178.397
180,96.6667
181,0.546667
182,2.75333
183,5.36
184,45.85
185,507.767
186,723.917
187,329.427
188,0.0
189,0.796667
190,3.75667
191,4.45
192,116.57
193,425.227
194,207.617
195,0.0
196,0.0
197,4.58
198,10.3
199,29.2533
200,177.167
201,892.667
202,57.0567
203,0.333333
204,4.77667
205,4.98667
206,3.35333
207,130.537
208,360.9
209,487.447
210,64.7333
211,0.0
212,20.85
213,8.37667
214,39.6467
215,219.873
216,524.29
217,5.91
218,0.0
219,1.41667
220,3.98667
221,8.54
222,210.71
223,483.5
224,94.9
225,0.0
226,3.20333
227,2.66667
228,2.23667
229,97.8767
230,362.597
231,0.0
232,808.943
233,0.0
234,3.73333
235,3.49333
236,5.00667
237,56.7833
238,284.61
239,141.953
240,1.89
241,0.0
242,2.52
243,3.66333
244,8.82667
245,324.98
246,407.483
247,11.3333
248,0.0
249,1.02333
250,8.99333
251,4.58667
252,290.67
253,415.5
254,37.4367
255,0.0
256,1.38667
257,3.18
258,3.50667
259,104.913
260,0.0
261,670.117
262,53.97
263,0.0
264,23.79
265,2.77667
266,133.743
267,52.99
268,476.697
269,67.6867
270,0.0
271,2.12667
272,27.9167
273,2.01
274,8.42333
275,0.0
276,1212.91
277,256.727
278,53.0367
279,2.24
280,2.61667
281,4.07333
282,80.07
283,334.103
284,799.15
285,5.05
286,1.04667
287,2.74333
288,3.78
289,3.52667
290,89.0967
291,697.087
292,437.447
293,0.0
294,1.31667
295,2.76
296,9.05333
297,34.0233
298,436.077
299,568.493
300,123.293
301,0.333333
302,2.82667
303,2.91
304,8.55333
305,99.1233
306,0.0
307,602.417
308,3.17667
309,1.78
310,38.34
311,104.82
312,14.25
313,2.22667
314,664.0
315,222.777
316,18.06
317,1.78333
318,2.32333
319,11.0533
320,44.8667
321,260.793
322,427.853
323,23.04
324,1.62
325,9.72
326,2.78667
327,7.22667
328,308.893
329,1094.06
330,259.333
331,0.333333
332,2.22667
333,4.8
334,8.57667
335,41.7133
336,511.393
337,1379.83
338,454.033
339,0.0
340,3.32667
341,2.56667
342,36.4533
343,29.7667
344,610.56
345,534.593
346,103.44
347,0.0
348,3.62667
349,3.15
350,2.65333
351,98.5333
352,440.367
353,620.667
354,105.313
355,0.0
356,3.51
357,2.40333
358,10.05
359,5.11667
360,289.107
361,228.89
362,0.333333
363,1.50667
364,2.48
365,29.6567
366,43.4767
367,254.9
368,388.42
369,71.0233
370,0.443333
371,70.3167
372,22.7767
373,2.40667
374,10.21
375,389.817
376,148.183
377,38.1167
378,1.13
379,2.62667
380,2.8
381,26.15
382,320.373
383,340.527
384,122.193
385,0.0
386,6.18
387,5.33667
388,27.4033
389,160.53
390,659.827
391,118.0
392,0.0
393,3.54
394,6.80667
395,46.48
396,17.51
397,495.287
398,374.973
399,13.74
