wrqm/s,node153
0,0.333333
1,1.0
2,0.66
3,0.0
4,1.33333
5,0.0
6,0.0
7,0.0
8,1.98
9,0.0
10,1.98
11,0.0
12,0.666667
13,0.333333
14,0.0
15,0.0
16,1.33333
17,0.666667
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,1.65
25,1.32
26,0.0
27,0.0
28,0.0
29,0.333333
30,0.0
31,2.0
32,0.0
33,0.0
34,1.33333
35,0.66
36,0.0
37,0.0
38,0.0
39,0.666667
40,0.99
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,2.33333
48,0.0
49,0.666667
50,0.333333
51,0.333333
52,0.0
53,0.0
54,0.0
55,1.66667
56,1.0
57,0.0
58,0.0
59,1.33333
60,0.0
61,0.0
62,1.0
63,0.666667
64,1.66667
65,0.0
66,0.66
67,0.0
68,0.333333
69,0.0
70,1.66667
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,2.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,2.31
85,0.0
86,0.0
87,0.66
88,0.333333
89,1.66667
90,0.0
91,0.0
92,1.33333
93,0.0
94,0.333333
95,0.0
96,0.0
97,0.0
98,0.333333
99,0.0
100,1.32
101,0.0
102,0.333333
103,0.0
104,0.666667
105,0.0
106,0.0
107,0.66
108,0.0
109,0.0
110,0.333333
111,0.0
112,0.0
113,0.0
114,0.0
115,1.33333
116,0.66
117,0.0
118,0.0
119,1.66667
120,0.0
121,0.0
122,0.0
123,1.0
124,0.33
125,0.66
126,0.666667
127,0.33
128,0.0
129,0.0
130,0.0
131,1.32
132,0.333333
133,0.0
134,0.0
135,0.666667
136,0.666667
137,0.0
138,0.66
139,1.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,1.66667
147,0.0
148,0.0
149,1.66667
150,0.0
151,0.0
152,0.0
153,0.0
154,1.0
155,0.33
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,1.65
162,2.33333
163,0.666667
164,0.0
165,0.333333
166,1.0
167,0.666667
168,0.0
169,0.333333
170,0.666667
171,0.0
172,0.0
173,0.66
174,0.0
175,0.0
176,0.0
177,1.0
178,0.66
179,1.33333
180,0.0
181,0.0
182,0.0
183,0.0
184,1.0
185,1.65
186,1.33333
187,0.0
188,0.0
189,0.0
190,0.0
191,1.65
192,2.0
193,1.33333
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,1.33333
200,1.33333
201,0.0
202,0.66
203,0.33
204,0.333333
205,0.333333
206,0.0
207,0.666667
208,0.99
209,3.33333
210,0.0
211,0.0
212,0.0
213,0.0
214,0.333333
215,2.33333
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,2.0
222,1.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,1.65
230,0.666667
231,0.0
232,0.0
233,0.0
234,0.666667
235,0.0
236,0.0
237,0.99
238,0.0
239,3.3
240,0.666667
241,0.0
242,0.0
243,0.0
244,0.66
245,1.33333
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,2.0
252,0.99
253,0.333333
254,0.0
255,0.0
256,0.0
257,0.0
258,0.333333
259,1.32
260,0.0
261,1.32
262,0.0
263,0.0
264,0.0
265,0.66
266,0.99
267,0.66
268,0.66
269,2.0
270,0.0
271,0.333333
272,0.666667
273,0.0
274,0.66
275,0.0
276,0.66
277,0.333333
278,0.0
279,0.0
280,0.0
281,2.0
282,1.0
283,1.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,1.66667
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.33
297,0.99
298,0.0
299,2.0
300,0.66
301,0.0
302,0.333333
303,0.0
304,0.0
305,1.33333
306,0.0
307,0.33
308,0.0
309,0.33
310,1.33333
311,2.0
312,0.0
313,0.99
314,0.0
315,0.0
316,1.0
317,0.0
318,0.0
319,0.0
320,1.65
321,0.333333
322,0.666667
323,0.0
324,0.0
325,0.0
326,0.666667
327,0.333333
328,0.66
329,0.666667
330,0.666667
331,0.0
332,0.33
333,0.0
334,0.0
335,1.0
336,0.666667
337,0.33
338,1.33333
339,0.0
340,0.0
341,1.33333
342,0.0
343,1.33333
344,0.66
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,1.33333
352,1.32
353,0.0
354,0.0
355,0.0
356,0.333333
357,0.0
358,0.0
359,3.33333
360,0.666667
361,0.0
362,0.333333
363,0.666667
364,0.0
365,0.33
366,2.0
367,0.0
368,0.33
369,0.0
370,0.0
371,1.65
372,0.0
373,0.0
374,0.333333
375,0.0
376,0.333333
377,0.666667
378,0.0
379,0.0
380,0.0
381,0.66
382,1.66667
383,0.66
384,0.0
385,0.0
386,0.333333
387,0.0
388,0.66
389,1.32
390,0.666667
391,0.0
392,0.0
393,0.66
394,0.333333
395,0.0
396,2.64
397,0.99
398,0.0
399,0.0
