w/s,node153
0,118.667
1,288.333
2,141.913
3,10.3333
4,2.0
5,25.3333
6,115.333
7,150.823
8,395.71
9,23.3333
10,46.5333
11,51.1533
12,2.0
13,17.0
14,132.0
15,169.667
16,260.667
17,195.333
18,27.7233
19,13.2
20,0.0
21,55.6667
22,110.333
23,143.0
24,289.77
25,199.34
26,5.33333
27,0.0
28,0.0
29,85.6667
30,133.667
31,464.333
32,0.0
33,0.666667
34,6.33333
35,16.5
36,130.693
37,69.0
38,138.667
39,195.667
40,259.077
41,8.66667
42,11.6667
43,0.0
44,85.0
45,107.667
46,130.333
47,258.333
48,3.3
49,216.333
50,11.6667
51,1.66667
52,91.7467
53,151.0
54,129.0
55,358.333
56,77.6667
57,5.33333
58,0.0
59,32.0
60,99.34
61,132.67
62,251.667
63,200.0
64,0.333333
65,58.3333
66,1.98
67,106.333
68,111.333
69,130.667
70,424.333
71,22.7733
72,22.44
73,0.0
74,12.3333
75,94.06
76,105.333
77,516.333
78,0.0
79,10.23
80,1.33333
81,0.0
82,75.6667
83,130.333
84,290.76
85,137.667
86,75.6667
87,64.3567
88,0.333333
89,4.0
90,107.667
91,156.667
92,368.667
93,52.1467
94,101.333
95,8.91
96,0.0
97,16.6667
98,135.333
99,101.0
100,301.653
101,105.94
102,73.0
103,3.33333
104,2.0
105,106.333
106,117.0
107,296.37
108,96.0
109,65.0167
110,79.6667
111,0.0
112,0.0
113,130.667
114,123.667
115,248.667
116,175.907
117,58.3333
118,85.0
119,7.0
120,16.5
121,106.6
122,129.667
123,130.0
124,161.057
125,144.553
126,118.0
127,2.31
128,44.6667
129,100.99
130,119.14
131,332.343
132,71.3333
133,74.5867
134,3.0
135,1.66667
136,106.333
137,112.87
138,237.953
139,301.667
140,0.0
141,37.3333
142,0.0
143,0.0
144,115.333
145,127.0
146,350.667
147,16.0
148,132.0
149,70.0
150,0.0
151,32.6667
152,111.55
153,156.107
154,144.0
155,200.66
156,83.6667
157,16.0
158,0.0
159,88.7767
160,122.667
161,102.64
162,250.667
163,152.333
164,67.6667
165,0.333333
166,59.3333
167,103.0
168,133.0
169,84.3333
170,306.667
171,85.3333
172,27.6667
173,1.98
174,28.6667
175,117.82
176,154.333
177,286.333
178,121.45
179,28.3333
180,0.333333
181,13.0
182,128.383
183,116.0
184,260.667
185,166.997
186,69.3333
187,30.0
188,0.0
189,44.5533
190,92.41
191,129.7
192,362.333
193,150.0
194,9.66667
195,0.0
196,0.0
197,106.333
198,142.667
199,195.333
200,321.333
201,27.0633
202,9.9
203,0.33
204,58.6667
205,105.0
206,98.3333
207,379.333
208,106.6
209,3.66667
210,5.33333
211,0.0
212,105.333
213,103.0
214,241.667
215,313.667
216,6.20667
217,5.0
218,0.0
219,28.6667
220,98.3333
221,195.667
222,367.667
223,22.7733
224,12.0
225,0.0
226,27.0
227,144.333
228,112.543
229,349.503
230,135.667
231,0.0
232,20.6667
233,0.0
234,112.0
235,133.663
236,106.667
237,321.453
238,126.333
239,13.53
240,2.0
241,0.0
242,116.0
243,101.667
244,285.81
245,260.333
246,6.66667
247,1.98
248,0.0
249,53.0
250,128.053
251,249.333
252,137.95
253,155.333
254,10.0
255,0.0
256,43.3333
257,122.547
258,184.667
259,297.36
260,0.0
261,141.583
262,9.66667
263,0.0
264,100.333
265,156.103
266,196.7
267,242.903
268,77.89
269,12.6667
270,0.0
271,66.3333
272,211.667
273,100.33
274,239.603
275,0.0
276,112.87
277,161.333
278,15.0
279,84.49
280,137.0
281,129.667
282,106.0
283,315.667
284,47.1933
285,10.3333
286,28.0
287,111.0
288,125.083
289,154.0
290,282.667
291,97.6667
292,46.6667
293,0.0
294,41.6667
295,133.333
296,160.067
297,241.583
298,79.0
299,185.667
300,19.47
301,1.0
302,93.3333
303,125.08
304,121.333
305,369.0
306,0.0
307,111.22
308,5.0
309,35.6433
310,222.667
311,120.667
312,168.0
313,207.92
314,0.33
315,4.0
316,185.667
317,63.3633
318,97.6667
319,100.667
320,195.38
321,159.0
322,131.333
323,3.96
324,48.3333
325,105.333
326,133.0
327,229.333
328,125.743
329,104.667
330,108.667
331,1.0
332,84.16
333,140.0
334,128.0
335,152.333
336,79.6667
337,115.51
338,193.333
339,0.0
340,85.0
341,133.333
342,137.333
343,261.667
344,194.387
345,71.3333
346,7.92
347,0.0
348,89.3333
349,133.333
350,121.12
351,233.0
352,276.9
353,1.0
354,10.56
355,0.0
356,125.0
357,166.333
358,116.5
359,207.333
360,278.333
361,2.0
362,0.333333
363,31.6667
364,139.933
365,149.503
366,203.0
367,145.873
368,115.183
369,6.33333
370,41.5033
371,200.66
372,110.0
373,104.29
374,102.333
375,169.637
376,34.0
377,187.667
378,30.6667
379,104.29
380,154.667
381,154.13
382,141.667
383,173.927
384,27.3933
385,0.0
386,94.3333
387,125.743
388,243.567
389,231.353
390,61.3333
391,13.3333
392,0.0
393,46.5367
394,128.0
395,136.0
396,253.467
397,232.343
398,12.3333
399,9.66667
