%iowait,node156,node157
0,98.95,94.9
1,96.97,96.94
2,92.08,94.95
3,93.81,90.91
4,1.0,2.02
5,63.0,62.75
6,94.95,96.88
7,93.88,93.94
8,96.94,96.94
9,95.88,95.88
10,36.0,37.37
11,21.0,21.21
12,96.94,95.96
13,95.92,95.96
14,94.95,96.88
15,95.96,94.06
16,80.0,79.59
17,0.0,0.0
18,74.0,75.76
19,96.88,95.88
20,95.96,94.0
21,93.94,94.95
22,97.94,93.07
23,24.75,26.26
24,34.34,32.0
25,95.0,96.91
26,94.95,95.92
27,95.96,95.0
28,94.95,92.0
29,67.35,66.33
30,0.0,0.0
31,85.86,84.69
32,95.92,95.92
33,95.92,93.94
34,94.0,96.88
35,94.95,96.91
36,16.83,16.16
37,44.33,42.86
38,95.0,96.94
39,95.88,95.88
40,96.91,94.0
41,94.95,95.83
42,55.56,57.0
43,4.0,1.0
44,95.88,90.2
45,93.94,92.93
46,96.91,97.92
47,95.0,94.95
48,94.9,94.95
49,5.05,4.04
50,51.52,50.0
51,95.88,92.93
52,94.0,95.92
53,94.85,92.0
54,96.94,95.92
55,47.47,48.98
56,9.0,10.0
57,94.0,95.92
58,94.95,94.95
59,97.96,96.94
60,94.0,95.96
61,92.86,92.78
62,0.0,0.0
63,65.0,62.63
64,94.95,93.94
65,96.91,94.9
66,94.95,93.07
67,95.88,93.88
68,39.0,39.39
69,20.2,18.81
70,94.0,92.08
71,95.96,92.16
72,95.92,94.95
73,94.0,96.88
74,78.43,82.65
75,0.0,0.0
76,75.0,73.2
77,95.92,94.06
78,93.07,95.83
79,94.95,96.94
80,95.0,93.14
81,26.0,26.53
82,32.99,31.31
83,95.88,93.0
84,94.0,96.91
85,94.0,93.07
86,94.0,94.9
87,65.66,67.0
88,0.0,0.0
89,84.69,83.84
90,96.91,94.0
91,95.92,93.94
92,96.88,94.95
93,95.92,95.83
94,16.16,17.35
95,41.41,40.4
96,94.95,96.94
97,97.94,95.96
98,93.0,94.9
99,95.0,96.91
100,59.18,59.6
101,2.02,0.99
102,93.07,92.86
103,96.94,97.92
104,94.0,94.9
105,93.94,95.0
106,95.92,94.85
107,6.0,6.93
108,55.1,53.06
109,91.18,94.9
110,94.95,95.92
111,94.95,95.92
112,96.94,93.14
113,46.94,46.94
114,10.1,13.13
115,95.92,94.0
116,95.05,95.0
117,95.0,95.0
118,95.96,96.91
119,90.91,90.82
120,0.0,0.0
121,60.61,61.62
122,96.94,97.94
123,97.94,95.96
124,94.0,92.93
125,94.9,92.08
126,39.6,38.78
127,19.39,20.0
128,95.92,93.94
129,95.92,95.92
130,94.95,94.95
131,94.9,94.9
132,83.51,79.21
133,0.0,0.0
134,73.74,74.49
135,94.9,95.88
136,94.9,95.92
137,95.92,96.91
138,97.94,96.91
139,26.0,27.0
140,31.31,31.31
141,96.91,94.9
142,95.92,94.9
143,95.92,95.0
144,95.96,96.88
145,70.41,70.1
146,0.0,0.0
147,84.0,84.0
148,95.96,95.92
149,95.96,96.94
150,94.0,93.94
151,96.91,96.88
152,15.15,16.16
153,45.45,42.42
154,95.96,94.95
155,94.06,94.0
156,96.91,95.92
157,95.96,94.0
158,57.58,57.43
159,4.0,0.0
160,94.95,95.0
161,96.0,95.0
162,95.92,94.9
163,96.94,95.96
164,93.07,93.94
165,5.0,5.05
166,54.55,56.57
167,95.92,94.95
168,95.96,94.9
169,95.92,95.96
170,94.9,93.94
171,45.0,44.9
172,9.09,7.92
173,95.92,97.89
174,94.95,94.95
175,96.91,93.14
176,94.95,97.89
177,92.86,94.79
178,0.0,0.0
179,63.0,62.0
180,95.92,96.91
181,93.88,92.93
182,93.07,94.0
183,95.0,96.91
184,38.38,37.62
185,17.0,15.0
186,94.0,95.88
187,95.92,96.91
188,95.92,96.91
189,95.0,96.94
190,88.42,84.85
191,0.0,0.0
192,69.39,71.43
193,93.07,96.91
194,95.88,94.9
195,93.94,93.94
196,96.94,93.07
197,30.61,31.0
198,27.0,30.0
199,92.0,92.93
200,96.94,96.91
201,95.96,95.92
202,93.0,93.0
203,73.74,73.0
204,0.0,0.0
205,79.8,83.67
206,95.0,95.88
207,96.91,95.0
208,96.94,95.92
209,94.95,95.92
210,21.43,20.2
211,38.38,39.39
212,97.92,94.95
213,95.92,94.95
214,96.94,95.92
215,95.88,93.0
216,62.63,59.41
217,0.0,1.0
218,94.85,94.9
219,95.88,94.9
