%steal,node156,node157
0,0.0,1.02
1,1.01,0.0
2,0.99,1.01
3,1.03,1.01
4,0.0,0.0
5,1.0,0.0
6,1.01,1.04
7,1.02,1.01
8,0.0,0.0
9,1.03,0.0
10,1.0,1.01
11,0.0,0.0
12,0.0,0.0
13,1.02,1.01
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,1.0
18,1.0,0.0
19,0.0,1.03
20,1.01,1.0
21,1.01,1.01
22,0.0,1.98
23,0.0,0.0
24,1.01,0.0
25,0.0,0.0
26,0.0,0.0
27,1.01,1.0
28,0.0,3.0
29,1.02,1.02
30,0.0,1.0
31,0.0,0.0
32,2.04,0.0
33,1.02,2.02
34,1.0,0.0
35,0.0,1.03
36,1.98,0.0
37,0.0,0.0
38,1.0,1.02
39,1.03,0.0
40,0.0,1.0
41,1.01,1.04
42,1.01,0.0
43,0.0,0.0
44,0.0,0.98
45,2.02,2.02
46,1.03,0.0
47,1.0,1.01
48,0.0,2.02
49,0.0,0.0
50,1.01,1.0
51,1.03,1.01
52,0.0,0.0
53,1.03,1.0
54,2.04,0.0
55,1.01,1.02
56,0.0,0.0
57,1.0,0.0
58,1.01,1.01
59,0.0,0.0
60,2.0,1.01
61,1.02,0.0
62,0.0,0.0
63,1.0,0.0
64,1.01,0.0
65,1.03,1.02
66,1.01,0.99
67,2.06,1.02
68,0.0,1.01
69,0.0,0.0
70,1.0,0.0
71,0.0,0.0
72,1.02,1.01
73,1.0,0.0
74,0.98,1.02
75,0.0,1.0
76,0.0,0.0
77,1.02,0.99
78,1.98,1.04
79,0.0,0.0
80,1.0,0.98
81,0.0,0.0
82,0.0,1.01
83,1.03,1.0
84,1.0,0.0
85,1.0,0.99
86,2.0,1.02
87,0.0,1.0
88,0.0,0.0
89,1.02,1.01
90,0.0,1.0
91,1.02,1.01
92,1.04,1.01
93,1.02,1.04
94,0.0,0.0
95,0.0,0.0
96,2.02,0.0
97,0.0,2.02
98,2.0,2.04
99,0.0,0.0
100,0.0,1.01
101,0.0,0.99
102,1.98,0.0
103,0.0,0.0
104,1.0,2.04
105,1.01,1.0
106,2.04,1.03
107,0.0,0.0
108,0.0,1.02
109,1.96,0.0
110,0.0,1.02
111,1.01,0.0
112,0.0,0.98
113,1.02,1.02
114,0.0,0.0
115,0.0,0.0
116,0.99,0.0
117,1.0,0.0
118,0.0,1.03
119,0.0,1.02
120,0.0,0.0
121,1.01,0.0
122,0.0,0.0
123,0.0,0.0
124,1.0,1.01
125,2.04,2.97
126,0.0,0.0
127,0.0,0.0
128,0.0,1.01
129,1.02,1.02
130,1.01,0.0
131,1.02,2.04
132,1.03,0.99
133,0.0,0.0
134,1.01,0.0
135,1.02,1.03
136,1.02,0.0
137,1.02,1.03
138,0.0,0.0
139,1.0,0.0
140,0.0,1.01
141,0.0,0.0
142,1.02,1.02
143,1.02,1.0
144,1.01,1.04
145,0.0,0.0
146,0.0,0.0
147,1.0,0.0
148,0.0,1.02
149,1.01,0.0
150,3.0,1.01
151,1.03,1.04
152,0.0,0.0
153,0.0,0.0
154,1.01,0.0
155,0.99,1.0
156,0.0,1.02
157,0.0,1.0
158,1.01,0.99
159,0.0,0.0
160,1.01,0.0
161,0.0,0.0
162,1.02,0.0
163,0.0,1.01
164,0.99,1.01
165,1.0,1.01
166,0.0,0.0
167,1.02,1.01
168,1.01,0.0
169,0.0,0.0
170,1.02,1.01
171,0.0,1.02
172,0.0,0.0
173,1.02,0.0
174,1.01,1.01
175,0.0,0.98
176,1.01,0.0
