%sys,node156,node157
0,1.05,3.06
1,1.01,3.06
2,3.96,3.03
3,3.09,4.04
4,54.0,51.52
5,21.0,27.45
6,2.02,2.08
7,4.08,4.04
8,1.02,2.04
9,2.06,3.09
10,27.0,31.31
11,50.0,50.51
12,2.04,4.04
13,1.02,2.02
14,5.05,2.08
15,2.02,3.96
16,11.0,12.24
17,51.0,54.0
18,16.0,14.14
19,2.08,2.06
20,2.02,2.0
21,4.04,3.03
22,1.03,3.96
23,37.62,39.39
24,41.41,46.0
25,2.0,2.06
26,3.03,4.08
27,2.02,3.0
28,3.03,4.0
29,15.31,19.39
30,61.0,60.0
31,10.1,9.18
32,1.02,2.04
33,1.02,3.03
34,4.0,3.12
35,2.02,1.03
36,43.56,46.46
37,35.05,34.69
38,2.0,2.04
39,2.06,3.09
40,2.06,3.0
41,2.02,2.08
42,21.21,20.0
43,60.0,63.0
44,3.09,5.88
45,2.02,3.03
46,1.03,1.04
47,3.0,2.02
48,3.06,1.01
49,51.52,45.45
50,22.22,28.0
51,2.06,3.03
52,4.0,3.06
53,2.06,4.0
54,0.0,4.08
55,28.28,22.45
56,58.0,54.0
57,2.0,2.04
58,2.02,2.02
59,2.04,2.04
60,2.0,2.02
61,4.08,5.15
62,56.44,59.18
63,19.0,21.21
64,3.03,4.04
65,1.03,4.08
66,2.02,3.96
67,1.03,3.06
68,30.0,23.23
69,51.52,53.47
70,3.0,5.94
71,2.02,4.9
72,2.04,3.03
73,3.0,2.08
74,12.75,9.18
75,57.58,53.0
76,17.0,18.56
77,1.02,2.97
78,3.96,3.12
79,3.03,2.04
80,3.0,3.92
81,36.0,36.73
82,45.36,46.46
83,2.06,4.0
84,3.0,2.06
85,2.0,3.96
86,1.0,3.06
87,21.21,16.0
88,59.0,61.0
89,8.16,12.12
90,2.06,2.0
91,1.02,3.03
92,1.04,3.03
93,3.06,2.08
94,40.4,40.82
95,36.36,36.36
96,2.02,2.04
97,1.03,1.01
98,4.0,1.02
99,3.0,2.06
100,16.33,18.18
101,58.59,55.45
102,3.96,4.08
103,2.04,2.08
104,4.0,3.06
105,2.02,3.0
106,2.04,2.06
107,51.0,43.56
108,25.51,28.57
109,2.94,4.08
110,4.04,2.04
111,3.03,3.06
112,2.04,3.92
113,20.41,25.51
