%usr,node156,node157
0,0.0,1.02
1,1.01,0.0
2,2.97,1.01
3,2.06,4.04
4,44.0,45.45
5,15.0,9.8
6,2.02,0.0
7,1.02,1.01
8,2.04,1.02
9,1.03,1.03
10,35.0,29.29
11,29.0,28.28
12,1.02,0.0
13,2.04,1.01
14,0.0,1.04
15,2.02,1.98
16,9.0,8.16
17,49.0,45.0
18,9.0,10.1
19,1.04,1.03
20,1.01,2.0
21,1.01,1.01
22,1.03,0.99
23,36.63,34.34
24,23.23,21.0
25,3.0,1.03
26,2.02,0.0
27,1.01,1.0
28,1.01,1.0
29,16.33,13.27
30,39.0,39.0
31,4.04,6.12
32,1.02,2.04
33,2.04,1.01
34,1.0,0.0
35,3.03,1.03
36,37.62,36.36
37,20.62,22.45
38,2.0,0.0
39,1.03,1.03
40,1.03,2.0
41,2.02,1.04
42,22.22,23.0
43,35.0,35.0
44,1.03,2.94
45,2.02,2.02
46,1.03,1.04
47,1.0,2.02
48,2.04,2.02
49,43.43,50.51
50,24.24,21.0
51,1.03,3.03
52,2.0,1.02
53,2.06,3.0
54,1.02,0.0
55,23.23,26.53
56,33.0,36.0
57,3.0,2.04
58,2.02,2.02
59,0.0,1.02
60,2.0,1.01
61,2.04,2.06
62,42.57,40.82
63,15.0,16.16
64,1.01,2.02
65,1.03,0.0
66,2.02,1.98
67,1.03,2.04
68,31.0,35.35
69,28.28,27.72
70,2.0,1.98
71,2.02,2.94
72,1.02,1.01
73,2.0,1.04
74,7.84,7.14
75,42.42,46.0
76,8.0,8.25
77,2.04,1.98
78,0.99,0.0
79,2.02,1.02
80,1.0,0.98
81,37.0,36.73
82,21.65,21.21
83,1.03,2.0
84,2.0,1.03
85,3.0,1.98
86,3.0,1.02
87,13.13,15.0
88,41.0,39.0
89,6.12,3.03
90,1.03,3.0
91,2.04,2.02
92,1.04,1.01
93,0.0,1.04
94,43.43,41.84
95,22.22,23.23
96,1.01,1.02
97,1.03,1.01
98,1.0,2.04
99,2.0,1.03
100,24.49,20.2
101,38.38,42.57
102,0.99,3.06
103,1.02,0.0
104,1.0,0.0
105,3.03,1.0
106,0.0,2.06
107,42.0,49.5
108,19.39,17.35
109,3.92,1.02
110,1.01,1.02
111,1.01,1.02
112,1.02,1.96
113,31.63,26.53
114,35.35,30.3
115,2.04,1.0
116,0.0,2.0
117,1.0,1.0
118,1.01,1.03
119,5.05,4.08
120,39.0,45.0
121,12.12,16.16
122,1.02,1.03
123,1.03,1.01
124,2.0,2.02
125,1.02,1.98
126,27.72,32.65
127,28.57,28.0
128,1.02,1.01
129,1.02,1.02
130,2.02,2.02
131,2.04,1.02
132,5.15,5.94
133,45.0,44.44
134,10.1,10.2
135,2.04,2.06
136,2.04,2.04
137,1.02,1.03
138,1.03,2.06
139,40.0,34.0
140,24.24,20.2
141,1.03,2.04
142,1.02,1.02
143,1.02,0.0
144,1.01,1.04
145,12.24,13.4
146,45.0,39.22
147,5.0,4.0
148,1.01,0.0
149,1.01,1.02
150,1.0,1.01
151,1.03,2.08
152,34.34,45.45
153,18.18,20.2
154,0.0,1.01
155,1.98,3.0
156,1.03,2.04
157,0.0,2.0
158,26.26,20.79
159,39.0,37.37
160,2.02,1.0
161,2.0,1.0
162,2.04,2.04
163,2.04,1.01
164,1.98,2.02
165,43.0,44.44
166,18.18,15.15
167,1.02,1.01
168,1.01,2.04
169,2.04,1.01
170,1.02,2.02
171,28.0,28.57
172,39.39,32.67
173,1.02,0.0
174,2.02,0.0
175,1.03,1.96
176,1.01,0.0
