%commit,node156,node157
0,30.23,29.13
1,30.23,29.13
2,30.23,29.13
3,30.89,29.8
4,31.23,30.18
5,30.23,29.13
6,30.23,29.13
7,30.23,29.13
8,30.23,29.13
9,30.23,29.13
10,31.28,30.06
11,30.22,29.13
12,30.22,29.13
13,30.22,29.13
14,30.22,29.13
15,30.22,29.13
16,31.28,30.33
17,31.23,30.18
18,30.22,29.13
19,30.22,29.13
20,30.22,29.13
21,30.22,29.13
22,30.22,29.13
23,31.23,30.13
24,30.22,29.13
25,30.22,29.13
26,30.22,29.13
27,30.22,29.13
28,30.22,29.13
29,32.11,31.11
30,31.23,30.06
31,30.22,29.13
32,30.22,29.13
33,30.22,29.13
34,30.22,29.13
35,30.22,29.13
36,31.23,30.13
37,30.22,29.13
38,30.22,29.13
39,30.22,29.13
40,30.22,29.13
41,30.22,29.13
42,33.23,31.94
43,30.23,29.13
44,30.23,29.13
45,30.23,29.13
46,30.23,29.13
47,30.23,29.13
48,30.37,29.28
49,31.23,30.18
50,30.23,29.13
51,30.23,29.13
52,30.23,29.13
53,30.23,29.13
54,30.23,29.13
55,33.45,32.35
56,30.23,29.13
57,30.23,29.13
58,30.23,29.13
59,30.23,29.13
60,30.23,29.13
61,30.92,29.82
62,31.2,30.18
63,30.23,29.13
64,30.23,29.13
65,30.23,29.13
66,30.23,29.13
67,30.23,29.13
68,31.28,32.35
69,30.22,29.13
70,30.22,29.13
71,30.22,29.13
72,30.22,29.13
73,30.22,29.13
74,31.23,30.11
75,31.28,30.18
76,30.22,29.13
77,30.22,29.13
78,30.22,29.13
79,30.22,29.13
80,30.22,29.13
81,31.28,30.13
82,30.22,29.13
83,30.22,29.13
84,30.22,29.13
85,30.22,29.13
86,30.22,29.13
87,32.35,31.11
88,31.23,30.1
89,30.23,29.13
90,30.23,29.13
91,30.23,29.13
92,30.23,29.13
93,30.23,29.13
94,31.28,30.18
95,30.22,29.13
96,30.22,29.13
97,30.22,29.13
98,30.22,29.13
99,30.22,29.13
100,33.01,31.76
101,30.23,29.13
102,30.23,29.13
103,30.23,29.13
104,30.23,29.13
105,30.23,29.13
106,30.23,29.13
107,31.23,30.13
108,30.22,29.13
109,30.22,29.13
110,30.22,29.13
111,30.22,29.13
112,30.22,29.13
113,33.45,32.35
114,30.23,29.13
115,30.23,29.13
116,30.23,29.13
117,30.23,29.13
118,30.23,29.13
119,30.92,29.82
120,31.28,30.18
121,30.22,29.13
122,30.22,29.13
123,30.22,29.13
124,30.22,29.13
125,30.22,29.13
126,31.23,30.11
127,30.22,29.13
128,30.22,29.13
129,30.22,29.13
130,30.22,29.13
131,30.22,29.13
132,31.42,30.32
133,31.28,30.13
134,30.23,29.13
135,30.23,29.13
136,30.23,29.13
137,30.23,29.13
138,30.23,29.13
139,31.23,30.18
140,30.23,29.13
141,30.23,29.13
142,30.23,29.13
143,30.23,29.13
144,30.23,29.13
145,32.07,30.98
146,31.16,30.18
147,30.23,29.13
148,30.23,29.13
149,30.23,29.13
150,30.23,29.13
151,30.23,29.13
152,31.23,30.18
153,30.23,29.13
154,30.23,29.13
155,30.23,29.13
156,30.23,29.13
157,30.23,29.13
158,32.96,31.67
159,30.22,29.13
160,30.22,29.13
161,30.22,29.13
162,30.22,29.13
163,30.22,29.13
164,30.37,29.25
165,31.28,30.18
166,30.23,29.13
167,30.23,29.13
168,30.23,29.13
169,30.23,29.13
170,30.23,29.13
171,35.69,32.35
172,30.23,29.13
173,30.23,29.13
174,30.23,29.13
175,30.23,29.13
176,30.23,29.13
177,30.92,29.82
178,31.23,30.13
179,30.22,29.13
180,30.22,29.13
181,30.22,29.13
182,30.22,29.13
183,30.22,29.13
184,33.45,32.35
185,30.22,29.13
186,30.22,29.13
187,30.22,29.13
188,30.22,29.13
189,30.22,29.13
190,31.27,30.13
191,31.28,30.18
192,30.22,29.13
193,30.22,29.13
194,30.22,29.13
195,30.22,29.13
196,30.22,29.13
197,31.28,30.18
198,30.22,29.13
199,30.22,29.13
200,30.22,29.13
201,30.22,29.13
202,30.22,29.13
203,31.81,30.71
204,31.32,30.18
205,30.22,29.13
206,30.22,29.13
207,30.22,29.13
208,30.22,29.13
209,30.22,29.13
210,31.23,30.13
211,30.22,29.13
