kbactive,node156,node157
0,45412.0,48460.0
1,45424.0,48472.0
2,45432.0,48484.0
3,46168.0,49220.0
4,46656.0,49712.0
5,45464.0,48532.0
6,45472.0,48524.0
7,45480.0,48540.0
8,45488.0,48556.0
9,45496.0,48564.0
10,46752.0,49640.0
11,45524.0,48608.0
12,45528.0,48596.0
13,45536.0,48608.0
14,45548.0,48616.0
15,45556.0,48632.0
16,46712.0,50068.0
17,46796.0,49848.0
18,45588.0,48668.0
19,45596.0,48684.0
20,45604.0,48692.0
21,45612.0,48700.0
22,45620.0,48708.0
23,46832.0,49892.0
24,45640.0,48744.0
25,45648.0,48740.0
26,45660.0,48752.0
27,45668.0,48760.0
28,45676.0,48772.0
29,50812.0,54356.0
30,46924.0,49912.0
31,45712.0,48816.0
32,45720.0,48832.0
33,45728.0,48840.0
34,45736.0,48848.0
35,45748.0,48864.0
36,46952.0,50052.0
37,45768.0,48912.0
38,45780.0,48896.0
39,45788.0,48908.0
40,45796.0,48916.0
41,45804.0,48924.0
42,56652.0,58652.0
43,45824.0,48960.0
44,45836.0,48964.0
45,45844.0,48976.0
46,45852.0,48984.0
47,45860.0,48992.0
48,46316.0,49224.0
49,47144.0,50184.0
50,45896.0,49028.0
51,45904.0,49032.0
52,45916.0,49048.0
53,45924.0,49056.0
54,45932.0,49064.0
55,57700.0,60832.0
56,45976.0,49108.0
57,45960.0,49092.0
58,45968.0,49100.0
59,45980.0,49116.0
60,45992.0,49128.0
61,47036.0,50172.0
62,47212.0,50340.0
63,46024.0,49184.0
64,46032.0,49168.0
65,46040.0,49176.0
66,46048.0,49184.0
67,46056.0,49192.0
68,47252.0,54760.0
69,46104.0,49232.0
70,46092.0,49240.0
71,46100.0,49248.0
72,46108.0,49256.0
73,46116.0,49268.0
74,47356.0,50404.0
75,47424.0,50484.0
76,46152.0,49316.0
77,46160.0,49320.0
78,46172.0,49332.0
79,46176.0,49344.0
80,46184.0,49352.0
81,47484.0,50536.0
82,46208.0,49392.0
83,46212.0,49376.0
84,46220.0,49388.0
85,46228.0,49400.0
86,46236.0,49408.0
87,52520.0,54940.0
88,47440.0,50512.0
89,46260.0,49456.0
90,46268.0,49472.0
91,46280.0,49480.0
92,46288.0,49488.0
93,46300.0,49504.0
94,47500.0,50700.0
95,46316.0,49520.0
96,46324.0,49528.0
97,46332.0,49536.0
98,46340.0,49548.0
99,46348.0,49560.0
100,56044.0,58416.0
101,46384.0,49592.0
102,46380.0,49604.0
103,46388.0,49624.0
104,46396.0,49632.0
105,46404.0,49644.0
106,46416.0,49656.0
107,47680.0,50924.0
108,46436.0,49696.0
109,46440.0,49684.0
110,46452.0,49696.0
111,46460.0,49704.0
112,46468.0,49716.0
113,58264.0,61512.0
114,46512.0,49736.0
115,46496.0,49740.0
116,46504.0,49752.0
117,46512.0,49764.0
118,46520.0,49772.0
119,47568.0,50824.0
120,47820.0,51064.0
121,46564.0,49828.0
122,46564.0,49828.0
123,46572.0,49836.0
124,46580.0,49848.0
125,46588.0,49856.0
126,47828.0,51040.0
127,46632.0,49888.0
128,46624.0,49888.0
129,46628.0,49896.0
130,46636.0,49904.0
131,46644.0,49920.0
132,47884.0,51156.0
133,47848.0,51208.0
134,46668.0,49944.0
135,46680.0,49960.0
136,46688.0,49972.0
137,46700.0,49988.0
138,46708.0,49996.0
139,47956.0,51208.0
140,46740.0,50016.0
141,46740.0,50020.0
142,46748.0,50036.0
143,46756.0,50040.0
144,46768.0,50052.0
145,51760.0,55044.0
146,47904.0,51268.0
147,46792.0,50080.0
148,46800.0,50096.0
149,46808.0,50104.0
150,46816.0,50112.0
151,46824.0,50120.0
152,48052.0,51304.0
153,46876.0,50152.0
154,46860.0,50152.0
155,46868.0,50164.0
156,46876.0,50172.0
157,46884.0,50180.0
158,56328.0,58788.0
159,46904.0,50208.0
160,46912.0,50208.0
161,46920.0,50216.0
162,46928.0,50228.0
163,46936.0,50236.0
164,47168.0,50356.0
165,48176.0,51536.0
166,46980.0,50268.0
167,46980.0,50272.0
168,46988.0,50280.0
169,47000.0,50292.0
170,47008.0,50304.0
171,58804.0,62104.0
172,47048.0,50332.0
173,47036.0,50340.0
174,47044.0,50344.0
175,47056.0,50356.0
176,47068.0,50364.0
177,48060.0,51272.0
178,48344.0,51592.0
179,47112.0,50396.0
180,47104.0,50404.0
181,47112.0,50412.0
182,47120.0,50420.0
183,47136.0,50432.0
184,58984.0,62284.0
185,47180.0,50480.0
186,47168.0,50472.0
187,47176.0,50480.0
188,47184.0,50488.0
189,47192.0,50496.0
190,48376.0,51680.0
