kbbuffers,node156,node157
0,21252.0,27912.0
1,21252.0,27912.0
2,21260.0,27912.0
3,21260.0,27912.0
4,21260.0,27912.0
5,21260.0,27912.0
6,21260.0,27912.0
7,21268.0,27912.0
8,21268.0,27912.0
9,21268.0,27912.0
10,21268.0,27912.0
11,21268.0,27912.0
12,21276.0,27912.0
13,21276.0,27912.0
14,21276.0,27912.0
15,21276.0,27912.0
16,21276.0,27912.0
17,21284.0,27912.0
18,21284.0,27912.0
19,21284.0,27912.0
20,21284.0,27912.0
21,21284.0,27912.0
22,21292.0,27912.0
23,21292.0,27912.0
24,21292.0,27912.0
25,21292.0,27912.0
26,21292.0,27912.0
27,21300.0,27912.0
28,21300.0,27912.0
29,21300.0,27912.0
30,21300.0,27912.0
31,21300.0,27912.0
32,21300.0,27912.0
33,21308.0,27912.0
34,21308.0,27912.0
35,21308.0,27912.0
36,21308.0,27912.0
37,21308.0,27912.0
38,21316.0,27912.0
39,21316.0,27912.0
40,21316.0,27912.0
41,21316.0,27912.0
42,21316.0,27912.0
43,21324.0,27912.0
44,21324.0,27912.0
45,21324.0,27912.0
46,21324.0,27912.0
47,21324.0,27912.0
48,21332.0,27912.0
49,21332.0,27912.0
50,21332.0,27912.0
51,21332.0,27912.0
52,21332.0,27912.0
53,21340.0,27912.0
54,21340.0,27912.0
55,21340.0,27912.0
56,21340.0,27912.0
57,21340.0,27912.0
58,21348.0,27912.0
59,21348.0,27912.0
60,21348.0,27912.0
61,21348.0,27912.0
62,21348.0,27912.0
63,21356.0,27912.0
64,21356.0,27912.0
65,21356.0,27912.0
66,21356.0,27912.0
67,21356.0,27912.0
68,21364.0,27912.0
69,21364.0,27912.0
70,21364.0,27912.0
71,21364.0,27912.0
72,21364.0,27912.0
73,21372.0,27912.0
74,21372.0,27912.0
75,21372.0,27912.0
76,21372.0,27912.0
77,21372.0,27912.0
78,21380.0,27912.0
79,21380.0,27912.0
80,21380.0,27912.0
81,21380.0,27912.0
82,21380.0,27912.0
83,21388.0,27912.0
84,21388.0,27912.0
85,21388.0,27912.0
86,21388.0,27912.0
87,21388.0,27912.0
88,21396.0,27912.0
89,21396.0,27912.0
90,21396.0,27912.0
91,21396.0,27912.0
92,21396.0,27912.0
93,21404.0,27912.0
94,21404.0,27912.0
95,21404.0,27912.0
96,21404.0,27912.0
97,21404.0,27912.0
98,21412.0,27912.0
99,21412.0,27912.0
100,21412.0,27912.0
101,21412.0,27912.0
102,21412.0,27912.0
103,21420.0,27912.0
104,21420.0,27912.0
105,21420.0,27912.0
106,21420.0,27912.0
107,21420.0,27912.0
108,21428.0,27912.0
109,21428.0,27912.0
110,21428.0,27912.0
111,21428.0,27912.0
112,21428.0,27912.0
113,21436.0,27912.0
114,21436.0,27912.0
115,21436.0,27912.0
116,21436.0,27912.0
117,21436.0,27912.0
118,21444.0,27912.0
119,21444.0,27912.0
120,21444.0,27912.0
121,21444.0,27912.0
122,21444.0,27912.0
123,21452.0,27912.0
124,21452.0,27912.0
125,21452.0,27912.0
126,21452.0,27912.0
127,21452.0,27912.0
128,21460.0,27912.0
129,21460.0,27912.0
130,21460.0,27912.0
131,21460.0,27912.0
132,21460.0,27912.0
133,21468.0,27912.0
134,21468.0,27912.0
135,21468.0,27912.0
136,21468.0,27912.0
137,21468.0,27912.0
138,21476.0,27912.0
139,21476.0,27912.0
140,21476.0,27912.0
141,21476.0,27912.0
142,21476.0,27912.0
143,21484.0,27912.0
144,21484.0,27912.0
145,21484.0,27912.0
146,21484.0,27912.0
147,21484.0,27912.0
148,21492.0,27912.0
149,21492.0,27912.0
150,21492.0,27912.0
151,21492.0,27912.0
152,21492.0,27912.0
153,21500.0,27912.0
154,21500.0,27912.0
155,21500.0,27912.0
156,21500.0,27912.0
157,21500.0,27912.0
158,21508.0,27912.0
159,21508.0,27912.0
160,21508.0,27912.0
161,21508.0,27912.0
162,21508.0,27912.0
163,21516.0,27912.0
164,21516.0,27912.0
165,21516.0,27912.0
166,21516.0,27912.0
167,21516.0,27912.0
168,21524.0,27912.0
169,21524.0,27912.0
170,21524.0,27912.0
171,21524.0,27912.0
172,21524.0,27912.0
173,21532.0,27912.0
174,21532.0,27912.0
175,21532.0,27912.0
176,21532.0,27912.0
177,21532.0,27912.0
178,21540.0,27912.0
179,21540.0,27912.0
180,21540.0,27912.0
181,21540.0,27912.0
182,21540.0,27912.0
183,21548.0,27912.0
184,21548.0,27912.0
185,21548.0,27912.0
186,21548.0,27912.0
187,21548.0,27912.0
188,21556.0,27912.0
189,21556.0,27912.0
190,21556.0,27912.0
191,21556.0,27912.0
192,21556.0,27912.0
193,21564.0,27912.0
194,21564.0,27912.0
195,21564.0,27912.0
196,21564.0,27912.0
197,21564.0,27912.0
198,21572.0,27912.0
199,21572.0,27912.0
200,21572.0,27912.0
201,21572.0,27912.0
202,21572.0,27912.0
203,21580.0,27912.0
204,21580.0,27912.0
205,21580.0,27912.0
206,21580.0,27912.0
207,21580.0,27912.0
208,21588.0,27912.0
209,21588.0,27912.0
210,21588.0,27912.0
211,21588.0,27912.0
212,21588.0,27912.0
213,21596.0,27912.0
214,21596.0,27912.0
215,21596.0,27912.0
216,21596.0,27912.0
217,21596.0,27912.0
218,21596.0,27912.0
219,21604.0,27912.0
220,21604.0,27912.0
221,21604.0,27912.0
222,21604.0,27912.0
223,21604.0,27912.0
224,21612.0,27912.0
225,21612.0,27912.0
226,21612.0,27912.0
227,21612.0,27912.0
228,21612.0,27912.0
229,21620.0,27912.0
230,21620.0,27912.0
231,21620.0,27912.0
232,21620.0,27912.0
233,21620.0,27912.0
234,21628.0,27912.0
235,21628.0,27912.0
236,21628.0,27912.0
237,21628.0,27912.0
238,21628.0,27912.0
239,21636.0,27912.0
240,21636.0,27912.0
241,21636.0,27912.0
242,21636.0,27912.0
243,21636.0,27912.0
244,21644.0,27912.0
245,21644.0,27912.0
246,21644.0,27912.0
247,21644.0,27912.0
248,21644.0,27912.0
249,21652.0,27912.0
250,21652.0,27912.0
251,21652.0,27912.0
252,21652.0,27912.0
253,21652.0,27912.0
254,21660.0,27912.0
255,21660.0,27912.0
256,21660.0,27912.0
257,21660.0,27912.0
258,21660.0,27912.0
259,21668.0,27912.0
260,21668.0,27912.0
261,21668.0,27912.0
262,21668.0,27912.0
263,21668.0,27912.0
264,21676.0,27912.0
265,21676.0,27912.0
266,21676.0,27912.0
267,21676.0,27912.0
268,21676.0,27912.0
269,21684.0,27912.0
270,21684.0,27912.0
271,21684.0,27916.0
272,21684.0,27916.0
273,21684.0,27916.0
274,21692.0,27916.0
275,21692.0,27916.0
276,21692.0,27916.0
277,21692.0,27916.0
278,21692.0,27916.0
279,21700.0,27916.0
280,21700.0,27916.0
281,21700.0,27916.0
282,21700.0,27916.0
283,21700.0,27916.0
284,21708.0,27916.0
285,21708.0,27916.0
286,21708.0,27916.0
287,21708.0,27916.0
288,21708.0,27916.0
289,21716.0,27916.0
290,21716.0,27916.0
291,21716.0,27916.0
292,21716.0,27916.0
293,21716.0,27916.0
294,21724.0,27916.0
295,21724.0,27916.0
296,21724.0,27916.0
297,21724.0,27916.0
298,21724.0,27916.0
299,21732.0,27916.0
300,21732.0,27916.0
301,21732.0,27916.0
302,21732.0,27916.0
303,21732.0,27916.0
304,21740.0,27916.0
305,21740.0,27916.0
306,21740.0,27916.0
307,21740.0,27916.0
308,21740.0,27916.0
309,21748.0,27916.0
310,21748.0,27916.0
311,21748.0,27916.0
312,21748.0,27916.0
313,21748.0,27916.0
314,21756.0,27916.0
315,21756.0,27916.0
316,21756.0,27916.0
317,21756.0,27916.0
318,21756.0,27916.0
319,21764.0,27916.0
320,21764.0,27916.0
321,21764.0,27916.0
322,21764.0,27916.0
323,21764.0,27916.0
324,21772.0,27916.0
325,21772.0,27916.0
326,21772.0,27916.0
327,21772.0,27916.0
328,21772.0,27916.0
329,21780.0,27916.0
330,21780.0,27916.0
331,21780.0,27916.0
332,21780.0,27916.0
333,21780.0,27916.0
334,21788.0,27916.0
335,21788.0,27916.0
336,21788.0,27916.0
337,21788.0,27916.0
338,21788.0,27916.0
339,21796.0,27916.0
340,21796.0,27916.0
341,21796.0,27916.0
342,21796.0,27916.0
343,21796.0,27916.0
344,21804.0,27916.0
345,21804.0,27916.0
346,21804.0,27916.0
347,21804.0,27916.0
348,21804.0,27916.0
349,21812.0,27916.0
350,21812.0,27916.0
351,21812.0,27916.0
352,21812.0,27916.0
353,21812.0,27916.0
354,21820.0,27916.0
355,21820.0,27916.0
356,21820.0,27916.0
357,21820.0,27916.0
358,21820.0,27916.0
359,21828.0,27916.0
360,21828.0,27916.0
361,21828.0,27916.0
362,21828.0,27916.0
363,21828.0,27916.0
364,21828.0,27916.0
365,21836.0,27916.0
366,21836.0,27916.0
367,21836.0,27916.0
368,21836.0,27916.0
369,21836.0,27916.0
370,21844.0,27916.0
371,21844.0,27916.0
372,21844.0,27916.0
373,21844.0,27916.0
374,21844.0,27916.0
375,21852.0,27916.0
376,21852.0,27916.0
377,21852.0,27916.0
378,21852.0,27916.0
379,21852.0,27916.0
380,21860.0,27916.0
381,21860.0,27916.0
382,21860.0,27916.0
383,21860.0,27916.0
384,21860.0,27916.0
385,21868.0,27916.0
386,21868.0,27916.0
387,21868.0,27916.0
388,21868.0,27916.0
389,21868.0,27916.0
390,21876.0,27916.0
391,21876.0,27916.0
392,21876.0,27916.0
393,21876.0,27916.0
394,21876.0,27892.0
395,21884.0,27892.0
396,21884.0,27892.0
397,21884.0,27892.0
398,21884.0,27892.0
399,21884.0,27892.0
