kbcached,node156,node157
0,101852.0,97936.0
1,101868.0,97952.0
2,101884.0,97976.0
3,101908.0,97992.0
4,101940.0,98020.0
5,101952.0,98040.0
6,101972.0,98052.0
7,101984.0,98072.0
8,102012.0,98092.0
9,102036.0,98112.0
10,102060.0,98136.0
11,102080.0,98160.0
12,102088.0,98172.0
13,102116.0,98192.0
14,102140.0,98216.0
15,102156.0,98236.0
16,102176.0,98256.0
17,102200.0,98284.0
18,102220.0,98300.0
19,102240.0,98316.0
20,102260.0,98340.0
21,102280.0,98356.0
22,102292.0,98376.0
23,102324.0,98396.0
24,102348.0,98424.0
25,102360.0,98436.0
26,102380.0,98456.0
27,102392.0,98476.0
28,102420.0,98500.0
29,102444.0,98520.0
30,102468.0,98544.0
31,102484.0,98564.0
32,102500.0,98580.0
33,102524.0,98604.0
34,102544.0,98624.0
35,102564.0,98644.0
36,102596.0,98668.0
37,102616.0,98696.0
38,102628.0,98704.0
39,102648.0,98728.0
40,102668.0,98744.0
41,102688.0,98768.0
42,102708.0,98788.0
43,102744.0,98816.0
44,102752.0,98832.0
45,102776.0,98852.0
46,102792.0,98868.0
47,102812.0,98892.0
48,102832.0,98908.0
49,102860.0,98936.0
50,102880.0,98956.0
51,102896.0,98972.0
52,102912.0,98992.0
53,102936.0,99012.0
54,102952.0,99028.0
55,102972.0,99052.0
56,103000.0,99076.0
57,103016.0,99088.0
58,103040.0,99112.0
59,103064.0,99136.0
60,103080.0,99152.0
61,103104.0,99176.0
62,103128.0,99200.0
63,103144.0,99224.0
64,103160.0,99232.0
65,103184.0,99252.0
66,103200.0,99272.0
67,103224.0,99296.0
68,103244.0,99312.0
69,103272.0,99348.0
70,103288.0,99356.0
71,103308.0,99376.0
72,103324.0,99396.0
73,103348.0,99416.0
74,103368.0,99436.0
75,103400.0,99468.0
76,103412.0,99484.0
77,103432.0,99504.0
78,103452.0,99520.0
79,103472.0,99536.0
80,103488.0,99560.0
81,103516.0,99576.0
82,103536.0,99600.0
83,103552.0,99616.0
84,103572.0,99636.0
85,103596.0,99656.0
86,103612.0,99676.0
87,103632.0,99700.0
88,103660.0,99720.0
89,103676.0,99740.0
90,103696.0,99756.0
91,103716.0,99776.0
92,103736.0,99800.0
93,103760.0,99820.0
94,103784.0,99840.0
95,103800.0,99868.0
96,103816.0,99876.0
97,103836.0,99900.0
98,103848.0,99916.0
99,103872.0,99936.0
100,103892.0,99956.0
101,103924.0,99992.0
102,103940.0,100008.0
103,103956.0,100028.0
104,103980.0,100044.0
105,104000.0,100072.0
106,104020.0,100088.0
107,104048.0,100116.0
108,104064.0,100136.0
109,104084.0,100152.0
110,104100.0,100168.0
111,104124.0,100192.0
112,104140.0,100208.0
113,104160.0,100232.0
114,104188.0,100256.0
115,104200.0,100268.0
116,104220.0,100288.0
117,104240.0,100308.0
118,104260.0,100328.0
119,104284.0,100352.0
120,104312.0,100376.0
121,104328.0,100400.0
122,104344.0,100412.0
123,104364.0,100432.0
124,104384.0,100452.0
125,104404.0,100472.0
126,104424.0,100492.0
127,104460.0,100524.0
128,104468.0,100532.0
129,104492.0,100552.0
130,104508.0,100572.0
131,104532.0,100592.0
132,104548.0,100608.0
133,104576.0,100640.0
134,104592.0,100652.0
135,104616.0,100680.0
136,104636.0,100700.0
137,104656.0,100720.0
138,104672.0,100740.0
139,104700.0,100760.0
140,104724.0,100784.0
141,104740.0,100800.0
142,104756.0,100816.0
143,104780.0,100844.0
144,104800.0,100860.0
145,104820.0,100880.0
146,104848.0,100908.0
147,104860.0,100920.0
148,104876.0,100936.0
149,104900.0,100960.0
150,104920.0,100980.0
151,104948.0,101004.0
152,104972.0,101028.0
153,104988.0,101048.0
154,105004.0,101064.0
155,105020.0,101080.0
156,105044.0,101100.0
157,105060.0,101120.0
158,105080.0,101140.0
159,105112.0,101168.0
160,105124.0,101184.0
161,105144.0,101200.0
162,105164.0,101220.0
163,105180.0,101240.0
164,105204.0,101260.0
165,105232.0,101284.0
166,105256.0,101312.0
167,105264.0,101324.0
168,105288.0,101352.0
169,105308.0,101368.0
170,105328.0,101388.0
171,105344.0,101408.0
172,105380.0,101440.0
173,105388.0,101448.0
174,105412.0,101472.0
175,105428.0,101488.0
176,105456.0,101516.0
177,105472.0,101532.0
178,105500.0,101560.0
179,105516.0,101580.0
180,105532.0,101592.0
181,105556.0,101608.0
182,105576.0,101636.0
183,105592.0,101652.0
184,105616.0,101672.0
185,105644.0,101704.0
186,105660.0,101716.0
187,105676.0,101736.0
188,105696.0,101756.0
189,105716.0,101772.0
190,105736.0,101796.0
191,105760.0,101820.0
192,105780.0,101836.0
193,105800.0,101856.0
194,105824.0,101876.0
195,105840.0,101892.0
196,105864.0,101916.0
197,105888.0,101936.0
198,105912.0,101968.0
199,105924.0,101976.0
200,105944.0,101996.0
201,105968.0,102020.0
202,105988.0,102040.0
203,106004.0,102056.0
204,106036.0,102092.0
205,106048.0,102100.0
