kbcommit,node156,node157
0,152108.0,146588.0
1,152108.0,146588.0
2,152108.0,146588.0
3,155464.0,149948.0
4,157168.0,151880.0
5,152108.0,146592.0
6,152108.0,146592.0
7,152108.0,146592.0
8,152108.0,146592.0
9,152108.0,146592.0
10,157404.0,151288.0
11,152104.0,146588.0
12,152104.0,146588.0
13,152104.0,146588.0
14,152104.0,146588.0
15,152104.0,146588.0
16,157396.0,152652.0
17,157168.0,151880.0
18,152104.0,146588.0
19,152104.0,146588.0
20,152104.0,146588.0
21,152104.0,146588.0
22,152104.0,146588.0
23,157168.0,151652.0
24,152104.0,146588.0
25,152104.0,146588.0
26,152104.0,146588.0
27,152104.0,146588.0
28,152104.0,146588.0
29,161584.0,156584.0
30,157168.0,151288.0
31,152104.0,146592.0
32,152104.0,146592.0
33,152104.0,146592.0
34,152104.0,146592.0
35,152104.0,146592.0
36,157168.0,151652.0
37,152104.0,146592.0
38,152104.0,146592.0
39,152104.0,146592.0
40,152104.0,146592.0
41,152104.0,146592.0
42,167240.0,160756.0
43,152108.0,146592.0
44,152108.0,146592.0
45,152108.0,146592.0
46,152108.0,146592.0
47,152108.0,146592.0
48,152856.0,147340.0
49,157168.0,151888.0
50,152108.0,146592.0
51,152108.0,146592.0
52,152108.0,146592.0
53,152108.0,146592.0
54,152108.0,146592.0
55,168332.0,162816.0
56,152108.0,146588.0
57,152108.0,146588.0
58,152108.0,146588.0
59,152108.0,146588.0
60,152108.0,146588.0
61,155596.0,150080.0
62,157032.0,151880.0
63,152108.0,146588.0
64,152108.0,146588.0
65,152108.0,146588.0
66,152108.0,146588.0
67,152108.0,146588.0
68,157396.0,162808.0
69,152104.0,146588.0
70,152104.0,146588.0
71,152104.0,146588.0
72,152104.0,146588.0
73,152104.0,146588.0
74,157168.0,151516.0
75,157404.0,151880.0
76,152104.0,146588.0
77,152104.0,146588.0
78,152104.0,146588.0
79,152104.0,146588.0
80,152104.0,146588.0
81,157404.0,151652.0
82,152104.0,146588.0
83,152104.0,146588.0
84,152104.0,146588.0
85,152104.0,146588.0
86,152104.0,146588.0
87,162824.0,156584.0
88,157168.0,151504.0
89,152108.0,146592.0
90,152108.0,146592.0
91,152108.0,146592.0
92,152108.0,146592.0
93,152108.0,146592.0
94,157396.0,151880.0
95,152104.0,146588.0
96,152104.0,146588.0
97,152104.0,146588.0
98,152104.0,146588.0
99,152104.0,146588.0
100,166140.0,159808.0
101,152108.0,146588.0
102,152108.0,146588.0
103,152108.0,146588.0
104,152108.0,146588.0
105,152108.0,146588.0
106,152108.0,146588.0
107,157168.0,151652.0
108,152104.0,146588.0
109,152104.0,146588.0
110,152104.0,146588.0
111,152104.0,146588.0
112,152104.0,146588.0
113,168332.0,162816.0
114,152108.0,146588.0
115,152108.0,146588.0
116,152108.0,146588.0
117,152108.0,146588.0
118,152108.0,146588.0
119,155596.0,150080.0
120,157404.0,151888.0
121,152104.0,146588.0
122,152104.0,146588.0
123,152104.0,146588.0
124,152104.0,146588.0
125,152104.0,146588.0
126,157168.0,151516.0
127,152104.0,146588.0
128,152104.0,146588.0
129,152104.0,146588.0
130,152104.0,146588.0
131,152104.0,146588.0
132,158124.0,152608.0
133,157396.0,151652.0
134,152108.0,146588.0
135,152108.0,146588.0
136,152108.0,146588.0
137,152108.0,146588.0
138,152108.0,146588.0
139,157168.0,151880.0
140,152108.0,146592.0
141,152108.0,146592.0
142,152108.0,146592.0
143,152108.0,146592.0
144,152108.0,146592.0
145,161404.0,155888.0
146,156804.0,151880.0
147,152108.0,146592.0
148,152108.0,146592.0
149,152108.0,146592.0
150,152108.0,146592.0
151,152108.0,146592.0
152,157168.0,151888.0
153,152108.0,146592.0
154,152108.0,146592.0
155,152108.0,146592.0
156,152108.0,146592.0
157,152108.0,146592.0
158,165884.0,159356.0
159,152104.0,146588.0
160,152104.0,146588.0
161,152104.0,146588.0
162,152104.0,146588.0
163,152104.0,146588.0
164,152856.0,147208.0
165,157404.0,151888.0
166,152108.0,146592.0
167,152108.0,146592.0
168,152108.0,146592.0
169,152108.0,146592.0
170,152108.0,146592.0
171,179616.0,162816.0
172,152108.0,146592.0
173,152108.0,146592.0
174,152108.0,146592.0
175,152108.0,146592.0
176,152108.0,146592.0
177,155596.0,150080.0
178,157168.0,151652.0
179,152104.0,146588.0
180,152104.0,146588.0
181,152104.0,146588.0
182,152104.0,146588.0
183,152104.0,146588.0
184,168324.0,162808.0
185,152104.0,146588.0
186,152104.0,146588.0
187,152104.0,146588.0
188,152104.0,146588.0
189,152104.0,146588.0
190,157392.0,151648.0
191,157396.0,151880.0
192,152104.0,146592.0
193,152104.0,146592.0
194,152104.0,146592.0
195,152104.0,146592.0
196,152104.0,146592.0
197,157404.0,151888.0
198,152104.0,146588.0
199,152104.0,146588.0
200,152104.0,146588.0
201,152104.0,146588.0
202,152104.0,146588.0
203,160060.0,154544.0
204,157596.0,151880.0
205,152104.0,146592.0
206,152104.0,146592.0
207,152104.0,146592.0
208,152104.0,146592.0
209,152104.0,146592.0
210,157168.0,151652.0
211,152104.0,146592.0
212,152104.0,146592.0
213,152104.0,146592.0
214,152104.0,146592.0
215,152104.0,146592.0
216,164712.0,159196.0
217,152104.0,146856.0
218,152104.0,146588.0
219,152104.0,146588.0
220,152104.0,146588.0
221,152104.0,146588.0
222,152104.0,146588.0
223,157404.0,151652.0
224,152104.0,146588.0
225,152104.0,146588.0
226,152104.0,146588.0
227,152104.0,146588.0
228,152104.0,146588.0
229,179616.0,162816.0
230,152104.0,146592.0
231,152104.0,146592.0
232,152104.0,146592.0
233,152104.0,146592.0
234,152104.0,146592.0
235,155464.0,149948.0
236,157168.0,151652.0
237,152104.0,146588.0
238,152104.0,146588.0
239,152104.0,146588.0
240,152104.0,146588.0
241,152104.0,146588.0
242,168324.0,162808.0
243,152104.0,146592.0
244,152104.0,146592.0
245,152104.0,146592.0
246,152104.0,146592.0
247,152104.0,146592.0
248,157396.0,152608.0
249,157168.0,151652.0
250,152104.0,146592.0
251,152104.0,146592.0
252,152104.0,146592.0
253,152104.0,146592.0
254,152104.0,146592.0
255,157396.0,151652.0
256,152104.0,146592.0
257,152104.0,146592.0
258,152104.0,146592.0
259,152104.0,146592.0
260,152104.0,146592.0
261,162964.0,157312.0
262,155952.0,151516.0
263,152104.0,146588.0
264,152104.0,146588.0
265,152104.0,146588.0
266,152104.0,146588.0
267,152104.0,146588.0
268,157168.0,151888.0
269,152104.0,146588.0
270,152104.0,146588.0
271,152104.0,146588.0
272,152104.0,146588.0
273,152104.0,146588.0
274,179624.0,162808.0
275,152104.0,146592.0
276,152104.0,146592.0
277,152104.0,146592.0
278,152104.0,146592.0
279,152104.0,146592.0
280,177376.0,150080.0
281,157168.0,151652.0
282,152108.0,146588.0
283,152108.0,146588.0
284,152108.0,146588.0
285,152108.0,146588.0
286,152108.0,146588.0
287,168324.0,162808.0
288,152104.0,146588.0
289,152104.0,146588.0
290,152104.0,146588.0
291,152104.0,146588.0
292,152104.0,146588.0
293,157164.0,151648.0
294,157396.0,151652.0
295,152104.0,146592.0
296,152104.0,146592.0
297,152104.0,146592.0
298,152104.0,146592.0
299,152104.0,146592.0
300,168324.0,162808.0
301,152108.0,146588.0
302,152108.0,146588.0
303,152108.0,146588.0
304,152108.0,146588.0
305,152108.0,146588.0
306,157032.0,151524.0
307,157168.0,151888.0
308,152104.0,146588.0
309,152104.0,146588.0
310,152104.0,146588.0
311,152104.0,146588.0
312,152104.0,146588.0
313,157168.0,151880.0
314,152104.0,146588.0
315,152104.0,146588.0
316,152104.0,146588.0
317,152104.0,146588.0
318,152104.0,146588.0
319,162100.0,157312.0
320,157032.0,151888.0
321,152104.0,146592.0
322,152104.0,146592.0
323,152104.0,146592.0
324,152104.0,146592.0
325,152104.0,146592.0
326,157396.0,151516.0
327,152104.0,146588.0
328,152104.0,146588.0
329,152104.0,146588.0
330,152104.0,146588.0
331,152104.0,146588.0
332,168332.0,162816.0
333,152108.0,146592.0
334,152108.0,146592.0
335,152108.0,146592.0
336,152108.0,146592.0
337,152108.0,146592.0
338,177376.0,150568.0
339,157396.0,151652.0
340,152104.0,146588.0
341,152104.0,146588.0
342,152104.0,146588.0
343,152104.0,146588.0
344,152104.0,146588.0
345,158160.0,151828.0
346,152104.0,146588.0
347,152104.0,146588.0
348,152104.0,146588.0
349,152104.0,146588.0
350,152104.0,146588.0
351,158980.0,153868.0
352,157404.0,151828.0
353,152104.0,146588.0
354,152104.0,146588.0
355,152104.0,146588.0
356,152104.0,146588.0
357,152104.0,146588.0
358,168324.0,162808.0
359,152104.0,146588.0
360,152104.0,146588.0
361,152104.0,146588.0
362,152104.0,146588.0
363,152104.0,146588.0
364,157380.0,151864.0
365,157404.0,151652.0
366,152108.0,146592.0
367,152108.0,146592.0
368,152108.0,146592.0
369,152108.0,146592.0
370,152108.0,146592.0
371,157168.0,151888.0
372,152104.0,146592.0
373,152104.0,146592.0
374,152104.0,146592.0
375,152104.0,146592.0
376,152104.0,146592.0
377,160924.0,155244.0
378,157396.0,151880.0
379,152104.0,146588.0
380,152104.0,146588.0
381,152104.0,146588.0
382,152104.0,146588.0
383,152104.0,146588.0
384,157396.0,151888.0
385,152108.0,146588.0
386,152108.0,146588.0
387,152108.0,146588.0
388,152108.0,146588.0
389,152108.0,146588.0
390,165884.0,160368.0
391,173532.0,146588.0
392,152104.0,146588.0
393,152104.0,146588.0
394,91344.0,85828.0
395,91344.0,85828.0
396,91344.0,85828.0
397,96636.0,91120.0
398,96408.0,90892.0
399,107572.0,102056.0
