kbinact,node156,node157
0,91568.0,89012.0
1,91572.0,89016.0
2,91588.0,89028.0
3,91604.0,89036.0
4,91620.0,89048.0
5,91628.0,89056.0
6,91640.0,89064.0
7,91652.0,89068.0
8,91672.0,89072.0
9,91688.0,89084.0
10,91696.0,89096.0
11,91700.0,89108.0
12,91716.0,89116.0
13,91736.0,89124.0
14,91748.0,89140.0
15,91756.0,89144.0
16,91768.0,89156.0
17,91788.0,89168.0
18,91796.0,89172.0
19,91808.0,89172.0
20,91820.0,89188.0
21,91832.0,89196.0
22,91844.0,89208.0
23,91868.0,89220.0
24,91876.0,89236.0
25,91884.0,89240.0
26,91892.0,89248.0
27,91904.0,89260.0
28,91924.0,89272.0
29,91936.0,89280.0
30,91944.0,89284.0
31,91952.0,89292.0
32,91960.0,89292.0
33,91984.0,89308.0
34,91996.0,89320.0
35,92004.0,89324.0
36,92024.0,89340.0
37,92032.0,89348.0
38,92044.0,89352.0
39,92056.0,89364.0
40,92068.0,89372.0
41,92080.0,89388.0
42,92088.0,89396.0
43,92120.0,89400.0
44,92120.0,89412.0
45,92136.0,89420.0
46,92144.0,89428.0
47,92156.0,89444.0
48,92176.0,89452.0
49,92188.0,89468.0
50,92192.0,89472.0
51,92204.0,89484.0
52,92208.0,89488.0
53,92232.0,89500.0
54,92240.0,89508.0
55,92252.0,89524.0
56,92264.0,89532.0
57,92276.0,89540.0
58,92300.0,89556.0
59,92312.0,89564.0
60,92316.0,89568.0
61,92332.0,89584.0
62,92336.0,89592.0
63,92356.0,89604.0
64,92364.0,89608.0
65,92380.0,89620.0
66,92388.0,89632.0
67,92404.0,89648.0
68,92420.0,89640.0
69,92432.0,89660.0
70,92440.0,89660.0
71,92452.0,89672.0
72,92460.0,89684.0
73,92484.0,89692.0
74,92492.0,89696.0
75,92508.0,89712.0
76,92512.0,89712.0
77,92524.0,89728.0
78,92540.0,89732.0
79,92552.0,89736.0
80,92560.0,89744.0
81,92580.0,89760.0
82,92588.0,89772.0
83,92608.0,89784.0
84,92620.0,89792.0
85,92628.0,89800.0
86,92640.0,89812.0
87,92652.0,89816.0
88,92672.0,89820.0
89,92684.0,89828.0
90,92696.0,89828.0
91,92708.0,89840.0
92,92720.0,89856.0
93,92736.0,89860.0
94,92752.0,89872.0
95,92764.0,89888.0
96,92772.0,89892.0
97,92784.0,89908.0
98,92800.0,89912.0
99,92816.0,89920.0
