kbmemused,node156,node157
0,166032.0,165804.0
1,166032.0,165804.0
2,166032.0,165804.0
3,166544.0,166316.0
4,167684.0,167456.0
5,166156.0,165928.0
6,166156.0,165928.0
7,166156.0,165928.0
8,166156.0,165928.0
9,166156.0,165928.0
10,167684.0,167456.0
11,166280.0,166052.0
12,166280.0,166052.0
13,166280.0,166052.0
14,166280.0,166052.0
15,166280.0,166052.0
16,167956.0,167852.0
17,167932.0,167836.0
18,166404.0,166176.0
19,166404.0,166176.0
20,166404.0,166176.0
21,166404.0,166176.0
22,166412.0,166176.0
23,168196.0,167836.0
24,166536.0,166300.0
25,166536.0,166300.0
26,166536.0,166300.0
27,166536.0,166300.0
28,166536.0,166300.0
29,171908.0,172044.0
30,168072.0,167836.0
31,166660.0,166424.0
32,166660.0,166424.0
33,166660.0,166424.0
34,166660.0,166424.0
35,166660.0,166424.0
36,168312.0,168208.0
37,166792.0,166564.0
38,166908.0,166548.0
39,166900.0,166540.0
40,166900.0,166540.0
41,166900.0,166540.0
42,177852.0,176500.0
43,167040.0,166672.0
44,167024.0,166664.0
45,167024.0,166664.0
46,167024.0,166664.0
47,167024.0,166664.0
48,167156.0,166664.0
49,168684.0,168324.0
50,167156.0,166796.0
51,167148.0,166788.0
52,167148.0,166788.0
53,167148.0,166788.0
54,167148.0,166788.0
55,179596.0,179360.0
56,167288.0,166920.0
57,167272.0,166912.0
58,167272.0,166912.0
59,167272.0,166912.0
60,167272.0,166912.0
61,168280.0,167920.0
62,168924.0,168564.0
63,167396.0,167044.0
64,167396.0,167160.0
65,167396.0,167160.0
66,167396.0,167160.0
67,167396.0,167160.0
68,168924.0,173276.0
69,167528.0,167160.0
70,167520.0,167284.0
71,167520.0,167284.0
72,167520.0,167284.0
73,167520.0,167284.0
74,168924.0,168440.0
75,169180.0,168944.0
76,167644.0,167424.0
77,167644.0,167408.0
78,167644.0,167408.0
79,167644.0,167408.0
80,167644.0,167408.0
81,169428.0,168944.0
82,167900.0,167540.0
83,167892.0,167532.0
84,167892.0,167532.0
85,167892.0,167532.0
86,167892.0,167532.0
87,174380.0,173152.0
88,169552.0,168944.0
89,168016.0,167656.0
90,168016.0,167656.0
91,168016.0,167656.0
92,168016.0,167656.0
93,168016.0,167656.0
94,169676.0,169316.0
95,168156.0,167788.0
96,168140.0,167780.0
97,168140.0,167780.0
98,168140.0,167780.0
99,168140.0,167780.0
100,177976.0,176748.0
101,168280.0,167912.0
102,168264.0,167904.0
103,168264.0,167904.0
104,168264.0,167904.0
105,168264.0,167904.0
106,168264.0,167904.0
107,169916.0,169564.0
108,168396.0,168036.0
109,168388.0,168028.0
110,168388.0,168028.0
111,168388.0,168028.0
112,168388.0,168028.0
113,180960.0,180476.0
114,168528.0,168168.0
115,168512.0,168152.0
116,168512.0,168152.0
117,168512.0,168152.0
118,168512.0,168152.0
119,169520.0,169036.0
120,170172.0,169812.0
121,168636.0,168276.0
122,168636.0,168276.0
123,168636.0,168276.0
124,168636.0,168276.0
125,168636.0,168276.0
126,170164.0,169804.0
127,168892.0,168416.0
128,168884.0,168400.0
129,168884.0,168400.0
130,168884.0,168400.0
131,168884.0,168400.0
132,170296.0,169812.0
133,170544.0,170060.0
134,169008.0,168524.0
135,169008.0,168524.0
136,169008.0,168524.0
137,169008.0,168524.0
138,169008.0,168524.0
139,170668.0,170184.0
140,169148.0,168656.0
141,169132.0,168648.0
142,169132.0,168648.0
143,169132.0,168648.0
144,169132.0,168648.0
145,174256.0,173896.0
146,170668.0,170184.0
147,169256.0,168772.0
148,169256.0,168772.0
149,169256.0,168772.0
150,169256.0,168772.0
151,169256.0,168772.0
152,170916.0,170432.0
153,169380.0,168896.0
154,169380.0,168896.0
155,169380.0,168896.0
156,169380.0,168896.0
157,169380.0,168896.0
158,179092.0,177740.0
159,169520.0,169036.0
160,169504.0,169020.0
161,169504.0,169020.0
162,169504.0,169020.0
163,169512.0,169020.0
164,169512.0,169020.0
165,171288.0,170680.0
166,169636.0,169144.0
167,169636.0,169144.0
168,169636.0,169144.0
169,169636.0,169144.0
170,169636.0,169152.0
171,182332.0,181724.0
172,169900.0,169284.0
173,169884.0,169400.0
174,169884.0,169400.0
175,169884.0,169400.0
176,169884.0,169400.0
177,170768.0,170160.0
178,171544.0,171060.0
179,170008.0,169524.0
180,170008.0,169524.0
181,170008.0,169524.0
182,170008.0,169524.0
183,170008.0,169524.0
184,182580.0,181972.0
185,170132.0,169664.0
186,170132.0,169648.0
187,170132.0,169648.0
188,170132.0,169648.0
189,170132.0,169648.0
190,171412.0,170928.0
191,171908.0,171300.0
192,170256.0,169772.0
193,170256.0,169772.0
194,170256.0,169772.0
195,170256.0,169772.0
196,170256.0,169772.0
197,171916.0,171432.0
198,170380.0,169896.0
199,170380.0,169896.0
200,170380.0,169896.0
201,170380.0,169896.0
202,170380.0,169896.0
203,174388.0,173780.0
204,172156.0,171556.0
205,170628.0,170020.0
206,170628.0,170020.0
207,170628.0,170020.0
208,170628.0,170020.0
209,170628.0,170020.0
210,172288.0,171672.0
211,170768.0,170144.0
212,170752.0,170144.0
213,170752.0,170144.0
214,170752.0,170144.0
215,170752.0,170144.0
216,179224.0,178616.0
217,170892.0,170400.0
218,170876.0,170268.0
219,170876.0,170268.0
220,170876.0,170268.0
221,170876.0,170268.0
222,170876.0,170268.0
223,172536.0,171928.0
224,171008.0,170408.0
225,171000.0,170392.0
226,171000.0,170392.0
227,171000.0,170392.0
228,171000.0,170392.0
229,183572.0,182840.0
230,171140.0,170532.0
231,171124.0,170516.0
