kbmenfree,node156,node157
0,337220.0,337448.0
1,337220.0,337448.0
2,337220.0,337448.0
3,336708.0,336936.0
4,335568.0,335796.0
5,337096.0,337324.0
6,337096.0,337324.0
7,337096.0,337324.0
8,337096.0,337324.0
9,337096.0,337324.0
10,335568.0,335796.0
11,336972.0,337200.0
12,336972.0,337200.0
13,336972.0,337200.0
14,336972.0,337200.0
15,336972.0,337200.0
16,335296.0,335400.0
17,335320.0,335416.0
18,336848.0,337076.0
19,336848.0,337076.0
20,336848.0,337076.0
21,336848.0,337076.0
22,336840.0,337076.0
23,335056.0,335416.0
24,336716.0,336952.0
25,336716.0,336952.0
26,336716.0,336952.0
27,336716.0,336952.0
28,336716.0,336952.0
29,331344.0,331208.0
30,335180.0,335416.0
31,336592.0,336828.0
32,336592.0,336828.0
33,336592.0,336828.0
34,336592.0,336828.0
35,336592.0,336828.0
36,334940.0,335044.0
37,336460.0,336688.0
38,336344.0,336704.0
39,336352.0,336712.0
40,336352.0,336712.0
41,336352.0,336712.0
42,325400.0,326752.0
43,336212.0,336580.0
44,336228.0,336588.0
45,336228.0,336588.0
46,336228.0,336588.0
47,336228.0,336588.0
48,336096.0,336588.0
49,334568.0,334928.0
50,336096.0,336456.0
51,336104.0,336464.0
52,336104.0,336464.0
53,336104.0,336464.0
54,336104.0,336464.0
55,323656.0,323892.0
56,335964.0,336332.0
57,335980.0,336340.0
58,335980.0,336340.0
59,335980.0,336340.0
60,335980.0,336340.0
61,334972.0,335332.0
62,334328.0,334688.0
63,335856.0,336208.0
64,335856.0,336092.0
65,335856.0,336092.0
66,335856.0,336092.0
67,335856.0,336092.0
68,334328.0,329976.0
69,335724.0,336092.0
70,335732.0,335968.0
71,335732.0,335968.0
72,335732.0,335968.0
73,335732.0,335968.0
74,334328.0,334812.0
75,334072.0,334308.0
76,335608.0,335828.0
77,335608.0,335844.0
78,335608.0,335844.0
79,335608.0,335844.0
80,335608.0,335844.0
81,333824.0,334308.0
82,335352.0,335712.0
83,335360.0,335720.0
84,335360.0,335720.0
85,335360.0,335720.0
86,335360.0,335720.0
87,328872.0,330100.0
88,333700.0,334308.0
89,335236.0,335596.0
90,335236.0,335596.0
91,335236.0,335596.0
92,335236.0,335596.0
93,335236.0,335596.0
94,333576.0,333936.0
95,335096.0,335464.0
96,335112.0,335472.0
97,335112.0,335472.0
98,335112.0,335472.0
99,335112.0,335472.0
100,325276.0,326504.0
101,334972.0,335340.0
102,334988.0,335348.0
103,334988.0,335348.0
104,334988.0,335348.0
105,334988.0,335348.0
106,334988.0,335348.0
107,333336.0,333688.0
108,334856.0,335216.0
109,334864.0,335224.0
110,334864.0,335224.0
111,334864.0,335224.0
112,334864.0,335224.0
113,322292.0,322776.0
114,334724.0,335084.0
115,334740.0,335100.0
116,334740.0,335100.0
117,334740.0,335100.0
118,334740.0,335100.0
119,333732.0,334216.0
120,333080.0,333440.0
121,334616.0,334976.0
122,334616.0,334976.0
123,334616.0,334976.0
124,334616.0,334976.0
125,334616.0,334976.0
126,333088.0,333448.0
127,334360.0,334836.0
128,334368.0,334852.0
129,334368.0,334852.0
130,334368.0,334852.0
131,334368.0,334852.0
132,332956.0,333440.0
133,332708.0,333192.0
134,334244.0,334728.0
135,334244.0,334728.0
136,334244.0,334728.0
137,334244.0,334728.0
138,334244.0,334728.0
139,332584.0,333068.0
140,334104.0,334596.0
141,334120.0,334604.0
142,334120.0,334604.0
143,334120.0,334604.0
144,334120.0,334604.0
145,328996.0,329356.0
146,332584.0,333068.0
147,333996.0,334480.0
148,333996.0,334480.0
149,333996.0,334480.0
150,333996.0,334480.0
151,333996.0,334480.0
152,332336.0,332820.0
153,333872.0,334356.0
154,333872.0,334356.0
155,333872.0,334356.0
156,333872.0,334356.0
157,333872.0,334356.0
158,324160.0,325512.0
159,333732.0,334216.0
160,333748.0,334232.0
161,333748.0,334232.0
162,333748.0,334232.0
163,333740.0,334232.0
164,333740.0,334232.0
165,331964.0,332572.0
166,333616.0,334108.0
167,333616.0,334108.0
168,333616.0,334108.0
169,333616.0,334108.0
170,333616.0,334100.0
171,320920.0,321528.0
172,333352.0,333968.0
173,333368.0,333852.0
174,333368.0,333852.0
175,333368.0,333852.0
176,333368.0,333852.0
177,332484.0,333092.0
178,331708.0,332192.0
179,333244.0,333728.0
180,333244.0,333728.0
181,333244.0,333728.0
182,333244.0,333728.0
183,333244.0,333728.0
184,320672.0,321280.0
185,333120.0,333588.0
186,333120.0,333604.0
187,333120.0,333604.0
188,333120.0,333604.0
189,333120.0,333604.0
190,331840.0,332324.0
191,331344.0,331952.0
192,332996.0,333480.0
193,332996.0,333480.0
194,332996.0,333480.0
195,332996.0,333480.0
196,332996.0,333480.0
197,331336.0,331820.0
198,332872.0,333356.0
199,332872.0,333356.0
200,332872.0,333356.0
201,332872.0,333356.0
202,332872.0,333356.0
203,328864.0,329472.0
204,331096.0,331696.0
205,332624.0,333232.0
206,332624.0,333232.0
207,332624.0,333232.0
208,332624.0,333232.0
209,332624.0,333232.0
210,330964.0,331580.0
211,332484.0,333108.0
212,332500.0,333108.0
213,332500.0,333108.0
214,332500.0,333108.0
215,332500.0,333108.0
216,324028.0,324636.0
217,332360.0,332852.0
218,332376.0,332984.0
219,332376.0,332984.0
220,332376.0,332984.0
221,332376.0,332984.0
222,332376.0,332984.0
223,330716.0,331324.0
224,332244.0,332844.0
225,332252.0,332860.0
226,332252.0,332860.0
227,332252.0,332860.0
228,332252.0,332860.0
229,319680.0,320412.0
230,332112.0,332720.0
231,332128.0,332736.0
232,332128.0,332736.0
233,332128.0,332736.0
234,332128.0,332736.0
235,331492.0,332100.0
236,330468.0,331076.0
237,331988.0,332604.0
238,332004.0,332612.0
239,332004.0,332612.0
240,332004.0,332612.0
241,332004.0,332612.0
242,319432.0,320040.0
243,331872.0,332472.0
244,331880.0,332488.0
245,331880.0,332488.0
246,331880.0,332488.0
247,331880.0,332488.0
248,330452.0,330812.0
249,330220.0,330704.0
250,331756.0,332364.0
251,331756.0,332240.0
252,331756.0,332240.0
253,331756.0,332240.0
254,331756.0,332240.0
255,329972.0,330704.0
256,331500.0,332108.0
257,331508.0,332116.0
258,331508.0,332116.0
259,331508.0,332116.0
260,331508.0,332116.0
261,324648.0,325628.0
262,330352.0,330704.0
263,331384.0,331992.0
264,331384.0,331992.0
265,331384.0,331992.0
266,331384.0,331992.0
267,331384.0,331992.0
268,329724.0,330332.0
269,331244.0,331852.0
270,331260.0,331868.0
271,331260.0,331868.0
272,331260.0,331868.0
273,331260.0,331868.0
274,318812.0,319924.0
275,331128.0,331728.0
276,331136.0,331744.0
277,331136.0,331744.0
278,331136.0,331744.0
279,331136.0,331744.0
280,330004.0,330860.0
281,329484.0,330084.0
282,331012.0,331604.0
283,331012.0,331620.0
284,331012.0,331620.0
285,331012.0,331620.0
286,331012.0,331620.0
287,318440.0,324016.0
288,330880.0,331488.0
