%memused,node156,node157
0,32.99,32.95
1,32.99,32.95
2,32.99,32.95
3,33.09,33.05
4,33.32,33.27
5,33.02,32.97
6,33.02,32.97
7,33.02,32.97
8,33.02,32.97
9,33.02,32.97
10,33.32,33.27
11,33.04,33.0
12,33.04,33.0
13,33.04,33.0
14,33.04,33.0
15,33.04,33.0
16,33.37,33.35
17,33.37,33.35
18,33.07,33.02
19,33.07,33.02
20,33.07,33.02
21,33.07,33.02
22,33.07,33.02
23,33.42,33.35
24,33.09,33.05
25,33.09,33.05
26,33.09,33.05
27,33.09,33.05
28,33.09,33.05
29,34.16,34.19
30,33.4,33.35
31,33.12,33.07
32,33.12,33.07
33,33.12,33.07
34,33.12,33.07
35,33.12,33.07
36,33.44,33.42
37,33.14,33.1
38,33.17,33.09
39,33.16,33.09
40,33.16,33.09
41,33.16,33.09
42,35.34,35.07
43,33.19,33.12
44,33.19,33.12
45,33.19,33.12
46,33.19,33.12
47,33.19,33.12
48,33.22,33.12
49,33.52,33.45
50,33.22,33.14
51,33.21,33.14
52,33.21,33.14
53,33.21,33.14
54,33.21,33.14
55,35.69,35.64
56,33.24,33.17
57,33.24,33.17
58,33.24,33.17
59,33.24,33.17
60,33.24,33.17
61,33.44,33.37
62,33.57,33.49
63,33.26,33.19
64,33.26,33.22
65,33.26,33.22
66,33.26,33.22
67,33.26,33.22
68,33.57,34.43
69,33.29,33.22
70,33.29,33.24
71,33.29,33.24
72,33.29,33.24
73,33.29,33.24
74,33.57,33.47
75,33.62,33.57
76,33.31,33.27
77,33.31,33.27
78,33.31,33.27
79,33.31,33.27
80,33.31,33.27
81,33.67,33.57
82,33.36,33.29
83,33.36,33.29
84,33.36,33.29
85,33.36,33.29
86,33.36,33.29
87,34.65,34.41
88,33.69,33.57
89,33.39,33.31
90,33.39,33.31
91,33.39,33.31
92,33.39,33.31
93,33.39,33.31
94,33.72,33.64
95,33.41,33.34
96,33.41,33.34
97,33.41,33.34
98,33.41,33.34
99,33.41,33.34
100,35.37,35.12
101,33.44,33.37
102,33.44,33.36
103,33.44,33.36
104,33.44,33.36
105,33.44,33.36
106,33.44,33.36
107,33.76,33.69
108,33.46,33.39
109,33.46,33.39
110,33.46,33.39
111,33.46,33.39
112,33.46,33.39
113,35.96,35.86
114,33.49,33.42
115,33.48,33.41
116,33.48,33.41
117,33.48,33.41
118,33.48,33.41
119,33.68,33.59
120,33.81,33.74
121,33.51,33.44
122,33.51,33.44
123,33.51,33.44
124,33.51,33.44
125,33.51,33.44
126,33.81,33.74
127,33.56,33.47
128,33.56,33.46
129,33.56,33.46
130,33.56,33.46
131,33.56,33.46
132,33.84,33.74
133,33.89,33.79
134,33.58,33.49
135,33.58,33.49
136,33.58,33.49
137,33.58,33.49
138,33.58,33.49
139,33.91,33.82
140,33.61,33.51
141,33.61,33.51
142,33.61,33.51
143,33.61,33.51
144,33.61,33.51
145,34.63,34.55
146,33.91,33.82
147,33.63,33.54
148,33.63,33.54
149,33.63,33.54
150,33.63,33.54
151,33.63,33.54
152,33.96,33.87
153,33.66,33.56
154,33.66,33.56
155,33.66,33.56
156,33.66,33.56
157,33.66,33.56
158,35.59,35.32
159,33.68,33.59
160,33.68,33.59
161,33.68,33.59
162,33.68,33.59
163,33.68,33.59
164,33.68,33.59
165,34.04,33.92
166,33.71,33.61
167,33.71,33.61
168,33.71,33.61
169,33.71,33.61
170,33.71,33.61
171,36.23,36.11
172,33.76,33.64
173,33.76,33.66
174,33.76,33.66
175,33.76,33.66
176,33.76,33.66
177,33.93,33.81
178,34.09,33.99
179,33.78,33.69
180,33.78,33.69
181,33.78,33.69
182,33.78,33.69
183,33.78,33.69
184,36.28,36.16
185,33.81,33.71
186,33.81,33.71
187,33.81,33.71
188,33.81,33.71
189,33.81,33.71
190,34.06,33.96
191,34.16,34.04
192,33.83,33.73
193,33.83,33.73
194,33.83,33.73
195,33.83,33.73
196,33.83,33.73
197,34.16,34.06
198,33.86,33.76
199,33.86,33.76
200,33.86,33.76
201,33.86,33.76
202,33.86,33.76
203,34.65,34.53
204,34.21,34.09
205,33.91,33.78
206,33.91,33.78
207,33.91,33.78
208,33.91,33.78
209,33.91,33.78
210,34.23,34.11
211,33.93,33.81
212,33.93,33.81
213,33.93,33.81
214,33.93,33.81
215,33.93,33.81
216,35.61,35.49
217,33.96,33.86
218,33.95,33.83
219,33.95,33.83
220,33.95,33.83
221,33.95,33.83
222,33.95,33.83
223,34.28,34.16
224,33.98,33.86
225,33.98,33.86
226,33.98,33.86
227,33.98,33.86
228,33.98,33.86
229,36.48,36.33
230,34.01,33.89
231,34.0,33.88
232,34.0,33.88
233,34.0,33.88
234,34.0,33.88
235,34.13,34.01
236,34.33,34.21
237,34.03,33.91
238,34.03,33.91
239,34.03,33.91
240,34.03,33.91
241,34.03,33.91
242,36.53,36.41
243,34.05,33.94
244,34.05,33.93
245,34.05,33.93
246,34.05,33.93
247,34.05,33.93
248,34.34,34.27
249,34.38,34.29
250,34.08,33.96
251,34.08,33.98
252,34.08,33.98
253,34.08,33.98
254,34.08,33.98
255,34.43,34.29
256,34.13,34.01
257,34.13,34.01
258,34.13,34.01
259,34.13,34.01
260,34.13,34.01
261,35.49,35.3
262,34.36,34.29
263,34.15,34.03
264,34.15,34.03
265,34.15,34.03
266,34.15,34.03
267,34.15,34.03
268,34.48,34.36
269,34.18,34.06
270,34.18,34.06
271,34.18,34.06
272,34.18,34.06
273,34.18,34.06
274,36.65,36.43
275,34.2,34.08
276,34.2,34.08
277,34.2,34.08
278,34.2,34.08
279,34.2,34.08
280,34.43,34.26
281,34.53,34.41
282,34.23,34.11
283,34.23,34.1
284,34.23,34.1
285,34.23,34.1
286,34.23,34.1
287,36.72,35.62
288,34.25,34.13
289,34.25,34.13
290,34.25,34.13
291,34.25,34.13
292,34.25,34.13
293,34.5,34.41
294,34.6,34.46
295,34.27,34.15
296,34.27,34.15
297,34.27,34.15
298,34.27,34.15
299,34.27,34.15
300,36.77,36.65
301,34.33,34.18
302,34.33,34.18
303,34.33,34.18
304,34.33,34.18
305,34.33,34.18
306,34.58,34.48
307,34.65,34.51
308,34.35,34.2
309,34.35,34.2
310,34.35,34.2
311,34.35,34.2
312,34.35,34.2
313,34.68,34.53
314,34.38,34.23
315,34.37,34.23
316,34.37,34.23
317,34.37,34.23
318,34.37,34.23
319,35.49,35.52
320,34.68,34.53
321,34.4,34.25
322,34.4,34.25
323,34.4,34.25
324,34.4,34.25
325,34.4,34.25
326,34.73,34.58
327,34.42,34.28
328,34.42,34.28
329,34.42,34.28
330,34.42,34.28
331,34.42,34.28
332,36.92,36.78
333,34.45,34.33
334,34.47,34.33
335,34.47,34.33
336,34.47,34.33
337,34.47,34.33
338,34.67,34.55
339,34.8,34.65
340,34.5,34.35
341,34.5,34.35
342,34.5,34.35
343,34.5,34.35
344,34.5,34.35
345,34.8,34.65
346,34.52,34.38
347,34.52,34.38
348,34.52,34.38
349,34.52,34.38
350,34.52,34.38
351,35.1,35.0
352,34.85,34.71
353,34.55,34.4
354,34.55,34.4
355,34.55,34.4
356,34.55,34.4
357,34.55,34.4
358,37.05,36.9
359,34.57,34.43
360,34.57,34.43
361,34.57,34.43
362,34.57,34.43
363,34.57,34.43
364,34.83,34.68
365,34.9,34.76
366,34.6,34.45
367,34.6,34.45
368,34.6,34.45
369,34.6,34.45
370,34.6,34.45
371,34.93,34.78
372,34.62,34.48
373,34.62,34.48
374,34.62,34.48
375,34.62,34.48
376,34.62,34.48
377,35.52,35.35
378,34.98,34.78
379,34.67,34.5
380,34.67,34.5
381,34.67,34.5
382,34.67,34.5
383,34.67,34.5
384,35.0,34.85
385,34.7,34.53
386,34.7,34.53
387,34.7,34.53
388,34.7,34.53
389,34.7,34.53
390,36.6,36.48
391,34.8,34.55
392,34.72,34.55
393,34.72,34.55
394,26.68,26.52
395,26.68,26.52
396,26.68,26.52
397,27.01,26.85
398,27.01,26.85
399,29.18,28.99
