rxkB/s,node156,node157
0,1.37,1.33
1,0.54,0.55
2,1.19,1.22
3,3.8,3.5
4,2.6,2.85
5,1.81,1.78
6,1.13,1.17
7,0.6,0.59
8,1.72,1.72
9,0.74,0.74
10,6.17,6.23
11,1.2,1.22
12,1.05,1.04
13,0.76,0.76
14,0.81,0.84
15,1.41,1.39
16,4.6,4.7
17,1.32,1.32
18,1.45,1.46
19,1.2,1.19
20,1.21,1.2
21,1.18,1.18
22,0.56,0.53
23,5.19,5.3
24,1.3,1.28
25,1.08,1.11
26,0.86,0.86
27,0.66,0.65
28,0.59,0.58
29,4.65,4.65
30,1.51,1.51
31,1.26,1.22
32,1.15,1.15
33,1.04,1.03
34,1.08,1.12
35,0.64,0.65
36,5.32,5.42
37,1.41,1.4
38,1.11,1.14
39,0.6,0.6
40,1.14,1.11
41,0.68,0.7
42,4.6,4.55
43,1.15,1.15
44,1.77,1.68
45,0.64,0.64
46,1.16,1.17
47,0.63,0.64
48,1.24,1.23
49,4.42,4.42
50,2.49,2.42
51,0.81,0.79
52,1.82,1.86
53,0.62,0.64
54,1.13,1.13
55,5.12,5.17
56,1.34,1.29
57,0.79,0.81
58,1.17,1.12
59,0.69,0.69
60,1.75,1.77
61,4.63,4.72
62,1.15,1.19
63,1.41,1.48
64,0.95,0.95
65,0.81,0.8
66,1.09,1.07
67,0.79,0.78
68,4.87,4.92
69,1.31,1.28
70,0.63,0.62
71,0.77,0.75
72,1.18,1.17
73,1.4,1.46
74,4.82,5.01
75,0.73,0.72
76,2.12,2.19
77,0.76,0.74
78,1.1,1.16
79,1.2,1.22
80,1.11,1.04
81,4.6,4.74
82,1.7,1.67
83,0.56,0.58
84,0.58,0.6
85,0.67,0.67
86,1.34,1.37
87,5.03,4.98
88,1.39,1.39
89,1.21,1.2
90,1.19,1.15
91,0.77,0.77
92,1.38,1.34
93,1.14,1.17
94,5.05,5.11
95,1.22,1.22
96,1.18,1.19
97,0.68,0.66
98,1.2,1.23
99,0.58,0.6
100,5.88,5.72
101,1.22,1.19
102,1.02,1.1
103,0.55,0.56
104,1.47,1.5
105,0.54,0.54
106,1.32,1.33
107,4.73,4.68
108,1.89,1.89
109,0.53,0.55
110,0.72,0.72
111,1.46,1.47
112,0.78,0.75
113,5.4,5.4
114,1.03,1.08
115,1.01,0.99
116,1.08,1.09
117,1.2,1.2
118,1.16,1.18
119,4.96,5.01
120,0.91,0.91
121,2.24,2.24
122,0.64,0.65
123,0.6,0.59
124,1.29,1.3
125,0.55,0.53
126,5.12,5.28
127,1.04,1.07
128,1.01,1.0
129,0.41,0.41
130,1.0,1.0
131,0.55,0.55
132,5.2,5.0
133,0.61,0.62
134,1.84,1.86
135,0.6,0.6
136,1.31,1.31
137,0.76,0.77
138,0.76,0.76
139,4.51,4.51
140,1.97,1.97
141,0.69,0.69
142,1.21,1.21
143,1.12,1.1
144,1.13,1.17
145,4.55,4.6
146,1.86,1.82
147,1.2,1.2
148,1.7,1.72
149,0.54,0.55
150,1.08,1.09
151,0.79,0.8
152,4.6,4.6
153,1.34,1.34
154,1.22,1.22
155,0.49,0.49
156,1.37,1.35
157,0.71,0.7
158,5.1,5.0
159,1.23,1.3
160,1.35,1.34
161,0.67,0.67
162,1.15,1.15
163,0.69,0.68
164,1.4,1.43
165,4.33,4.37
166,1.17,1.17
167,0.6,0.59
168,1.17,1.18
169,0.55,0.54
170,1.01,1.0
171,4.42,4.51
172,1.67,1.64
173,0.67,0.69
174,1.26,1.26
175,0.51,0.48
176,1.25,1.3
177,3.78,3.86
178,2.43,2.41
179,1.33,1.33
180,0.89,0.9
181,0.65,0.64
182,1.36,1.37
183,1.12,1.16
184,5.13,5.03
185,1.02,1.02
186,1.03,1.07
187,1.12,1.14
188,1.32,1.33
189,0.85,0.87
190,6.36,6.1
191,0.76,0.76
192,1.73,1.73
193,1.21,1.26
194,1.24,1.23
195,0.64,0.64
196,1.05,1.02
197,4.95,4.85
198,1.72,1.77
199,0.66,0.67
200,1.31,1.32
201,0.67,0.67
202,1.28,1.28
203,4.82,4.77
204,1.18,1.16
205,1.17,1.18
206,0.85,0.87
207,1.24,1.2
208,0.6,0.6
209,1.09,1.1
210,4.73,4.68
211,2.19,2.19
212,0.56,0.54
213,1.22,1.21
214,1.22,1.22
215,1.18,1.14
216,5.05,4.95
217,2.31,2.33
218,0.65,0.64
219,0.62,0.62
220,0.85,0.84
221,0.51,0.5
222,1.4,1.38
223,4.54,4.59
224,2.23,2.25
225,0.56,0.54
226,1.1,1.07
227,0.5,0.55
228,1.08,1.1
229,4.55,4.51
230,1.78,1.78
231,0.69,0.69
232,1.28,1.25
