rxpck/s,node156,node157
0,28.42,27.55
1,12.12,12.24
2,24.75,25.25
3,28.87,27.27
4,30.0,31.31
5,23.0,22.55
6,25.25,26.04
7,13.27,13.13
8,26.53,26.53
9,16.49,16.49
10,46.0,46.46
11,21.0,21.21
12,23.47,23.23
13,16.33,16.16
14,17.17,17.71
15,28.28,27.72
16,28.0,28.57
17,28.0,28.0
18,24.0,24.24
19,26.04,25.77
20,19.19,19.0
21,26.26,26.26
22,12.37,11.88
23,39.6,40.4
24,21.21,21.0
25,24.0,24.74
26,17.17,17.35
27,14.14,14.0
28,13.13,13.0
29,27.55,27.55
30,30.0,30.0
31,22.22,21.43
32,25.51,25.51
33,18.37,18.18
34,24.0,25.0
35,14.14,14.43
36,41.58,42.42
37,24.74,24.49
38,23.0,23.47
39,13.4,13.4
40,24.74,24.0
41,15.15,15.62
42,27.27,27.0
43,20.0,20.0
44,32.99,31.37
45,14.14,14.14
46,25.77,26.04
47,14.0,14.14
48,26.53,26.26
49,24.24,24.24
50,35.35,34.0
51,16.49,16.16
52,28.0,28.57
53,12.37,13.0
54,24.49,24.49
55,27.27,27.55
56,24.0,23.0
57,17.0,17.35
58,24.24,23.23
59,15.31,15.31
60,34.0,34.34
61,29.59,30.93
62,22.77,23.47
63,24.0,25.25
64,21.21,21.21
65,17.53,17.35
66,24.24,23.76
67,17.53,17.35
68,34.0,34.34
69,23.23,22.77
70,14.0,13.86
71,17.17,16.67
72,24.49,24.24
73,19.0,19.79
74,34.31,35.71
75,16.16,16.0
76,30.0,30.93
77,16.33,15.84
78,22.77,23.96
79,15.15,15.31
80,24.0,22.55
81,28.0,29.59
82,31.96,31.31
83,12.37,13.0
84,13.0,13.4
85,15.0,14.85
86,28.0,28.57
87,33.33,33.0
88,30.0,30.0
89,20.41,20.2
90,25.77,25.0
91,16.33,16.16
92,28.12,27.27
93,20.41,20.83
94,37.37,37.76
95,21.21,21.21
96,26.26,26.53
97,14.43,14.14
98,25.0,25.51
99,13.0,13.4
100,50.0,47.47
101,21.21,20.79
102,22.77,24.49
103,12.24,12.5
104,30.0,30.61
105,12.12,12.0
106,27.55,27.84
107,30.0,29.7
108,34.69,34.69
109,11.76,12.24
110,15.15,15.31
111,29.29,29.59
112,17.35,16.67
113,41.84,41.84
114,17.17,18.18
115,22.45,22.0
116,19.8,20.0
117,26.0,26.0
118,14.14,14.43
119,35.35,35.71
120,16.0,16.0
121,32.32,32.32
122,14.29,14.43
123,13.4,13.13
124,16.0,16.16
125,12.24,11.88
126,38.61,39.8
127,17.35,18.0
128,22.45,22.22
129,9.18,9.18
130,22.22,22.22
131,12.24,12.24
132,39.18,37.62
133,13.0,13.13
134,33.33,33.67
135,13.27,13.4
136,28.57,28.57
137,16.33,16.49
138,16.49,16.49
139,26.0,26.0
140,34.34,34.34
141,15.46,15.31
142,26.53,26.53
143,13.27,13.0
144,25.25,26.04
145,25.51,25.77
146,28.0,27.45
147,21.0,21.0
148,26.26,26.53
149,12.12,12.24
150,24.0,24.24
151,17.53,17.71
152,27.27,27.27
153,23.23,23.23
154,25.25,25.25
155,10.89,11.0
156,28.87,28.57
157,15.15,15.0
158,38.38,37.62
159,20.0,21.21
160,27.27,27.0
161,15.0,15.0
162,25.51,25.51
163,15.31,15.15
164,28.71,29.29
165,23.0,23.23
166,20.2,20.2
167,13.27,13.13
168,24.24,24.49
169,12.24,12.12
170,22.45,22.22
171,24.0,24.49
172,31.31,30.69
173,14.29,14.74
174,26.26,26.26
175,11.34,10.78
176,27.27,28.42
177,29.59,30.21
178,29.0,28.71
179,23.0,23.0
180,17.35,17.53
181,14.29,14.14
182,27.72,28.0
183,20.0,20.62
184,38.38,37.62
185,17.0,17.0
186,23.0,23.71
187,13.27,13.4
188,27.55,27.84
189,15.0,15.31
190,47.37,45.45
191,13.0,12.87
192,32.65,32.65
193,14.85,15.46
194,25.77,25.51
195,14.14,14.14
196,23.47,22.77
197,32.65,32.0
198,32.0,33.0
199,14.0,14.14
200,27.55,27.84
201,14.14,14.29
202,26.0,26.0
203,30.3,30.0
204,26.26,25.74
205,20.2,20.41
206,17.0,17.53
207,25.77,25.0
208,13.27,13.27
209,24.24,24.49
210,27.55,27.27
211,31.31,31.31
212,12.5,12.12
213,26.53,26.26
214,15.31,15.31
215,25.77,25.0
216,32.32,31.68
217,33.66,34.0
218,14.43,14.29
219,13.4,13.27
220,17.0,16.83
221,11.34,11.22
222,28.28,28.0
223,26.0,26.26
224,40.0,40.4
225,12.37,12.12
226,24.49,23.71
227,11.11,12.24
228,24.0,24.49
229,26.26,26.0
230,32.0,32.0
231,15.31,15.46
232,28.57,27.72
233,14.58,14.43
234,12.37,12.24
235,21.43,19.61
236,27.27,28.0
237,20.0,20.62
238,24.49,23.76
239,13.27,13.13
240,35.35,35.0
241,14.71,14.85
242,43.88,43.43
243,21.0,21.78
244,26.8,26.26
245,12.12,12.12
246,23.0,23.0
247,14.14,14.14
248,28.57,28.57
249,13.0,13.0
250,32.65,32.0
251,11.0,11.22
252,24.74,23.53
253,14.29,14.29
254,25.51,25.51
255,27.0,26.73
256,31.31,31.31
257,15.15,15.15
258,24.74,24.49
259,18.37,18.0
260,26.26,26.8
261,29.0,29.29
262,16.0,16.0
263,21.21,21.65
264,27.27,26.73
265,15.15,15.31
266,28.0,28.28
267,20.62,20.0
268,41.41,41.41
269,21.43,20.2
270,28.87,28.87
271,15.15,14.71
272,26.8,26.26
273,23.23,23.47
274,37.62,37.62
275,19.0,18.0
276,12.24,12.0
