txkB/s,node156,node157
0,0.0,0.0
1,0.0,0.0
2,0.14,0.14
3,1.75,1.72
4,0.9,0.91
5,0.88,0.86
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,2.74,2.77
11,0.88,0.88
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.14,0.14
16,2.6,2.66
17,0.0,0.0
18,0.88,0.88
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,2.58,2.63
24,1.02,1.01
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,2.66,2.66
30,0.14,0.14
31,0.88,0.89
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,2.58,2.63
37,0.9,0.89
38,0.14,0.14
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,2.63,2.6
43,0.88,0.88
44,0.14,0.14
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.14,0.14
49,2.49,2.49
50,1.02,1.01
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,2.63,2.66
56,0.88,0.88
57,0.0,0.0
58,0.14,0.14
59,0.0,0.0
60,0.0,0.0
61,2.49,2.52
62,0.16,0.16
63,1.01,1.02
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,2.6,2.63
69,0.88,0.87
70,0.0,0.0
71,0.0,0.0
72,0.14,0.14
73,0.0,0.0
74,2.55,2.66
75,0.0,0.0
76,0.88,0.9
77,0.0,0.0
78,0.14,0.14
79,0.0,0.0
80,0.0,0.0
81,2.6,2.66
82,0.9,0.88
83,0.0,0.0
84,0.0,0.0
85,0.0,0.0
86,0.14,0.14
87,2.63,2.6
88,0.0,0.0
89,0.89,0.88
90,0.0,0.0
91,0.0,0.0
92,0.14,0.14
93,0.0,0.0
94,2.63,2.66
95,0.88,0.88
96,0.0,0.0
97,0.0,0.0
98,0.14,0.14
99,0.0,0.0
100,2.66,2.63
101,0.88,0.87
102,0.0,0.0
103,0.0,0.0
104,0.0,0.0
105,0.0,0.0
106,0.14,0.14
107,2.6,2.58
108,0.89,0.89
109,0.0,0.0
110,0.0,0.0
111,0.14,0.14
112,0.0,0.0
113,2.66,2.66
114,0.88,0.88
115,0.0,0.0
116,0.0,0.0
117,0.0,0.0
118,0.0,0.0
119,2.56,2.59
120,0.2,0.2
121,0.88,0.88
122,0.0,0.0
123,0.0,0.0
124,0.0,0.0
125,0.0,0.0
126,2.71,2.8
127,0.89,0.88
128,0.0,0.0
129,0.0,0.0
130,0.0,0.0
131,0.0,0.0
132,2.68,2.58
133,0.0,0.0
134,1.02,1.03
135,0.0,0.0
136,0.0,0.0
137,0.0,0.0
138,0.0,0.0
139,2.6,2.6
140,1.02,1.02
141,0.0,0.0
142,0.0,0.0
143,0.0,0.0
144,0.0,0.0
145,2.66,2.68
146,0.14,0.14
147,0.88,0.88
148,0.0,0.0
149,0.0,0.0
150,0.0,0.0
151,0.0,0.0
152,2.63,2.63
153,0.88,0.88
154,0.14,0.14
155,0.0,0.0
156,0.0,0.0
157,0.0,0.0
158,2.63,2.58
159,1.01,1.02
160,0.0,0.0
161,0.0,0.0
162,0.0,0.0
163,0.0,0.0
164,0.14,0.14
165,2.47,2.49
166,0.88,0.88
167,0.0,0.0
168,0.14,0.14
169,0.0,0.0
170,0.0,0.0
171,2.6,2.66
172,0.88,0.87
173,0.0,0.0
174,0.14,0.14
175,0.0,0.0
176,0.0,0.0
177,1.98,2.02
178,0.66,0.66
179,0.88,0.88
180,0.0,0.0
181,0.0,0.0
182,0.14,0.14
183,0.0,0.0
184,2.63,2.58
185,0.88,0.88
186,0.0,0.0
187,0.0,0.0
188,0.14,0.14
189,0.0,0.0
190,2.74,2.63
191,0.0,0.0
192,0.89,0.89
193,0.0,0.0
194,0.14,0.14
195,0.0,0.0
196,0.0,0.0
197,2.66,2.6
198,0.88,0.88
199,0.0,0.0
200,0.0,0.0
201,0.0,0.0
202,0.14,0.14
203,2.63,2.6
204,0.0,0.0
205,0.88,0.89
206,0.0,0.0
207,0.14,0.14
208,0.0,0.0
209,0.0,0.0
210,2.66,2.63
211,0.88,0.88
212,0.0,0.0
213,0.0,0.0
214,0.0,0.0
215,0.0,0.0
216,2.77,2.71
217,0.87,0.88
218,0.0,0.0
219,0.0,0.0
220,0.0,0.0
221,0.0,0.0
222,0.14,0.14
223,2.6,2.63
224,0.88,0.88
225,0.0,0.0
226,0.0,0.0
227,0.0,0.0
228,0.0,0.0
229,2.63,2.6
230,1.01,1.01
231,0.0,0.0
232,0.0,0.0
233,0.0,0.0
234,0.0,0.0
235,1.98,1.79
236,0.81,0.91
237,0.88,0.9
238,0.0,0.0
239,0.0,0.0
240,0.0,0.0
241,0.0,0.0
242,2.8,2.77
243,0.88,0.87
244,0.0,0.0
245,0.0,0.0
246,0.0,0.0
247,0.0,0.0
248,2.66,2.66
249,0.0,0.0
250,1.03,1.01
251,0.0,0.0
252,0.0,0.0
253,0.0,0.0
254,0.0,0.0
255,2.74,2.71
256,0.88,0.88
257,0.0,0.0
258,0.0,0.0
259,0.0,0.0
260,0.0,0.0
261,2.6,2.63
262,0.0,0.0
263,0.88,0.9
264,0.14,0.14
265,0.0,0.0
266,0.0,0.0
267,0.0,0.0
268,2.63,2.63
269,0.89,0.88
270,0.14,0.14
271,0.0,0.0
272,0.0,0.0
273,0.0,0.0
274,2.58,2.58
275,0.88,0.88
276,0.0,0.0
277,0.0,0.0
278,0.14,0.14
279,0.0,0.0
280,2.62,2.62
281,0.06,0.06
282,0.91,0.88
283,0.0,0.0
284,0.14,0.14
285,0.0,0.0
286,0.0,0.0
287,2.63,2.66
288,0.89,0.88
289,0.0,0.0
290,0.14,0.14
291,0.0,0.0
292,0.0,0.0
293,2.63,2.63
294,0.0,0.0
295,0.89,0.88
296,0.0,0.0
297,0.0,0.0
298,0.14,0.14
299,0.0,0.0
300,2.63,2.63
301,0.88,0.87
302,0.0,0.0
303,0.14,0.14
304,0.0,0.0
305,0.0,0.0
306,2.63,2.66
307,0.0,0.0
308,0.9,0.88
309,0.0,0.0
310,0.0,0.0
311,0.0,0.0
312,0.14,0.14
313,2.58,2.63
314,0.88,0.88
315,0.0,0.0
316,0.0,0.0
317,0.0,0.0
318,0.14,0.14
319,2.6,2.66
320,0.0,0.0
321,0.89,0.87
322,0.0,0.0
323,0.0,0.0
324,0.0,0.0
325,0.0,0.0
326,2.74,2.8
327,0.89,0.88
328,0.0,0.0
329,0.0,0.0
330,0.0,0.0
331,0.0,0.0
332,2.74,2.71
333,0.87,0.89
334,0.0,0.0
335,0.0,0.0
336,0.0,0.0
337,0.0,0.0
338,2.73,2.73
339,0.06,0.06
340,0.88,0.89
341,0.0,0.0
342,0.0,0.0
343,0.0,0.0
344,0.0,0.0
345,2.63,2.66
346,1.0,1.01
347,0.0,0.0
348,0.0,0.0
349,0.0,0.0
350,0.0,0.0
351,2.8,2.77
352,0.0,0.0
353,0.88,0.88
354,0.0,0.0
355,0.0,0.0
356,0.0,0.0
357,0.0,0.0
358,2.73,2.73
359,0.88,0.87
360,0.14,0.14
361,0.0,0.0
362,0.0,0.0
363,0.0,0.0
364,2.6,2.66
365,0.0,0.0
366,1.01,1.02
367,0.0,0.0
368,0.0,0.0
369,0.0,0.0
370,0.0,0.0
371,2.58,2.6
372,0.88,0.89
373,0.0,0.0
374,0.14,0.14
375,0.0,0.0
376,0.0,0.0
377,2.63,2.66
378,0.0,0.0
379,0.88,0.87
380,0.14,0.14
381,0.0,0.0
382,0.0,0.0
383,0.0,0.0
384,2.6,2.63
385,0.89,0.89
386,0.14,0.14
387,0.0,0.0
388,0.0,0.0
389,0.0,0.0
390,2.66,2.6
391,0.86,0.89
392,0.0,0.0
393,0.0,0.0
394,0.61,0.6
395,0.0,0.0
396,0.0,0.0
397,2.63,2.63
398,3.33,3.37
399,3.5,3.5
