txpck/s,node156,node157
0,0.0,0.0
1,0.0,0.0
2,0.99,1.01
3,6.19,6.06
4,7.0,7.07
5,8.0,7.84
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,14.0,14.14
11,8.0,8.08
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,1.01,0.99
16,13.0,13.27
17,0.0,0.0
18,8.0,8.08
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,12.87,13.13
24,9.09,9.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,13.27,13.27
30,1.0,1.0
31,8.08,8.16
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,12.87,13.13
37,8.25,8.16
38,1.0,1.02
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,13.13,13.0
43,8.0,8.0
44,1.03,0.98
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,2.04,2.02
49,11.11,11.11
50,9.09,9.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,13.13,13.27
56,8.0,8.0
57,0.0,0.0
58,1.01,1.01
59,0.0,0.0
60,0.0,0.0
61,11.22,11.34
62,1.98,2.04
63,9.0,9.09
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,13.0,13.13
69,8.08,7.92
70,0.0,0.0
71,0.0,0.0
72,1.02,1.01
73,0.0,0.0
74,12.75,13.27
75,0.0,0.0
76,8.0,8.25
77,0.0,0.0
78,0.99,1.04
79,0.0,0.0
80,0.0,0.0
81,13.0,13.27
82,8.25,8.08
83,0.0,0.0
84,0.0,0.0
85,0.0,0.0
86,1.0,1.02
87,13.13,13.0
88,0.0,0.0
89,8.16,8.08
90,0.0,0.0
91,0.0,0.0
92,1.04,1.01
93,0.0,0.0
94,13.13,13.27
95,8.08,8.08
96,0.0,0.0
97,0.0,0.0
98,1.0,1.02
99,0.0,0.0
100,13.27,13.13
101,8.08,7.92
102,0.0,0.0
103,0.0,0.0
104,0.0,0.0
105,0.0,0.0
106,1.02,1.03
107,13.0,12.87
108,8.16,8.16
109,0.0,0.0
110,0.0,0.0
111,1.01,1.02
112,0.0,0.0
113,13.27,13.27
114,8.08,8.08
115,0.0,0.0
116,0.0,0.0
117,0.0,0.0
118,0.0,0.0
119,12.12,12.24
120,2.0,2.0
121,8.08,8.08
122,0.0,0.0
123,0.0,0.0
124,0.0,0.0
125,0.0,0.0
126,13.86,14.29
127,8.16,8.0
128,0.0,0.0
129,0.0,0.0
130,0.0,0.0
131,0.0,0.0
132,13.4,12.87
133,0.0,0.0
134,9.09,9.18
135,0.0,0.0
136,0.0,0.0
137,0.0,0.0
138,0.0,0.0
139,13.0,13.0
140,9.09,9.09
141,0.0,0.0
142,0.0,0.0
143,0.0,0.0
144,0.0,0.0
145,13.27,13.4
146,1.0,0.98
147,8.0,8.0
148,0.0,0.0
149,0.0,0.0
150,0.0,0.0
151,0.0,0.0
152,13.13,13.13
153,8.08,8.08
154,1.01,1.01
155,0.0,0.0
156,0.0,0.0
157,0.0,0.0
158,13.13,12.87
159,9.0,9.09
160,0.0,0.0
161,0.0,0.0
162,0.0,0.0
163,0.0,0.0
164,1.98,2.02
165,11.0,11.11
166,8.08,8.08
167,0.0,0.0
168,1.01,1.02
169,0.0,0.0
170,0.0,0.0
171,13.0,13.27
172,8.08,7.92
173,0.0,0.0
174,1.01,1.01
175,0.0,0.0
176,0.0,0.0
177,9.18,9.38
178,4.0,3.96
179,8.0,8.0
180,0.0,0.0
181,0.0,0.0
182,0.99,1.0
183,0.0,0.0
184,13.13,12.87
185,8.0,8.0
186,0.0,0.0
187,0.0,0.0
188,1.02,1.03
189,0.0,0.0
190,13.68,13.13
191,0.0,0.0
192,8.16,8.16
193,0.0,0.0
194,1.03,1.02
195,0.0,0.0
196,0.0,0.0
197,13.27,13.0
198,8.0,8.0
199,0.0,0.0
200,0.0,0.0
201,0.0,0.0
202,1.0,1.0
203,13.13,13.0
204,0.0,0.0
205,8.08,8.16
206,0.0,0.0
207,1.03,1.0
208,0.0,0.0
209,0.0,0.0
210,13.27,13.13
211,8.08,8.08
212,0.0,0.0
213,0.0,0.0
214,0.0,0.0
215,0.0,0.0
216,14.14,13.86
217,7.92,8.0
218,0.0,0.0
219,0.0,0.0
220,0.0,0.0
221,0.0,0.0
222,1.01,1.0
223,13.0,13.13
224,8.0,8.08
225,0.0,0.0
226,0.0,0.0
227,0.0,0.0
228,0.0,0.0
229,13.13,13.0
230,9.0,9.0
231,0.0,0.0
232,0.0,0.0
233,0.0,0.0
234,0.0,0.0
235,9.18,7.84
236,5.05,6.0
237,8.0,8.25
238,0.0,0.0
239,0.0,0.0
240,0.0,0.0
241,0.0,0.0
242,14.29,14.14
243,8.0,7.92
244,0.0,0.0
245,0.0,0.0
246,0.0,0.0
247,0.0,0.0
248,13.27,13.27
249,0.0,0.0
250,9.18,9.0
251,0.0,0.0
252,0.0,0.0
253,0.0,0.0
254,0.0,0.0
255,14.0,13.86
256,8.08,8.08
257,0.0,0.0
258,0.0,0.0
259,0.0,0.0
260,0.0,0.0
261,13.0,13.13
262,0.0,0.0
263,8.08,8.25
264,1.01,0.99
265,0.0,0.0
266,0.0,0.0
267,0.0,0.0
268,13.13,13.13
269,8.16,8.08
270,1.03,1.03
271,0.0,0.0
272,0.0,0.0
273,0.0,0.0
274,12.87,12.87
275,8.0,8.0
276,0.0,0.0
277,0.0,0.0
278,1.02,1.01
279,0.0,0.0
280,12.37,12.37
281,0.98,1.0
282,8.33,8.0
283,0.0,0.0
284,1.02,1.01
285,0.0,0.0
286,0.0,0.0
287,13.13,13.27
288,8.16,8.08
289,0.0,0.0
290,1.02,1.03
291,0.0,0.0
292,0.0,0.0
293,13.13,13.13
294,0.0,0.0
295,8.16,8.08
296,0.0,0.0
297,0.0,0.0
298,1.02,1.02
299,0.0,0.0
300,13.13,13.13
301,8.0,7.92
302,0.0,0.0
303,1.02,1.03
304,0.0,0.0
305,0.0,0.0
306,13.13,13.27
307,0.0,0.0
308,8.25,8.08
309,0.0,0.0
310,0.0,0.0
311,0.0,0.0
312,1.02,1.0
313,12.87,13.13
314,8.08,8.08
315,0.0,0.0
316,0.0,0.0
317,0.0,0.0
318,1.03,1.03
319,13.0,13.27
320,0.0,0.0
321,8.16,7.92
322,0.0,0.0
323,0.0,0.0
324,0.0,0.0
325,0.0,0.0
326,14.0,14.29
327,8.16,8.0
328,0.0,0.0
329,0.0,0.0
330,0.0,0.0
331,0.0,0.0
332,14.0,13.86
333,7.92,8.16
334,0.0,0.0
335,0.0,0.0
336,0.0,0.0
337,0.0,0.0
338,13.27,13.27
339,1.0,1.0
340,8.08,8.16
341,0.0,0.0
342,0.0,0.0
343,0.0,0.0
344,0.0,0.0
345,13.13,13.27
346,8.91,9.0
347,0.0,0.0
348,0.0,0.0
349,0.0,0.0
350,0.0,0.0
351,14.29,14.14
352,0.0,0.0
353,8.0,8.08
354,0.0,0.0
355,0.0,0.0
356,0.0,0.0
357,0.0,0.0
358,14.29,14.29
359,8.0,7.92
360,1.03,1.01
361,0.0,0.0
362,0.0,0.0
363,0.0,0.0
364,13.0,13.27
365,0.0,0.0
366,9.0,9.09
367,0.0,0.0
368,0.0,0.0
369,0.0,0.0
370,0.0,0.0
371,12.87,13.0
372,8.0,8.16
373,0.0,0.0
374,1.01,1.01
375,0.0,0.0
376,0.0,0.0
377,13.13,13.27
378,0.0,0.0
379,8.0,7.92
380,1.01,1.0
381,0.0,0.0
382,0.0,0.0
383,0.0,0.0
384,13.0,13.13
385,8.16,8.16
386,1.02,1.01
387,0.0,0.0
388,0.0,0.0
389,0.0,0.0
390,13.27,13.0
391,7.84,8.16
392,0.0,0.0
393,0.0,0.0
394,5.21,5.1
395,0.0,0.0
396,0.0,0.0
397,13.13,13.13
398,19.8,20.0
399,21.0,21.0
