avgqu-sz,node156,node157
0,8.15,8.1
1,8.05,8.24
2,8.09,7.85
3,8.01,8.02
4,7.83,7.88
5,8.18,8.12
6,7.95,8.21
7,8.1,8.05
8,8.3,8.12
9,7.92,8.13
10,7.92,8.04
11,8.2,8.15
12,7.95,8.14
13,8.06,8.13
14,7.94,7.85
15,8.06,8.13
16,8.03,7.99
17,8.13,8.05
18,7.88,8.13
19,8.13,7.93
20,8.23,8.09
21,8.05,7.88
22,8.12,8.01
23,7.96,7.96
24,7.87,8.07
25,8.13,8.24
26,8.11,8.04
27,7.85,8.03
28,8.12,7.96
29,8.02,7.88
30,8.07,8.13
31,7.95,8.28
32,8.06,7.8
33,8.04,8.48
34,8.18,8.24
35,7.78,7.95
36,7.95,8.05
37,8.07,8.3
38,8.14,8.12
39,8.11,8.04
40,8.12,8.1
41,8.31,8.12
42,7.85,7.91
43,8.02,7.73
44,8.05,8.12
45,8.29,8.14
46,8.24,8.13
47,7.85,7.95
48,8.19,8.02
49,7.9,7.87
50,8.11,8.06
51,8.23,8.13
52,8.12,7.95
53,8.0,8.03
54,7.97,8.03
55,8.02,7.95
56,7.99,8.02
57,8.02,8.14
58,7.97,8.24
59,8.11,7.96
60,8.04,8.32
61,7.89,8.02
62,7.93,7.92
63,7.93,8.21
64,8.14,7.96
65,8.2,7.95
66,8.12,8.11
67,7.93,8.0
68,7.97,7.98
69,7.98,7.7
70,8.07,7.94
71,8.12,7.94
72,7.87,8.22
73,8.03,8.21
74,7.91,7.83
75,7.98,8.03
76,8.02,8.11
77,8.11,8.13
78,7.7,8.15
79,8.13,7.85
80,7.87,8.16
81,8.05,7.93
82,8.19,7.95
83,8.11,8.11
84,8.02,8.01
85,7.93,8.1
86,7.94,7.88
87,7.91,8.03
88,8.14,7.96
89,8.22,7.94
90,8.05,8.0
91,8.19,8.31
92,8.4,8.08
93,7.97,7.94
94,7.96,8.01
95,7.94,8.11
96,8.31,8.03
97,8.03,8.05
98,7.92,8.2
99,8.13,8.16
100,8.11,7.96
101,7.88,8.1
102,7.89,8.14
103,8.1,8.19
104,7.96,8.06
105,7.96,8.01
106,8.09,8.04
107,8.03,7.96
108,7.91,8.12
109,7.88,8.1
110,8.09,8.13
111,8.04,7.95
112,8.07,8.01
113,7.94,7.94
114,8.16,8.07
115,7.86,7.93
116,8.04,7.96
117,7.85,8.12
118,8.12,8.04
119,7.91,8.05
120,8.02,8.13
121,8.04,8.06
122,8.31,8.12
123,7.97,8.01
124,8.2,7.85
125,7.89,8.12
126,7.97,7.96
127,8.23,8.04
128,8.12,8.11
129,7.92,8.02
130,8.2,8.12
131,8.12,7.74
132,8.04,8.13
133,7.93,8.13
134,8.13,8.13
135,7.94,8.17
136,8.2,8.28
137,8.21,8.17
138,8.06,7.91
139,7.96,7.95
140,8.3,8.2
141,8.12,8.02
142,8.13,8.06
143,8.04,8.3
144,8.14,8.22
145,7.95,7.85
146,7.97,7.83
147,7.95,8.03
148,8.15,8.22
149,8.1,7.94
150,7.95,8.24
151,8.11,8.14
152,7.95,7.96
153,8.04,8.11
154,7.98,7.86
155,8.03,8.2
156,8.13,7.97
157,7.96,7.89
158,8.06,8.03
159,8.03,8.07
160,8.06,7.89
161,8.06,8.02
162,7.95,8.06
163,8.0,8.03
164,8.0,7.94
165,7.97,8.12
166,8.04,8.11
167,8.21,7.95
168,7.89,8.04
169,8.11,8.11
170,8.14,8.02
171,7.94,7.88
172,8.0,8.21
173,8.13,8.13
174,8.02,7.97
175,8.1,8.22
176,8.12,8.21
177,7.97,8.11
178,7.93,7.96
179,8.03,8.03
180,8.11,8.13
181,8.03,8.07
182,7.88,7.93
183,8.05,7.88
184,7.94,8.0
185,7.95,8.13
186,7.87,8.11
187,8.21,8.21
188,8.07,8.22
189,8.06,7.96
190,8.23,7.92
191,8.04,8.02
192,7.85,8.39
193,8.2,7.95
194,8.02,8.03
195,8.2,7.91
196,7.98,7.88
197,7.98,7.96
198,7.85,8.06
199,8.16,8.11
200,7.98,8.13
201,7.92,8.06
202,8.12,7.89
203,7.98,8.04
204,8.02,8.05
205,7.87,8.1
206,8.18,8.06
207,8.13,8.22
208,8.07,8.03
209,8.2,7.89
210,7.82,8.02
211,8.25,8.13
212,8.21,7.94
213,8.21,8.3
214,8.13,7.88
215,8.1,7.86
216,7.97,7.95
217,8.12,7.98
218,8.1,8.2
219,8.06,7.96
220,8.11,8.04
221,8.12,8.04
222,7.92,7.85
223,7.95,8.11
224,8.21,8.04
225,7.94,8.12
226,8.24,8.2
227,7.86,8.24
228,8.14,7.85
229,8.05,7.87
230,7.92,8.21
231,8.05,8.11
232,8.32,7.96
233,8.22,8.18
234,8.19,7.83
235,8.13,7.78
236,7.98,8.03
237,7.98,8.15
238,8.32,7.87
239,7.97,7.91
240,8.11,7.97
241,7.83,8.08
242,7.96,7.94
243,8.06,7.84
244,8.18,8.12
245,7.84,7.93
246,8.03,8.02
247,8.03,8.11
248,8.0,7.85
249,8.11,8.03
250,8.15,8.02
251,8.02,7.94
252,8.13,7.94
253,8.11,8.08
254,7.88,7.87
255,7.94,8.0
256,8.02,8.01
257,8.21,8.2
258,8.1,7.96
259,7.96,8.32
260,7.99,7.89
261,7.97,7.95
262,7.93,8.1
263,8.07,7.97
264,7.97,8.1
265,8.19,8.06
266,7.8,8.13
267,8.39,7.94
268,7.96,7.92
269,8.04,8.04
270,8.3,8.1
271,8.0,7.87
272,8.24,8.02
273,8.03,8.08
274,7.85,7.86
275,7.98,7.89
276,8.01,8.21
277,8.21,8.02
278,7.96,7.87
279,8.14,8.31
280,8.06,7.9
281,7.91,8.02
282,8.32,7.87
283,8.11,8.19
284,7.94,7.98
285,8.04,8.25
286,8.15,8.15
287,7.85,7.9
288,8.04,8.16
289,8.15,8.21
290,8.3,7.9
291,7.78,8.29
292,8.21,7.91
293,7.89,8.02
294,7.94,7.89
