await,node156,node157
0,22.63,23.36
1,24.5,25.56
2,16.77,17.98
3,19.0,19.78
4,26.4,27.29
5,21.39,24.69
6,14.55,14.53
7,21.71,28.87
8,17.77,19.86
9,19.02,18.19
10,17.86,20.03
11,23.24,28.66
12,20.94,23.13
13,23.91,20.81
14,19.35,21.85
15,27.99,26.64
16,19.39,23.51
17,22.29,24.79
18,20.33,19.18
19,19.08,20.13
20,18.17,19.84
21,19.59,20.81
22,23.37,26.27
23,18.46,18.52
24,19.47,20.77
25,26.93,25.26
26,24.42,24.24
27,18.32,14.85
28,20.82,19.26
29,17.1,16.63
30,19.78,18.49
31,19.06,19.85
32,26.47,22.54
33,14.68,13.87
34,23.49,22.04
35,22.69,18.47
36,20.39,24.96
37,19.98,19.63
38,21.38,15.93
39,18.06,20.56
40,16.04,16.62
41,22.84,21.1
42,21.79,17.56
43,17.14,18.94
44,13.99,13.24
45,16.27,18.41
46,19.63,16.64
47,21.54,23.34
48,17.26,17.41
49,23.61,15.83
50,15.02,13.85
51,20.38,21.36
52,20.59,16.67
53,16.85,15.08
54,16.86,16.22
55,22.11,23.6
56,16.76,24.71
57,26.26,22.45
58,22.34,24.5
59,22.57,26.12
60,25.45,24.95
61,19.06,19.02
62,25.31,19.69
63,19.88,18.44
64,20.19,15.65
65,17.52,18.19
66,19.25,19.44
67,21.15,18.39
68,21.21,15.8
69,26.32,20.72
70,19.38,18.22
71,20.84,20.69
72,20.8,18.71
73,21.6,21.67
74,21.04,22.55
75,22.84,18.58
76,18.72,19.33
77,20.61,16.57
78,18.62,23.53
79,21.73,21.73
80,18.69,16.98
81,23.1,27.03
82,14.52,15.83
83,17.75,18.9
84,17.25,23.89
85,21.36,19.38
86,16.64,17.91
87,16.55,16.9
88,20.39,25.42
89,20.28,18.3
90,20.11,19.03
91,17.74,20.81
92,20.19,18.5
93,18.44,19.57
94,19.21,17.72
95,19.67,22.87
96,27.8,23.33
97,21.04,21.36
98,16.08,17.39
99,24.83,21.04
100,22.94,22.63
101,23.11,19.24
102,20.5,21.6
103,17.52,18.31
104,20.23,22.28
105,16.68,16.31
106,24.22,20.12
107,22.21,25.77
108,18.63,16.41
109,18.27,20.37
110,18.67,21.26
111,23.9,24.88
112,19.31,19.72
113,22.05,22.18
114,25.22,22.04
115,23.26,20.34
116,24.2,25.35
117,27.04,25.82
118,23.1,21.31
119,18.39,18.84
120,19.87,20.98
121,18.35,20.9
122,24.51,23.71
123,24.19,17.14
124,14.14,13.49
125,20.9,24.68
126,17.82,18.19
127,22.5,23.33
128,16.91,17.82
129,14.94,17.71
130,17.92,18.69
131,22.19,21.96
132,23.86,19.8
133,22.92,20.16
134,22.15,19.99
135,15.03,17.01
136,17.56,20.96
137,20.91,20.8
138,19.12,20.95
139,18.44,18.43
140,19.53,19.76
141,16.61,17.14
142,22.51,24.05
143,21.53,19.11
144,25.79,19.18
145,20.1,19.06
146,24.45,22.59
147,22.88,21.53
148,26.0,22.85
149,20.19,19.93
150,19.03,14.57
151,20.04,20.16
152,25.65,21.91
153,24.74,27.06
