svctm,node156,node157
0,2.87,3.02
1,3.06,3.12
2,2.12,2.28
3,2.37,2.51
4,3.3,3.57
5,2.7,2.97
6,1.85,1.85
7,2.68,3.57
8,2.25,2.48
9,2.41,2.31
10,2.27,2.49
11,2.91,3.65
12,2.65,2.85
13,2.95,2.65
14,2.44,2.73
15,3.56,3.32
16,2.42,3.03
17,2.79,3.07
18,2.53,2.37
19,2.43,2.58
20,2.28,2.49
21,2.44,2.6
22,2.98,3.32
23,2.26,2.32
24,2.46,2.61
25,3.38,3.2
26,3.07,3.05
27,2.33,1.85
28,2.64,2.45
29,2.14,2.09
30,2.53,2.31
31,2.41,2.49
32,3.3,2.83
33,1.88,1.75
34,2.87,2.79
35,2.86,2.3
36,2.6,3.15
37,2.53,2.41
38,2.63,2.03
39,2.3,2.58
40,2.0,2.1
41,2.87,2.66
42,2.75,2.19
43,2.15,2.4
44,1.76,1.67
45,2.05,2.3
46,2.5,2.13
47,2.65,2.88
48,2.17,2.22
49,3.07,1.96
50,1.82,1.75
51,2.58,2.67
52,2.56,2.11
53,2.13,1.89
54,2.13,2.06
55,2.81,2.98
56,2.1,3.1
57,3.3,2.82
58,2.82,3.14
59,2.84,3.25
60,3.2,3.12
61,2.4,2.46
62,3.18,2.4
63,2.49,2.31
64,2.53,2.01
65,2.2,2.27
66,2.47,2.46
67,2.75,2.31
68,2.54,1.96
69,3.31,2.6
70,2.43,2.35
71,2.63,2.58
72,2.64,2.32
73,2.72,2.72
74,2.64,2.87
75,2.88,2.34
76,2.39,2.41
77,2.54,2.07
78,2.37,2.97
79,2.74,2.72
80,2.32,2.2
81,2.92,3.32
82,1.81,1.99
83,2.28,2.4
84,2.17,2.98
85,2.68,2.43
86,2.09,2.28
87,2.12,2.1
88,2.49,3.34
89,2.58,2.21
90,2.49,2.42
91,2.24,2.63
92,2.53,2.32
93,2.33,2.46
94,2.4,2.22
95,2.58,2.88
96,3.37,2.95
97,2.64,2.66
98,2.1,2.21
99,3.02,2.62
100,2.92,2.83
101,2.84,2.52
102,2.61,2.62
103,2.22,2.3
104,2.51,2.82
105,2.12,2.04
106,3.06,2.52
107,2.81,3.26
108,2.31,2.1
109,2.33,2.52
110,2.35,2.69
