%util,node156,node157
0,102.04,102.04
1,101.01,103.09
2,102.04,99.01
3,100.61,101.01
4,98.04,99.01
5,103.09,102.04
6,100.0,103.09
7,101.63,101.01
8,104.17,102.04
9,100.0,102.04
10,100.0,101.01
11,103.09,102.04
12,100.0,102.04
13,101.01,102.04
14,100.0,99.01
15,101.01,102.04
16,101.01,100.2
17,102.04,101.01
18,99.01,102.04
19,102.04,100.0
20,103.09,102.04
21,101.01,99.01
22,101.63,101.01
23,100.0,100.0
24,99.01,101.01
25,102.04,103.51
26,102.04,101.01
27,99.01,101.01
28,102.04,100.0
29,101.63,100.0
30,101.41,102.04
31,100.0,104.17
32,101.01,98.04
33,101.01,106.38
34,103.09,103.09
35,98.04,100.0
36,100.0,101.01
37,102.04,104.17
38,102.04,102.04
39,102.04,101.01
40,102.04,102.04
41,104.17,102.04
42,99.01,100.0
43,101.01,98.04
44,101.01,102.04
45,104.17,102.04
46,103.09,102.04
47,99.01,100.0
48,103.09,100.82
49,99.01,99.01
50,102.04,102.04
51,103.09,102.04
52,102.04,100.0
53,101.01,101.01
54,100.61,101.22
55,101.01,100.0
56,101.01,101.01
57,101.01,102.04
58,100.0,103.09
59,102.04,100.0
60,100.61,104.17
61,100.0,101.01
62,100.0,100.0
63,100.0,103.09
64,102.04,101.01
65,103.09,100.0
66,102.04,102.04
67,100.0,101.01
68,100.0,100.4
69,100.0,97.09
70,101.63,100.0
71,102.04,100.0
72,99.41,103.09
73,101.01,103.09
74,100.0,99.01
75,100.0,101.01
76,101.01,102.04
77,102.04,102.04
78,97.09,102.04
79,102.04,99.01
80,99.01,103.09
81,101.01,100.0
82,103.09,100.0
83,102.04,102.04
84,101.01,100.61
85,100.0,102.22
86,100.0,99.01
87,100.0,101.01
88,102.04,100.0
89,103.09,100.0
90,101.01,100.61
91,103.09,104.17
92,105.26,102.04
93,100.0,99.8
94,100.0,101.01
95,100.0,102.04
96,104.17,101.01
97,101.01,101.01
98,100.0,103.09
99,102.04,103.09
100,102.04,100.0
101,99.01,102.04
102,100.0,102.04
103,102.04,103.09
104,100.0,101.01
105,100.0,101.01
106,102.04,101.01
107,101.01,100.0
108,100.0,102.04
109,100.0,102.04
110,102.04,102.04
111,101.01,100.0
112,101.86,101.01
113,100.0,100.0
114,102.45,101.41
115,99.01,100.0
116,101.01,100.0
117,98.61,102.04
118,102.04,101.01
119,99.6,101.22
120,101.01,102.04
121,101.01,101.01
122,104.17,102.04
123,100.0,101.01
124,103.09,99.01
125,99.01,102.04
126,100.0,100.0
127,103.09,101.01
128,102.45,102.04
129,100.0,101.01
130,103.09,102.04
131,102.04,97.09
132,101.01,102.04
133,100.0,102.04
134,102.04,102.04
135,100.0,103.09
136,103.09,104.17
137,103.09,103.09
138,102.04,99.6
139,100.0,100.0
140,104.17,103.09
141,102.04,101.01
142,102.04,101.01
143,101.01,104.17
144,102.04,103.09
145,100.0,99.01
146,100.0,98.61
147,100.0,101.01
148,102.04,103.09
149,101.63,100.0
150,100.0,104.17
151,102.04,102.04
152,100.0,100.0
153,101.01,102.04
154,101.01,99.01
155,101.01,103.09
156,102.04,100.4
157,100.0,99.01
158,101.01,101.01
