wMB/s,node156,node157
0,11.1,10.55
1,10.32,10.34
2,15.02,13.58
3,13.26,12.59
4,9.28,8.66
5,11.92,10.75
6,16.94,17.4
7,11.83,8.84
8,14.49,12.88
9,12.97,13.81
10,13.78,12.66
11,11.08,8.74
12,11.78,11.19
13,10.7,12.05
14,12.78,11.32
15,8.87,9.6
16,13.07,10.32
17,11.42,10.29
18,12.22,13.46
19,13.14,12.12
20,14.14,12.82
21,12.94,11.88
22,10.65,9.5
23,13.81,13.47
24,12.59,12.09
25,9.44,10.12
26,10.4,10.35
27,13.3,17.05
28,12.09,12.75
29,14.86,14.94
30,12.53,13.81
31,12.97,13.05
32,9.56,10.81
33,16.82,18.95
34,11.21,11.57
35,10.72,13.59
36,12.03,10.01
37,12.6,13.51
38,12.12,15.69
39,13.87,12.25
40,15.98,15.21
41,11.36,11.99
42,11.23,14.28
43,14.68,12.78
44,17.93,19.07
45,15.85,13.87
46,12.89,14.99
47,11.66,10.84
48,14.82,14.22
49,10.09,15.75
50,17.54,18.18
51,12.47,11.93
52,12.47,14.84
53,14.84,16.7
54,14.74,15.34
55,11.24,10.5
56,15.03,10.2
57,9.56,11.32
58,11.06,10.24
59,11.22,9.62
60,9.82,10.45
61,13.0,12.85
62,9.81,13.0
63,12.53,13.92
64,12.6,15.72
65,14.66,13.75
66,12.91,12.95
67,11.34,13.64
68,12.31,15.97
69,9.44,11.65
70,13.07,13.31
71,12.12,12.09
72,11.76,13.89
73,11.62,11.86
74,11.84,10.77
75,10.84,13.51
76,13.23,13.23
77,12.53,15.37
78,12.8,10.75
79,11.64,11.36
80,13.34,14.63
81,10.8,9.41
82,17.85,15.72
83,14.0,13.3
84,14.55,10.54
85,11.66,13.13
86,14.94,13.55
87,14.72,15.03
88,12.79,9.34
89,12.5,14.16
90,12.69,13.01
91,14.37,12.37
92,12.99,13.74
93,13.44,12.69
94,13.03,14.2
95,12.09,11.07
96,9.67,10.7
97,11.96,11.87
98,14.88,14.59
99,10.55,12.27
100,10.91,11.03
101,10.89,12.66
102,11.97,12.18
103,14.38,14.01
104,12.44,11.21
105,14.75,15.47
106,10.43,12.53
107,11.24,9.59
108,13.53,15.21
109,13.44,12.66
110,13.58,11.86
111,10.29,10.12
112,13.21,12.69
113,11.28,11.12
114,10.08,11.43
115,10.52,12.12
116,10.35,9.72
117,9.0,9.79
118,11.1,11.99
119,13.47,13.3
120,12.75,12.15
121,12.72,12.15
122,11.33,10.68
123,10.31,14.46
124,18.07,18.01
125,11.57,10.17
126,14.22,13.84
127,11.31,10.95
128,15.21,13.55
129,16.31,14.84
130,14.5,13.39
131,11.26,11.13
132,10.67,12.88
133,10.62,12.47
134,11.64,12.76
135,16.44,15.11
136,14.76,12.3
137,12.24,12.27
138,13.17,11.59
139,13.34,13.78
140,13.31,12.89
141,15.21,14.65
142,11.45,10.54
143,11.62,13.48
144,9.89,13.43
145,12.34,12.81
146,10.19,10.86
147,10.91,11.52
148,9.82,11.31
149,12.47,12.62
150,13.03,17.64
151,12.69,12.56
152,9.53,11.41
153,9.75,9.18
154,11.9,12.44
155,12.91,12.69
156,11.35,11.41
157,10.31,10.15
158,12.34,13.92
159,9.56,9.53
160,6.28,10.06
161,14.74,14.02
162,10.41,10.83
163,11.55,14.96
164,9.69,9.44
165,12.44,11.89
166,10.45,12.05
167,11.79,14.09
168,11.39,9.75
169,14.51,14.92
170,16.49,18.91
171,13.53,12.69
172,15.56,14.34
173,14.41,12.28
174,13.01,12.16
175,12.15,13.85
176,11.51,10.31
177,11.05,9.95
178,12.81,13.56
179,9.34,9.91
180,16.58,17.0
181,13.7,13.55
182,14.11,13.88
183,12.63,12.78
184,10.78,15.62
185,12.78,16.65
186,13.49,12.15
187,14.63,13.02
188,13.42,11.18
189,11.93,8.56
190,9.95,10.94
191,14.05,13.26
192,14.42,13.26
193,15.53,13.5
194,12.15,14.93
195,13.43,10.31
196,14.57,12.81
197,11.09,12.5
198,14.73,12.03
199,15.91,16.77
200,9.84,11.13
201,12.25,15.25
202,12.12,11.23
203,12.94,13.07
204,14.8,11.93
205,9.81,15.56
206,12.37,12.06
207,13.39,13.34
208,10.35,9.5
209,12.4,14.25
210,12.47,12.66
211,11.23,9.38
212,13.08,13.06
213,12.4,13.09
214,15.43,13.74
215,13.9,14.02
216,9.81,10.0
217,12.44,11.87
218,17.63,14.34
219,11.33,11.28
220,13.23,12.97
221,12.15,12.91
222,16.72,13.8
223,12.03,11.27
224,14.95,15.37
225,12.12,12.72
226,8.92,9.28
227,9.62,10.31
228,11.7,11.6
229,12.06,15.28
230,13.69,12.63
231,11.84,11.99
232,10.77,10.22
233,17.07,17.4
234,12.27,12.72
235,11.19,10.55
236,11.62,12.15
237,11.41,11.16
238,12.04,11.97
239,12.12,11.16
240,12.05,12.12
241,13.74,12.98
242,11.77,12.16
243,11.05,14.6
244,11.82,13.74
245,11.51,10.06
246,10.42,10.13
247,13.89,12.05
248,11.62,10.37
249,12.05,14.84
250,10.11,12.47
251,16.86,13.78
252,14.76,13.78
253,8.45,16.39
254,11.78,10.18
255,11.53,10.28
256,14.08,12.47
257,11.05,11.15
258,11.42,9.47
259,9.81,10.94
260,11.84,12.38
261,12.15,10.53
262,15.06,17.92
263,17.83,14.09
264,8.78,9.5
265,13.53,10.67
266,12.75,13.97
267,14.18,13.28
268,13.44,15.22
269,11.99,12.25
270,14.88,14.92
271,12.91,10.64
272,10.86,10.67
273,11.9,12.34
274,12.13,10.71
275,10.09,10.55
276,14.46,16.04
277,15.53,15.94
278,13.34,14.76
279,11.58,13.48
280,12.94,13.31
281,13.16,13.29
282,13.12,11.48
283,12.09,14.24
284,14.94,10.19
285,9.56,16.24
286,13.3,11.16
287,10.98,13.86
288,16.9,15.46
289,10.2,11.73
290,20.41,17.69
291,15.32,14.42
292,11.47,14.19
293,15.84,16.54
294,14.78,15.04
295,12.21,12.11
296,14.38,13.34
297,13.1,11.7
298,10.12,10.07
299,16.17,16.2
300,11.56,11.85
301,11.81,13.23
302,11.84,11.11
303,10.13,11.62
304,12.56,11.3
305,9.73,9.88
306,12.59,13.06
307,10.34,10.06
308,9.75,12.22
309,19.1,17.7
310,11.6,11.81
311,13.82,13.45
312,11.89,13.7
313,11.17,11.67
314,11.45,11.7
315,13.22,13.47
316,11.67,11.29
317,11.95,11.02
318,10.16,10.3
319,11.31,11.11
320,11.44,12.17
321,11.36,11.07
322,10.51,12.79
323,9.88,10.3
324,10.91,11.69
325,13.44,12.95
326,11.05,11.47
327,12.34,11.87
328,8.96,10.78
329,14.84,11.84
330,10.67,11.36
331,11.41,9.44
332,9.25,12.12
333,13.72,11.6
334,16.87,13.17
335,13.33,17.89
336,16.04,11.62
337,10.66,9.98
338,9.22,9.76
339,14.25,13.57
340,12.18,11.0
341,12.31,14.57
342,13.51,15.37
343,13.1,12.27
344,15.24,16.0
345,12.28,12.66
346,12.08,11.62
347,11.0,11.98
348,10.91,10.07
349,9.53,10.28
350,15.49,14.12
351,14.88,11.73
352,14.28,10.0
353,11.58,13.4
354,8.41,8.39
355,10.97,12.91
356,13.73,12.12
357,11.86,12.03
358,10.3,13.78
359,15.95,14.92
360,13.37,15.62
361,14.7,14.11
362,11.51,12.99
363,15.85,15.06
364,11.12,8.21
365,12.24,10.33
366,17.08,18.02
367,11.48,9.97
368,16.95,16.43
369,13.24,13.27
370,11.35,12.03
371,14.79,14.93
372,10.84,11.06
373,11.26,9.72
374,12.37,13.65
375,11.34,14.29
376,12.31,11.69
377,12.59,10.8
378,12.03,12.1
379,10.49,12.18
380,14.16,15.18
381,10.64,10.57
382,11.09,11.45
383,12.56,16.4
384,11.47,10.0
385,13.31,12.76
386,10.95,12.0
387,12.14,9.91
388,12.31,12.47
389,9.76,10.17
390,12.38,12.97
391,10.04,11.17
392,11.6,10.39
393,16.24,14.11
394,3.51,0.0
395,0.0,0.0
396,0.0,0.0
397,0.0,0.0
398,0.0,0.0
399,0.0,0.0
