wrqm/s,node156,node157
0,2507.14,2364.29
1,2312.12,2316.49
2,3364.29,3042.57
3,2969.7,2821.21
4,2079.41,1940.59
5,2670.1,2407.14
6,3794.0,3896.91
7,2650.0,1979.8
8,3244.79,2871.43
9,2905.0,3107.14
10,3087.0,2835.35
11,2482.47,1957.14
12,2639.0,2507.14
13,2396.97,2700.0
14,2842.0,2515.84
15,2008.08,2171.43
16,2927.27,2312.12
17,2550.0,2305.05
18,2737.62,3000.0
19,2950.0,2730.0
20,3168.04,2871.43
21,2898.99,2661.39
22,2385.71,2128.28
23,3094.0,3017.0
24,2813.86,2708.08
25,2121.43,2265.98
26,2314.29,2319.19
27,2994.06,3818.18
28,2707.14,2856.0
29,3328.57,3339.0
30,2807.07,3100.0
31,2905.0,2923.96
32,2142.42,2422.55
33,3768.69,4244.68
34,2511.34,2590.72
35,2401.96,3045.0
36,2695.0,2241.41
37,2821.43,3026.04
38,2714.29,3514.29
39,3107.14,2743.43
40,3578.57,3407.14
41,2544.79,2685.71
42,2515.84,3199.0
43,3287.88,2861.76
44,4016.16,4271.43
45,3551.04,3107.14
46,2886.6,3357.14
47,2605.94,2429.0
48,3326.8,3185.71
49,2259.41,3527.72
50,3907.14,4071.43
51,2807.22,2671.43
52,2800.0,3325.0
53,3316.16,3740.4
54,3309.09,3435.71
55,2517.17,2345.0
56,3351.52,2290.91
57,2149.49,2535.71
58,2485.0,2294.85
59,2514.29,2156.0
60,2198.99,2340.62
61,2912.0,2877.78
62,2198.0,2912.0
63,2800.0,3117.53
64,2821.43,3521.21
65,3290.72,3080.0
66,2892.86,2900.0
67,2541.0,3054.55
68,2758.0,3577.0
69,2114.0,2602.91
70,2928.57,2989.0
71,2714.29,2702.0
72,2633.66,3117.53
73,2602.02,2655.67
74,2646.0,2411.88
75,2429.0,3026.26
76,2969.7,2964.29
77,2807.14,3428.57
78,2867.96,2421.43
79,2607.14,2543.56
80,2987.13,3276.29
81,2418.18,2100.0
82,3997.94,3514.0
83,3135.71,2992.86
84,3259.6,2361.62
85,2611.0,2884.85
86,3346.0,3091.09
87,3297.0,3365.66
88,2857.14,2093.0
89,2807.22,3171.0
90,2842.42,2913.13
91,3218.56,2763.54
92,2910.53,3071.43
93,3010.0,2856.57
94,2912.0,3181.82
95,2716.0,2478.57
96,2165.62,2396.97
97,2679.8,2658.59
98,3332.0,3269.07
99,2364.29,2749.48
100,2442.86,2457.0
101,2439.6,2850.0
102,2681.0,2728.57
103,3214.29,3139.18
104,2786.0,2510.1
105,3311.0,3464.65
106,2335.71,2807.07
107,2517.17,2149.0
108,3031.0,3407.14
109,3010.0,2835.71
110,3014.29,2657.14
111,2333.33,2268.0
112,2958.76,2828.28
113,2527.0,2506.0
114,2257.14,2559.6
115,2356.44,2702.0
116,2319.19,2191.0
117,2016.83,2192.86
118,2485.71,2686.87
119,3017.0,2978.57
120,2846.46,2721.43
121,2859.6,2722.22
122,2530.21,2392.86
123,2303.0,3238.38
124,4062.89,4033.66
125,2592.08,2278.57
126,3185.0,3101.0
127,2532.99,2439.39
128,3378.57,3050.0
129,3682.0,3323.23
130,3247.42,3000.0
131,2521.43,2466.99
132,2389.9,2892.86
133,2380.0,2814.29
134,2600.0,2857.14
135,3689.0,3377.32
136,3305.15,2763.54
137,2742.27,2749.48
138,2950.0,2597.0
139,2989.0,3087.0
140,2982.29,2872.16
141,3407.14,3294.95
142,2564.29,2361.62
143,2602.02,3018.75
144,2214.29,3009.28
145,2765.0,2869.31
146,2282.0,2418.81
147,2443.0,2594.95
148,2200.0,2532.99
149,2792.86,2779.0
150,2919.0,4003.12
151,2842.86,2814.29
152,2135.0,2555.0
153,2184.85,2057.14
154,2665.66,2786.14
155,2891.92,2843.3
156,2542.86,2555.0
157,2296.0,2273.27
158,2771.72,3118.18
159,2142.42,2135.35
160,1414.14,2252.48
161,3302.02,3139.39
162,2317.0,2425.25
163,2602.02,3351.52
164,2156.57,2114.14
165,2779.0,2664.29
166,2354.55,2700.0
167,2648.45,3157.0
168,2550.5,2184.85
169,3250.0,3335.71
170,3687.63,4242.86
171,3038.0,2841.58
172,3485.86,3211.34
173,3228.57,2750.0
174,2913.13,2723.0
175,2722.22,3103.09
176,2578.57,2309.28
177,2474.75,2228.57
178,2863.0,3031.0
179,2100.0,2227.27
180,3714.29,3807.14
181,3068.69,3035.71
182,3160.4,3108.0
183,2828.57,2863.0
184,2415.0,3500.0
185,2863.64,3728.57
186,3021.78,2721.43
187,3276.29,2915.46
188,3007.14,2504.12
189,2658.59,1918.0
