w/s,node156,node157
0,355.1,337.76
1,330.3,330.93
2,480.61,434.65
3,424.24,403.03
4,297.06,277.23
5,381.44,343.88
6,542.0,556.7
7,378.57,282.83
8,463.54,412.24
9,415.0,441.84
10,441.0,405.05
11,354.64,279.59
12,377.0,358.16
13,342.42,385.71
14,409.0,362.38
15,283.84,307.14
16,418.18,330.3
17,365.31,329.29
18,391.09,430.61
19,420.41,388.0
20,452.58,410.2
21,414.14,380.2
22,340.82,304.04
23,442.0,431.0
24,402.97,386.87
25,302.04,323.71
26,332.65,331.31
27,425.74,545.45
28,386.73,408.0
29,475.51,478.0
30,401.01,441.84
31,415.0,417.71
32,306.06,346.08
33,538.38,606.38
34,358.76,370.1
35,343.14,435.0
36,385.0,320.2
37,403.06,432.29
38,387.76,502.04
39,443.88,391.92
40,511.22,486.73
41,363.54,383.67
42,359.41,457.0
43,469.7,408.82
44,573.74,610.2
45,507.29,443.88
46,412.37,479.59
47,373.27,347.0
48,474.23,455.1
49,322.77,503.96
50,561.22,581.63
51,398.97,381.63
52,398.98,475.0
53,474.75,534.34
54,471.72,490.82
55,359.6,336.0
56,480.81,326.26
57,306.06,362.24
58,354.0,327.84
59,359.18,308.0
60,314.14,334.38
61,416.0,411.11
62,314.0,416.0
63,401.0,445.36
64,403.06,503.03
65,469.07,440.0
66,413.27,414.29
67,363.0,436.36
68,394.0,511.0
69,302.0,372.82
70,418.37,426.0
71,387.76,387.0
72,376.24,444.33
73,371.72,379.38
74,379.0,344.55
75,347.0,432.32
76,423.23,423.47
77,401.02,491.84
78,409.71,343.88
79,372.45,363.37
80,426.73,468.04
81,345.45,301.0
82,571.13,503.0
83,447.96,425.51
84,465.66,337.37
85,373.0,420.2
86,478.0,433.66
87,471.0,480.81
88,409.18,299.0
89,400.0,453.0
90,406.06,416.16
91,459.79,395.83
92,415.79,439.8
93,430.0,406.06
94,417.0,454.55
95,387.0,354.08
96,309.38,342.42
97,382.83,379.8
98,476.0,467.01
99,337.76,392.78
100,348.98,353.0
101,348.51,405.1
102,383.0,389.8
103,460.2,448.45
104,398.0,358.59
105,472.0,494.95
106,333.67,401.01
107,359.6,307.0
108,433.0,486.73
109,430.0,405.1
110,434.69,379.59
111,329.29,324.0
112,422.68,406.06
113,361.0,356.0
114,322.45,365.66
115,336.63,388.0
116,331.31,311.0
117,288.12,313.27
118,355.1,383.84
119,431.0,425.51
120,408.08,388.78
121,407.07,388.89
122,362.5,341.84
123,330.0,462.63
124,578.35,576.24
125,370.3,325.51
126,455.0,443.0
127,361.86,350.51
128,486.73,433.67
129,522.0,474.75
130,463.92,428.57
131,360.2,356.31
132,341.41,412.24
133,340.0,398.98
134,372.45,408.16
135,526.0,483.51
136,472.16,393.75
137,391.75,392.78
138,421.43,371.0
139,427.0,441.0
140,426.04,412.37
141,486.73,468.69
142,366.33,337.37
143,371.72,431.25
144,316.33,429.9
145,395.0,409.9
146,326.0,347.52
147,349.0,368.69
148,314.29,361.86
149,398.98,404.0
150,417.0,564.58
151,406.12,402.04
152,305.0,365.0
153,312.12,293.88
154,380.81,398.02
155,413.13,406.19
156,363.27,365.0
157,330.0,324.75
158,394.95,445.45
159,306.06,305.05
160,201.01,321.78
161,471.72,448.48
162,333.0,346.46
163,369.7,478.79
164,310.1,302.02
165,398.0,380.61
166,334.34,385.71
167,377.32,451.0
168,364.36,312.12
169,464.29,477.55
170,527.84,605.1
171,433.0,405.94
172,497.98,458.76
173,461.22,392.86
174,416.16,389.0
175,388.89,443.3
176,368.37,329.9
177,353.54,318.37
178,410.0,434.0
179,298.99,317.17
180,530.61,543.88
181,438.38,433.67
182,451.49,444.0
183,404.08,409.0
184,345.0,500.0
185,409.09,532.65
186,431.68,388.78
187,468.04,416.49
188,429.59,357.73
189,381.82,274.0
190,318.56,350.0
191,449.49,424.24
192,461.39,424.21
193,496.91,432.0
194,388.89,477.78
195,429.9,330.0
196,466.33,410.0
197,355.0,400.0
198,471.29,384.85
199,509.28,536.73
200,315.0,356.12
201,392.0,487.88
202,387.76,359.41
203,414.14,418.18
204,473.74,381.82
205,313.86,497.96
206,395.88,385.86
207,428.57,426.8
208,331.31,304.04
209,396.91,456.0
210,399.01,405.05
211,359.38,300.0
212,418.56,418.0
213,396.91,418.75
214,493.88,439.6
215,444.9,448.51
216,314.0,320.0
217,397.96,379.8
218,564.29,458.76
219,362.63,361.0
220,423.47,415.15
221,388.78,413.13
222,535.0,441.58
223,385.0,360.61
224,478.35,491.92
225,388.0,407.14
226,285.57,296.91
227,307.92,329.9
228,374.49,371.29
229,385.86,489.11
230,438.0,404.12
231,378.79,383.67
232,344.79,327.0
