apply_latency,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0.029817
6,0.035014,0.02705,0.037351
7,0.760425,0.749762,0.209196
8,0.040317,0.046116,0.060472
9,0.066013,0.05958,0.04527
10,0.077323,0.092707,0.091852
11,0,0,0.916565
12,0.215572,1.858903,1.636772
13,0.029343,0.030915,0.038888
14,0.074142,0.073252,0.071772
15,0.340721,0.166892,0.131983
16,0,0.877707,0.946608
17,0.058785,0.052153,0.079279
18,0.083217,0.074743,0.074234
19,0.599388,0,0.571854
20,0.246371,1.609224,0.500374
21,0.03814,0.0263,0.033143
22,0.195223,0.09263,0.108974
23,0.194444,0.32918,0.121684
24,0.402239,0.166885,1.292933
25,0.048087,0.02557,0.039288
26,0.109414,0.121226,0.137369
27,0.060368,0.15232,0.073804
28,0.45506,1.306084,0.859313
29,0.07257,0.055064,0.064798
30,0.099306,0.070182,0.070065
31,0.189814,0.166344,0.157751
32,0.547626,0.761053,1.006115
33,0.050429,0.058862,0.054948
34,0.098423,0.112185,0.073543
35,0.443455,0.390513,0.589772
36,0.169428,1.051611,1.187573
37,0.041954,0.026413,0.034749
38,0.095207,0.189447,0.20133
39,0.13752,0.139331,0.082475
40,1.48649,1.199483,1.636786
41,0.045977,0.047533,0.061101
42,0.061175,0.101973,0.082773
43,0.137049,0.111035,0.087133
44,0,0,1.078338
45,0.066257,0.083406,0.11856
46,0.097584,0.066698,0.048037
47,0.108346,0.101158,0.097113
48,0,0,1.368459
49,0.144732,0.243307,0.86473
50,0.040593,0.040305,0.03539
51,0.110106,0.096431,0.103662
52,0.087358,0.846623,0.045287
53,0,0,0
54,0.113804,0.04883,0.135815
55,0.087555,0.062296,0.081266
56,0.085551,0.211679,0.117344
57,1.188941,0,1.699572
58,0.06359,0.073396,0.064827
59,0.135764,0.047572,0.056767
60,0.079026,0.093071,0.10153
61,0.795135,0,0.827263
62,0.086781,0.309048,0.381778
63,0.045826,0.034205,0.039554
64,0.100174,0.080201,0.075061
65,0.153733,0.107735,0.098668
66,0,0,2.045267
67,0.087974,0.112048,0.059602
68,0.098257,0.07659,0.098204
69,0.097724,0.101449,0.080099
70,0.621397,0,0.785885
71,0.16514,0.35368,0.175115
72,0.063134,0.04378,0.045264
73,0.108302,0.094977,0.0867
74,1.249374,0.784584,0
75,0.109788,0.280672,1.125094
76,0.036184,0.037757,0.044816
77,0.084731,0.071222,0.079731
78,0,0.004192,0
79,0.027244,0.029172,0.846697
80,0.08125,0.046423,0.046089
81,0.110794,0.108841,0.125391
82,0.069541,0.086907,0.165796
83,1.541876,0,0
84,0.075592,0.181106,0.063718
85,0.105396,0.087245,0.07584
86,0.076457,0.100984,0.108175
87,2.004448,0,0
88,0.057747,0.183818,0.13741
89,0.073596,0.053047,0.039861
90,0.124607,0.134972,0.103276
91,0.466987,0,0.133496
92,0.074423,0.464922,0.969541
93,0.04138,0.039119,0.0305
94,0.090842,0.09492,0.088163
95,1.447773,0.110953,0.144024
96,0.070362,0.103276,0
97,0.045674,0.033119,0.187118
98,0.06896,0.083809,0.071818
99,0.319168,0,0.245989
100,1.20265,1.99596,1.478078
101,0.047823,0.049242,0.044737
102,0.077885,0.084402,0.078915
103,0.495141,0.469581,0.179148
104,0.18263,0.30468,0.742224
105,0.037745,0.037054,0.044092
106,0.104211,0.097602,0.083538
107,0.026206,0,0.044209
108,1.805519,1.399611,1.638553
109,0.053194,0.036275,0.05553
110,0.093487,0.109824,0.098978
111,0.08465,0,0.087747
112,1.228575,2.117682,1.861017
113,0.049634,0.041286,0.040742
114,0.072832,0.093695,0.079195
