bytes,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt
0,93701219,84851426,93097187
1,93701219,84851426,93097187
2,93701219,84851426,93097187
3,93701219,84851426,93097187
4,93701219,84851426,93097187
5,93701219,84851426,93097187
6,93701219,84851426,93101781
7,95909341,86887284,95363345
8,95954013,86912812,95490982
9,99393803,88935906,96818372
10,101040303,90946236,99926201
11,101927378,92101378,101330147
12,101927378,92101378,101579033
13,103178214,92235400,101630085
14,105960682,95566804,105503740
15,107160460,96658126,106639677
16,107383825,97092102,107092771
17,107383825,97175068,107150205
18,111021454,100748988,110838790
19,112316960,101648850,112166167
20,112393542,101648850,112363998
21,112482888,101865838,112434196
22,116114141,104954726,115963248
23,117020354,106097104,116997076
24,117422407,106531080,117699052
25,117964863,107233100,117813921
26,120811156,109466800,120972829
27,122164106,110634706,122198098
28,122846958,111534568,123180867
29,122968211,111566478,123244683
30,127027067,115121252,126027090
31,127818410,115836036,127584209
32,128009865,116282776,128069215
33,128201318,116352978,128375528
34,131902780,119601416,131872684
35,133332302,120756558,133289411
36,133638633,120986310,133640397
37,134347018,121030984,133716977
38,137435799,124011378,137233284
39,138584520,125089936,137896982
40,138980188,125600496,138752120
41,139082300,125651552,138937188
42,142732691,128485160,141891897
43,143989916,129742414,143346928
44,144794032,130463580,144495623
45,144794032,130463580,144642400
46,148067904,132512202,145765570
47,149344267,134541678,148707501
48,150397268,135747876,150073170
49,150397268,135747876,150251856
50,151239669,136532862,150436923
51,154590137,139334560,153991500
52,155885646,141006644,155701775
53,156236643,141147048,155842173
54,156236643,141147048,155842173
55,160518846,144274228,159294639
56,161374011,145601684,160711360
57,162101538,146412198,161394189
58,162235555,146412198,161515439
59,166083803,148384236,163749018
60,166639025,150273308,165382733
61,167736700,151434832,167067482
62,167896248,151434832,167201500
63,168815229,151945392,167450384
64,172031654,154536484,171119810
65,173327159,155876704,172025995
66,173735595,156457466,172855598
67,173735595,156457466,173047046
68,177341325,158895390,176212341
69,178464522,160554710,177558866
70,179383498,161684324,178796904
71,179389880,161684324,179020263
72,181623512,162941578,179224476
73,183767799,165832624,183417210
74,184954818,166860126,184655243
75,185101599,167006912,184655243
76,185854665,167306866,184802021
77,188879630,170593596,188324694
78,189977297,171410492,189492534
79,189977297,171461548,189492534
80,192325809,172935790,190577414
81,193882983,175086524,193991582
82,195286976,176445890,194885000
83,195465670,176662878,195708227
84,195542252,176662878,195708227
85,199077798,179860260,198050307
86,200415168,181015402,199735059
87,201283098,181902500,201343237
88,201327770,181902500,201343237
89,204947030,184085144,202383446
90,206165960,185655116,205201338
91,207226115,186899606,206835047
92,207372892,186899606,206886098
93,208930046,187333582,207339192
94,211432478,190511818,210865451
95,212804565,191590376,212228325
96,212932196,191845656,212381484
97,214167465,192043498,212381484
98,217282575,195036656,216150242
99,218524227,196893818,218320005
100,218709299,196893818,218438448
101,218753972,197046986,218521408
102,222890158,200684726,221993016
103,223687886,201763284,223343126
104,223770850,201827104,223553722
105,224578537,202146204,223694115
106,228204189,205381878,227143775
107,229401168,206683806,228471153
108,229528805,206683806,228802998
109,229720256,206792300,228956155
110,233913883,210104558,232444103
111,235232112,211968102,234043081
112,235423567,211968102,234253676
113,235583112,212121270,234406838
114,239527864,215727100,238181981
115,240195149,216282334,239177515
116,240543347,216499322,239439162
117,240747567,216652490,239464690
118,244602941,219498862,243278087
119,245490011,220551892,244104888
120,246077136,221234766,245087650
121,246255829,221234766,245087650
122,247858434,222096336,245859829
123,250539565,224942708,249328635
124,251835069,226455242,250413514
125,251956325,226653084,251061637
126,251956325,226653084,251061637
127,255269252,230080218,253173968
128,256705161,231184304,255819530
129,257432685,231739538,256802301
130,257483741,231739538,256802301
131,259105502,232869152,257450409
132,261655408,235613412,260992240
133,262724747,236717498,262252997
134,262865147,236717498,262252997
135,263228905,236819610,262380630
136,267301285,240502024,266372717
137,268194739,241810334,267914259
138,268332334,241937974,267920641
139,268584802,242110288,268124856
140,272312569,245275760,271443327
141,273671896,246545778,272844475
142,273946314,246954226,273757052
143,274214346,247126540,273757052
144,276212635,248051930,274305884
145,278887386,250674932,277819366
146,279385172,251428008,278776623
147,279544717,251676906,278859586
148,280687049,251759872,279248860
149,283942532,255225298,282928281
150,285072110,256323002,284042266
151,285161454,256463406,284316682
152,285333763,256546372,284437932
153,289994042,260190494,288468341
154,290274842,260975480,289400063
155,290779007,261403074,290006318
156,290779007,261556242,290204146
157,294238721,264613220,293066696
158,295349156,265379060,293985649
159,295815031,266081080,295154264
160,295904375,266310832,295243608
161,299603807,268327544,297381453
162,300577417,270440756,299267618
163,301745294,271130012,300518414
164,301745294,271347000,300575850
165,302495535,271570370,300709864
166,306118379,274971976,304552375
167,307481280,276488086,305889708
168,307659971,276602962,306087536
169,309901531,278933162,306987354
170,312014701,280260618,309995434
171,313138676,281434906,311521412
172,313228021,281581692,311655430
173,314274633,281949042,312025573
174,317722345,285336618,315914272
175,318652053,286157090,317019053
176,318658435,286157090,317252367
177,318847083,286335786,317322565
178,322579186,289534708,320965214
179,324013050,290975004,322376332
180,324096012,291134554,322964213
181,324408721,291508286,323040792
182,327818916,294796556,326443741
183,328897445,295888648,327142920
184,329171862,295965232,328129266
185,329315839,296169456,328129266
186,332755142,299158542,331511043
187,334208153,300690992,333237666
188,334622969,300971800,333853877
189,334622969,301112204,333853877
190,337968583,303813330,337229263
191,339494615,305282730,338423394
192,340491718,306352100,339684142
193,340491718,306352100,339850064
194,342154566,307529964,340613061
195,344615931,310081498,343508306
196,345727132,311390578,345071306
197,345886680,311509030,345249993
198,346058987,311598378,345313810
199,349137342,313954106,347978545
200,350883920,315463834,349613018
201,351423571,315869476,350286668
202,351455481,315907768,350471736
203,355210275,318923152,353780530
204,355915854,319759194,354584625
205,357222088,320805842,355957443
206,357388017,320946246,356021259
207,361218644,324168660,358275526
208,362412823,325372822,361171541
209,362731915,325985494,361860765
210,362965237,326157808,361969250
211,366592419,328826254,365034743
212,367597942,329893588,365733915
213,368712722,331534532,367790349
214,368712722,331534532,367790349
215,369986284,332473456,368683784
216,373553236,335621322,371566243
217,375222459,337090722,373668109
218,375350098,337167306,373668109
219,378977285,338760000,374239643
220,380104828,341412876,378012729
221,381557087,342865936,379363603
222,381557087,342865936,379484857
223,381662772,342865936,379689068
224,385972825,346693870,383896895
225,387566236,348112214,385295255
226,387757689,348112214,385787407
227,387853416,348252618,385787407
228,391534450,351614666,389544887
229,393265463,352968420,391214070
230,393722141,353587474,391920398
231,393868923,353587474,392109039
232,397467004,355842630,395659549
233,398019416,357170856,396150941
234,399398656,359098990,397816548
235,399398656,359098990,397816548
236,402789707,361007978,401326713
237,404618488,363725444,403203683
238,405369503,364377178,404183654
239,405477994,364498436,404183654
240,409146260,367799470,407941944
241,409906469,368536976,408685791
242,411224706,369894306,410186243
243,411224706,369894306,410387652
244,414210133,370957294,410872650
245,415890103,374393120,414435922
246,417610392,375666714,416332043
247,417610392,375666714,416631979
248,417610392,375717770,416631979
249,422345979,379575578,421060361
250,424223006,380826450,422200632
251,424344262,381120792,422918958
252,424376172,381235668,422918958
253,428109016,384654384,426357422
254,430149160,386053582,427930883
255,430567550,386650684,428956295
256,430567550,386778324,429122218
257,434277702,389594326,432152252
258,435451962,390692800,433684615
259,436720680,392404716,435322660
260,436956806,392404716,435555975
261,440212303,394201634,437308119
262,441361797,396832558,439887844
263,442285132,397359458,440673559
264,442677999,397765100,441248683
