commitcycle_interval,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,6.720443,6.720104,6.749361
9,0,0,0
10,0,0,0
11,0,0,0
12,7.891439,7.898217,0
13,0,0,7.860385
14,0,0,0
15,0,0,0
16,6.948226,6.95114,6.966529
17,0,0,0
18,0,0,0
19,5.890618,0,0
20,0,7.442415,0
21,0,0,6.849953
22,5.593689,0,0
23,0,0,0
24,0,7.075156,0
25,5.743286,0,7.181777
26,0,0,0
27,0,0,0
28,0,6.901481,6.567918
29,5.58824,0,0
30,0,0,0
31,0,0,0
32,0,6.694158,7.416308
33,6.616389,0,0
34,0,0,0
35,0,5.762969,0
36,6.692116,0,7.339449
37,0,0,0
38,0,5.905436,0
39,0,0,0
40,0,0,0
41,7.257446,5.381126,7.432197
42,0,0,0
43,0,0,0
44,0,0,0
45,8.250207,6.80995,7.860593
46,0,0,0
47,0,0,0
48,0,0,0
49,7.546405,7.648273,7.851125
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,7.787873,7.72298,7.829029
55,0,0,0
56,0,0,0
57,0,0,0
58,7.943416,7.939281,7.883941
59,0,0,0
60,0,0,0
61,0,0,0
62,7.689801,7.696596,7.763428
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,7.861846,7.830578,7.868062
68,0,0,0
69,0,0,0
70,0,0,0
71,7.91589,7.760663,7.613048
72,0,0,0
73,0,0,0
74,0,0,0
75,7.362996,7.557356,7.062187
76,0,0,0
77,0,0,0
78,0,0,0
79,7.301939,7.315031,7.502663
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,7.668926,7.67294,7.949585
85,0,0,0
86,0,0,0
87,0,0,0
88,7.976534,7.977559,7.990615
89,0,0,0
90,0,0,0
91,0,0,0
92,7.45335,7.433435,7.713635
93,0,0,0
94,0,0,0
95,0,0,0
96,7.713741,6.996731,0
97,0,0,7.452903
98,0,0,0
99,0,0,0
100,7.173379,7.360911,0
101,0,0,7.422275
102,0,0,0
103,0,0,0
104,7.493032,7.465871,7.201684
105,0,0,0
106,0,0,0
107,0,0,0
108,0,0,0
109,8.089339,8.095938,8.094189
110,0,0,0
111,0,0,0
112,7.399541,7.239924,0
113,0,0,7.398535
114,0,0,0
115,0,0,0
116,7.476683,7.633195,0
117,0,0,7.772554
118,0,0,0
119,0,0,0
120,0,0,0
121,7.970626,7.980781,7.868187
122,0,0,0
123,0,0,0
124,0,0,0
125,0,0,0
126,7.92587,8.162654,8.076669
127,0,0,0
128,0,0,0
129,0,0,0
130,7.704947,7.654886,7.261136
131,0,0,0
132,0,0,0
133,0,0,0
134,7.744884,7.293295,0
135,0,0,7.760115
136,0,0,0
137,0,0,0
138,7.713695,7.728949,8.105969
139,0,0,0
140,0,0,0
141,0,0,0
142,0,0,0
143,7.480371,7.627044,7.978232
144,0,0,0
145,0,0,0
146,0,0,0
147,7.153256,7.843223,7.134038
148,0,0,0
149,0,0,0
150,0,0,0
151,7.600193,0,0
152,0,7.778852,7.744864
153,0,0,0
154,0,0,0
155,0,0,0
156,7.40738,7.325312,7.352861
157,0,0,0
158,0,0,0
159,0,0,0
160,7.415851,7.51287,7.512007
161,0,0,0
162,0,0,0
163,0,0,0
164,8.031846,8.065115,7.65837
165,0,0,0
166,0,0,0
167,0,0,0
168,7.236724,7.229324,7.630118
169,0,0,0
170,0,0,0
171,0,0,0
172,7.183397,7.531843,7.184291
173,0,0,0
174,0,0,0
175,0,0,0
176,7.97678,7.432415,7.047621
177,0,0,0
178,0,0,0
179,0,0,0
