commitcycle_latency,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,1.714506,1.711038,1.741051
9,0,0,0
10,0,0,0
11,0,0,0
12,2.891345,2.897614,0
13,0,0,2.858087
14,0,0,0
15,0,0,0
16,1.941921,1.951044,1.958688
17,0,0,0
18,0,0,0
19,0.871702,0,0
20,0,2.437607,0
21,0,0,1.842265
22,0.593585,0,0
23,0,0,0
24,0,2.071618,0
25,0.738318,0,2.170287
26,0,0,0
27,0,0,0
28,0,1.896207,1.562521
29,0.5802,0,0
30,0,0,0
31,0,0,0
32,0,1.687185,2.408255
33,1.616314,0,0
34,0,0,0
35,0,0.759506,0
36,1.692051,0,2.336003
37,0,0,0
38,0,0.901599,0
39,0,0,0
40,0,0,0
41,2.252215,0.380849,2.431466
42,0,0,0
43,0,0,0
44,0,0,0
45,3.245731,1.800364,2.856673
46,0,0,0
47,0,0,0
48,0,0,0
49,2.53705,2.640023,2.846046
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,2.768161,2.722887,2.827867
55,0,0,0
56,0,0,0
57,0,0,0
58,2.943232,2.932752,2.88344
59,0,0,0
60,0,0,0
61,0,0,0
62,2.679899,2.691568,2.761886
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,2.85355,2.821497,2.86039
68,0,0,0
69,0,0,0
70,0,0,0
71,2.904078,2.75086,2.600412
72,0,0,0
73,0,0,0
74,0,0,0
75,2.358735,2.551466,2.043689
76,0,0,0
77,0,0,0
78,0,0,0
79,2.300423,2.314932,2.493984
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,2.661435,2.658521,2.949416
85,0,0,0
86,0,0,0
87,0,0,0
88,2.971135,2.972324,2.990526
89,0,0,0
90,0,0,0
91,0,0,0
92,2.451109,2.432411,2.713536
93,0,0,0
94,0,0,0
95,0,0,0
96,2.713649,1.995822,0
97,0,0,2.447432
98,0,0,0
99,0,0,0
100,2.172607,2.360716,0
101,0,0,2.412228
102,0,0,0
103,0,0,0
104,2.492088,2.465239,2.190745
105,0,0,0
106,0,0,0
107,0,0,0
108,0,0,0
109,3.088026,3.090022,3.090043
110,0,0,0
111,0,0,0
112,2.3994,2.2371,0
113,0,0,2.398434
114,0,0,0
115,0,0,0
116,2.476592,2.630499,0
117,0,0,2.772474
118,0,0,0
119,0,0,0
120,0,0,0
121,2.967393,2.979263,2.857984
122,0,0,0
123,0,0,0
124,0,0,0
125,0,0,0
126,2.91837,3.114514,3.072049
127,0,0,0
128,0,0,0
129,0,0,0
130,2.700695,2.654774,2.261043
131,0,0,0
132,0,0,0
133,0,0,0
134,2.735101,2.28907,0
135,0,0,2.758362
136,0,0,0
137,0,0,0
138,2.707329,2.724395,3.100774
139,0,0,0
140,0,0,0
141,0,0,0
142,0,0,0
143,2.479439,2.619649,2.978138
144,0,0,0
145,0,0,0
146,0,0,0
147,2.143462,2.84216,2.131365
148,0,0,0
149,0,0,0
150,0,0,0
151,2.594883,0,0
152,0,2.77655,2.740623
153,0,0,0
154,0,0,0
155,0,0,0
156,2.407205,2.319458,2.34597
157,0,0,0
158,0,0,0
159,0,0,0
160,2.407911,2.502808,2.501723
161,0,0,0
162,0,0,0
163,0,0,0
164,3.03175,3.06161,2.65205
165,0,0,0
166,0,0,0
167,0,0,0
168,2.236603,2.220161,2.62338
169,0,0,0
170,0,0,0
171,0,0,0
172,2.168486,2.527095,2.170631
173,0,0,0
174,0,0,0
175,0,0,0
176,2.967644,2.432318,2.038871
177,0,0,0
178,0,0,0
179,0,0,0
