journal_bytes,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt
0,93717319,84862416,93105685
1,93717319,84862416,93105685
2,93717319,84862416,93105685
3,93717319,84862416,93105685
4,93717319,84862416,93105685
5,93717319,84862416,93105685
6,93717319,84862416,93110307
7,95930285,86902740,95396028
8,95975055,86928324,95504758
9,99422391,88975044,96841456
10,101072503,90970596,99975288
11,101999898,92160252,101471855
12,102051065,92198628,101606165
13,103259875,92262588,101657329
14,106003676,95614092,105539482
15,107206086,96695016,106677911
16,107429941,97187508,107170373
17,107429941,97213092,107208746
18,111075550,100794852,110886236
19,112373898,101715876,112216525
20,112450648,101837400,112414790
21,112546586,101914152,112485142
22,116179409,105048192,116047517
23,117106797,106154700,117058032
24,117605666,106589628,117851088
25,118034191,107312376,117883064
26,120886728,109634124,121144835
27,122242646,110779008,122270464
28,122926996,111604092,123255389
29,123048515,111636072,123319345
30,127116275,115198644,126254957
31,127928541,115914996,127687579
32,128101229,116375508,128384699
33,128293102,116503428,128461446
34,132002684,119739804,132017438
35,133518488,120846312,133386109
36,133742345,121076568,133737865
37,134452284,121121340,133814613
38,137547841,124108272,137383406
39,138699082,125189196,138016580
40,139095618,125700876,138969527
41,139197954,125752044,139046276
42,142856353,128591868,142052234
43,144116336,129890256,143568018
44,144922216,130574628,144674466
45,144922216,130581024,144764004
46,148363164,132653328,145889638
47,149482433,134802384,148838023
48,150537744,135870516,150213084
49,150537744,135876912,150385766
50,151381993,136714788,150571239
51,154867726,139465068,154178383
52,156038162,141204780,155847641
53,156389929,141281532,155988347
54,156453889,141281532,156122655
55,160681526,144421968,159448387
56,161538567,145745940,160868216
57,162274086,146558232,161552543
58,162402001,146558232,161674059
59,166258691,148534596,163912538
60,166815131,150459792,165549837
61,167934400,151630260,167257468
62,168075112,151681428,167372594
63,168996109,152103564,167622024
64,172219590,154700340,171299500
65,173517937,156043500,172207673
66,173927269,156625536,173039096
67,173972041,156631932,173230964
68,177540909,159068808,176403203
69,178826466,160782936,177752682
70,179587562,161863860,179076580
71,179728270,161870256,179217285
72,181832490,163130268,179421946
73,184103003,166021260,183623878
74,185254248,167051016,184864627
75,185318207,167198124,184864627
76,186072925,167511528,185011727
77,189117318,170792676,188554918
78,190204601,171611364,189712530
79,190204601,171662532,189789277
80,192558265,173140008,190870143
81,194201998,175295460,194221448
82,195525928,176657808,195116826
83,195705014,176875272,195941859
84,195781764,177041568,195941859
85,199325066,180079668,198308264
86,200665362,181275720,200041483
87,201535196,182132784,201589231
88,201579966,182196744,201589231
89,205207150,184326612,202702076
90,206460734,185887236,205455788
91,207516802,187204812,207093081
92,207638318,187230396,207297734
93,209224471,187607760,207598332
94,211745169,190792968,211132319
95,213088287,191854704,212498175
96,213209802,192091356,212843539
97,214447773,192289632,212856330
98,217569701,195340524,216428688
99,218884424,197150592,218616002
100,218999547,197156988,218721906
101,219044318,197304096,218805048
102,223189562,201020172,222284272
103,223995436,202030740,223637336
104,224072186,202094700,223848394
105,224926409,202510440,223989095
106,228515227,205657272,227446315
107,229714824,206962056,228783001
108,229855532,206962056,229134759
109,230034612,207070788,229262671
110,234237423,210390312,232758263
111,235558536,212321904,234360741
112,235801578,212334696,234571798
113,235910306,212411448,234725296
114,239876488,216025188,238508713
