journal_latency,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0.017925
6,0.029807,0.022843,0.025106
7,0.756203,0.742086,0.204608
8,0.034801,0.04242,0.056547
9,0.060661,0.055191,0.039101
10,0.073396,0.083885,0.086899
11,0,0,0.892871
12,0.209993,1.855798,1.634819
13,0.025771,0.02594,0.032564
14,0.066003,0.069141,0.066166
15,0.337804,0.161709,0.128413
16,0,0.875665,0.944388
17,0.053384,0.044785,0.070508
18,0.076969,0.070614,0.068728
19,0.595373,0,0.567182
20,0.244486,1.605525,0.496663
21,0.030339,0.022016,0.026211
22,0.190453,0.089014,0.104772
23,0.181955,0.318682,0.115462
24,0.398575,0.161171,1.290281
25,0.044357,0.022546,0.034617
26,0.10038,0.116571,0.133756
27,0.056803,0.145644,0.067198
28,0.453126,1.304722,0.857468
29,0.063463,0.05004,0.058793
30,0.092175,0.066611,0.063183
31,0.184729,0.162829,0.148871
32,0.527731,0.758731,0.987584
33,0.044158,0.056039,0.048973
34,0.092472,0.106263,0.070698
35,0.43977,0.385812,0.574394
36,0.165973,1.049922,1.178607
37,0.037319,0.023464,0.02946
38,0.092324,0.180298,0.192829
39,0.131379,0.133375,0.075992
40,1.483782,1.196101,1.630833
41,0.04058,0.042308,0.050708
42,0.056793,0.096004,0.077169
43,0.130958,0.109972,0.079375
44,0,0,1.073656
45,0.062188,0.077973,0.112739
46,0.09202,0.063163,0.04156
47,0.103426,0.091345,0.091593
48,0,0,1.342463
49,0.140256,0.235969,0.859001
50,0.035998,0.035637,0.029554
51,0.102096,0.091558,0.09866
52,0.079025,0.842947,0.04102
53,0,0,0
54,0.084451,0.037658,0.120738
55,0.07893,0.058338,0.07635
56,0.079868,0.206322,0.10932
57,1.185017,0,1.696013
58,0.057027,0.068081,0.058913
59,0.131952,0.042264,0.047052
60,0.075832,0.087596,0.094855
61,0.789816,0,0.821354
62,0.079983,0.304314,0.379039
63,0.041551,0.028681,0.036334
64,0.096215,0.073961,0.070401
65,0.142424,0.103179,0.089853
66,0,0,2.039126
67,0.083648,0.099852,0.054512
68,0.092896,0.07304,0.091053
69,0.091369,0.097544,0.074235
70,0.619923,0,0.782501
71,0.159356,0.350567,0.170911
72,0.056534,0.039552,0.037213
73,0.098365,0.091135,0.081251
74,1.245281,0.780533,0
75,0.10527,0.277197,1.119063
76,0.03175,0.033454,0.0398
77,0.079931,0.068285,0.075567
78,0,0.003395,0
79,0.023758,0.025517,0.799496
80,0.074576,0.042961,0.041109
81,0.104823,0.09855,0.120217
82,0.068031,0.083993,0.161839
83,1.539399,0,0
84,0.064228,0.176541,0.057934
85,0.099956,0.083543,0.0629
86,0.070069,0.095552,0.103181
87,2.002946,0,0
88,0.050975,0.179666,0.13108
89,0.067832,0.046768,0.033436
90,0.119146,0.127624,0.095794
91,0.462529,0,0.131731
92,0.068574,0.461245,0.965768
93,0.036918,0.033721,0.025525
94,0.087166,0.088642,0.08385
95,1.444511,0.107546,0.139263
96,0.06447,0.100043,0
97,0.037494,0.028645,0.182064
98,0.064261,0.079055,0.065889
99,0.270764,0,0.241099
100,1.1992,1.992699,1.475219
101,0.042321,0.04134,0.036775
102,0.074497,0.07989,0.074457
103,0.480617,0.466552,0.176044
104,0.177739,0.294052,0.73973
105,0.033251,0.032758,0.040028
106,0.097496,0.094248,0.078368
107,0.01022,0,0.040583
108,1.79377,1.396849,1.630332
109,0.04598,0.03158,0.047084
110,0.087473,0.10343,0.094634
111,0.079652,0,0.084516
112,1.225084,2.113894,1.848644
113,0.042293,0.0359,0.031431
114,0.067939,0.087524,0.073881
