journal_ops,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt
0,1150,785,607
1,1150,785,607
2,1150,785,607
3,1150,785,607
4,1150,785,607
5,1150,785,607
6,1150,785,609
7,1496,1104,967
8,1503,1108,984
9,2042,1428,1193
10,2300,1740,1683
11,2445,1926,1917
12,2453,1932,1938
13,2642,1942,1946
14,3071,2466,2553
15,3259,2635,2731
16,3294,2712,2808
17,3294,2716,2814
18,3864,3276,3389
19,4067,3420,3597
20,4079,3439,3628
21,4094,3451,3639
22,4662,3941,4196
23,4807,4114,4354
24,4885,4182,4478
25,4952,4295,4483
26,5398,4658,4993
27,5610,4837,5169
28,5717,4966,5323
29,5736,4971,5333
30,6372,5528,5792
31,6499,5640,6016
32,6526,5712,6125
33,6556,5732,6137
34,7136,6238,6693
35,7373,6411,6907
36,7408,6447,6962
37,7519,6454,6974
38,8003,6921,7532
39,8183,7090,7631
40,8245,7170,7780
41,8261,7178,7792
42,8833,7622,8262
43,9030,7825,8499
44,9156,7932,8672
45,9156,7933,8686
46,9694,8257,8862
47,9869,8593,9323
48,10034,8760,9538
49,10034,8761,9565
50,10166,8892,9594
51,10711,9322,10158
52,10894,9594,10419
53,10949,9606,10441
54,10959,9606,10462
55,11620,10097,10982
56,11754,10304,11204
57,11869,10431,11311
58,11889,10431,11330
59,12492,10740,11680
60,12579,11041,11936
61,12754,11224,12203
62,12776,11232,12221
63,12920,11298,12260
64,13424,11704,12835
65,13627,11914,12977
66,13691,12005,13107
67,13698,12006,13137
68,14256,12387,13633
69,14457,12655,13844
70,14576,12824,14051
71,14598,12825,14073
72,14927,13022,14105
73,15282,13474,14762
74,15462,13635,14956
75,15472,13658,14956
76,15590,13707,14979
77,16066,14220,15533
78,16236,14348,15714
79,16236,14356,15726
80,16604,14587,15895
81,16861,14924,16419
82,17068,15137,16559
83,17096,15171,16688
84,17108,15197,16688
85,17662,15672,17058
86,17871,15859,17329
87,18007,15993,17571
88,18014,16003,17571
89,18580,16336,17745
90,18776,16580,18175
91,18940,16786,18431
92,18959,16790,18463
93,19207,16849,18510
94,19600,17347,19062
95,19810,17513,19275
96,19829,17550,19329
97,20022,17581,19331
98,20509,18058,19889
99,20714,18341,20231
100,20732,18342,20247
101,20739,18365,20260
102,21386,18946,20804
103,21512,19104,21015
104,21524,19114,21048
105,21657,19179,21070
106,22217,19671,21610
107,22404,19875,21819
108,22426,19875,21874
109,22454,19892,21894
110,23110,20411,22440
111,23316,20713,22690
112,23354,20715,22723
113,23371,20727,22747
114,23990,21292,23338
115,24092,21379,23494
116,24147,21414,23539
117,24181,21444,23555
118,24781,21893,24136
119,24938,22048,24266
120,25022,22169,24419
121,25040,22180,24419
122,25290,22297,24550
123,25709,22737,25087
124,25912,22985,25253
125,25932,23007,25357
126,25943,23007,25364
127,26449,23541,25692
128,26674,23714,26099
129,26789,23802,26253
130,26796,23802,26253
131,27053,23985,26354
132,27448,24408,26909
133,27615,24581,27106
134,27637,24581,27109
135,27695,24597,27126
136,28331,25174,27751
137,28472,25380,27992
138,28492,25399,27993
139,28544,25426,28025
140,29114,25922,28545
141,29327,26121,28764
142,29371,26205,28907
143,29412,26212,28907
144,29750,26364,29004
145,30143,26768,29543
146,30220,26886,29693
147,30259,26925,29716
148,30426,26955,29767
149,30934,27481,30343
150,31110,27653,30518
151,31125,27675,30562
152,31152,27688,30579
153,31879,28261,31210
154,31929,28385,31377
155,32002,28450,31452
156,32002,28473,31482
157,32543,28952,31933
158,32730,29086,32074
159,32795,29214,32257
160,32805,29218,32270
161,33382,29534,32609
162,33534,29864,32900
163,33717,29988,33097
164,33722,30006,33118
165,33834,30041,33126
166,34414,30574,33727
167,34613,30811,33936
168,34641,30829,33967
169,34990,31193,34123
170,35320,31401,34576
171,35497,31600,34814
172,35509,31610,34855
173,35674,31665,34911
174,36211,32193,35503
175,36355,32321,35671
176,36356,32336,35707
177,36385,32349,35718
178,36967,32848,36287
179,37197,33072,36506
180,37214,33098,36597
181,37252,33155,36609
182,37783,33683,37140
183,37952,33838,37249
184,37995,33864,37403
185,38017,33882,37420
186,38552,34347,37944
187,38778,34589,38199
188,38863,34648,38315
189,38864,34652,38316
190,39370,35073,38821
191,39603,35302,39006
192,39757,35468,39203
193,39757,35472,39229
194,40028,35658,39348
195,40401,36049,39800
196,40574,36254,40041
197,40606,36271,40069
198,40626,36285,40080
199,41107,36659,40496
200,41377,36889,40751
201,41461,36952,40856
202,41466,36958,40885
203,42071,37426,41399
204,42161,37561,41549
205,42364,37730,41739
206,42390,37745,41749
207,42988,38244,42100
208,43175,38431,42551
209,43248,38536,42659
210,43267,38554,42676
211,43825,38994,43153
212,43982,39136,43262
213,44155,39398,43582
214,44156,39398,43582
215,44371,39538,43722
216,44909,40029,44172
217,45170,40257,44498
218,45190,40269,44521
219,45755,40518,44606
220,45932,40932,45176
221,46157,41158,45386
222,46157,41158,45434
223,46191,41174,45437
224,46845,41759,46093
225,47107,41975,46311
226,47123,41976,46404
227,47138,41997,46409
228,47712,42521,46973
229,47984,42732,47234
230,48071,42829,47371
231,48079,42829,47372
232,48636,43187,47925
233,48735,43408,48002
234,48937,43687,48263
235,48939,43687,48263
236,49465,43985,48824
237,49758,44408,49102
238,49867,44509,49254
239,49884,44528,49267
240,50456,45043,49839
241,50574,45158,49955
242,50780,45370,50189
243,50795,45373,50222
244,51253,45556,50309
245,51506,46070,50864
246,51775,46269,51147
247,51784,46270,51194
248,51784,46277,51194
249,52512,46877,51884
250,52805,47073,52073
251,52824,47119,52173
252,52829,47136,52174
253,53410,47673,52715
254,53734,47887,52972
255,53793,47982,53114
256,53794,48000,53140
257,54371,48439,53612
258,54555,48615,53866
259,54753,48876,54106
260,54788,48876,54146
261,55298,49157,54416
262,55484,49567,54820
263,55619,49649,54956
264,55680,49732,55055
265,55869,49744,55059
266,56334,50278,55600
267,56684,50539,55931
268,56689,50558,55952
269,56871,50673,56031
270,57326,51196,56534
271,57605,51383,56758
272,57645,51455,56835
273,57651,51466,56857
274,58212,52008,57351
275,58376,52048,57592
276,58499,52184,57721
277,58512,52195,57749
278,59115,52711,58291
279,59362,52915,58505
280,59434,53016,58697
281,59443,53020,58704
282,59814,53372,59100
283,59814,53372,59101
284,59814,53372,59101
285,59814,53372,59101
286,59814,53372,59101
287,59814,53372,59101
288,59814,53372,59101
289,59814,53372,59101
290,59814,53372,59101
291,59814,53372,59101
292,59814,53372,59101
293,59814,53372,59101
294,59814,53372,59101
295,59814,53372,59101
296,59814,53372,59101
297,59814,53372,59101
298,59814,53372,59101
299,59814,53372,59101
300,59814,53372,59101
301,59814,53372,59101
302,59814,53372,59101
303,59814,53372,59101
304,59814,53372,59101
305,59814,53372,59101
306,59814,53372,59101
307,59814,53372,59101
308,59814,53372,59101
309,59814,53372,59101
310,59814,53372,59101
311,Null,53372,Null
