journal_queue_bytes,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,44770,25584,83148
8,0,0,0
9,0,31980,12792
10,153497,0,108723
11,51167,38376,134310
12,63959,19188,38372
13,6395,6396,0
14,0,102336,19185
15,121522,127920,83142
16,0,19188,19186
17,127915,102336,153499
18,44769,51168,44769
19,12792,95940,44769
20,0,19188,0
21,76749,0,38375
22,134310,70356,25584
23,153501,153504,44771
24,63959,44772,25581
25,0,19188,102331
26,108730,12792,51165
27,0,6396,185471
28,44771,31980,63956
29,115126,44772,76744
30,147105,83148,19186
31,127916,102336,38374
32,76749,19188,6395
33,102334,57564,121519
34,185477,63960,25582
35,6396,12792,102329
36,57563,31980,63957
37,0,0,0
38,6395,83148,70354
39,102330,166296,115122
40,102336,44772,76749
41,0,0,51165
42,70350,115128,0
43,0,95940,95935
44,25584,6396,89538
45,51168,51168,31979
46,12792,0,0
47,185478,6396,0
48,0,12792,140705
49,51168,83148,95933
50,0,31980,0
51,76751,0,76748
52,63957,76752,12791
53,63960,0,134308
54,63960,31980,31978
55,57562,83148,140702
56,108729,179088,31978
57,127915,0,121516
58,83146,89544,0
59,153501,0,19186
60,44770,51168,115124
61,140712,19188,115126
62,25584,0,38373
63,6396,6396,0
64,0,76752,12790
65,147101,108732,6395
66,44772,51168,191868
67,83147,115128,83144
68,0,0,19187
69,0,95940,25583
70,140708,134316,6396
71,19188,179088,12791
72,0,6396,102335
73,95940,63960,102328
74,63959,147108,115124
75,0,0,115124
76,31978,6396,134306
77,166289,51168,121520
78,0,0,134308
79,0,0,243030
80,0,57564,57562
81,108732,127920,0
82,63959,83148,0
83,76750,166296,0
84,76749,38376,38374
85,83145,57564,38373
86,108728,108732,89540
87,44770,76752,6396
88,76751,12792,6396
89,172688,0,63958
90,51167,127920,115117
91,121516,25584,51163
92,19187,25584,51165
93,108729,19188,6396
94,70353,70356,0
95,102329,121524,153495
96,31978,0,12791
97,0,63960,19186
98,19188,70356,51167
99,115123,108732,105904
100,25584,134316,57558
101,57562,57564,25584
102,12791,6396,57561
103,76750,63960,140706
104,31979,12792,38374
105,38375,6396,25583
106,19188,70356,0
107,0,19188,19187
108,95938,31980,127912
109,25582,19188,63957
110,137886,63960,0
111,57562,76752,63955
112,83145,63960,134310
113,0,25584,12792
114,83144,12792,6396
115,163476,95940,0
116,159897,108732,102332
117,0,6396,83143
118,44771,0,115121
119,0,12792,159890
120,115127,70356,51164
121,19187,19188,51164
122,12792,63960,6396
123,159895,102336,121517
124,102334,121524,153499
125,76752,102336,51168
126,6396,102336,6396
127,31979,25584,6396
128,172688,108732,153496
129,44772,51168,0
130,70354,172692,83141
131,19188,89544,44769
132,93119,121524,108729
133,140708,0,108726
134,0,0,108726
135,0,19188,179077
136,70352,121524,121515
137,131493,121524,147102
138,86723,51168,179079
139,38375,83148,0
140,0,127920,191866
141,115125,12792,51166
142,204664,44772,25583
143,0,31980,63956
144,6396,51168,12792
145,51168,44772,76747
146,153500,140712,83145
147,51165,63960,25581
148,6395,31980,0
149,134311,19188,6395
150,70352,121524,166291
151,70355,31980,44770
152,0,51168,76748
153,0,115128,0
154,95938,140712,44768
155,0,134316,159889
156,6395,0,0
157,179081,38376,70352
158,70354,121524,131488
159,57563,25584,83144
160,127916,108732,166288
161,70352,6396,0
162,147107,83148,134305
163,31979,115128,51166
164,63958,31980,38374
165,89542,0,63956
166,38376,134316,25582
167,179083,115128,83143
168,38376,38376,25583
169,6396,12792,0
170,134312,0,0
171,121520,51168,121520
172,153498,25584,70354
173,6396,44772,44771
